SED_NAME16	IndigenousStatus	persons
Albury	Aboriginal	2061
Albury	Both Aboriginal & Torres Strait Islander	36
Albury	Non-indigenous	76493
Albury	Torres Strait Islander	51
Auburn	Aboriginal	708
Auburn	Both Aboriginal & Torres Strait Islander	11
Auburn	Non-indigenous	102938
Auburn	Torres Strait Islander	29
Ballina	Aboriginal	1790
Ballina	Both Aboriginal & Torres Strait Islander	60
Ballina	Non-indigenous	71331
Ballina	Torres Strait Islander	95
Balmain	Aboriginal	902
Balmain	Both Aboriginal & Torres Strait Islander	26
Balmain	Non-indigenous	81799
Balmain	Torres Strait Islander	45
Bankstown	Aboriginal	499
Bankstown	Both Aboriginal & Torres Strait Islander	24
Bankstown	Non-indigenous	84962
Bankstown	Torres Strait Islander	37
Barwon	Aboriginal	12481
Barwon	Both Aboriginal & Torres Strait Islander	160
Barwon	Non-indigenous	64587
Barwon	Torres Strait Islander	117
Bathurst	Aboriginal	3885
Bathurst	Both Aboriginal & Torres Strait Islander	77
Bathurst	Non-indigenous	74022
Bathurst	Torres Strait Islander	95
Baulkham Hills	Aboriginal	296
Baulkham Hills	Both Aboriginal & Torres Strait Islander	7
Baulkham Hills	Non-indigenous	78839
Baulkham Hills	Torres Strait Islander	6
Bega	Aboriginal	3000
Bega	Both Aboriginal & Torres Strait Islander	57
Bega	Non-indigenous	66953
Bega	Torres Strait Islander	44
Blacktown	Aboriginal	1981
Blacktown	Both Aboriginal & Torres Strait Islander	49
Blacktown	Non-indigenous	85605
Blacktown	Torres Strait Islander	70
Blue Mountains	Aboriginal	1685
Blue Mountains	Both Aboriginal & Torres Strait Islander	34
Blue Mountains	Non-indigenous	69579
Blue Mountains	Torres Strait Islander	29
Cabramatta	Aboriginal	574
Cabramatta	Both Aboriginal & Torres Strait Islander	5
Cabramatta	Non-indigenous	81161
Cabramatta	Torres Strait Islander	44
Camden	Aboriginal	2044
Camden	Both Aboriginal & Torres Strait Islander	18
Camden	Non-indigenous	86118
Camden	Torres Strait Islander	22
Campbelltown	Aboriginal	3577
Campbelltown	Both Aboriginal & Torres Strait Islander	63
Campbelltown	Non-indigenous	75123
Campbelltown	Torres Strait Islander	86
Canterbury	Aboriginal	616
Canterbury	Both Aboriginal & Torres Strait Islander	14
Canterbury	Non-indigenous	87338
Canterbury	Torres Strait Islander	41
Castle Hill	Aboriginal	411
Castle Hill	Both Aboriginal & Torres Strait Islander	3
Castle Hill	Non-indigenous	79401
Castle Hill	Torres Strait Islander	11
Cessnock	Aboriginal	4934
Cessnock	Both Aboriginal & Torres Strait Islander	111
Cessnock	Non-indigenous	71479
Cessnock	Torres Strait Islander	117
Charlestown	Aboriginal	2364
Charlestown	Both Aboriginal & Torres Strait Islander	44
Charlestown	Non-indigenous	69599
Charlestown	Torres Strait Islander	32
Clarence	Aboriginal	4658
Clarence	Both Aboriginal & Torres Strait Islander	94
Clarence	Non-indigenous	68654
Clarence	Torres Strait Islander	105
Coffs Harbour	Aboriginal	3500
Coffs Harbour	Both Aboriginal & Torres Strait Islander	78
Coffs Harbour	Non-indigenous	69299
Coffs Harbour	Torres Strait Islander	67
Coogee	Aboriginal	491
Coogee	Both Aboriginal & Torres Strait Islander	12
Coogee	Non-indigenous	82640
Coogee	Torres Strait Islander	28
Cootamundra	Aboriginal	3825
Cootamundra	Both Aboriginal & Torres Strait Islander	53
Cootamundra	Non-indigenous	67835
Cootamundra	Torres Strait Islander	68
Cronulla	Aboriginal	672
Cronulla	Both Aboriginal & Torres Strait Islander	22
Cronulla	Non-indigenous	73000
Cronulla	Torres Strait Islander	34
Davidson	Aboriginal	131
Davidson	Both Aboriginal & Torres Strait Islander	5
Davidson	Non-indigenous	78156
Davidson	Torres Strait Islander	8
Drummoyne	Aboriginal	353
Drummoyne	Both Aboriginal & Torres Strait Islander	5
Drummoyne	Non-indigenous	79867
Drummoyne	Torres Strait Islander	18
Dubbo	Aboriginal	9822
Dubbo	Both Aboriginal & Torres Strait Islander	158
Dubbo	Non-indigenous	66468
Dubbo	Torres Strait Islander	115
East Hills	Aboriginal	822
East Hills	Both Aboriginal & Torres Strait Islander	11
East Hills	Non-indigenous	76498
East Hills	Torres Strait Islander	17
Epping	Aboriginal	152
Epping	Both Aboriginal & Torres Strait Islander	5
Epping	Non-indigenous	79773
Epping	Torres Strait Islander	4
Fairfield	Aboriginal	577
Fairfield	Both Aboriginal & Torres Strait Islander	10
Fairfield	Non-indigenous	86378
Fairfield	Torres Strait Islander	20
Gosford	Aboriginal	2426
Gosford	Both Aboriginal & Torres Strait Islander	20
Gosford	Non-indigenous	71355
Gosford	Torres Strait Islander	50
Goulburn	Aboriginal	2139
Goulburn	Both Aboriginal & Torres Strait Islander	37
Goulburn	Non-indigenous	73531
Goulburn	Torres Strait Islander	59
Granville	Aboriginal	673
Granville	Both Aboriginal & Torres Strait Islander	14
Granville	Non-indigenous	90350
Granville	Torres Strait Islander	16
Hawkesbury	Aboriginal	2414
Hawkesbury	Both Aboriginal & Torres Strait Islander	17
Hawkesbury	Non-indigenous	71454
Hawkesbury	Torres Strait Islander	46
Heathcote	Aboriginal	1065
Heathcote	Both Aboriginal & Torres Strait Islander	20
Heathcote	Non-indigenous	75033
Heathcote	Torres Strait Islander	30
Heffron	Aboriginal	1241
Heffron	Both Aboriginal & Torres Strait Islander	48
Heffron	Non-indigenous	102898
Heffron	Torres Strait Islander	34
Holsworthy	Aboriginal	1156
Holsworthy	Both Aboriginal & Torres Strait Islander	12
Holsworthy	Non-indigenous	83208
Holsworthy	Torres Strait Islander	32
Hornsby	Aboriginal	466
Hornsby	Both Aboriginal & Torres Strait Islander	7
Hornsby	Non-indigenous	78537
Hornsby	Torres Strait Islander	15
Keira	Aboriginal	1629
Keira	Both Aboriginal & Torres Strait Islander	31
Keira	Non-indigenous	76681
Keira	Torres Strait Islander	40
Kiama	Aboriginal	2634
Kiama	Both Aboriginal & Torres Strait Islander	53
Kiama	Non-indigenous	68524
Kiama	Torres Strait Islander	73
Kogarah	Aboriginal	362
Kogarah	Both Aboriginal & Torres Strait Islander	8
Kogarah	Non-indigenous	91550
Kogarah	Torres Strait Islander	31
Ku-ring-gai	Aboriginal	200
Ku-ring-gai	Both Aboriginal & Torres Strait Islander	4
Ku-ring-gai	Non-indigenous	79998
Ku-ring-gai	Torres Strait Islander	21
Lake Macquarie	Aboriginal	3022
Lake Macquarie	Both Aboriginal & Torres Strait Islander	80
Lake Macquarie	Non-indigenous	67886
Lake Macquarie	Torres Strait Islander	84
Lakemba	Aboriginal	399
Lakemba	Both Aboriginal & Torres Strait Islander	7
Lakemba	Non-indigenous	91203
Lakemba	Torres Strait Islander	14
Lane Cove	Aboriginal	293
Lane Cove	Both Aboriginal & Torres Strait Islander	15
Lane Cove	Non-indigenous	81585
Lane Cove	Torres Strait Islander	14
Lismore	Aboriginal	3196
Lismore	Both Aboriginal & Torres Strait Islander	101
Lismore	Non-indigenous	70553
Lismore	Torres Strait Islander	94
Liverpool	Aboriginal	1506
Liverpool	Both Aboriginal & Torres Strait Islander	14
Liverpool	Non-indigenous	89591
Liverpool	Torres Strait Islander	25
Londonderry	Aboriginal	5120
Londonderry	Both Aboriginal & Torres Strait Islander	59
Londonderry	Non-indigenous	86526
Londonderry	Torres Strait Islander	110
Macquarie Fields	Aboriginal	2238
Macquarie Fields	Both Aboriginal & Torres Strait Islander	34
Macquarie Fields	Non-indigenous	84040
Macquarie Fields	Torres Strait Islander	48
Maitland	Aboriginal	3870
Maitland	Both Aboriginal & Torres Strait Islander	114
Maitland	Non-indigenous	73079
Maitland	Torres Strait Islander	109
Manly	Aboriginal	332
Manly	Both Aboriginal & Torres Strait Islander	8
Manly	Non-indigenous	79963
Manly	Torres Strait Islander	24
Maroubra	Aboriginal	2024
Maroubra	Both Aboriginal & Torres Strait Islander	42
Maroubra	Non-indigenous	79603
Maroubra	Torres Strait Islander	44
Miranda	Aboriginal	739
Miranda	Both Aboriginal & Torres Strait Islander	10
Miranda	Non-indigenous	73390
Miranda	Torres Strait Islander	24
Monaro	Aboriginal	2074
Monaro	Both Aboriginal & Torres Strait Islander	37
Monaro	Non-indigenous	73852
Monaro	Torres Strait Islander	51
Mount Druitt	Aboriginal	3157
Mount Druitt	Both Aboriginal & Torres Strait Islander	62
Mount Druitt	Non-indigenous	85423
Mount Druitt	Torres Strait Islander	71
Mulgoa	Aboriginal	1543
Mulgoa	Both Aboriginal & Torres Strait Islander	15
Mulgoa	Non-indigenous	79825
Mulgoa	Torres Strait Islander	32
Murray	Aboriginal	4153
Murray	Both Aboriginal & Torres Strait Islander	57
Murray	Non-indigenous	78617
Murray	Torres Strait Islander	81
Myall Lakes	Aboriginal	4342
Myall Lakes	Both Aboriginal & Torres Strait Islander	87
Myall Lakes	Non-indigenous	66545
Myall Lakes	Torres Strait Islander	89
Newcastle	Aboriginal	2142
Newcastle	Both Aboriginal & Torres Strait Islander	50
Newcastle	Non-indigenous	69423
Newcastle	Torres Strait Islander	50
Newtown	Aboriginal	1029
