SED_NAME16	Religion	Denomination	Sex	persons
Albury	(Other)		F	3596
Albury	(Other)		M	3922
Albury	(Other)	(Other)	F	104
Albury	(Other)	(Other)	M	88
Albury	(Other)	Australian Aboriginal Traditional	F	11
Albury	(Other)	Australian Aboriginal Traditional	M	9
Albury	(Other)	Other spiritual beliefs	F	42
Albury	(Other)	Other spiritual beliefs	M	32
Albury	(Other)	Secular beliefs	F	85
Albury	(Other)	Secular beliefs	M	106
Albury	(Other)	Sikhism	F	120
Albury	(Other)	Sikhism	M	139
Albury	Buddhism		F	378
Albury	Buddhism		M	257
Albury	Christianity		F	836
Albury	Christianity		M	733
Albury	Christianity	(Other)	F	23
Albury	Christianity	(Other)	M	19
Albury	Christianity	Anglican	F	7727
Albury	Christianity	Anglican	M	6517
Albury	Christianity	Baptist	F	457
Albury	Christianity	Baptist	M	400
Albury	Christianity	Brethren	F	60
Albury	Christianity	Brethren	M	53
Albury	Christianity	Catholic	F	10405
Albury	Christianity	Catholic	M	9421
Albury	Christianity	Churches Of Christ	F	29
Albury	Christianity	Churches Of Christ	M	18
Albury	Christianity	Eastern Orthodox	F	185
Albury	Christianity	Eastern Orthodox	M	174
Albury	Christianity	Jehovah's Witnesses	F	153
Albury	Christianity	Jehovah's Witnesses	M	104
Albury	Christianity	Latter Day Saints	F	44
Albury	Christianity	Latter Day Saints	M	28
Albury	Christianity	Lutheran	F	1136
Albury	Christianity	Lutheran	M	1006
Albury	Christianity	Oriental Orthodox	F	9
Albury	Christianity	Oriental Orthodox	M	8
Albury	Christianity	Pentecostal	F	488
Albury	Christianity	Pentecostal	M	414
Albury	Christianity	Presbyterian Reformed	F	1779
Albury	Christianity	Presbyterian Reformed	M	1695
Albury	Christianity	Protestant (Other)	F	91
Albury	Christianity	Protestant (Other)	M	71
Albury	Christianity	Salvation Army	F	115
Albury	Christianity	Salvation Army	M	78
Albury	Christianity	Seventh Day Adventist	F	130
Albury	Christianity	Seventh Day Adventist	M	128
Albury	Christianity	Uniting Church	F	2153
Albury	Christianity	Uniting Church	M	1603
Albury	Hinduism		F	434
Albury	Hinduism		M	450
Albury	Islam		F	122
Albury	Islam		M	155
Albury	Judaism		F	17
Albury	Judaism		M	15
Albury	No religion		F	9380
Albury	No religion		M	10906
Auburn	(Other)		F	4961
Auburn	(Other)		M	6507
Auburn	(Other)	(Other)	F	126
Auburn	(Other)	(Other)	M	120
Auburn	(Other)	Australian Aboriginal Traditional	F	3
Auburn	(Other)	Other spiritual beliefs	F	36
Auburn	(Other)	Other spiritual beliefs	M	44
Auburn	(Other)	Secular beliefs	F	31
Auburn	(Other)	Secular beliefs	M	61
Auburn	(Other)	Sikhism	F	228
Auburn	(Other)	Sikhism	M	322
Auburn	Buddhism		F	3762
Auburn	Buddhism		M	2923
Auburn	Christianity		F	1226
Auburn	Christianity		M	1085
Auburn	Christianity	(Other)	F	36
Auburn	Christianity	(Other)	M	39
Auburn	Christianity	Anglican	F	1648
Auburn	Christianity	Anglican	M	1586
Auburn	Christianity	Assyrian Apostolic	F	11
Auburn	Christianity	Assyrian Apostolic	M	11
Auburn	Christianity	Baptist	F	607
Auburn	Christianity	Baptist	M	556
Auburn	Christianity	Brethren	F	19
Auburn	Christianity	Brethren	M	16
Auburn	Christianity	Catholic	F	8487
Auburn	Christianity	Catholic	M	7964
Auburn	Christianity	Churches Of Christ	F	14
Auburn	Christianity	Churches Of Christ	M	6
Auburn	Christianity	Eastern Orthodox	F	811
Auburn	Christianity	Eastern Orthodox	M	808
Auburn	Christianity	Jehovah's Witnesses	F	102
Auburn	Christianity	Jehovah's Witnesses	M	67
Auburn	Christianity	Latter Day Saints	F	60
Auburn	Christianity	Latter Day Saints	M	75
Auburn	Christianity	Lutheran	F	38
Auburn	Christianity	Lutheran	M	15
Auburn	Christianity	Oriental Orthodox	F	121
Auburn	Christianity	Oriental Orthodox	M	116
Auburn	Christianity	Pentecostal	F	426
Auburn	Christianity	Pentecostal	M	397
Auburn	Christianity	Presbyterian Reformed	F	1293
Auburn	Christianity	Presbyterian Reformed	M	1204
