SED_NAME16	CountryOfBirth	Sex	persons
Albury		F	3892
Albury		M	3661
Albury	AFG	F	3
Albury	AFG	M	10
Albury	AUS	F	32984
Albury	AUS	M	31740
Albury	BGD	F	45
Albury	BGD	M	50
Albury	BIH	F	6
Albury	CAN	F	27
Albury	CAN	M	42
Albury	CHL	F	6
Albury	CHL	M	4
Albury	CHN	F	78
Albury	CHN	M	59
Albury	DEU	F	186
Albury	DEU	M	174
Albury	EGY	F	5
Albury	EGY	M	15
Albury	FJI	F	30
Albury	FJI	M	37
Albury	FRA	F	18
Albury	FRA	M	11
Albury	GBR	F	971
Albury	GBR	M	957
Albury	GRC	F	27
Albury	GRC	M	35
Albury	HKG	F	23
Albury	HKG	M	20
Albury	HRV	F	31
Albury	HRV	M	30
Albury	IDN	F	14
Albury	IDN	M	10
Albury	IND	F	296
Albury	IND	M	314
Albury	IRL	F	45
Albury	IRL	M	59
Albury	IRN	F	10
Albury	IRN	M	12
Albury	IRQ	F	3
Albury	IRQ	M	5
Albury	ITA	F	49
Albury	ITA	M	64
Albury	JPN	F	21
Albury	JPN	M	8
Albury	KHM	F	3
Albury	KHM	M	3
Albury	KOR	F	25
Albury	KOR	M	25
Albury	LBN	F	3
Albury	LBN	M	12
Albury	LKA	F	61
Albury	LKA	M	51
Albury	MKD	M	3
Albury	MLT	F	10
Albury	MLT	M	22
Albury	MMR	F	7
Albury	MMR	M	3
Albury	MUS	F	8
Albury	MUS	M	3
Albury	MYS	F	35
Albury	MYS	M	17
Albury	NLD	F	141
Albury	NLD	M	154
Albury	NPL	F	97
Albury	NPL	M	105
Albury	NZL	F	369
Albury	NZL	M	428
Albury	PAK	F	21
Albury	PAK	M	23
Albury	PHL	F	239
Albury	PHL	M	120
Albury	PNG	F	16
Albury	PNG	M	18
Albury	POL	F	25
Albury	POL	M	19
Albury	SGP	F	13
Albury	SGP	M	12
Albury	THA	F	72
Albury	THA	M	21
Albury	TWN	F	6
Albury	USA	F	77
Albury	USA	M	65
Albury	VNM	F	25
Albury	VNM	M	24
Albury	ZAF	F	82
Albury	ZAF	M	79
Albury	ZWE	F	25
Albury	ZWE	M	14
Auburn		F	5449
Auburn		M	6015
Auburn	AFG	F	789
Auburn	AFG	M	2400
Auburn	AUS	F	17971
Auburn	AUS	M	19308
Auburn	BGD	F	217
Auburn	BGD	M	346
Auburn	BIH	F	89
Auburn	BIH	M	83
Auburn	CAN	F	30
Auburn	CAN	M	55
Auburn	CHL	F	93
Auburn	CHL	M	73
Auburn	CHN	F	5798
Auburn	CHN	M	5328
Auburn	DEU	F	62
Auburn	DEU	M	80
Auburn	EGY	F	158
Auburn	EGY	M	197
Auburn	FJI	F	271
Auburn	FJI	M	248
Auburn	FRA	F	20
Auburn	FRA	M	21
Auburn	GBR	F	282
Auburn	GBR	M	456
Auburn	GRC	F	104
Auburn	GRC	M	107
Auburn	HKG	F	531
Auburn	HKG	M	509
Auburn	HRV	F	171
Auburn	HRV	M	161
Auburn	IDN	F	342
Auburn	IDN	M	263
Auburn	IND	F	1352
Auburn	IND	M	1872
Auburn	IRL	F	46
Auburn	IRL	M	75
Auburn	IRN	F	287
Auburn	IRN	M	450
Auburn	IRQ	F	553
Auburn	IRQ	M	709
Auburn	ITA	F	208
Auburn	ITA	M	219
Auburn	JPN	F	76
Auburn	JPN	M	38
Auburn	KHM	F	124
Auburn	KHM	M	95
Auburn	KOR	F	2709
Auburn	KOR	M	2782
Auburn	LBN	F	1850
Auburn	LBN	M	2066
Auburn	LKA	F	664
Auburn	LKA	M	1025
Auburn	MKD	F	33
Auburn	MKD	M	37
Auburn	MLT	F	57
Auburn	MLT	M	61
Auburn	MMR	F	257
Auburn	MMR	M	316
Auburn	MUS	F	41
Auburn	MUS	M	39
Auburn	MYS	F	355
Auburn	MYS	M	355
Auburn	NLD	F	17
Auburn	NLD	M	18
Auburn	NPL	F	1453
Auburn	NPL	M	1866
Auburn	NZL	F	462
Auburn	NZL	M	542
Auburn	PAK	F	900
Auburn	PAK	M	2082
Auburn	PHL	F	1006
Auburn	PHL	M	714
Auburn	PNG	F	14
Auburn	PNG	M	12
Auburn	POL	F	70
Auburn	POL	M	54
Auburn	SGP	F	119
Auburn	SGP	M	77
Auburn	THA	F	251
Auburn	THA	M	139
Auburn	TUR	F	1186
Auburn	TUR	M	1229
Auburn	TWN	F	347
Auburn	TWN	M	411
Auburn	USA	F	68
Auburn	USA	M	92
Auburn	VNM	F	1911
Auburn	VNM	M	1593
Auburn	ZAF	F	112
Auburn	ZAF	M	117
Auburn	ZWE	F	33
Auburn	ZWE	M	32
Ballina		F	4511
Ballina		M	4257
Ballina	AFG	M	3
Ballina	AUS	F	28707
Ballina	AUS	M	26791
Ballina	BGD	M	3
Ballina	CAN	F	130
Ballina	CAN	M	117
Ballina	CHL	F	30
Ballina	CHL	M	34
Ballina	CHN	F	51
Ballina	CHN	M	29
Ballina	DEU	F	274
Ballina	DEU	M	208
Ballina	EGY	F	12
Ballina	EGY	M	7
Ballina	FJI	F	35
Ballina	FJI	M	29
Ballina	FRA	F	91
Ballina	FRA	M	82
Ballina	GBR	F	1729
Ballina	GBR	M	1706
Ballina	GRC	F	9
Ballina	GRC	M	26
Ballina	HKG	F	22
Ballina	HKG	M	20
Ballina	HRV	F	15
Ballina	HRV	M	11
Ballina	IDN	F	32
Ballina	IDN	M	24
Ballina	IND	F	72
Ballina	IND	M	102
Ballina	IRL	F	70
Ballina	IRL	M	77
Ballina	IRN	F	11
Ballina	IRN	M	11
Ballina	ITA	F	86
Ballina	ITA	M	139
Ballina	JPN	F	145
Ballina	JPN	M	54
Ballina	KHM	F	7
Ballina	KOR	F	20
Ballina	KOR	M	21
Ballina	LBN	F	3
Ballina	LBN	M	8
Ballina	LKA	F	21
Ballina	LKA	M	24
Ballina	MKD	F	3
Ballina	MKD	M	6
Ballina	MLT	F	24
Ballina	MLT	M	20
Ballina	MMR	F	4
Ballina	MMR	M	3
Ballina	MUS	F	7
Ballina	MUS	M	10
Ballina	MYS	F	46
Ballina	MYS	M	31
Ballina	NLD	F	171
Ballina	NLD	M	132
Ballina	NPL	F	3
Ballina	NPL	M	7
Ballina	NZL	F	730
