SED_NAME16	Ancestry	responses
Albury		6338
Albury	Australian	32170
Albury	Australian Aboriginal	255
Albury	Chinese	476
Albury	Croatian	218
Albury	Dutch	1195
Albury	English	30930
Albury	Filipino	441
Albury	French	301
Albury	German	5862
Albury	Greek	374
Albury	Hungarian	194
Albury	Indian	735
Albury	Irish	10551
Albury	Italian	1587
Albury	Korean	58
Albury	Lebanese	174
Albury	Macedonian	24
Albury	Maltese	180
Albury	Maori	224
Albury	NZ	448
Albury	(Other)	3612
Albury	Polish	394
Albury	Russian	120
Albury	Scottish	8751
Albury	Serbian	108
Albury	South African	114
Albury	Spanish	208
Albury	Sri Lankan	124
Albury	Turkish	11
Albury	Vietnamese	74
Albury	Welsh	380
Auburn		9029
Auburn	Australian	8601
Auburn	Australian Aboriginal	78
Auburn	Chinese	21372
Auburn	Croatian	769
Auburn	Dutch	193
Auburn	English	8223
Auburn	Filipino	2244
Auburn	French	217
Auburn	German	677
Auburn	Greek	713
Auburn	Hungarian	115
Auburn	Indian	4508
Auburn	Irish	2170
Auburn	Italian	1640
Auburn	Korean	6735
Auburn	Lebanese	10429
Auburn	Macedonian	135
Auburn	Maltese	295
Auburn	Maori	302
Auburn	NZ	273
Auburn	(Other)	26747
Auburn	Polish	336
Auburn	Russian	451
Auburn	Scottish	1481
Auburn	Serbian	170
Auburn	South African	139
Auburn	Spanish	487
Auburn	Sri Lankan	1038
Auburn	Turkish	4817
Auburn	Vietnamese	2787
Auburn	Welsh	122
Ballina		7114
Ballina	Australian	27466
Ballina	Australian Aboriginal	351
Ballina	Chinese	490
Ballina	Croatian	138
Ballina	Dutch	1160
Ballina	English	30680
Ballina	Filipino	254
Ballina	French	703
Ballina	German	3532
Ballina	Greek	392
Ballina	Hungarian	201
Ballina	Indian	361
Ballina	Irish	10752
Ballina	Italian	2102
Ballina	Korean	59
Ballina	Lebanese	125
Ballina	Macedonian	36
Ballina	Maltese	220
Ballina	Maori	219
Ballina	NZ	678
Ballina	(Other)	4567
Ballina	Polish	452
Ballina	Russian	233
Ballina	Scottish	8576
Ballina	Serbian	42
Ballina	South African	300
Ballina	Spanish	314
Ballina	Sri Lankan	74
Ballina	Turkish	50
Ballina	Vietnamese	73
Ballina	Welsh	564
Balmain		7306
Balmain	Australian	19895
Balmain	Australian Aboriginal	204
Balmain	Chinese	7786
Balmain	Croatian	446
Balmain	Dutch	1092
Balmain	English	26946
Balmain	Filipino	730
Balmain	French	944
Balmain	German	3024
Balmain	Greek	1690
Balmain	Hungarian	405
Balmain	Indian	1278
Balmain	Irish	11911
Balmain	Italian	4534
