SSC_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SSC10113,18,0,3,0,0,0,0,23
SSC10114,589,32,13,3,0,0,0,643
SSC10115,0,0,0,0,0,0,0,0
SSC10116,167,8,8,4,0,0,0,190
SSC10117,19,0,0,0,0,0,0,18
SSC10118,45,4,3,0,0,0,0,58
SSC10119,24,0,0,0,0,0,0,22
SSC10120,9,0,0,0,0,0,0,9
SSC10121,0,0,0,0,0,0,0,0
SSC10122,0,0,0,0,0,0,0,0
SSC10123,4,0,0,0,0,0,0,5
SSC10124,0,0,0,0,0,0,0,0
SSC10125,0,0,0,0,0,0,0,0
SSC10126,0,0,0,0,0,0,0,0
SSC10127,0,0,0,0,0,0,0,0
SSC10128,0,0,0,0,0,0,0,0
SSC10129,9,0,0,0,0,0,0,10
SSC10130,17,0,0,3,0,0,0,25
SSC10131,0,0,0,0,0,0,0,0
SSC10132,22,0,0,0,0,0,0,26
SSC10133,0,0,0,0,0,0,0,0
SSC10134,3,0,0,0,0,0,0,3
SSC10135,3,0,0,0,0,0,0,3
SSC10136,3,0,0,0,0,0,0,6
SSC10137,4,0,0,0,0,0,0,3
SSC10138,3,0,0,0,0,0,0,4
SSC10139,3,0,0,0,0,0,0,3
SSC10140,0,0,0,0,0,0,0,0
SSC10141,0,0,0,0,0,0,0,0
SSC10142,4,0,0,0,0,0,0,5
SSC10143,49,12,4,0,0,0,0,62
SSC10144,11,0,0,0,0,0,0,11
SSC10145,83,12,9,0,0,0,0,103
SSC10146,4,0,0,0,0,0,0,4
SSC10147,24,3,0,0,0,0,0,33
SSC10148,3,0,0,0,0,0,0,3
SSC10149,0,0,0,0,0,0,0,0
SSC10150,4,0,0,0,0,0,0,4
SSC10151,5,0,0,0,0,0,0,5
SSC10152,9,0,0,0,0,0,0,7
SSC10153,1014,55,15,6,0,0,0,1087
SSC10154,578,20,12,0,0,0,0,609
SSC10155,672,34,24,3,0,0,0,731
SSC10156,4,0,0,0,0,0,0,4
SSC10157,7,0,0,0,0,0,0,13
SSC10158,0,0,0,0,0,0,0,0
SSC10159,17,0,0,0,0,0,0,16
SSC10160,10,0,0,0,0,0,0,8
SSC10161,15,3,0,0,0,0,0,17
SSC10162,439,51,28,10,0,0,3,525
SSC10163,0,0,0,0,0,0,0,0
SSC10164,1065,62,19,3,0,0,3,1151
SSC10165,187,15,6,0,0,0,0,209
SSC10166,85,9,0,0,0,0,0,95
SSC10167,57,7,0,0,0,0,0,72
SSC10168,113,7,11,0,0,0,0,128
SSC10169,3,0,0,0,0,0,0,3
SSC10170,0,0,0,0,0,0,0,0
SSC10171,14,0,0,0,0,0,0,13
SSC10172,0,0,0,0,0,0,0,0
SSC10173,75,12,0,0,0,0,0,87
SSC10174,228,11,12,3,0,0,0,250
SSC10175,4,0,0,0,0,0,0,4
SSC10176,10,0,0,0,0,0,0,12
SSC10177,779,50,20,10,0,0,3,857
SSC10178,408,17,14,7,0,0,0,439
SSC10179,0,0,0,0,0,0,0,0
SSC10180,3666,173,87,98,8,0,14,4050
SSC10181,0,0,0,0,0,0,0,0
SSC10182,3,0,0,0,0,0,0,3
SSC10183,11,0,0,0,0,0,0,13
SSC10184,3,0,0,0,0,0,0,4
SSC10185,1301,131,80,18,0,0,6,1540
SSC10186,0,3,0,0,0,0,0,3
SSC10187,116,9,0,0,0,0,0,122
SSC10188,3,0,0,0,0,0,0,3
SSC10189,0,0,0,0,0,0,0,3
SSC10190,50,4,0,0,0,0,0,57
SSC10191,4,0,0,0,0,0,0,4
SSC10192,0,0,0,0,0,0,0,0
SSC10193,696,39,18,6,0,0,0,765
SSC10194,235,8,12,3,0,0,0,261
SSC10195,321,8,3,3,0,0,0,342
SSC10196,307,13,9,3,0,0,0,336
SSC10197,51,5,4,0,0,0,0,61
SSC10198,477,50,30,3,0,0,3,565
SSC10199,95,8,3,0,0,0,0,106
SSC10200,0,0,0,0,0,0,0,0
SSC10201,12,0,0,0,0,0,0,11
SSC10202,38,0,3,0,0,0,0,43
SSC10203,0,0,0,0,0,0,0,0
SSC10204,179,27,22,3,0,0,3,238
SSC10205,155,11,9,0,0,0,0,186
SSC10206,79,10,3,0,0,0,3,102
SSC10207,522,54,42,12,3,0,4,641
SSC10208,75,5,3,0,0,0,0,90
SSC10209,17,0,0,0,0,0,0,19
SSC10210,6,0,0,0,0,0,0,6
SSC10211,0,0,0,0,0,0,0,0
SSC10212,0,0,0,0,0,0,0,0
SSC10213,20,0,0,0,0,0,0,21
SSC10214,0,0,0,0,0,0,0,0
SSC10215,0,0,0,0,0,0,0,4
SSC10216,28,3,3,0,0,0,0,32
SSC10217,0,0,0,0,0,0,0,0
SSC10218,22,0,3,0,0,0,0,21
SSC10219,0,0,0,0,0,0,0,0
SSC10220,11,0,0,0,0,0,0,11
SSC10221,3,0,0,0,0,0,0,3
SSC10222,6,0,0,0,0,0,0,6
SSC10223,121,9,7,0,0,0,0,144
SSC10224,1106,55,25,22,0,0,11,1225
SSC10225,0,0,0,0,0,0,0,0
SSC10226,4,0,0,0,0,0,0,5
SSC10227,1161,86,61,11,0,0,4,1326
SSC10228,86,12,9,3,0,0,0,111
SSC10229,48,4,8,3,0,0,0,68
SSC10230,9,0,0,0,0,0,0,9
SSC10231,383,36,21,3,0,0,3,449
SSC10232,81,8,8,0,0,0,0,96
SSC10233,5617,232,102,64,4,0,12,6028
SSC10234,26,0,0,0,0,0,0,30
SSC10235,50,3,8,3,0,0,0,63
SSC10236,0,0,0,0,0,0,0,0
SSC10237,377,21,8,7,0,0,0,418
SSC10238,1093,57,26,11,0,0,0,1199
SSC10239,81,11,3,0,0,0,0,90
SSC10240,6,0,0,0,0,0,0,7
SSC10241,6,0,0,0,0,0,0,6
SSC10242,6,0,0,0,0,0,0,10
SSC10243,1572,66,53,23,0,3,0,1717
SSC10244,12,0,0,0,0,0,0,17
SSC10245,22,0,0,3,0,0,0,26
SSC10246,3,0,0,0,0,0,0,6
SSC10247,17,0,0,0,0,0,0,21
SSC10248,58,7,3,3,0,0,0,71
SSC10249,1433,62,14,22,0,0,0,1539
SSC10250,0,0,0,0,0,0,0,0
SSC10251,42,4,3,0,0,0,0,50
SSC10252,0,0,0,0,0,0,0,3
SSC10253,357,37,34,5,0,0,4,435
SSC10254,13,0,0,0,0,0,0,13
SSC10255,0,0,0,0,0,0,0,3
SSC10256,9,0,0,0,0,0,0,9
SSC10257,848,39,10,12,3,0,0,903
SSC10258,17,3,3,0,0,0,0,26
SSC10259,0,0,0,0,0,0,0,0
SSC10260,17,0,0,0,0,0,0,22
SSC10261,65,5,4,0,0,0,0,76
SSC10262,3,0,0,0,0,0,0,4
SSC10263,1322,44,29,14,3,0,0,1411
SSC10264,289,28,13,7,0,3,11,357
SSC10265,12,3,0,0,0,0,0,8
SSC10266,33,0,0,0,0,0,0,35
SSC10267,14,0,0,0,0,0,0,15
SSC10268,209,11,6,4,3,0,5,239
SSC10269,69,13,3,0,0,0,0,89
SSC10270,17,3,0,0,0,0,0,19
SSC10271,1178,51,32,3,0,0,3,1264
SSC10272,11,0,0,0,0,0,0,13
SSC10273,333,28,20,4,0,0,3,386
SSC10274,18,0,0,0,0,0,0,18
SSC10275,3,0,0,0,0,0,0,3
SSC10276,634,59,30,9,0,0,3,725
SSC10277,686,70,37,9,0,0,7,809
SSC10278,76,11,9,0,0,0,0,93
SSC10279,1431,69,47,18,0,0,6,1569
SSC10280,23,4,0,0,0,0,0,28
SSC10281,0,0,0,0,0,0,0,0
SSC10282,0,0,0,0,0,0,0,0
SSC10283,1181,60,25,10,0,0,8,1285
SSC10284,39,0,4,0,0,0,0,46
SSC10285,11,0,0,0,0,0,0,13
SSC10286,11,0,0,0,0,0,0,16
SSC10287,12,0,0,0,0,0,0,8
SSC10288,3,0,0,0,0,0,0,6
SSC10289,33,11,0,0,0,0,0,37
SSC10290,18,3,0,0,0,0,0,14
SSC10291,19,0,0,0,0,0,0,21
SSC10292,4,0,0,0,0,0,0,8
SSC10293,12,0,0,0,0,0,0,12
SSC10294,5,0,0,0,0,0,0,3
SSC10295,0,0,0,0,0,0,0,0
SSC10296,5,0,0,0,0,0,0,5
SSC10297,354,20,18,0,0,0,9,402
SSC10298,11,0,0,0,0,0,0,19
SSC10299,1117,50,29,29,9,3,10,1247
SSC10300,8,0,0,0,0,0,0,8
SSC10301,247,27,16,0,0,0,3,292
SSC10302,15,4,0,0,0,0,0,16
SSC10303,708,59,47,9,0,3,11,827
SSC10304,883,92,64,10,3,0,12,1065
SSC10305,148,7,5,0,0,0,0,169
SSC10306,0,0,0,0,0,0,0,0
SSC10307,95,5,10,0,0,0,4,115
SSC10308,750,35,13,6,0,0,0,797
SSC10309,0,0,0,0,0,0,0,0
SSC10310,819,48,26,3,0,0,0,893
SSC10311,5,0,0,0,0,0,0,7
SSC10312,22,5,0,0,0,0,0,27
SSC10313,27,3,0,0,0,0,0,30
SSC10314,10,0,0,0,0,0,0,8
SSC10315,0,0,0,0,0,0,0,0
SSC10316,120,8,9,0,0,0,0,135
SSC10317,5,0,0,0,0,0,0,8
SSC10318,91,6,0,0,0,0,0,107
SSC10319,30,0,0,0,0,0,0,30
SSC10320,66,0,0,0,0,0,0,70
SSC10321,3,0,0,0,0,0,0,4
SSC10322,228,15,8,8,0,0,3,253
SSC10323,3,0,0,0,0,0,0,7
SSC10324,0,0,0,0,0,0,0,0
SSC10325,15,3,0,0,0,0,0,16
SSC10326,3,0,0,0,0,0,0,3
SSC10327,14,0,3,0,0,0,0,14
SSC10328,14,3,0,0,0,0,0,21
SSC10329,3,0,0,0,0,0,0,5
SSC10330,332,19,5,0,0,0,3,361
SSC10331,1303,64,29,21,3,0,4,1418
SSC10332,4,0,0,0,0,0,0,4
SSC10333,56,7,0,0,0,0,0,66
SSC10334,2469,99,54,28,0,0,4,2656
SSC10335,523,22,7,10,0,0,0,563
SSC10336,12,0,0,0,0,0,0,12
SSC10337,10,0,0,0,0,0,0,13
SSC10338,5,0,0,0,0,0,0,10
SSC10339,4,0,0,0,0,0,0,4
SSC10340,236,26,32,15,3,0,4,315
SSC10341,12,0,0,0,0,0,0,12
SSC10342,3,0,0,0,0,0,0,3
SSC10343,5,0,0,0,0,0,0,10
SSC10344,0,0,0,0,0,0,0,0
SSC10345,6,0,3,0,0,0,0,16
SSC10346,14,0,0,0,0,0,0,20
SSC10347,40,6,3,3,0,0,0,53
SSC10348,320,36,21,3,0,0,3,382
SSC10349,64,0,4,0,0,0,0,71
SSC10350,32,0,0,0,0,0,0,32
SSC10351,500,34,22,8,0,0,0,567
SSC10352,5,0,0,0,0,0,0,5
SSC10353,0,0,0,0,0,0,0,0
SSC10354,15,0,0,0,0,0,0,15
SSC10355,20,0,0,0,0,0,0,23
SSC10356,6,3,0,0,0,0,0,4
SSC10357,25,3,0,0,0,0,0,32
SSC10358,70,6,3,0,0,0,0,80
SSC10359,0,0,0,0,0,0,0,0
SSC10360,8,0,0,0,0,0,0,11
SSC10361,10,4,0,0,0,0,0,12
SSC10362,51,3,0,0,0,0,0,62
SSC10363,20,0,0,0,0,0,0,27
SSC10364,0,0,0,0,0,0,0,3
SSC10365,68,3,10,0,0,0,0,86
SSC10366,3,0,0,0,0,0,0,3
SSC10367,7,3,0,0,0,0,0,14
SSC10368,4,0,0,0,0,0,0,4
SSC10369,14,0,0,0,0,0,0,15
SSC10370,32,5,0,0,0,0,0,40
SSC10371,17,0,0,0,0,0,0,21
SSC10372,34,0,3,0,0,0,0,37
SSC10373,21,0,0,0,0,0,0,17
SSC10374,390,12,10,4,0,0,0,419
SSC10375,0,0,0,0,0,0,0,0
SSC10376,8,0,0,0,0,0,0,8
SSC10377,149,17,4,0,0,0,0,167
SSC10378,6,0,0,0,0,0,0,6
SSC10379,376,18,11,15,0,0,0,423
SSC10380,28,3,0,0,0,0,0,31
SSC10381,16,0,0,0,0,0,0,16
SSC10382,5,0,0,0,0,0,0,5
SSC10383,4,0,0,0,0,0,0,4
SSC10384,49,10,3,0,0,0,0,57
SSC10385,75,7,3,0,0,0,0,86
SSC10386,3,0,0,0,0,0,0,3
SSC10387,28,6,0,0,0,0,0,34
SSC10388,18,4,0,0,0,0,0,25
SSC10389,15,0,0,0,0,0,0,21
SSC10390,254,32,22,4,3,0,3,319
SSC10391,391,26,20,3,3,0,3,441
SSC10392,260,12,21,14,0,0,4,312
SSC10393,310,40,9,3,0,0,3,367
SSC10394,0,0,0,0,0,0,0,0
SSC10395,7,3,0,0,0,0,0,12
SSC10396,172,17,4,0,0,0,0,200
SSC10397,5776,314,209,104,5,4,31,6448
SSC10398,11,0,0,0,0,0,0,11
SSC10399,150,17,11,3,0,0,4,186
SSC10400,442,14,14,8,3,0,4,487
SSC10401,51,8,3,3,0,0,0,63
SSC10402,11,0,5,0,0,0,0,17
SSC10403,895,28,11,20,0,0,0,956
SSC10404,3,0,0,0,0,0,0,7
SSC10405,3,0,0,0,0,0,0,3
SSC10406,15,0,0,0,0,0,0,17
SSC10407,903,81,37,8,4,0,0,1033
SSC10408,7,0,0,0,0,0,0,8
SSC10409,66,8,0,0,0,0,0,73
SSC10410,288,34,18,8,0,0,3,348
SSC10411,763,78,58,10,4,0,4,909
SSC10412,17,0,0,0,0,0,0,17
SSC10413,0,0,0,0,0,0,0,0
SSC10414,58,8,4,0,0,0,0,72
SSC10415,595,75,70,14,5,0,8,763
SSC10416,5,0,0,0,0,0,0,11
SSC10417,0,0,0,0,0,0,0,0
SSC10418,3,0,0,0,0,0,0,3
SSC10419,6,0,0,0,0,0,0,6
SSC10420,14,0,0,0,0,0,0,12
SSC10421,200,14,9,0,0,0,0,222
SSC10422,481,49,29,11,0,0,6,583
SSC10423,9,0,0,0,0,0,0,10
SSC10424,8,3,0,0,0,0,0,14
SSC10425,120,6,5,0,0,0,0,132
SSC10426,0,0,0,0,0,0,0,0
SSC10427,6,0,3,0,0,0,0,9
SSC10428,8,0,0,0,0,0,0,8
SSC10429,39,0,3,4,0,0,0,46
SSC10430,4,0,0,0,0,0,0,4
SSC10431,0,0,0,0,0,0,0,0
SSC10432,8,0,3,0,0,0,0,17
SSC10433,6,0,0,0,0,0,0,6
SSC10434,51,9,7,0,0,0,0,68
SSC10435,7,0,0,0,0,0,0,7
SSC10436,9,0,0,0,0,0,0,9
SSC10437,0,0,0,0,0,0,0,0
SSC10438,21,0,0,0,0,0,0,23
SSC10439,293,28,8,3,0,0,3,341
SSC10440,4,0,0,0,0,0,0,4
SSC10441,57,7,3,4,0,0,6,80
SSC10442,82,3,3,0,0,0,0,92
SSC10443,0,0,0,0,0,0,0,0
SSC10444,20,0,0,0,0,0,0,23
SSC10445,10,0,0,0,0,0,0,10
SSC10446,0,0,0,0,0,0,0,3
SSC10447,4,0,0,0,0,0,0,8
SSC10448,7,0,0,0,0,0,0,7
SSC10449,141,15,16,3,4,0,0,171
SSC10450,113,4,4,3,0,0,3,128
SSC10451,417,25,13,3,0,0,0,465
SSC10452,0,0,0,0,0,0,0,0
SSC10453,458,54,29,6,0,0,11,558
SSC10454,0,0,0,0,0,0,0,0
SSC10455,122,10,8,3,0,0,0,142
SSC10456,16,0,0,0,0,0,0,16
SSC10457,47,3,0,0,0,0,0,51
SSC10458,12,0,0,0,0,0,0,17
SSC10459,33,0,0,0,0,0,0,36
SSC10460,8,0,0,0,0,0,0,6
SSC10461,3,0,0,0,0,0,0,3
SSC10462,3,0,0,0,0,0,0,6
SSC10463,14,3,0,0,0,0,0,14
SSC10464,738,38,12,5,0,0,0,783
SSC10465,729,44,12,0,0,0,0,784
SSC10466,0,0,0,0,0,0,0,0
SSC10467,664,42,5,10,0,0,3,727
SSC10468,314,37,21,3,4,0,4,386
SSC10469,337,14,10,5,0,0,0,370
SSC10470,290,22,16,3,0,0,4,335
SSC10471,986,44,31,32,0,0,10,1106
SSC10472,1044,38,21,31,3,3,3,1142
SSC10473,15,0,0,0,0,0,0,15
SSC10474,287,23,15,3,0,0,0,331
SSC10475,12,0,0,0,0,0,0,11
SSC10476,11,0,0,0,0,0,0,10
SSC10477,68,13,4,0,0,0,0,93
SSC10478,14,4,0,0,0,0,0,13
SSC10479,0,0,0,0,0,0,0,5
SSC10480,0,0,0,0,0,0,0,0
SSC10481,5,0,0,0,0,0,0,9
SSC10482,70,13,3,0,0,0,3,91
SSC10483,0,0,0,0,0,0,0,0
SSC10484,12,0,0,0,0,0,0,13
SSC10485,0,0,0,0,0,0,0,0
SSC10486,9,0,0,0,0,0,0,15
SSC10487,24,0,3,0,0,0,0,31
SSC10488,8,0,0,0,0,0,0,11
SSC10489,13,0,0,0,0,0,0,19
SSC10490,0,0,0,0,0,0,0,0
SSC10491,7,0,0,0,0,0,0,7
SSC10492,5,0,0,0,0,0,0,5
SSC10493,0,0,0,0,0,0,0,0
SSC10494,12,0,0,0,0,0,0,12
SSC10495,97,12,10,4,0,0,0,123
SSC10496,38,6,0,0,0,0,0,42
SSC10497,0,0,0,0,0,0,0,0
SSC10498,0,0,0,0,0,0,0,0
SSC10499,13,0,0,0,0,0,0,13
SSC10500,3,0,0,0,0,0,0,3
SSC10501,112,4,8,0,0,0,0,116
SSC10502,4,0,0,0,0,0,0,8
SSC10503,134,11,9,0,0,0,7,156
SSC10504,11,3,0,0,0,0,0,18
SSC10505,0,0,0,0,0,0,0,0
SSC10506,7,0,0,0,0,0,0,7
SSC10507,4,0,3,0,0,0,0,11
SSC10508,0,0,0,0,0,0,0,4
SSC10509,11,0,0,0,0,0,0,16
SSC10510,0,0,0,0,0,0,0,0
SSC10511,9,0,0,0,0,0,0,9
SSC10512,20,4,0,0,0,0,0,20
SSC10513,52,7,0,0,0,0,0,62
SSC10514,11,0,0,0,0,0,0,13
SSC10515,2067,73,39,35,0,0,8,2233
SSC10516,18,0,3,0,0,0,0,20
SSC10517,1361,73,40,15,0,0,7,1497
SSC10518,10,0,0,0,0,0,0,12
SSC10519,3,0,0,0,0,0,0,3
SSC10520,0,0,0,0,0,0,0,0
SSC10521,4,0,0,0,0,0,0,5
SSC10522,129,10,6,5,0,0,7,154
SSC10523,363,24,8,0,0,0,3,402
SSC10524,16,0,0,0,0,0,0,19
SSC10525,6,0,0,0,0,0,0,6
SSC10526,227,15,10,0,0,0,0,260
SSC10527,13,0,0,0,0,0,0,14
SSC10528,186,16,27,8,0,0,0,236
SSC10529,143,7,15,4,0,0,6,176
SSC10530,0,0,0,0,0,0,0,0
SSC10531,10,0,0,0,0,0,0,10
SSC10532,4,0,0,0,0,0,0,4
SSC10533,3,0,0,0,0,0,0,3
SSC10534,9,3,0,0,0,0,0,10
SSC10535,44,8,6,0,0,0,0,58
SSC10536,903,54,19,8,0,5,10,1001
SSC10537,63,4,12,3,0,0,0,82
SSC10538,0,0,0,0,0,0,0,0
SSC10539,114,6,6,3,0,0,0,132
SSC10540,5,0,0,0,0,0,0,4
SSC10541,25,0,0,3,0,0,0,25
SSC10542,0,0,0,0,0,0,0,3
SSC10543,818,83,72,19,3,0,9,1002
SSC10544,5,0,0,0,0,0,0,9
SSC10545,51,5,3,0,0,0,0,60
SSC10546,0,0,0,0,0,0,0,0
SSC10547,128,16,12,5,0,0,0,164
SSC10548,89,7,3,0,0,0,0,95
SSC10549,223,17,8,0,0,0,0,256
SSC10550,17,3,3,0,0,0,0,26
SSC10551,3,0,0,0,0,0,0,3
SSC10552,54,8,4,3,0,0,0,68
SSC10553,6,0,0,0,0,0,0,6
SSC10554,15,0,3,0,0,0,0,19
SSC10555,10,0,0,0,0,0,0,9
SSC10556,0,0,0,0,0,0,0,6
SSC10557,406,30,4,0,0,0,0,450
SSC10558,0,0,0,0,0,0,0,0
SSC10559,40,0,0,0,0,0,0,47
SSC10560,9,0,0,0,0,0,0,7
SSC10561,17,0,0,0,0,0,0,20
SSC10562,0,0,0,0,0,0,0,0
SSC10563,56,3,3,3,0,0,9,65
SSC10564,14,0,0,0,0,0,0,11
SSC10565,0,0,0,0,0,0,0,0
SSC10566,9,4,0,0,0,0,0,15
SSC10567,31,4,0,0,0,0,0,38
SSC10568,33,0,3,0,0,0,0,36
SSC10569,791,52,24,8,0,0,0,869
SSC10570,81,12,3,0,0,0,3,97
SSC10571,0,0,0,0,0,0,0,0
SSC10572,5,0,0,0,0,0,0,3
SSC10573,0,0,0,0,0,0,0,0
SSC10574,0,0,0,0,0,0,0,0
SSC10575,324,22,6,4,0,3,4,360
SSC10576,7,0,0,0,0,0,0,6
SSC10577,14,0,0,0,0,0,0,14
SSC10578,130,10,8,3,0,0,0,145
SSC10579,16,0,0,0,0,0,0,16
SSC10580,54,3,0,0,0,0,0,66
SSC10581,3,0,0,0,0,0,0,3
SSC10582,4,0,0,0,0,0,0,4
SSC10583,36,0,3,0,0,0,0,41
SSC10584,32,0,0,0,0,0,0,28
SSC10585,9,0,0,0,0,0,0,9
SSC10586,3,0,0,0,0,0,0,3
SSC10587,0,0,0,0,0,0,0,3
SSC10588,3,0,0,0,0,0,0,3
SSC10589,42,0,0,0,0,0,7,51
SSC10590,45,6,3,0,0,0,0,63
SSC10591,20,3,0,0,0,0,0,25
SSC10592,1227,122,105,12,8,0,14,1492
SSC10593,16,0,0,0,0,0,0,16
SSC10594,804,38,13,5,0,0,0,857
SSC10595,3,0,0,0,0,0,0,3
SSC10596,17,3,0,0,0,0,0,20
SSC10597,0,0,0,0,0,0,0,0
SSC10598,23,3,0,0,0,0,0,34
SSC10599,65,8,6,3,0,0,0,79
SSC10600,0,0,0,0,0,0,0,0
SSC10601,297,18,9,0,0,0,4,327
SSC10602,0,0,0,0,0,0,0,3
SSC10603,10,0,0,0,0,0,0,9
SSC10604,5,0,0,0,0,0,0,5
SSC10605,10,0,0,0,0,0,0,13
SSC10606,14,0,0,0,0,0,0,11
SSC10607,7,0,0,0,0,0,0,7
SSC10608,123,13,7,4,0,0,0,146
SSC10609,43,3,3,0,0,0,0,50
SSC10610,12,0,0,0,0,0,0,11
SSC10611,3,0,0,0,0,0,0,3
SSC10612,32,3,0,0,0,0,0,38
SSC10613,20,3,3,0,0,0,0,23
SSC10614,9,0,0,3,0,0,0,6
SSC10615,0,0,0,0,0,0,0,4
SSC10616,0,0,0,0,0,0,0,0
SSC10617,3,0,0,0,0,0,0,3
SSC10618,14,0,0,0,0,0,0,13
