SSC_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SSC10249,174,28,324,1872,2182,1141,739,1389,255,7579
SSC10250,0,0,0,0,0,0,0,0,0,0
SSC10251,0,0,0,71,93,47,19,74,35,332
SSC10252,0,0,0,3,0,7,0,0,0,8
SSC10253,95,34,174,700,955,473,447,790,391,3751
SSC10254,0,0,3,17,16,15,10,5,6,70
SSC10255,0,0,0,6,4,5,0,4,7,18
SSC10256,0,0,0,9,21,21,12,24,19,111
SSC10257,72,9,136,1168,1126,514,433,1521,292,5049
SSC10258,0,0,0,36,38,18,14,13,16,138
SSC10259,0,0,0,3,0,3,3,8,7,24
SSC10260,3,0,3,27,31,10,4,4,3,86
SSC10261,3,0,8,101,124,62,50,84,33,458
SSC10262,0,0,0,11,11,3,12,3,0,42
SSC10263,28,0,47,1670,1678,779,585,1448,262,6423
SSC10264,32,11,75,619,762,402,307,866,299,3254
SSC10265,0,0,0,25,19,9,15,8,11,87
SSC10266,0,0,5,55,52,31,35,51,39,256
SSC10267,4,0,4,15,28,27,18,8,19,114
SSC10268,7,3,16,236,409,203,192,399,137,1581
SSC10269,3,3,8,120,176,96,68,135,41,631
SSC10270,0,0,0,33,54,41,42,41,17,225
SSC10271,67,33,194,2741,2224,801,520,1692,804,8774
SSC10272,0,0,0,16,28,14,12,17,20,96
SSC10273,57,14,104,553,890,469,365,395,252,2923
SSC10274,0,0,3,19,25,16,13,15,0,89
SSC10275,0,0,0,0,8,7,4,0,3,26
SSC10276,97,89,304,1246,1583,786,584,1308,491,5999
SSC10277,42,94,185,1127,1337,675,566,981,388,5082
SSC10278,8,3,18,173,217,97,85,253,80,899
SSC10279,150,21,252,2167,2138,955,866,3504,845,10461
SSC10280,0,0,8,36,52,24,32,56,20,218
SSC10281,0,0,0,3,4,3,4,5,0,19
SSC10282,0,0,0,0,3,0,0,0,0,9
SSC10283,264,91,494,1645,1999,926,591,1478,432,7072
SSC10284,3,3,9,65,123,70,81,78,52,471
SSC10285,0,0,0,16,20,13,15,9,17,81
SSC10286,0,3,4,26,28,16,10,28,24,133
SSC10287,0,0,0,21,27,12,18,34,43,146
SSC10288,0,0,0,11,20,14,15,11,7,75
SSC10289,5,3,11,85,102,47,43,81,61,421
SSC10290,0,0,0,17,34,15,25,27,14,131
SSC10291,0,0,0,23,34,17,33,29,16,153
SSC10292,0,0,0,10,20,13,7,0,4,52
SSC10293,0,0,3,20,18,14,7,16,20,87
SSC10294,0,0,0,5,5,0,3,0,5,18
SSC10295,0,0,3,0,6,0,0,0,3,13
SSC10296,0,0,0,8,9,11,4,3,0,35
SSC10297,8,0,20,455,609,282,226,347,70,1983
SSC10298,0,0,4,29,40,23,18,28,24,168
SSC10299,66,21,128,1570,1451,600,644,2768,410,7444
SSC10300,0,0,4,14,20,15,12,16,6,81
SSC10301,18,15,73,547,665,330,322,573,200,2632
SSC10302,0,0,3,24,41,20,16,21,7,137
SSC10303,87,27,171,1085,1396,661,623,1866,533,6160
SSC10304,120,79,276,1439,1825,840,651,1425,457,6631
SSC10305,10,0,7,176,214,99,115,224,1069,1905
SSC10306,0,0,0,0,0,0,0,0,0,0
SSC10307,15,8,55,215,338,222,171,229,142,1317
SSC10308,15,8,42,975,1153,544,364,537,119,3687
SSC10309,0,0,0,0,3,5,3,0,0,15
SSC10310,25,4,57,962,1368,592,433,545,130,4031
SSC10311,0,0,3,9,12,7,6,11,55,107
SSC10312,3,0,9,73,98,45,42,84,45,388
SSC10313,3,4,10,40,65,46,38,57,19,261
SSC10314,0,0,3,8,17,6,12,13,5,68
SSC10315,0,0,0,0,0,4,3,9,14,30
SSC10316,12,4,20,180,278,116,98,191,101,965
SSC10317,0,0,0,3,10,4,3,3,12,30
SSC10318,37,14,61,184,239,120,128,247,155,1074
SSC10319,0,0,3,39,45,30,26,46,8,190
SSC10320,0,3,9,106,175,78,64,65,75,564
SSC10321,0,0,0,0,6,3,3,3,4,26
SSC10322,102,26,191,397,636,370,253,439,183,2270
SSC10323,0,0,0,15,7,7,8,12,12,58
SSC10324,0,0,0,3,12,3,0,0,6,28
SSC10325,0,0,3,19,32,12,11,21,17,114
SSC10326,0,0,0,7,7,3,6,8,7,41
SSC10327,0,0,0,18,26,7,16,18,16,99
SSC10328,0,0,0,21,39,24,17,25,17,145
SSC10329,0,0,7,7,9,3,8,3,5,41
SSC10330,31,14,61,450,483,191,182,490,134,1930
SSC10331,94,34,272,1945,1966,905,738,2379,526,8454
SSC10332,0,0,0,12,20,3,10,9,15,66
SSC10333,6,4,6,75,136,49,58,34,35,395
SSC10334,345,420,903,3295,3533,1501,1262,4864,1696,16152
SSC10335,52,15,119,752,837,411,288,860,208,3346
SSC10336,0,0,0,10,17,8,4,10,0,47
SSC10337,0,0,3,9,10,9,15,12,14,71
SSC10338,0,0,3,17,19,9,8,20,3,77
SSC10339,0,0,0,6,3,8,0,6,0,28
SSC10340,16,0,18,433,502,233,291,1156,508,3119
SSC10341,0,0,3,10,22,14,16,18,9,89
SSC10342,0,0,0,7,15,4,4,8,0,35
SSC10343,0,0,0,3,8,6,7,6,8,41
SSC10344,0,0,3,0,5,0,0,3,0,14
SSC10345,0,0,3,15,29,14,4,16,13,92
SSC10346,0,0,4,24,52,29,26,43,40,214
SSC10347,3,0,5,66,98,49,34,61,36,339
SSC10348,25,8,52,581,781,362,269,502,236,2730
SSC10349,7,0,8,99,100,47,42,91,47,426
SSC10350,0,0,7,47,72,35,14,27,7,209
SSC10351,13,4,51,714,887,393,284,358,108,2736
SSC10352,0,0,4,12,12,3,3,8,0,33
SSC10353,0,0,0,4,0,0,0,0,0,5
SSC10354,0,0,0,21,17,14,20,23,22,120
SSC10355,0,0,3,38,47,26,10,29,29,181
SSC10356,0,0,0,10,17,4,10,6,3,50
SSC10357,0,0,3,16,49,24,25,27,7,151
SSC10358,0,0,8,99,160,72,70,81,62,547
SSC10359,0,0,0,0,0,0,0,0,0,0
SSC10360,0,0,0,19,17,12,3,15,22,91
SSC10361,0,0,0,19,35,14,8,11,9,95
SSC10362,4,3,13,81,116,63,60,76,41,429
SSC10363,4,0,7,36,51,26,24,34,44,219
SSC10364,0,0,0,0,8,3,0,3,9,27
SSC10365,32,23,81,136,275,155,163,316,207,1250
SSC10366,0,0,0,7,4,0,3,4,6,28
SSC10367,0,0,3,29,50,45,22,20,20,186
SSC10368,0,0,0,3,10,0,3,3,0,26
SSC10369,0,0,0,14,32,8,9,20,25,115
SSC10370,0,0,4,53,80,32,35,31,21,248
SSC10371,0,0,5,41,52,23,18,15,22,177
SSC10372,8,3,13,77,95,59,81,133,89,538
SSC10373,0,0,0,19,30,8,13,21,3,95
SSC10374,12,3,27,747,872,325,186,297,235,2665
SSC10375,0,0,3,3,10,9,3,7,8,40
SSC10376,0,0,0,9,5,5,3,9,3,38
SSC10377,21,11,52,522,450,164,134,622,142,2031
SSC10378,0,0,0,3,6,3,3,11,13,40
SSC10379,16,16,63,551,516,249,234,747,198,2495
SSC10380,0,0,3,39,62,28,21,19,32,208
SSC10381,0,0,3,34,43,17,10,26,22,148
SSC10382,0,0,0,6,10,12,8,3,3,36
SSC10383,0,0,0,0,3,0,3,0,0,11
SSC10384,11,5,32,118,216,161,99,135,52,775
SSC10385,0,0,4,87,111,69,60,79,42,459
SSC10386,0,0,4,4,3,0,3,6,4,18
SSC10387,0,0,0,47,63,39,35,38,23,243
SSC10388,0,0,0,37,33,22,17,17,16,146
SSC10389,0,0,4,38,27,18,30,45,29,184
SSC10390,33,4,71,463,626,303,255,483,129,2255
SSC10391,22,6,50,586,657,339,269,705,166,2723
SSC10392,4,6,25,409,462,189,277,877,335,2546
SSC10393,33,8,84,773,1166,541,391,550,293,3710
SSC10394,0,0,0,3,5,3,0,0,5,24
SSC10395,0,0,0,27,26,22,17,37,23,152
SSC10396,26,15,61,278,406,196,163,390,124,1567
SSC10397,442,151,844,7705,8397,3609,3424,11591,2786,37518
SSC10398,0,0,0,14,19,16,12,12,20,93
SSC10399,19,17,61,337,422,194,152,323,162,1590
SSC10400,3,0,10,534,559,206,189,666,85,2240
SSC10401,0,0,4,76,74,23,16,105,20,321
SSC10402,0,0,0,17,43,19,12,16,22,123
SSC10403,132,23,234,1238,1132,605,437,1389,255,5056
SSC10404,0,0,0,11,13,6,4,9,7,49
SSC10405,0,0,0,6,4,7,6,5,9,36
SSC10406,0,0,3,27,43,18,25,33,10,160
SSC10407,36,14,99,1432,1847,901,636,810,313,5943
SSC10408,0,0,0,19,25,20,24,16,10,110
SSC10409,0,3,3,81,111,46,50,57,48,394
SSC10410,50,17,105,536,625,349,292,602,282,2690
SSC10411,27,3,39,1263,1317,581,496,996,185,4839
SSC10412,0,0,3,24,29,9,16,15,14,104
SSC10413,0,0,0,0,0,0,0,0,0,0
SSC10414,13,11,30,183,221,102,98,190,88,893
SSC10415,29,17,62,1015,1204,564,573,1122,330,4810
SSC10416,0,0,0,33,51,25,28,25,40,201
SSC10417,0,0,0,0,0,0,0,0,0,0
SSC10418,0,0,0,4,3,5,0,4,8,22
SSC10419,0,0,0,11,17,3,8,12,7,52
SSC10420,0,0,7,28,42,28,24,34,7,160
SSC10421,7,3,29,296,390,205,155,205,116,1362
SSC10422,39,18,91,848,1229,534,461,863,253,4194
SSC10423,0,0,0,7,12,0,5,8,3,45
SSC10424,0,0,5,27,38,17,19,13,11,117
SSC10425,4,4,13,133,243,116,90,129,41,767
SSC10426,0,0,0,0,0,0,0,3,3,14
SSC10427,0,0,0,16,28,23,28,13,24,134
SSC10428,0,0,3,12,16,9,15,10,12,70
SSC10429,0,0,0,86,105,32,37,73,49,384
SSC10430,0,0,0,0,4,0,0,0,0,11
SSC10431,0,0,0,0,0,0,0,0,0,3
SSC10432,0,0,0,16,31,17,13,17,23,121
SSC10433,0,0,0,4,5,10,8,8,13,41
SSC10434,3,0,8,117,160,95,94,122,51,629
SSC10435,0,0,3,21,9,9,7,7,16,71
SSC10436,0,0,0,19,21,9,11,10,17,86
SSC10437,0,0,0,3,0,0,0,3,0,8
SSC10438,0,0,9,36,43,33,22,42,51,224
SSC10439,18,8,46,554,687,329,214,436,224,2443
SSC10440,0,0,0,13,10,12,16,16,3,72
SSC10441,3,0,3,111,106,108,76,245,87,734
SSC10442,16,9,30,156,194,112,94,224,129,914
SSC10443,0,0,0,0,0,0,0,0,0,0
SSC10444,0,0,3,24,38,12,18,26,22,140
SSC10445,3,0,3,9,19,12,3,11,0,52
SSC10446,0,0,0,3,10,4,11,8,3,37
SSC10447,0,0,0,19,18,6,5,5,3,57
SSC10448,0,0,0,14,19,14,10,13,0,79
SSC10449,11,33,65,310,375,231,190,401,220,1727
SSC10450,7,0,11,184,247,122,99,97,46,799
SSC10451,12,4,32,479,679,339,288,345,109,2239
SSC10452,0,0,0,0,0,0,0,0,0,0
SSC10453,46,72,198,1053,1378,701,597,1228,583,5537
SSC10454,0,0,0,0,3,0,0,3,10,14
SSC10455,31,10,56,193,291,150,133,250,122,1132
SSC10456,0,0,6,13,24,13,16,11,18,90
SSC10457,5,0,5,54,71,46,34,36,22,273
SSC10458,0,0,3,21,16,22,13,13,16,95
SSC10459,3,0,3,48,43,35,39,46,31,245
SSC10460,0,0,0,9,13,14,3,3,4,50
SSC10461,0,0,0,3,10,6,0,3,3,23
SSC10462,0,0,0,5,3,7,4,6,3,28
SSC10463,5,7,15,35,64,35,46,79,59,322
SSC10464,65,36,186,2901,2026,514,303,1926,1149,8817
SSC10465,76,45,178,3590,2249,575,346,1972,1635,10364
SSC10466,0,0,0,0,0,0,0,0,0,0
SSC10467,86,57,259,2460,1875,533,346,1815,1234,8265
SSC10468,39,15,79,598,789,448,297,602,198,2932
SSC10469,3,0,16,472,584,268,187,275,52,1836
SSC10470,12,8,46,486,715,361,283,410,182,2448
SSC10471,131,7,162,1408,1220,575,618,2736,428,6986
SSC10472,26,8,54,1261,1216,551,483,2124,259,5894
SSC10473,0,0,0,14,18,5,15,20,10,84
SSC10474,13,3,32,414,575,308,270,357,138,2066
SSC10475,0,0,0,9,42,12,14,29,44,152
SSC10476,0,0,0,17,17,6,5,9,11,71
SSC10477,17,7,48,223,295,150,118,259,121,1170
SSC10478,0,0,0,32,31,17,13,25,21,139
SSC10479,0,0,0,0,3,3,6,5,4,20
SSC10480,0,0,0,0,0,0,0,0,0,0
SSC10481,0,0,0,13,12,18,12,13,0,71
SSC10482,12,0,21,200,234,114,81,218,55,892
SSC10483,0,0,0,0,0,0,3,0,0,9
SSC10484,0,0,0,11,15,7,7,23,5,83
SSC10485,0,0,0,0,0,0,0,0,0,0
SSC10486,3,0,3,11,11,8,7,17,18,72
SSC10487,0,0,3,35,75,25,25,39,30,236
SSC10488,0,0,0,11,7,6,6,5,5,42
SSC10489,0,0,0,21,44,18,17,36,16,157
SSC10490,0,0,0,5,3,0,0,4,7,20
SSC10491,0,0,0,0,8,0,3,0,5,18
SSC10492,0,0,0,7,3,4,4,3,6,33
SSC10493,0,0,0,0,0,4,8,3,0,17
SSC10494,0,0,0,15,21,17,10,17,12,81
SSC10495,42,10,75,178,249,126,128,293,76,1056
SSC10496,0,0,3,60,88,43,47,75,27,332
SSC10497,0,0,0,3,0,0,0,3,0,10
SSC10498,0,0,0,3,4,0,3,0,3,22
SSC10499,0,0,0,6,18,7,15,12,11,67
SSC10500,0,0,0,0,4,9,3,4,0,23
SSC10501,0,0,6,197,200,81,52,96,31,654
SSC10502,0,0,0,10,6,0,4,7,0,29
SSC10503,23,19,54,247,341,172,145,306,159,1366
SSC10504,0,0,3,18,45,33,17,21,30,153
SSC10505,0,0,0,0,0,0,0,0,0,0
SSC10506,0,0,0,14,25,10,4,12,6,63
SSC10507,0,0,0,10,18,16,14,16,11,85
SSC10508,0,0,0,8,8,0,4,3,4,25
SSC10509,0,0,4,15,30,15,11,8,5,83
SSC10510,0,0,0,0,0,0,0,0,0,0
SSC10511,0,0,0,11,26,14,10,8,10,76
SSC10512,0,0,3,32,39,20,28,26,9,160
SSC10513,0,0,7,66,110,57,28,57,47,372
