SSC_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
SSC11688,11,0,0,0,0,13,5,0,0,0,0,5,0,0,0,0,0,0,16,0,0,0,0,17
SSC11689,145,0,0,0,3,144,3,0,0,0,0,3,9,0,0,0,0,9,152,0,0,0,3,157
SSC11690,25,0,0,0,0,25,19,0,0,0,0,19,0,0,0,0,0,0,52,0,0,0,0,52
SSC11691,25,0,0,0,0,25,7,0,0,0,0,7,0,0,0,0,0,0,36,0,0,0,0,36
SSC11692,17,0,0,0,0,17,3,0,0,0,0,4,6,0,0,0,0,6,26,0,0,0,0,32
SSC11693,421,0,8,3,5,436,56,0,12,0,0,71,7,0,0,0,0,12,484,0,16,6,4,515
SSC11694,26,0,0,0,0,26,13,0,0,0,0,13,0,0,0,0,0,0,35,0,0,0,0,35
SSC11695,15,0,0,0,0,11,11,0,0,0,0,11,0,0,0,0,0,5,28,0,0,3,0,27
SSC11696,8,0,0,0,0,8,4,0,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,15
SSC11697,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18
SSC11698,18,0,0,0,0,18,4,0,0,0,0,4,0,0,0,0,0,0,28,0,0,0,0,28
SSC11699,9,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,0,17,0,0,0,0,17
SSC11700,31,0,0,0,6,39,7,0,0,0,3,9,4,0,0,0,0,4,44,0,0,4,10,55
SSC11701,20,0,0,0,0,20,15,0,0,0,0,15,0,0,0,0,0,4,35,0,0,0,0,34
SSC11702,44,0,0,0,0,44,44,0,0,0,0,44,3,0,0,0,0,3,93,0,0,0,0,93
SSC11703,15,0,0,6,0,21,7,0,0,5,0,12,0,0,0,0,0,0,21,0,0,11,0,30
SSC11704,729,0,0,0,0,733,35,0,0,0,0,34,15,0,0,0,0,12,779,0,0,0,3,783
SSC11705,106,0,0,0,8,113,37,0,0,0,0,36,5,0,0,0,0,5,146,0,3,0,8,152
SSC11706,29,0,0,0,0,29,3,0,0,0,0,3,0,0,0,0,0,0,28,0,0,0,0,28
SSC11707,29,0,0,0,0,29,5,0,0,0,0,6,0,0,0,0,0,6,39,0,0,0,0,40
SSC11708,52,0,0,0,0,51,12,0,0,0,0,12,0,0,0,0,0,0,68,0,0,0,0,66
SSC11709,106,0,0,0,0,110,41,0,0,0,0,41,7,0,0,0,0,4,152,0,0,0,4,161
SSC11710,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13
SSC11711,3180,547,126,3,10,3875,568,263,38,0,3,874,88,30,8,0,0,128,3837,841,180,3,18,4880
SSC11712,98,0,0,3,14,120,16,0,0,8,0,22,3,0,0,0,0,7,119,0,0,8,13,144
SSC11713,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SSC11714,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18
SSC11715,33,0,0,0,0,33,3,0,0,0,0,3,0,0,0,0,0,0,37,0,0,0,0,37
SSC11716,19,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,22
SSC11717,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12
SSC11718,1379,99,918,0,0,2398,53,3,66,0,0,125,13,0,20,0,0,34,1444,106,999,0,3,2549
SSC11719,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
SSC11720,157,21,0,0,13,188,55,14,0,0,7,76,11,5,0,0,36,48,218,42,0,0,58,311
SSC11721,1935,84,347,0,3,2367,547,61,201,0,3,805,81,4,33,0,0,119,2560,143,586,0,6,3300
SSC11722,97,132,1132,0,6,1366,11,27,173,0,0,215,7,8,34,0,3,50,117,164,1344,4,13,1640
SSC11723,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24
SSC11724,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
SSC11725,5378,493,192,36,18,6116,1517,310,148,41,8,2027,211,48,16,11,3,279,7095,852,353,87,37,8421
SSC11726,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC11727,13,0,0,0,0,13,3,0,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,14
SSC11728,6,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,12
SSC11729,90,0,0,0,0,90,8,0,0,0,0,8,0,0,0,0,0,0,102,0,0,0,0,102
SSC11730,30,0,0,0,0,30,4,0,0,0,0,4,0,0,0,0,0,0,34,0,0,0,0,34
SSC11731,56,0,0,0,0,55,28,0,0,0,0,24,0,0,0,0,0,0,81,0,0,0,0,86
SSC11732,17,0,0,0,0,17,9,0,0,0,0,9,0,0,0,0,0,0,19,0,0,0,0,19
SSC11733,2297,280,225,22,8,2833,602,196,220,8,0,1030,81,16,35,0,0,138,2981,489,480,36,15,4003
SSC11734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC11735,17,0,0,0,0,17,7,0,0,0,0,7,0,0,0,0,0,0,24,0,0,0,0,24
SSC11736,27,0,0,0,0,27,6,0,0,0,0,6,0,0,0,0,0,0,30,0,0,0,0,30
SSC11737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC11738,1536,413,1874,7,15,3848,271,66,368,0,10,718,75,15,94,3,8,196,1879,487,2339,15,29,4760
SSC11739,350,96,11,0,0,456,19,94,20,0,0,130,4,6,0,0,4,15,374,197,35,0,4,607
SSC11740,19,0,0,3,0,25,9,0,0,0,0,7,0,0,0,0,0,0,27,0,0,4,0,35
SSC11741,84,0,0,3,0,92,28,0,0,0,0,28,0,0,0,0,0,0,109,0,0,3,0,115
SSC11742,84,0,0,0,3,89,22,0,0,0,0,22,5,0,0,0,0,5,112,0,0,0,3,116
SSC11743,884,20,0,0,0,905,42,0,0,0,0,39,14,0,0,0,0,14,941,22,0,0,0,961
SSC11744,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18
SSC11745,50,4,0,0,3,59,4,0,0,0,0,12,0,0,0,0,0,0,59,9,0,0,3,69
SSC11746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC11747,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
SSC11748,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC11749,9,0,0,0,0,9,4,0,0,0,0,4,0,0,0,0,0,0,19,0,0,0,0,19
SSC11750,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,7
SSC11751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC11752,44,0,0,0,0,44,17,0,0,0,0,17,3,0,0,0,0,3,54,0,0,0,0,61
SSC11753,1796,141,94,3,4,2045,262,42,25,0,0,327,45,3,4,0,0,56,2106,193,127,4,3,2427
SSC11754,0,9,0,0,0,9,0,17,0,0,0,17,0,0,0,0,0,0,0,25,0,0,0,25
SSC11755,173,0,0,4,0,175,33,0,0,0,0,33,4,0,0,0,0,4,210,0,0,4,0,217
SSC11756,2382,447,4,0,4,2840,278,107,0,0,0,385,92,17,0,0,0,110,2752,572,4,0,4,3338
SSC11757,3502,1492,226,21,15,5261,701,401,141,3,5,1252,164,65,21,3,3,249,4363,1956,393,30,28,6766
SSC11758,32,0,0,0,0,32,4,0,0,0,0,4,0,0,0,0,0,0,34,0,0,0,0,34
SSC11759,75,0,0,0,0,75,16,0,0,0,0,13,0,0,0,0,0,0,95,0,0,0,0,90
SSC11760,42,9,0,0,3,58,13,3,0,0,0,18,5,0,0,0,0,9,59,10,0,0,3,76
SSC11761,1068,74,0,0,3,1152,153,8,0,0,3,169,33,0,0,0,0,39,1262,85,3,0,10,1360
SSC11762,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC11763,128,3,0,3,0,140,53,3,3,0,0,66,3,0,0,0,0,9,193,12,5,3,0,211
SSC11764,203,0,0,0,0,204,0,0,0,0,0,0,3,0,0,0,0,3,203,0,0,0,0,206
SSC11765,21,0,0,0,0,21,5,0,0,0,0,5,0,0,0,0,0,0,24,0,0,0,0,24
SSC11766,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
SSC11767,198,11,0,0,0,212,3,6,0,0,0,9,6,0,0,0,0,6,203,15,0,0,0,221
SSC11768,35,0,0,0,0,35,4,0,0,0,0,4,0,0,0,0,0,0,37,0,0,0,0,36
SSC11769,334,0,15,12,3,367,126,0,4,18,0,154,13,0,0,0,0,14,474,3,17,35,3,535
SSC11770,979,88,848,3,10,1927,47,4,64,0,0,118,5,0,20,0,0,30,1031,89,938,3,13,2072
SSC11771,29,0,0,0,0,29,9,0,0,0,0,9,4,0,0,0,0,4,41,0,0,0,0,41
SSC11772,11,0,0,0,0,11,3,0,0,0,0,3,0,0,0,0,0,0,20,0,0,0,0,20
SSC11773,62,0,0,0,0,62,7,0,0,0,0,9,5,0,0,0,0,5,71,0,0,0,0,73
SSC11774,1341,4,0,0,3,1351,77,0,0,0,0,77,21,0,0,0,0,21,1448,4,0,0,3,1455
SSC11775,43,0,0,0,0,48,8,0,0,0,0,8,0,0,0,0,0,0,56,0,0,0,0,51
SSC11776,731,10,4,6,0,750,264,20,3,3,0,289,40,3,0,0,0,44,1031,41,8,10,3,1085
SSC11777,70,0,0,0,0,70,24,0,0,0,0,24,3,0,0,0,0,3,99,0,0,0,0,99
SSC11778,772,7,4,3,3,791,160,0,0,0,0,163,20,0,0,0,0,20,948,9,3,3,3,972
SSC11779,17,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,24
SSC11780,21,0,0,0,0,21,10,0,0,0,0,10,3,0,0,0,0,3,37,0,0,0,0,37
SSC11781,5203,780,60,55,4,6109,789,127,12,5,0,938,113,27,6,3,0,147,6107,933,81,67,8,7201
SSC11782,3638,224,473,31,22,4387,1079,144,258,33,11,1524,159,18,61,7,0,248,4879,390,789,73,33,6158
SSC11783,26,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25
SSC11784,65,0,0,0,0,66,21,0,0,0,0,21,0,0,0,0,0,0,89,0,0,0,0,90
SSC11785,334,0,0,0,8,341,26,0,0,0,0,24,7,0,0,0,0,3,366,0,0,3,6,378
SSC11786,164,0,0,3,4,169,10,0,0,0,0,10,3,0,0,0,0,3,177,0,0,3,4,177
SSC11787,11,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,13
SSC11788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
SSC11789,13,0,0,0,0,13,0,0,0,3,0,3,3,0,0,0,0,3,14,0,0,3,0,20
SSC11790,2887,747,1308,4,15,4970,629,270,337,4,5,1248,154,43,65,0,4,263,3669,1061,1715,7,30,6478
SSC11791,902,240,8,3,5,1154,192,54,8,0,0,252,28,7,0,0,6,41,1116,300,19,3,10,1446
SSC11792,107,0,0,0,0,110,82,3,3,0,3,96,6,0,0,3,0,16,205,7,4,3,3,219
SSC11793,4,0,0,0,0,4,6,0,0,0,0,6,0,0,0,0,0,0,12,0,0,0,0,12
SSC11794,624,15,0,10,8,661,180,23,3,8,3,215,24,3,0,3,4,34,827,44,3,22,14,907
SSC11795,510,0,0,0,3,508,62,0,0,0,0,68,12,0,0,0,0,12,585,0,0,3,3,584
SSC11796,53,0,0,0,0,53,12,0,0,0,0,12,3,0,0,0,0,3,70,0,0,0,0,67
SSC11797,34,0,0,0,0,34,3,0,0,0,0,3,3,0,0,0,0,3,46,0,0,0,0,46
SSC11798,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SSC11799,11,0,0,0,0,11,6,0,0,0,0,6,0,0,0,0,0,0,19,0,0,0,0,19
SSC11800,74,0,0,0,0,78,19,0,0,0,0,21,3,0,0,0,0,3,96,0,0,0,3,97
SSC11801,132,0,0,0,0,131,29,0,0,3,0,30,5,0,0,0,0,5,159,0,0,4,0,168
SSC11802,10,0,0,0,0,10,5,0,0,0,0,3,0,0,0,0,0,0,16,0,0,0,0,15
SSC11803,401,14,3,18,3,438,163,10,12,4,0,198,27,0,4,0,0,31,587,27,18,23,9,663
SSC11804,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC11805,336,0,0,0,15,349,22,0,0,0,0,23,5,0,0,0,0,8,361,0,0,0,15,383
SSC11806,65,0,0,3,3,68,16,0,0,0,0,16,0,0,0,0,0,0,76,0,0,3,3,83
SSC11807,3,0,0,0,0,3,5,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,7
SSC11808,51,0,0,3,0,52,18,0,0,0,0,16,0,0,0,0,0,0,68,0,0,4,0,68
SSC11809,41,0,0,3,0,47,17,0,0,0,0,17,3,0,0,0,0,3,59,0,0,3,0,67
SSC11810,54,0,0,0,0,54,30,0,0,0,0,25,3,0,0,0,0,3,87,0,0,0,0,91
SSC11811,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4
SSC11812,2306,81,117,11,15,2537,784,64,112,9,5,979,89,10,12,0,3,118,3188,156,248,18,22,3630
SSC11813,199,4,0,3,3,206,44,0,0,0,0,49,0,0,0,0,0,6,248,3,0,9,3,262
SSC11814,21,0,0,0,0,21,5,0,0,0,0,5,0,0,0,0,0,0,22,0,0,0,0,22
SSC11815,21,0,0,0,0,24,0,0,0,0,0,0,4,0,0,0,0,4,29,0,0,0,0,31
SSC11816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC11817,55,0,0,4,0,59,17,0,0,0,0,17,3,0,0,0,0,3,74,0,0,4,0,83
SSC11818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC11819,15,0,0,0,0,15,12,0,0,0,0,12,0,0,0,0,0,0,27,0,0,0,0,27
SSC11820,11,0,0,0,0,11,4,0,0,0,0,4,0,0,0,0,0,0,21,0,0,0,0,21
SSC11821,30,0,0,0,0,30,3,0,0,0,0,3,0,0,0,0,0,0,35,0,0,0,0,35
SSC11822,456,8,13,0,3,475,224,5,14,0,3,243,16,0,0,0,0,18,697,11,26,0,8,737
SSC11823,29,0,0,0,0,28,26,0,0,0,0,26,5,0,0,0,0,5,55,0,0,0,0,59
SSC11824,1002,9,7,0,0,1022,155,3,0,0,0,160,29,0,0,0,0,29,1188,19,8,3,0,1214
SSC11825,462,171,225,3,0,866,93,24,28,0,0,142,9,3,0,0,0,20,563,204,256,4,3,1029
SSC11826,1165,612,727,15,8,2524,153,79,143,4,3,385,38,11,14,0,0,60,1353,699,888,21,15,2965
SSC11827,1776,148,17,0,3,1943,124,19,3,0,0,145,36,3,0,0,0,33,1935,172,23,0,3,2127
SSC11828,1365,234,138,16,14,1762,287,43,20,9,0,357,32,12,3,0,3,50,1679,284,166,22,12,2174
SSC11829,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3
SSC11830,733,5,14,12,3,770,213,0,4,21,0,244,42,0,0,0,0,46,991,9,16,31,7,1054
SSC11831,51,0,0,12,0,62,18,0,0,3,0,18,3,0,0,0,0,3,72,0,0,12,0,80
SSC11832,163,0,0,3,0,167,20,0,0,0,0,23,3,0,0,0,0,3,182,0,0,5,0,192
SSC11833,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13
SSC11834,29,0,0,0,0,29,15,0,0,0,0,15,0,0,0,0,0,0,46,0,0,0,0,46
SSC11835,161,0,0,0,0,161,23,0,0,0,0,23,3,0,0,0,0,3,187,0,0,0,0,188
SSC11836,3,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,6
SSC11837,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
SSC11838,882,401,110,22,15,1429,138,93,54,9,4,292,25,13,12,0,0,56,1051,500,172,35,18,1774
SSC11839,276,16,14,0,0,318,35,3,0,0,0,37,4,0,0,0,0,3,320,25,17,0,0,360
SSC11840,277,22,3,0,0,304,55,0,3,0,0,56,9,0,0,0,0,8,337,26,8,0,0,365
SSC11841,783,146,165,0,3,1095,107,50,268,0,3,425,15,10,29,0,0,53,908,203,459,0,3,1571
SSC11842,159,0,0,0,4,167,12,0,0,0,0,20,3,0,0,0,0,3,178,6,0,0,4,188
SSC11843,1447,163,0,0,3,1610,174,44,0,0,0,217,34,5,0,0,0,38,1655,207,0,0,3,1865
SSC11844,626,252,39,0,0,922,69,65,34,0,0,167,12,12,7,0,0,27,706,320,83,3,0,1117
SSC11845,16,0,0,0,0,13,3,0,0,0,0,7,6,0,0,0,0,6,19,0,0,0,0,26
SSC11846,38,0,0,0,0,38,10,0,0,0,0,10,0,0,0,0,0,0,51,0,0,0,0,51
SSC11847,21,0,0,0,0,21,18,0,0,3,0,22,0,0,0,0,0,0,42,0,0,3,0,42
SSC11848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC11849,64,0,0,0,0,64,11,0,0,0,0,11,0,0,0,0,0,0,76,0,0,0,0,76
SSC11850,296,3,8,0,9,310,69,3,0,0,0,72,12,0,0,0,0,12,380,3,8,0,12,400
SSC11851,496,17,0,15,5,534,240,12,0,4,0,260,40,3,0,0,7,46,780,27,0,23,9,839
SSC11852,77,0,0,0,0,79,3,0,0,0,0,3,3,0,0,0,0,3,84,3,0,0,0,86
SSC11853,36,0,0,0,0,36,4,0,0,0,0,4,0,0,0,0,0,0,47,0,0,0,0,47
SSC11854,61,0,0,0,0,62,35,0,0,0,0,37,3,0,0,0,0,3,98,0,0,0,0,100
SSC11855,13,0,0,0,0,13,5,0,0,0,0,5,0,0,0,0,0,0,19,0,0,0,0,19
SSC11856,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11
SSC11857,24,0,0,0,0,24,3,0,0,0,0,3,0,0,0,0,0,0,22,0,0,0,0,27
SSC11858,832,115,9,56,0,1005,212,45,7,46,0,306,32,5,0,3,0,43,1071,166,16,103,0,1355
SSC11859,2755,41,0,0,9,2803,146,5,0,0,0,155,35,0,0,0,0,35,2928,51,0,0,9,2988
SSC11860,123,49,1341,46,13,1576,24,8,151,5,0,196,6,3,67,0,13,88,162,61,1556,57,32,1862
SSC11861,120,0,0,5,0,129,9,0,0,6,0,19,5,0,0,0,0,5,133,0,0,12,0,152
SSC11862,17,0,0,0,0,17,3,0,0,0,0,3,3,0,0,0,0,3,24,0,0,0,0,24
SSC11863,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
SSC11864,4,0,0,0,0,4,5,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,5
SSC11865,80,0,0,0,0,83,31,0,0,0,0,31,5,0,0,0,0,5,121,0,0,0,0,121
SSC11866,1060,28,0,4,3,1094,98,0,0,0,0,101,20,0,0,0,0,25,1180,34,0,4,0,1221
SSC11867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC11868,47,10,22,96,72,244,3,0,3,51,16,72,3,0,0,8,0,8,50,7,27,155,89,321
SSC11869,89,0,3,5,0,95,35,0,5,0,0,37,3,0,0,0,0,3,127,0,8,5,0,137
SSC11870,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC11871,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,9
SSC11872,140,0,0,0,0,141,10,0,0,0,0,6,0,0,0,0,0,0,150,0,0,0,0,153
SSC11873,277,55,44,6,0,383,89,19,18,3,0,123,16,3,0,0,0,21,386,77,63,9,0,532
SSC11874,517,8,24,7,5,556,264,11,19,3,0,295,33,0,3,3,0,39,815,27,39,8,3,888
SSC11875,88,0,12,0,3,97,29,0,3,0,0,38,5,0,0,0,0,12,120,0,17,0,3,142
SSC11876,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
SSC11877,0,0,1699,0,0,1703,0,0,143,0,0,146,0,0,110,0,3,109,0,0,1946,0,4,1957
SSC11878,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
SSC11879,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
SSC11880,280,6,0,0,0,292,18,0,0,0,0,19,5,0,0,0,0,5,300,6,0,0,0,308
SSC11881,1589,32,7,0,0,1627,153,6,0,0,3,164,26,0,0,0,0,33,1765,42,8,0,3,1819
SSC11882,22,0,0,0,0,22,5,0,0,0,0,5,0,0,0,0,0,0,30,0,0,0,0,30
SSC11883,1401,191,112,21,5,1727,122,32,81,28,0,260,15,9,16,3,0,50,1539,232,202,55,8,2042
SSC11884,77,0,0,7,3,97,11,3,0,6,0,23,0,0,0,107,4,115,93,9,0,128,5,236
SSC11885,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
SSC11886,1182,47,11,0,0,1247,256,35,7,0,0,304,66,3,6,0,0,77,1513,87,21,0,3,1622
SSC11887,556,36,32,0,0,629,141,23,24,0,0,194,35,0,3,0,0,41,739,68,63,0,0,865
SSC11888,543,32,0,0,6,590,72,14,0,0,0,79,15,0,0,0,0,14,625,47,0,0,6,687
SSC11889,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC11890,1515,64,217,8,3,1808,130,7,25,3,0,162,27,0,4,0,0,30,1672,73,242,8,3,2000
SSC11891,108,26,3,0,0,144,10,0,0,0,0,9,3,0,0,0,0,3,120,26,3,0,0,153
SSC11892,318,3,0,5,10,330,112,12,0,0,0,124,18,3,0,0,0,23,445,15,0,5,14,480
SSC11893,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,9
SSC11894,26,0,0,0,0,29,6,0,0,0,0,9,0,0,0,0,0,0,38,0,0,0,0,41
SSC11895,97,6,8,0,0,112,28,0,0,0,0,38,4,3,3,0,0,10,131,10,13,0,0,158
SSC11896,33,0,0,0,0,33,8,0,0,0,0,8,0,0,0,0,0,0,46,0,0,0,0,47
SSC11897,62,0,0,0,0,62,12,0,0,0,0,14,3,0,0,0,0,3,78,0,0,0,0,81
SSC11898,28,0,0,0,0,28,23,0,0,0,0,23,4,0,0,0,0,4,57,0,0,0,0,57
SSC11899,39,0,0,0,0,39,8,0,0,0,0,8,4,0,0,0,0,4,49,0,0,0,0,49
SSC11900,110,0,3,0,0,112,10,0,0,0,0,10,0,0,0,8,0,8,122,0,3,5,0,130
SSC11901,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC11902,278,7,0,0,0,278,36,0,3,0,0,37,4,0,0,0,0,3,311,7,4,0,0,324
SSC11903,33,0,0,0,0,33,11,0,0,0,0,11,0,0,0,0,0,0,53,0,0,0,0,53
SSC11904,28,0,0,0,0,28,0,0,0,0,0,3,0,0,0,0,0,0,31,0,0,0,0,32
SSC11905,711,0,0,3,4,716,119,0,3,0,0,119,27,0,0,0,0,27,848,0,6,4,7,857
SSC11906,51,0,0,0,0,47,12,0,0,0,0,12,4,0,0,0,0,4,67,0,0,0,0,67
SSC11907,43,0,0,0,0,43,25,0,0,0,0,25,3,0,0,0,0,3,70,0,0,0,0,70
SSC11908,5,0,0,3,0,10,0,0,0,0,0,3,0,0,0,3,0,3,7,0,0,5,0,11
SSC11909,187,0,0,0,0,190,27,0,0,0,0,33,3,0,0,0,0,3,225,0,5,0,0,224
SSC11910,9,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,0,16,0,0,0,0,16
SSC11911,85,125,1433,0,0,1645,17,19,208,0,0,247,5,10,48,0,0,66,108,158,1691,0,0,1958
SSC11912,331,0,16,7,0,357,120,0,6,10,3,144,16,0,0,4,0,25,470,0,27,19,4,522
SSC11913,85,0,0,0,0,85,20,0,0,0,0,15,0,0,0,0,0,0,108,0,0,0,0,107
SSC11914,1815,56,3,3,5,1883,287,14,0,8,0,313,50,3,0,3,0,62,2153,73,3,16,3,2259
SSC11915,2345,293,3,0,3,2649,215,45,0,0,0,258,71,12,0,0,0,81,2629,354,3,0,3,2990
SSC11916,131,0,0,0,0,133,25,0,0,0,0,25,6,0,0,0,0,6,153,0,0,0,0,156
SSC11917,816,14,0,0,3,833,128,12,0,0,0,141,21,3,0,0,0,20,965,30,0,0,3,997
SSC11918,25,0,0,0,0,27,4,0,0,0,0,4,0,0,0,0,0,0,32,0,0,0,0,31
SSC11919,15,0,0,0,0,15,7,0,0,0,0,7,0,0,0,0,0,0,22,0,0,0,0,22
SSC11920,431,0,5,0,6,445,158,7,18,0,0,183,19,0,4,0,0,24,613,12,25,3,7,652
SSC11921,263,0,0,0,3,266,7,0,0,0,0,9,0,0,0,0,0,0,272,0,0,0,3,278
SSC11922,14,0,0,0,0,14,3,0,0,0,0,3,3,0,0,0,0,3,23,0,0,0,0,23
SSC11923,10,0,0,0,0,10,6,0,0,0,0,6,0,0,0,0,0,0,21,0,0,0,0,21
SSC11924,375,0,0,0,0,378,79,0,0,0,0,79,16,0,0,0,0,16,466,0,0,0,0,463
SSC11925,73,32,265,0,0,371,8,4,27,0,0,39,0,0,3,0,0,4,81,34,293,0,0,418
SSC11926,1071,265,5,0,3,1336,62,6,0,0,0,68,16,4,0,0,0,23,1146,271,3,0,3,1426
SSC11927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC11928,13,0,0,0,0,13,8,0,0,0,0,8,0,0,0,0,0,0,17,0,0,0,0,17
SSC11929,474,190,1254,74,13,2000,54,9,116,3,4,185,16,0,39,3,4,69,554,195,1411,80,25,2254
SSC11930,143,52,2131,3,53,2379,19,15,184,0,6,229,3,0,92,0,6,109,169,69,2410,3,68,2719
SSC11931,37,0,0,0,0,39,3,0,0,0,0,3,0,0,0,0,0,0,39,0,0,0,0,40
SSC11932,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
SSC11933,20,0,0,0,0,18,8,0,0,0,0,8,0,0,0,0,0,0,24,0,0,0,0,28
SSC11934,30,0,0,0,0,30,3,0,0,0,0,3,0,0,0,0,0,0,34,0,0,0,0,34
SSC11935,873,3,0,0,0,880,69,0,0,0,0,75,23,0,0,0,0,22,967,8,0,0,0,973
SSC11936,2691,439,4069,9,26,7226,230,65,466,0,3,765,61,16,93,0,3,171,2980,518,4629,14,29,8166
