POA_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
POA2000,30,2500,634,725,1960,1.4,1943,2.4
POA2006,20,0,146,0,0,1.2,0,0
POA2007,26,2000,386,554,1751,1.4,1230,2.4
POA2008,26,2400,526,560,1995,1.3,1223,2.1
POA2009,34,2597,1111,652,2670,1.2,2280,2.2
POA2010,34,2500,1209,552,3000,1.1,2150,1.8
POA2011,35,2167,1304,480,2903,1.1,1861,1.6
POA2015,33,2500,1297,580,2833,1.1,2375,2.1
POA2016,35,2500,991,500,2592,1,1821,2
POA2017,30,2383,829,580,2232,1.2,1623,2.1
POA2018,34,2167,663,465,1828,1.1,1500,2.5
POA2019,36,2600,901,520,2289,1.1,2028,2.8
POA2020,32,2490,806,610,2103,1.2,1955,2.7
POA2021,36,3223,1393,576,3596,1,2399,2.1
POA2022,36,3000,1089,640,2738,1,2157,2.3
POA2023,37,3000,1318,625,3619,0.9,2892,2.5
POA2024,38,3200,1171,600,3220,1,2450,2.5
POA2025,41,3033,1375,655,3646,0.9,2529,2.2
POA2026,33,2947,1191,640,2906,1.1,2325,2.3
POA2027,45,3000,1526,700,3698,0.9,2628,2
POA2028,39,3000,1427,680,3421,0.9,2478,2.1
POA2029,38,3000,1154,600,2935,1,2270,2.4
POA2030,40,3467,1108,650,3486,0.9,2815,2.8
POA2031,35,2800,1127,570,2788,1,2226,2.4
POA2032,28,2500,469,500,1908,1.1,1273,2.7
POA2033,31,2600,760,540,2255,1.1,1814,2.5
POA2034,35,2817,1179,577,2929,1,2277,2.3
POA2035,37,2600,769,530,2227,1,1736,2.6
POA2036,39,2500,718,420,2038,1,1639,2.7
POA2037,34,2800,894,490,2492,1,1752,2.1
POA2038,37,3000,1162,540,3304,1,2337,2.3
POA2039,38,3000,1457,655,3567,1,2873,2.3
POA2040,37,3000,1105,550,2940,1,2273,2.5
POA2041,41,3033,1376,600,3719,0.9,2672,2.3
POA2042,33,2600,1061,520,2660,1.1,2070,2.2
POA2043,34,2600,1381,602,3011,1.1,2482,2.1
POA2044,35,2600,926,580,2357,1,2092,2.6
POA2045,44,3000,801,500,2621,0.9,2164,2.8
POA2046,41,2600,935,550,2508,0.9,2098,2.5
POA2047,40,2900,1170,571,2993,0.9,2353,2.3
POA2048,35,2600,1067,500,2656,1,2179,2.3
POA2049,36,2600,996,450,2636,1,1968,2.3
POA2050,31,2550,1071,500,2817,1.2,1782,1.8
POA2052,21,2334,55,407,703,1.3,72,1.8
POA2060,37,2574,1364,570,3159,1,2316,2
POA2061,41,2700,1514,605,3502,1,2415,1.8
POA2062,38,2670,1385,580,3318,1,2361,2.2
POA2063,42,3500,1155,680,3784,0.9,3344,3
POA2064,35,2483,1028,541,2493,1.1,2183,2.5
POA2065,36,2687,1337,575,3154,1,2416,2.2
POA2066,36,2600,1121,505,2911,1,2344,2.5
POA2067,35,2500,742,600,2127,1.2,1909,2.6
POA2068,40,3033,1044,600,3350,0.9,2735,2.9
POA2069,40,3000,995,650,3257,0.9,2846,3
POA2070,40,3000,965,606,3183,0.9,2628,2.9
POA2071,41,3000,903,655,2854,0.9,2532,3
POA2072,40,2800,857,650,2629,1,2313,2.9
