POA_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
POA4104,592,35,10,0,0,0,0,632
POA4105,1367,74,22,13,0,0,0,1476
POA4106,105,9,11,0,0,0,0,129
POA4107,635,47,22,12,0,0,3,714
POA4108,497,39,19,11,0,0,4,572
POA4109,3740,186,90,88,9,3,15,4139
POA4110,1087,75,62,31,4,4,13,1269
POA4111,76,5,0,0,0,0,0,86
POA4112,1139,50,22,18,0,0,3,1233
POA4113,3490,177,68,57,9,3,16,3826
POA4114,2214,196,191,81,6,5,38,2736
POA4115,2527,178,92,52,3,3,6,2869
POA4116,3483,177,104,75,3,4,17,3853
POA4117,160,21,9,7,0,0,0,194
POA4118,3312,324,220,61,16,3,27,3956
POA4119,828,39,28,12,0,0,3,909
POA4120,717,40,26,6,0,0,0,795
POA4121,3005,183,69,20,3,0,6,3292
POA4122,4720,283,160,55,0,6,15,5246
POA4123,2230,166,96,28,3,0,12,2539
POA4124,2309,177,171,49,8,0,18,2726
POA4125,769,63,44,26,10,0,3,914
POA4127,2556,240,146,64,7,3,14,3026
POA4128,1955,190,89,33,3,3,10,2284
POA4129,692,72,56,12,0,4,7,847
POA4130,1041,100,60,11,0,0,3,1215
POA4131,899,105,76,20,3,0,10,1107
POA4132,2381,254,273,65,10,4,18,2999
POA4133,1611,181,145,34,4,4,19,1997
POA4151,1512,87,35,11,0,0,5,1653
POA4152,5330,323,123,53,6,0,4,5837
POA4153,578,51,18,6,0,0,3,648
POA4154,1679,130,60,8,0,0,5,1883
POA4155,198,5,10,4,0,0,0,217
POA4156,504,34,7,4,0,0,0,547
POA4157,2093,181,106,31,8,0,14,2429
POA4158,335,21,21,0,0,0,3,382
POA4159,1600,163,104,21,9,0,7,1897
POA4160,2186,162,101,14,4,0,7,2471
POA4161,1720,229,110,22,3,0,14,2097
POA4163,1268,136,64,13,3,0,4,1486
POA4164,1839,174,84,12,4,0,3,2123
POA4165,4135,408,271,31,9,3,22,4880
POA4169,683,60,12,6,0,0,0,768
POA4170,2477,183,80,18,0,4,10,2770
POA4171,1820,108,32,6,4,0,0,1975
POA4172,455,38,22,3,0,0,0,521
POA4173,860,85,50,8,0,3,4,1003
POA4174,268,26,16,0,0,0,4,316
POA4178,2550,259,136,25,6,0,7,2992
POA4179,2160,176,104,26,4,3,9,2474
POA4183,129,12,10,0,0,0,0,147
POA4184,247,56,20,7,0,0,3,328
POA4205,366,42,40,7,3,0,4,460
POA4207,4889,586,405,98,24,8,60,6069
POA4208,2387,262,173,33,9,7,5,2864
POA4209,5750,524,496,76,10,13,30,6900
POA4210,2345,211,127,32,6,0,10,2730
POA4211,6339,644,417,90,12,13,37,7554
POA4212,2918,303,131,44,5,3,12,3413
POA4213,3478,297,166,44,8,3,21,4013
POA4214,3827,362,195,54,3,0,13,4458
POA4215,2918,282,135,41,4,0,16,3405
POA4216,2818,332,126,20,3,0,17,3322
POA4217,2603,258,87,26,0,0,13,2986
POA4218,2472,255,88,17,3,0,14,2856
POA4220,2711,243,119,20,9,0,6,3113
POA4221,2522,252,126,29,7,0,14,2947
POA4222,0,0,0,0,0,0,0,0
POA4223,1417,112,65,14,7,0,14,1627
POA4224,525,50,35,3,0,0,4,612
POA4225,335,26,10,3,0,0,3,381
POA4226,3270,311,128,39,4,0,19,3787
POA4227,2300,214,96,31,3,0,8,2653
POA4228,673,49,24,6,8,0,3,761
POA4229,0,0,0,0,0,0,0,0
POA4230,101,12,7,3,0,0,0,127
POA4270,418,55,24,4,3,0,8,511
POA4271,237,30,14,3,0,0,3,290
POA4272,410,34,13,3,0,0,0,466
POA4275,344,44,23,3,0,0,0,422
POA4280,1962,212,168,30,10,3,21,2407
POA4285,1929,207,159,32,7,3,20,2354
POA4287,57,3,3,0,0,0,5,71
POA4300,6342,616,430,133,13,13,36,7588
POA4301,2675,229,267,95,14,11,29,3311
POA4303,210,17,29,9,8,0,10,286
POA4304,1312,176,112,28,3,0,12,1637
POA4305,5431,652,473,78,9,12,40,6694
POA4306,4055,389,230,56,5,0,27,4762
POA4307,163,18,11,0,0,0,3,190
POA4309,292,14,12,0,0,0,3,324
POA4310,514,46,26,10,0,0,8,603
POA4311,848,80,78,24,3,4,27,1056
POA4312,169,11,15,3,0,0,4,208
POA4313,157,15,18,0,0,0,0,194
POA4340,429,44,58,7,0,0,3,541
POA4341,1240,122,121,20,5,3,20,1535
POA4342,193,25,21,5,0,0,3,244
POA4343,879,69,66,17,3,0,10,1051
POA4344,237,28,12,6,0,0,3,286
POA4345,4,0,0,0,0,0,0,4
POA4346,85,9,7,0,0,0,0,101
POA4347,89,6,9,3,0,0,3,115
POA4350,9004,769,544,108,14,11,73,10517
POA4352,3451,217,171,41,3,6,23,3906
POA4353,37,0,0,0,0,0,0,36
POA4354,109,5,8,0,0,0,0,122
POA4355,190,13,22,3,0,0,4,226
POA4356,491,30,46,6,0,0,6,578
POA4357,207,14,16,0,0,0,0,240
POA4358,248,15,9,4,0,4,3,283
POA4359,124,16,3,3,0,0,3,144
POA4360,64,3,3,0,0,0,3,75
POA4361,245,14,12,3,0,0,3,280
POA4362,215,8,10,5,0,0,0,240
POA4363,64,9,3,0,0,0,0,74
POA4364,22,0,3,0,0,0,0,25
POA4365,35,3,4,0,0,0,3,48
POA4370,1542,140,100,17,4,0,12,1827
POA4371,69,8,3,0,0,0,0,78
POA4372,19,0,0,0,0,0,0,24
POA4373,70,11,7,0,0,0,0,89
POA4374,31,0,3,0,0,0,0,33
POA4375,12,3,0,0,0,0,0,16
POA4376,16,6,0,0,0,0,0,24
POA4377,57,0,0,0,0,0,0,58
POA4378,46,3,4,0,0,0,0,54
POA4380,617,56,37,13,0,0,10,736
POA4381,48,8,7,0,0,0,0,59
POA4382,44,3,3,0,0,0,0,47
POA4383,32,5,7,0,0,0,3,48
POA4384,7,0,0,0,0,0,0,7
POA4385,92,3,5,0,0,0,3,96
POA4387,81,7,4,4,0,0,0,104
POA4388,37,0,0,0,0,0,0,47
POA4390,659,40,31,4,0,3,8,742
POA4400,191,16,17,4,0,0,3,228
POA4401,475,51,39,14,0,0,4,581
POA4402,17,0,0,0,0,0,0,19
POA4403,78,3,3,3,0,0,0,93
POA4404,63,3,7,0,0,0,0,73
POA4405,1373,108,94,16,4,0,8,1594
POA4406,140,3,4,0,0,0,0,153
POA4407,44,5,3,0,0,0,0,53
POA4408,54,3,11,0,0,0,3,66
POA4410,84,4,6,0,0,0,0,100
POA4411,36,0,0,0,0,0,0,34
POA4412,24,0,0,0,0,0,0,23
POA4413,744,39,51,3,0,0,5,846
POA4415,145,19,8,0,0,0,3,171
POA4416,49,3,0,0,0,0,0,54
POA4417,58,5,3,0,0,0,0,70
POA4418,11,0,0,0,0,0,0,10
POA4419,64,4,8,0,0,0,0,78
POA4420,123,6,4,0,0,0,0,134
POA4421,120,10,9,7,0,0,4,146
POA4422,56,7,0,0,0,0,3,63
POA4423,24,0,0,0,0,0,0,24
POA4424,29,0,0,0,0,0,0,29
POA4425,18,0,0,0,0,0,0,17
POA4426,17,0,0,0,0,0,0,19
POA4427,26,3,0,0,0,0,0,31
POA4428,65,5,0,0,0,0,0,78
POA4454,55,0,0,0,0,0,0,56
POA4455,840,49,44,9,3,0,5,943
POA4461,8,0,0,0,0,0,0,8
POA4462,11,0,3,0,0,0,0,13
POA4465,131,4,3,0,0,0,3,141
POA4467,25,0,0,0,0,0,0,25
POA4468,26,0,0,0,0,0,0,26
POA4470,304,25,14,3,0,0,0,344
POA4472,127,3,3,0,0,0,0,139
POA4474,8,0,0,0,0,0,0,10
POA4475,0,0,0,0,0,0,0,0
POA4477,51,0,3,0,0,0,0,55
POA4478,44,0,4,0,0,0,0,50
POA4479,0,0,0,0,0,0,0,0
POA4480,62,0,8,0,0,0,0,74
POA4481,10,0,0,0,0,0,3,11
POA4482,8,0,0,0,0,0,0,9
POA4486,51,8,0,0,0,0,0,62
POA4487,292,17,19,8,0,0,0,334
POA4488,21,0,0,0,0,0,0,23
POA4489,8,0,0,0,0,0,0,11
POA4490,76,9,4,0,0,0,6,92
POA4491,8,0,0,0,0,0,0,8
POA4492,20,5,0,0,0,0,0,26
POA4493,0,0,0,0,0,0,0,0
POA4494,24,0,0,0,0,0,0,26
POA4496,23,3,3,0,0,0,0,33
POA4497,31,3,3,0,0,0,0,40
POA4498,23,0,3,0,0,0,0,25
POA4500,4986,446,313,61,8,5,27,5848
POA4501,480,52,30,10,0,0,6,576
POA4502,1002,81,53,7,5,0,12,1163
POA4503,4346,439,355,60,6,8,31,5240
POA4504,2348,267,189,21,12,4,3,2838
POA4505,2164,226,148,42,7,3,13,2596
POA4506,2005,280,226,34,3,0,28,2573
POA4507,945,149,82,16,3,3,12,1204
POA4508,1540,206,172,47,4,4,21,1993
POA4509,3807,384,235,31,11,0,19,4484
POA4510,3702,494,430,67,22,13,47,4775
POA4511,708,91,66,18,8,0,5,892
POA4512,384,32,23,3,0,0,0,448
POA4514,592,67,45,4,5,3,3,717
POA4515,355,37,26,4,0,0,3,415
POA4516,487,55,29,5,4,0,3,584
POA4517,68,3,4,0,0,0,0,77
POA4518,519,62,37,4,0,0,0,624
POA4519,784,75,68,14,5,3,7,949
POA4520,1833,116,51,15,0,0,6,2017
POA4521,518,38,23,5,3,0,0,593
POA4550,377,50,21,3,0,0,6,465
POA4551,5075,485,282,56,13,5,27,5944
POA4552,587,71,29,14,0,0,4,707
POA4553,705,66,33,5,0,0,3,822
POA4554,210,18,18,0,0,0,0,249
POA4555,734,77,36,6,0,0,0,864
POA4556,4406,357,180,40,3,3,19,5003
POA4557,1782,161,98,15,0,0,11,2063
POA4558,1127,140,52,14,4,0,4,1341
POA4559,706,56,39,7,0,0,0,808
POA4560,2778,267,174,35,4,0,15,3276
POA4561,772,75,36,8,0,0,5,902
POA4562,923,76,27,12,0,0,0,1038
POA4563,764,80,40,10,7,0,3,900
POA4564,919,88,52,10,0,0,5,1072
POA4565,1145,127,63,10,3,0,9,1357
POA4566,595,53,21,3,0,0,6,678
POA4567,927,80,27,4,0,0,0,1038
POA4568,336,28,13,0,0,0,0,386
POA4569,148,14,12,0,0,0,0,170
POA4570,3324,353,278,50,13,5,30,4048
POA4571,61,4,5,0,0,0,0,68
POA4572,255,22,5,0,0,0,0,286
POA4573,2745,236,95,6,3,0,11,3096
POA4574,92,11,6,3,0,0,0,112
POA4575,2202,198,101,28,3,4,9,2545
POA4580,197,22,29,4,0,0,0,253
POA4581,72,7,4,0,0,0,0,86
POA4600,66,8,4,0,0,0,3,79
POA4601,89,7,4,0,0,0,0,104
POA4605,314,20,29,13,6,3,10,399
POA4606,181,12,15,3,0,0,5,216
POA4608,63,7,0,0,0,0,3,76
POA4610,1228,98,93,8,6,4,8,1444
POA4611,13,0,0,0,0,0,0,10
POA4612,12,0,3,0,0,0,0,17
POA4613,51,7,7,0,0,0,3,70
POA4614,71,7,5,0,0,0,0,78
POA4615,456,70,37,4,0,0,12,576
POA4620,29,0,0,0,0,0,0,34
POA4621,126,9,5,0,0,0,3,148
POA4625,210,14,12,10,0,0,0,255
POA4626,177,11,12,7,0,0,3,206
POA4627,54,5,7,0,0,0,0,70
POA4630,184,14,9,0,0,0,3,214
POA4650,2395,253,163,48,11,4,22,2904
POA4655,4145,504,341,52,16,6,38,5104
POA4659,250,27,12,7,0,0,0,298
POA4660,459,52,36,5,0,0,3,561
POA4662,61,5,3,0,0,0,0,69
POA4670,6164,660,432,69,10,13,63,7410
POA4671,409,45,35,0,0,0,7,497
POA4673,51,7,8,0,0,0,0,67
POA4674,74,7,6,3,0,0,0,96
POA4676,7,0,3,0,0,0,0,10
POA4677,292,23,9,4,0,0,6,337
POA4678,72,9,4,0,0,0,4,81
POA4680,5683,486,395,65,4,3,36,6673
POA4694,8,4,0,0,0,0,0,15
POA4695,91,7,6,4,0,0,0,113
POA4697,12,0,0,0,0,0,0,12
POA4699,43,0,0,0,0,0,3,51
POA4700,1307,116,68,22,3,0,9,1519
POA4701,3923,353,258,63,9,10,31,4648
POA4702,2742,212,182,27,3,0,26,3189
POA4703,2033,172,111,21,8,4,11,2361
POA4704,12,0,0,0,0,0,0,10
POA4705,38,0,3,0,0,0,0,36
POA4706,5,0,0,0,0,0,0,5
POA4707,15,0,0,0,0,0,0,20
POA4709,149,5,7,0,0,0,0,165
POA4710,354,36,33,6,0,0,3,442
POA4711,226,15,14,8,0,0,0,261
POA4712,23,0,3,0,0,0,0,23
POA4713,33,4,3,10,0,0,7,57
POA4714,143,21,13,6,0,0,3,188
POA4715,753,52,46,7,0,0,5,870
POA4716,98,7,3,0,0,0,0,114
POA4717,511,33,33,6,0,0,4,588
POA4718,232,10,17,0,0,0,0,261
POA4719,101,0,3,3,0,0,0,110
POA4720,1630,99,86,15,3,0,7,1845
POA4721,390,22,14,0,0,0,0,428
POA4722,197,4,11,0,0,0,0,216
POA4723,146,8,7,0,0,0,0,166
POA4724,68,3,0,0,0,0,0,73
POA4725,127,4,3,0,0,0,0,136
POA4726,53,0,3,0,0,0,0,57
POA4727,24,0,0,0,0,0,0,23
POA4728,19,0,0,0,0,0,0,21
POA4730,275,20,16,3,0,0,3,310
POA4731,13,3,0,0,0,0,0,17
POA4732,9,0,0,0,0,0,0,9
POA4733,23,0,0,0,0,0,0,23
POA4735,68,4,3,0,0,0,0,79
POA4736,12,0,0,0,0,0,0,12
POA4737,719,69,33,4,3,0,10,843
POA4738,111,9,10,0,0,0,0,127
POA4739,32,6,3,0,0,0,0,38
POA4740,7707,668,415,98,18,13,39,8944
POA4741,702,52,35,5,0,0,11,801
POA4742,76,7,3,0,0,0,0,90
POA4743,81,0,5,0,0,0,0,84
POA4744,1024,58,57,3,0,0,6,1146
POA4745,265,27,27,0,0,0,0,311
POA4746,228,17,18,3,0,0,0,264
POA4750,654,53,37,4,0,0,9,761
POA4751,512,32,32,7,0,0,0,580
POA4753,563,43,39,3,0,0,0,648
POA4754,233,6,18,0,0,0,0,264
POA4756,45,0,3,0,0,0,0,51
POA4757,19,3,3,0,0,0,4,25
POA4798,62,3,3,0,0,0,0,70
POA4799,82,8,5,0,0,0,0,93
POA4800,907,81,39,9,3,0,12,1060
POA4801,0,0,0,0,0,0,0,0
POA4802,699,72,42,7,0,0,3,820
POA4803,20,0,0,0,0,0,0,21
POA4804,145,9,9,0,0,0,5,165
POA4805,799,75,64,9,3,0,6,958
POA4806,340,30,23,8,3,0,4,397
POA4807,1034,89,60,12,0,0,10,1198
POA4808,109,9,3,4,0,0,0,128
POA4809,104,6,0,0,0,0,0,109
POA4810,1400,135,57,14,3,0,3,1618
POA4811,1199,130,53,23,0,0,9,1411
POA4812,1446,138,82,15,3,3,10,1691
POA4814,4075,385,262,55,11,7,26,4810
POA4815,1791,213,194,41,6,3,30,2277
POA4816,706,62,41,24,6,3,25,876
POA4817,3239,328,208,43,12,7,25,3860
POA4818,3024,284,256,34,4,4,18,3616
POA4819,110,15,3,0,0,0,0,130
POA4820,866,63,60,11,0,0,7,1002
POA4821,112,0,6,3,0,0,0,121
POA4822,67,0,0,0,0,0,0,69
POA4823,81,5,3,0,0,0,0,88
POA4824,218,15,5,7,0,0,4,255
POA4825,1722,143,127,48,3,3,26,2065
POA4828,5,0,0,3,0,0,0,11
POA4829,28,3,0,0,0,0,0,32
POA4830,131,9,17,19,3,0,8,186
POA4849,70,11,6,0,0,0,0,80
POA4850,946,62,35,10,0,0,9,1061
POA4852,259,19,11,3,0,0,0,299
POA4854,468,37,19,3,0,0,4,537
POA4855,56,7,8,0,0,0,0,72
POA4856,52,3,4,0,0,0,0,65
POA4858,150,10,8,0,0,0,0,172
POA4859,42,3,0,0,0,0,0,42
POA4860,899,60,50,14,0,3,15,1044
POA4861,116,14,3,0,0,0,0,136
POA4865,809,64,51,14,3,5,9,957
POA4868,2015,191,114,38,6,3,14,2384
POA4869,1854,183,129,35,8,6,16,2230
POA4870,5689,523,244,88,15,6,45,6597
POA4871,839,61,25,48,0,3,18,1003
POA4872,330,21,9,5,0,0,0,363
POA4873,510,43,28,10,0,3,7,593
POA4874,524,42,44,15,3,3,13,650
POA4875,583,39,41,75,9,3,26,774
POA4876,203,27,16,24,3,0,8,283
POA4877,274,30,19,3,0,0,4,320
POA4878,1080,109,54,7,0,3,13,1264
POA4879,1823,154,85,22,9,0,17,2105
POA4880,1014,98,68,19,0,0,14,1215
POA4881,352,33,19,6,0,3,6,421
POA4882,270,12,11,0,0,0,0,299
POA4883,616,62,46,6,6,0,0,736
POA4884,171,6,3,0,0,0,5,180
POA4885,305,26,11,8,0,0,5,357
POA4886,67,7,0,3,0,0,0,78
POA4887,114,17,6,4,0,0,3,138
POA4888,165,28,18,5,0,0,3,224
POA4890,66,12,6,3,3,3,4,95
POA4891,24,0,0,0,0,0,5,30
POA4892,295,38,25,57,17,3,30,464
POA4895,279,24,20,18,0,3,17,360
POA5000,416,28,8,0,0,0,0,454
POA5005,0,0,0,0,0,0,0,0
POA5006,348,26,3,0,0,0,0,377
POA5007,468,30,14,7,0,0,3,522
POA5008,1301,100,27,17,4,0,11,1455
POA5009,525,38,12,0,0,0,0,573
POA5010,605,31,18,16,0,0,0,670
POA5011,1251,90,39,9,0,0,7,1394
POA5012,1166,73,44,19,0,0,9,1311
POA5013,844,80,33,23,3,0,7,1000
POA5014,1082,90,34,15,0,0,4,1219
POA5015,399,49,14,10,0,0,0,473
POA5016,823,82,32,4,0,0,5,939
POA5017,367,54,30,7,0,0,4,461
POA5018,575,57,36,3,0,0,4,672
POA5019,744,74,34,3,3,0,11,868
POA5020,321,33,17,3,3,0,0,378
POA5021,543,37,15,3,0,0,0,602
POA5022,1694,120,43,10,0,0,3,1871
POA5023,1514,122,41,20,3,0,3,1703
POA5024,1546,102,47,17,0,3,3,1719
POA5025,943,66,23,5,0,3,0,1040
POA5031,847,67,19,13,0,0,6,946
POA5032,1435,74,28,15,0,0,3,1547
POA5033,720,47,23,3,0,0,3,801
POA5034,1081,79,25,5,0,0,0,1196
POA5035,600,32,14,3,0,0,0,651
POA5037,1051,59,34,12,0,0,3,1157
POA5038,1453,94,38,16,0,0,6,1612
POA5039,889,60,30,3,0,0,3,990
POA5040,241,20,3,0,0,0,0,268
POA5041,1693,90,37,12,0,0,0,1830
POA5042,999,64,30,10,0,0,8,1102
POA5043,1500,119,33,17,3,0,0,1683
POA5044,1059,88,31,9,0,0,4,1188
POA5045,1261,92,42,7,0,0,5,1411
POA5046,789,59,28,11,0,0,4,882
POA5047,731,57,31,8,0,0,4,831
POA5048,1344,100,35,11,0,0,4,1491
POA5049,1070,78,31,5,3,0,0,1196
POA5050,606,49,10,4,0,0,0,678
POA5051,1812,123,54,9,0,0,6,2013
POA5052,787,72,27,0,0,0,0,882
POA5061,1067,61,21,3,0,0,0,1153
POA5062,1805,98,34,14,0,0,3,1953
POA5063,1216,78,23,12,0,0,4,1329
POA5064,1127,82,21,6,3,0,3,1243
POA5065,1182,50,19,6,0,0,4,1260
POA5066,1567,85,49,11,3,0,5,1718
POA5067,797,61,18,5,0,0,4,884
POA5068,1246,81,27,5,5,0,0,1354
POA5069,893,45,15,4,0,0,3,963
POA5070,1404,59,23,7,3,0,3,1503
POA5072,1431,74,33,14,0,0,0,1551
POA5073,1814,90,38,13,0,0,4,1956
POA5074,1429,75,31,14,3,0,3,1556
POA5075,1152,68,39,11,3,0,7,1276
POA5076,1275,55,39,7,0,0,3,1375
POA5081,960,50,18,3,0,0,0,1035
POA5082,1718,89,39,9,0,0,3,1863
POA5083,853,48,16,9,0,0,5,935
POA5084,869,51,25,19,0,0,9,964
POA5085,2054,115,59,32,0,0,7,2270
POA5086,1700,97,45,25,3,0,4,1879
POA5087,1124,79,29,10,0,0,6,1244
POA5088,312,31,9,4,0,0,0,356
