POA_CODE_2016,Canada_Before_1946,Canada_1946_1955,Canada_1956_1965,Canada_1966_1975,Canada_1976_1985,Canada_1986_1995,Canada_1996_2005,Canada_2006_2010,Canada_2011,Canada_2012,Canada_2013,Canada_2014,Canada_2015,Canada_2016,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1946,China_exc_SARs_Taiwan_46_55,China_exc_SARs_Taiwan_56_65,China_exc_SARs_Taiwan_66_75,China_exc_SARs_Taiwan_76_85,China_exc_SARs_Taiwan_86_95,China_exc_SARs_Taiwan_96_05,China_exc_SARs_Taiwan_06_10,China_exc_SARs_Taiwan_2011,China_exc_SARs_Taiwan_2012,China_exc_SARs_Taiwan_2013,China_exc_SARs_Taiwan_2014,China_exc_SARs_Taiwan_2015,China_exc_SARs_Taiwan_2016,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1946,Croatia_1946_1955,Croatia_1956_1965,Croatia_1966_1975,Croatia_1976_1985,Croatia_1986_1995,Croatia_1996_2005,Croatia_2006_2010,Croatia_2011,Croatia_2012,Croatia_2013,Croatia_2014,Croatia_2015,Croatia_2016,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1946,Egypt_1946_1955,Egypt_1956_1965,Egypt_1966_1975,Egypt_1976_1985,Egypt_1986_1995,Egypt_1996_2005,Egypt_2006_2010,Egypt_2011,Egypt_2012,Egypt_2013,Egypt_2014,Egypt_2015,Egypt_2016,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1946,Fiji_1946_1955,Fiji_1956_1965,Fiji_1966_1975,Fiji_1976_1985,Fiji_1986_1995,Fiji_1996_2005,Fiji_2006_2010,Fiji_2011,Fiji_2012,Fiji_2013,Fiji_2014,Fiji_2015,Fiji_2016,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1946,Germany_1946_1955,Germany_1956_1965,Germany_1966_1975,Germany_1976_1985,Germany_1986_1995,Germany_1996_2005,Germany_2006_2010,Germany_2011,Germany_2012,Germany_2013,Germany_2014,Germany_2015,Germany_2016,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1946,Greece_1946_1955,Greece_1956_1965,Greece_1966_1975,Greece_1976_1985,Greece_1986_1995,Greece_1996_2005,Greece_2006_2010,Greece_2011,Greece_2012,Greece_2013,Greece_2014,Greece_2015,Greece_2016,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1946,Hng_Kng_SAR_China_1946_1955,Hng_Kng_SAR_China_1956_1965,Hng_Kng_SAR_China_1966_1975,Hng_Kng_SAR_China_1976_1985,Hng_Kng_SAR_China_1986_1995,Hng_Kng_SAR_China_1996_2005,Hng_Kng_SAR_China_2006_2010,Hong_Kong_SAR_China_2011,Hong_Kong_SAR_China_2012,Hong_Kong_SAR_China_2013,Hong_Kong_SAR_China_2014,Hong_Kong_SAR_China_2015,Hong_Kong_SAR_China_2016,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1946,India_1946_1955,India_1956_1965,India_1966_1975,India_1976_1985,India_1986_1995,India_1996_2005,India_2006_2010,India_2011,India_2012,India_2013,India_2014,India_2015,India_2016,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1946,Indonesia_1946_1955,Indonesia_1956_1965,Indonesia_1966_1975,Indonesia_1976_1985,Indonesia_1986_1995,Indonesia_1996_2005,Indonesia_2006_2010,Indonesia_2011,Indonesia_2012,Indonesia_2013,Indonesia_2014,Indonesia_2015,Indonesia_2016,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1946,Iran_1946_1955,Iran_1956_1965,Iran_1966_1975,Iran_1976_1985,Iran_1986_1995,Iran_1996_2005,Iran_2006_2010,Iran_2011,Iran_2012,Iran_2013,Iran_2014,Iran_2015,Iran_2016,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1946,Iraq_1946_1955,Iraq_1956_1965,Iraq_1966_1975,Iraq_1976_1985,Iraq_1986_1995,Iraq_1996_2005,Iraq_2006_2010,Iraq_2011,Iraq_2012,Iraq_2013,Iraq_2014,Iraq_2015,Iraq_2016,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1946,Ireland_1946_1955,Ireland_1956_1965,Ireland_1966_1975,Ireland_1976_1985,Ireland_1986_1995,Ireland_1996_2005,Ireland_2006_2010
POA2000,0,0,4,4,5,5,4,9,0,0,10,9,17,11,4,80,0,7,5,22,28,281,553,697,160,192,299,364,446,226,246,3536,0,0,0,3,0,11,4,0,0,0,0,0,3,4,0,23,0,0,7,15,0,3,4,6,0,6,4,0,0,3,0,47,0,0,0,0,0,8,4,0,4,0,0,0,0,0,0,33,0,12,7,3,7,6,16,10,3,9,5,3,15,16,13,119,0,3,6,6,0,0,0,0,0,0,0,0,3,0,0,27,0,0,10,17,49,121,85,53,16,11,27,37,27,10,25,490,0,0,0,16,8,26,74,127,18,47,47,101,146,127,33,770,0,0,0,8,12,42,324,466,203,277,241,460,392,172,93,2687,0,0,0,0,4,13,6,7,3,0,8,0,5,3,0,56,0,0,0,0,3,4,3,0,0,0,0,0,0,0,0,15,0,0,0,5,3,10,17,8
POA2006,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,10,0,0,0,0,0,0,9,0,0,0,0,3,3,8,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,3,0,3,6,0,19,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2007,0,0,0,0,0,0,3,3,0,0,5,3,3,3,0,26,0,0,0,12,30,101,190,209,80,128,175,320,620,534,225,2629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,5,3,3,0,0,0,3,0,0,0,15,0,0,3,0,3,0,3,3,0,4,3,0,3,15,6,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,19,23,25,28,5,4,10,20,21,17,12,190,0,0,0,0,0,10,16,22,3,16,16,26,55,52,4,215,0,0,0,0,5,3,27,63,20,17,20,43,41,28,3,273,0,0,0,0,0,7,0,7,6,4,10,3,8,6,4,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,4,0,3
POA2008,0,0,0,3,0,3,0,0,6,0,4,19,9,19,9,80,0,0,0,0,4,44,133,255,110,149,262,451,833,469,190,2905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,4,0,0,0,0,0,0,3,0,18,0,3,0,3,3,3,5,16,3,0,4,6,3,0,0,53,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,9,23,22,27,11,10,33,30,36,37,10,244,0,0,3,0,10,7,17,24,5,4,12,30,39,44,5,202,0,0,0,0,3,13,42,65,26,37,42,85,93,48,15,476,0,0,0,0,0,4,3,13,0,3,3,8,14,3,3,59,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,0,0,0,0,0,3,4,4
POA2009,0,0,0,0,3,8,12,3,0,3,4,6,5,6,5,48,0,3,9,12,26,168,203,182,20,42,54,73,52,32,45,907,0,0,3,3,0,3,4,3,0,0,0,0,0,0,0,15,0,0,7,4,0,3,0,4,0,0,0,0,0,0,0,23,0,0,0,0,0,12,3,4,0,0,0,0,0,0,0,25,0,3,3,4,5,0,11,5,0,0,7,3,3,4,0,50,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,4,5,44,48,39,9,3,7,3,3,4,0,8,183,0,0,0,6,0,20,32,61,17,12,38,36,79,48,8,370,0,0,0,0,12,19,75,39,7,4,19,13,25,0,5,219,0,0,0,0,3,6,7,10,6,9,5,3,0,3,3,57,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,7,0,5,12,36
POA2010,0,0,3,7,11,22,27,25,4,11,10,19,28,11,8,184,3,7,11,8,35,146,165,103,31,28,37,36,63,49,33,765,0,0,12,9,0,12,0,0,0,0,0,0,0,0,0,32,0,3,8,5,3,7,0,3,0,0,0,0,0,3,3,31,0,0,4,4,9,18,3,3,0,3,0,0,0,0,3,47,0,16,5,11,14,8,18,33,6,10,11,13,19,7,14,184,0,10,40,18,3,6,3,0,0,5,3,0,3,0,6,89,3,0,6,16,49,63,33,10,3,8,4,14,10,0,0,217,0,0,0,14,14,30,20,50,8,9,17,23,24,35,5,238,0,6,0,5,11,25,72,64,18,37,46,55,42,17,5,393,0,0,0,3,9,19,8,8,9,3,4,3,7,0,0,71,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,15,0,3,5,3,15,17,41,75
POA2011,0,0,0,8,3,7,20,20,4,9,8,10,13,9,3,125,0,3,5,0,13,41,47,42,9,19,8,20,12,21,18,265,0,0,0,8,0,4,3,0,0,0,0,0,0,0,0,18,0,0,0,6,0,3,0,3,0,0,3,0,0,3,0,25,0,0,0,0,7,7,8,5,3,0,0,0,0,0,6,45,0,22,23,15,7,11,25,28,3,4,6,19,20,17,10,210,0,3,5,4,0,0,3,4,0,0,0,0,0,0,0,25,0,0,3,3,10,25,13,3,6,0,3,0,5,3,3,84,0,3,0,11,7,19,26,28,4,8,10,12,20,19,3,176,0,0,0,3,9,9,24,15,9,3,8,13,3,3,0,99,0,0,0,0,9,8,9,14,8,4,4,0,3,3,3,58,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,12,0,0,3,15,3,18,23,44
POA2015,0,0,0,0,3,0,3,8,3,0,0,7,4,3,0,40,0,0,0,3,10,50,47,49,11,16,8,25,25,15,12,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,7,10,3,0,0,0,0,0,0,0,0,22,0,3,0,0,4,7,7,5,3,0,3,3,0,0,5,46,0,6,10,0,3,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,9,29,9,4,0,0,0,0,0,3,0,62,0,0,0,0,7,12,15,17,3,3,0,4,0,0,0,65,0,0,0,3,4,16,52,26,0,3,3,5,9,0,4,122,0,0,0,0,0,4,3,3,8,0,0,0,3,0,0,18,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,10,0,0,0,5,3,16,26,33
POA2016,0,0,3,8,3,12,5,9,0,3,4,6,10,8,4,72,0,0,0,5,29,102,154,78,13,12,17,27,51,106,31,626,0,0,6,10,3,0,7,0,0,0,0,0,0,0,0,23,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,7,13,3,3,3,3,0,0,0,0,0,33,0,10,3,9,5,11,14,13,5,6,4,3,3,5,4,91,3,12,52,18,0,0,0,3,0,0,0,0,0,0,3,94,0,0,0,10,26,30,24,5,3,3,4,4,3,0,0,109,0,0,0,4,6,13,23,24,3,11,6,4,11,7,3,121,0,0,0,0,10,13,27,19,7,4,11,6,9,3,3,109,0,0,0,0,3,6,3,8,8,4,3,0,3,0,0,33,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,13,0,4,3,12,4,9,17,32
POA2017,0,0,0,3,3,11,10,24,0,11,15,25,20,14,3,132,0,0,0,6,18,178,546,946,222,368,472,649,878,532,306,5117,0,0,8,4,0,3,8,4,0,0,0,0,0,0,0,32,0,3,3,7,4,10,0,3,0,0,0,0,5,0,0,31,0,0,0,6,11,16,12,3,0,0,0,3,0,0,0,58,0,3,5,3,5,7,11,24,3,13,5,17,18,15,0,141,0,3,18,10,7,8,4,3,0,3,4,0,3,0,3,60,0,0,0,6,36,74,55,42,16,19,26,22,18,17,9,335,0,0,0,7,0,19,42,43,3,8,21,11,30,12,3,195,0,0,0,3,10,51,172,84,17,16,16,21,35,19,3,446,0,0,0,0,9,13,9,30,11,13,10,10,11,3,3,129,0,0,0,0,0,4,3,9,0,0,0,0,0,0,4,23,0,0,4,6,5,9,19,127
