LGA_NAME16	Ancestry	responses
Albury (C)		3889
Albury (C)	Australian	19963
Albury (C)	Australian Aboriginal	177
Albury (C)	Chinese	382
Albury (C)	Croatian	178
Albury (C)	Dutch	855
Albury (C)	English	20164
Albury (C)	Filipino	332
Albury (C)	French	197
Albury (C)	German	3882
Albury (C)	Greek	319
Albury (C)	Hungarian	144
Albury (C)	Indian	677
Albury (C)	Irish	7137
Albury (C)	Italian	1137
Albury (C)	Korean	34
Albury (C)	Lebanese	144
Albury (C)	Macedonian	19
Albury (C)	Maltese	114
Albury (C)	Maori	158
Albury (C)	NZ	295
Albury (C)	(Other)	2901
Albury (C)	Polish	291
Albury (C)	Russian	94
Albury (C)	Scottish	5702
Albury (C)	Serbian	97
Albury (C)	South African	89
Albury (C)	Spanish	170
Albury (C)	Sri Lankan	113
Albury (C)	Turkish	10
Albury (C)	Vietnamese	59
Albury (C)	Welsh	271
Armidale Regional (A)		2288
Armidale Regional (A)	Australian	12375
Armidale Regional (A)	Australian Aboriginal	366
Armidale Regional (A)	Chinese	566
Armidale Regional (A)	Croatian	20
Armidale Regional (A)	Dutch	325
Armidale Regional (A)	English	11701
Armidale Regional (A)	Filipino	178
Armidale Regional (A)	French	136
Armidale Regional (A)	German	1384
Armidale Regional (A)	Greek	95
Armidale Regional (A)	Hungarian	55
Armidale Regional (A)	Indian	219
Armidale Regional (A)	Irish	3975
Armidale Regional (A)	Italian	368
Armidale Regional (A)	Korean	22
Armidale Regional (A)	Lebanese	70
Armidale Regional (A)	Macedonian	3
Armidale Regional (A)	Maltese	40
Armidale Regional (A)	Maori	96
Armidale Regional (A)	NZ	158
Armidale Regional (A)	(Other)	2113
Armidale Regional (A)	Polish	91
Armidale Regional (A)	Russian	71
Armidale Regional (A)	Scottish	3411
Armidale Regional (A)	Serbian	16
Armidale Regional (A)	South African	67
Armidale Regional (A)	Spanish	70
Armidale Regional (A)	Sri Lankan	60
Armidale Regional (A)	Turkish	13
Armidale Regional (A)	Vietnamese	61
Armidale Regional (A)	Welsh	182
Ballina (A)		3139
Ballina (A)	Australian	16767
Ballina (A)	Australian Aboriginal	256
Ballina (A)	Chinese	300
Ballina (A)	Croatian	70
Ballina (A)	Dutch	586
Ballina (A)	English	18330
Ballina (A)	Filipino	157
Ballina (A)	French	276
Ballina (A)	German	1834
Ballina (A)	Greek	180
Ballina (A)	Hungarian	97
Ballina (A)	Indian	212
Ballina (A)	Irish	6092
Ballina (A)	Italian	1207
Ballina (A)	Korean	30
Ballina (A)	Lebanese	56
Ballina (A)	Macedonian	14
Ballina (A)	Maltese	129
Ballina (A)	Maori	119
Ballina (A)	NZ	352
Ballina (A)	(Other)	1933
Ballina (A)	Polish	173
Ballina (A)	Russian	77
Ballina (A)	Scottish	5072
Ballina (A)	Serbian	25
Ballina (A)	South African	151
Ballina (A)	Spanish	117
Ballina (A)	Sri Lankan	29
Ballina (A)	Turkish	22
Ballina (A)	Vietnamese	43
Ballina (A)	Welsh	294
Balranald (A)		251
Balranald (A)	Australian	947
Balranald (A)	Australian Aboriginal	37
Balranald (A)	Chinese	9
Balranald (A)	Dutch	8
Balranald (A)	English	752
Balranald (A)	Filipino	4
Balranald (A)	French	3
Balranald (A)	German	79
Balranald (A)	Greek	6
Balranald (A)	Indian	6
Balranald (A)	Irish	303
Balranald (A)	Italian	269
Balranald (A)	Korean	3
Balranald (A)	Lebanese	7
Balranald (A)	Maltese	6
Balranald (A)	Maori	4
Balranald (A)	NZ	4
Balranald (A)	(Other)	95
Balranald (A)	Polish	4
Balranald (A)	Russian	3
Balranald (A)	Scottish	178
Balranald (A)	Spanish	3
Balranald (A)	Turkish	4
Balranald (A)	Welsh	4
Bathurst Regional (A)		3909
Bathurst Regional (A)	Australian	17872
Bathurst Regional (A)	Australian Aboriginal	291
Bathurst Regional (A)	Chinese	375
Bathurst Regional (A)	Croatian	76
Bathurst Regional (A)	Dutch	552
Bathurst Regional (A)	English	16769
Bathurst Regional (A)	Filipino	218
Bathurst Regional (A)	French	218
Bathurst Regional (A)	German	1456
Bathurst Regional (A)	Greek	147
Bathurst Regional (A)	Hungarian	70
Bathurst Regional (A)	Indian	251
Bathurst Regional (A)	Irish	6285
Bathurst Regional (A)	Italian	756
Bathurst Regional (A)	Korean	26
Bathurst Regional (A)	Lebanese	148
Bathurst Regional (A)	Macedonian	14
Bathurst Regional (A)	Maltese	183
Bathurst Regional (A)	Maori	120
Bathurst Regional (A)	NZ	267
Bathurst Regional (A)	(Other)	1631
Bathurst Regional (A)	Polish	179
Bathurst Regional (A)	Russian	68
Bathurst Regional (A)	Scottish	4264
Bathurst Regional (A)	Serbian	44
Bathurst Regional (A)	South African	103
Bathurst Regional (A)	Spanish	76
Bathurst Regional (A)	Sri Lankan	66
Bathurst Regional (A)	Turkish	9
Bathurst Regional (A)	Vietnamese	65
Bathurst Regional (A)	Welsh	232
Bega Valley (A)		2632
Bega Valley (A)	Australian	13982
Bega Valley (A)	Australian Aboriginal	132
Bega Valley (A)	Chinese	198
Bega Valley (A)	Croatian	55
Bega Valley (A)	Dutch	648
Bega Valley (A)	English	14430
Bega Valley (A)	Filipino	147
Bega Valley (A)	French	171
Bega Valley (A)	German	1667
Bega Valley (A)	Greek	91
Bega Valley (A)	Hungarian	94
Bega Valley (A)	Indian	70
Bega Valley (A)	Irish	4152
Bega Valley (A)	Italian	543
Bega Valley (A)	Korean	19
Bega Valley (A)	Lebanese	30
Bega Valley (A)	Macedonian	11
Bega Valley (A)	Maltese	129
Bega Valley (A)	Maori	80
Bega Valley (A)	NZ	156
Bega Valley (A)	(Other)	1386
Bega Valley (A)	Polish	176
Bega Valley (A)	Russian	76
Bega Valley (A)	Scottish	3729
Bega Valley (A)	Serbian	14
Bega Valley (A)	South African	83
Bega Valley (A)	Spanish	71
Bega Valley (A)	Sri Lankan	10
Bega Valley (A)	Turkish	6
Bega Valley (A)	Vietnamese	30
Bega Valley (A)	Welsh	223
Bellingen (A)		871
Bellingen (A)	Australian	5318
Bellingen (A)	Australian Aboriginal	73
Bellingen (A)	Chinese	51
Bellingen (A)	Croatian	20
Bellingen (A)	Dutch	216
Bellingen (A)	English	5588
Bellingen (A)	Filipino	26
Bellingen (A)	French	105
Bellingen (A)	German	619
Bellingen (A)	Greek	47
Bellingen (A)	Hungarian	49
Bellingen (A)	Indian	29
Bellingen (A)	Irish	1741
Bellingen (A)	Italian	202
Bellingen (A)	Korean	3
Bellingen (A)	Lebanese	18
Bellingen (A)	Macedonian	4
Bellingen (A)	Maltese	27
Bellingen (A)	Maori	34
Bellingen (A)	NZ	90
Bellingen (A)	(Other)	620
Bellingen (A)	Polish	66
Bellingen (A)	Russian	37
Bellingen (A)	Scottish	1547
Bellingen (A)	Serbian	5
Bellingen (A)	South African	28
Bellingen (A)	Spanish	40
Bellingen (A)	Turkish	3
Bellingen (A)	Vietnamese	11
Bellingen (A)	Welsh	110
Berrigan (A)		909
Berrigan (A)	Australian	3497
Berrigan (A)	Australian Aboriginal	8
Berrigan (A)	Chinese	53
Berrigan (A)	Croatian	4
Berrigan (A)	Dutch	112
Berrigan (A)	English	3409
Berrigan (A)	Filipino	44
Berrigan (A)	French	33
Berrigan (A)	German	311
Berrigan (A)	Greek	15
Berrigan (A)	Hungarian	13
Berrigan (A)	Indian	26
Berrigan (A)	Irish	1090
Berrigan (A)	Italian	186
Berrigan (A)	Korean	3
Berrigan (A)	Lebanese	7
Berrigan (A)	Maltese	25
Berrigan (A)	Maori	19
Berrigan (A)	NZ	53
Berrigan (A)	(Other)	248
Berrigan (A)	Polish	22
Berrigan (A)	Russian	4
Berrigan (A)	Scottish	945
Berrigan (A)	Serbian	3
Berrigan (A)	South African	16
Berrigan (A)	Spanish	3
Berrigan (A)	Sri Lankan	15
Berrigan (A)	Vietnamese	6
Berrigan (A)	Welsh	39
Blacktown (C)		19902
Blacktown (C)	Australian	76673
Blacktown (C)	Australian Aboriginal	1400
Blacktown (C)	Chinese	13894
Blacktown (C)	Croatian	2754
Blacktown (C)	Dutch	2655
Blacktown (C)	English	69707
Blacktown (C)	Filipino	29931
Blacktown (C)	French	1247
Blacktown (C)	German	7206
Blacktown (C)	Greek	3511
Blacktown (C)	Hungarian	1254
Blacktown (C)	Indian	38064
Blacktown (C)	Irish	19114
Blacktown (C)	Italian	8644
Blacktown (C)	Korean	2012
Blacktown (C)	Lebanese	5241
Blacktown (C)	Macedonian	456
Blacktown (C)	Maltese	8457
Blacktown (C)	Maori	3551
Blacktown (C)	NZ	2371
Blacktown (C)	(Other)	73744
Blacktown (C)	Polish	2633
Blacktown (C)	Russian	1055
Blacktown (C)	Scottish	14958
Blacktown (C)	Serbian	1197
Blacktown (C)	South African	1434
Blacktown (C)	Spanish	3437
Blacktown (C)	Sri Lankan	3971
Blacktown (C)	Turkish	2660
Blacktown (C)	Vietnamese	1421
Blacktown (C)	Welsh	884
Bland (A)		726
Bland (A)	Australian	2673
Bland (A)	Australian Aboriginal	17
Bland (A)	Chinese	33
Bland (A)	Croatian	3
Bland (A)	Dutch	35
Bland (A)	English	2380
Bland (A)	Filipino	23
Bland (A)	French	14
Bland (A)	German	313
Bland (A)	Greek	18
Bland (A)	Hungarian	6
Bland (A)	Indian	12
Bland (A)	Irish	643
Bland (A)	Italian	32
Bland (A)	Lebanese	3
Bland (A)	Maltese	16
Bland (A)	Maori	17
Bland (A)	NZ	15
Bland (A)	(Other)	143
Bland (A)	Polish	7
Bland (A)	Russian	8
Bland (A)	Scottish	623
Bland (A)	Serbian	7
Bland (A)	South African	17
Bland (A)	Sri Lankan	4
Bland (A)	Vietnamese	5
Bland (A)	Welsh	12
Blayney (A)		536
Blayney (A)	Australian	3449
Blayney (A)	Australian Aboriginal	25
Blayney (A)	Chinese	34
Blayney (A)	Croatian	7
Blayney (A)	Dutch	103
Blayney (A)	English	3032
Blayney (A)	Filipino	9
Blayney (A)	French	34
Blayney (A)	German	237
Blayney (A)	Greek	19
Blayney (A)	Hungarian	15
Blayney (A)	Indian	10
Blayney (A)	Irish	1063
Blayney (A)	Italian	98
Blayney (A)	Lebanese	14
Blayney (A)	Maltese	24
Blayney (A)	Maori	8
Blayney (A)	NZ	51
Blayney (A)	(Other)	163
Blayney (A)	Polish	26
Blayney (A)	Russian	4
Blayney (A)	Scottish	725
Blayney (A)	Serbian	4
Blayney (A)	South African	9
Blayney (A)	Spanish	10
Blayney (A)	Sri Lankan	6
Blayney (A)	Vietnamese	3
Blayney (A)	Welsh	38
Blue Mountains (C)		3852
Blue Mountains (C)	Australian	29668
Blue Mountains (C)	Australian Aboriginal	261
Blue Mountains (C)	Chinese	1014
Blue Mountains (C)	Croatian	354
Blue Mountains (C)	Dutch	1630
Blue Mountains (C)	English	34456
Blue Mountains (C)	Filipino	381
Blue Mountains (C)	French	615
Blue Mountains (C)	German	3716
Blue Mountains (C)	Greek	662
Blue Mountains (C)	Hungarian	465
Blue Mountains (C)	Indian	411
Blue Mountains (C)	Irish	12568
Blue Mountains (C)	Italian	1963
Blue Mountains (C)	Korean	100
Blue Mountains (C)	Lebanese	235
Blue Mountains (C)	Macedonian	40
Blue Mountains (C)	Maltese	768
Blue Mountains (C)	Maori	158
Blue Mountains (C)	NZ	718
Blue Mountains (C)	(Other)	5670
Blue Mountains (C)	Polish	862
Blue Mountains (C)	Russian	412
Blue Mountains (C)	Scottish	9665
Blue Mountains (C)	Serbian	102
Blue Mountains (C)	South African	267
Blue Mountains (C)	Spanish	400
Blue Mountains (C)	Sri Lankan	101
Blue Mountains (C)	Turkish	40
Blue Mountains (C)	Vietnamese	172
Blue Mountains (C)	Welsh	862
Bogan (A)		314
Bogan (A)	Australian	1373
Bogan (A)	Australian Aboriginal	29
Bogan (A)	Chinese	17
Bogan (A)	Croatian	6
Bogan (A)	Dutch	3
Bogan (A)	English	1008
Bogan (A)	Filipino	10
Bogan (A)	French	3
Bogan (A)	German	73
Bogan (A)	Greek	3
Bogan (A)	Hungarian	3
Bogan (A)	Indian	11
Bogan (A)	Irish	320
Bogan (A)	Italian	13
Bogan (A)	Lebanese	3
Bogan (A)	Maltese	13
Bogan (A)	Maori	12
Bogan (A)	NZ	10
Bogan (A)	(Other)	61
Bogan (A)	Polish	14
Bogan (A)	Russian	3
Bogan (A)	Scottish	195
Bogan (A)	South African	7
Bogan (A)	Spanish	3
Bogan (A)	Vietnamese	4
Bogan (A)	Welsh	3
Botany Bay (C)		3359
Botany Bay (C)	Australian	8588
Botany Bay (C)	Australian Aboriginal	171
Botany Bay (C)	Chinese	6469
Botany Bay (C)	Croatian	496
Botany Bay (C)	Dutch	257
Botany Bay (C)	English	8627
Botany Bay (C)	Filipino	1428
Botany Bay (C)	French	294
Botany Bay (C)	German	897
Botany Bay (C)	Greek	2766
Botany Bay (C)	Hungarian	210
Botany Bay (C)	Indian	1222
Botany Bay (C)	Irish	3799
