LGA_NAME16	CountryOfBirth	persons
Albury (C)		4838
Albury (C)	AFG	9
Albury (C)	AUS	41590
Albury (C)	BGD	81
Albury (C)	BIH	9
Albury (C)	CAN	48
Albury (C)	CHL	15
Albury (C)	CHN	116
Albury (C)	DEU	248
Albury (C)	EGY	22
Albury (C)	FJI	41
Albury (C)	FRA	19
Albury (C)	GBR	1232
Albury (C)	GRC	54
Albury (C)	HKG	38
Albury (C)	HRV	48
Albury (C)	IDN	16
Albury (C)	IND	559
Albury (C)	IRL	66
Albury (C)	IRN	28
Albury (C)	IRQ	4
Albury (C)	ITA	73
Albury (C)	JPN	18
Albury (C)	KHM	9
Albury (C)	KOR	34
Albury (C)	LBN	13
Albury (C)	LKA	102
Albury (C)	MKD	3
Albury (C)	MLT	13
Albury (C)	MMR	7
Albury (C)	MUS	6
Albury (C)	MYS	43
Albury (C)	NLD	197
Albury (C)	NPL	200
Albury (C)	NZL	540
Albury (C)	PAK	32
Albury (C)	PHL	283
Albury (C)	PNG	20
Albury (C)	POL	37
Albury (C)	SGP	21
Albury (C)	THA	63
Albury (C)	TWN	4
Albury (C)	USA	102
Albury (C)	VNM	35
Albury (C)	ZAF	132
Albury (C)	ZWE	32
Armidale Regional (A)		3019
Armidale Regional (A)	AUS	23396
Armidale Regional (A)	BGD	55
Armidale Regional (A)	CAN	54
Armidale Regional (A)	CHL	9
Armidale Regional (A)	CHN	277
Armidale Regional (A)	DEU	103
Armidale Regional (A)	EGY	3
Armidale Regional (A)	FJI	33
Armidale Regional (A)	FRA	29
Armidale Regional (A)	GBR	706
Armidale Regional (A)	GRC	10
Armidale Regional (A)	HKG	26
Armidale Regional (A)	HRV	5
Armidale Regional (A)	IDN	35
Armidale Regional (A)	IND	163
Armidale Regional (A)	IRL	34
Armidale Regional (A)	IRN	47
Armidale Regional (A)	IRQ	89
Armidale Regional (A)	ITA	23
Armidale Regional (A)	JPN	29
Armidale Regional (A)	KOR	12
Armidale Regional (A)	LBN	6
Armidale Regional (A)	LKA	63
Armidale Regional (A)	MLT	3
Armidale Regional (A)	MMR	12
Armidale Regional (A)	MYS	39
Armidale Regional (A)	NLD	64
Armidale Regional (A)	NPL	151
Armidale Regional (A)	NZL	313
Armidale Regional (A)	PAK	32
Armidale Regional (A)	PHL	154
Armidale Regional (A)	PNG	48
Armidale Regional (A)	POL	10
Armidale Regional (A)	SGP	24
Armidale Regional (A)	THA	32
Armidale Regional (A)	TUR	4
Armidale Regional (A)	TWN	43
Armidale Regional (A)	USA	148
Armidale Regional (A)	VNM	50
Armidale Regional (A)	ZAF	89
Armidale Regional (A)	ZWE	24
Ballina (A)		3610
Ballina (A)	AUS	33984
Ballina (A)	BGD	3
Ballina (A)	CAN	91
Ballina (A)	CHL	30
Ballina (A)	CHN	62
Ballina (A)	DEU	141
Ballina (A)	EGY	5
Ballina (A)	FJI	44
Ballina (A)	FRA	44
Ballina (A)	GBR	1662
Ballina (A)	GRC	12
Ballina (A)	HKG	22
Ballina (A)	HRV	12
Ballina (A)	IDN	33
Ballina (A)	IND	107
Ballina (A)	IRL	71
Ballina (A)	IRN	13
Ballina (A)	ITA	92
Ballina (A)	JPN	58
Ballina (A)	KHM	4
Ballina (A)	KOR	25
Ballina (A)	LBN	4
Ballina (A)	LKA	27
Ballina (A)	MLT	27
Ballina (A)	MMR	4
Ballina (A)	MUS	7
Ballina (A)	MYS	52
Ballina (A)	NLD	152
Ballina (A)	NPL	8
Ballina (A)	NZL	657
Ballina (A)	PAK	6
Ballina (A)	PHL	110
Ballina (A)	PNG	68
Ballina (A)	POL	20
Ballina (A)	SGP	25
Ballina (A)	THA	68
Ballina (A)	TUR	5
Ballina (A)	TWN	4
Ballina (A)	USA	146
Ballina (A)	VNM	30
Ballina (A)	ZAF	232
Ballina (A)	ZWE	33
Balranald (A)		301
Balranald (A)	AUS	1869
Balranald (A)	CHN	4
Balranald (A)	DEU	3
Balranald (A)	FJI	14
Balranald (A)	GBR	22
Balranald (A)	IND	7
Balranald (A)	IRL	3
Balranald (A)	ITA	22
Balranald (A)	KOR	3
Balranald (A)	MUS	3
Balranald (A)	MYS	12
Balranald (A)	NPL	3
Balranald (A)	NZL	13
Balranald (A)	PHL	3
Balranald (A)	THA	7
Balranald (A)	TWN	4
Balranald (A)	USA	3
Bathurst Regional (A)		3506
Bathurst Regional (A)	AFG	9
Bathurst Regional (A)	AUS	34538
Bathurst Regional (A)	BGD	37
Bathurst Regional (A)	BIH	9
Bathurst Regional (A)	CAN	58
Bathurst Regional (A)	CHL	12
Bathurst Regional (A)	CHN	121
Bathurst Regional (A)	DEU	99
Bathurst Regional (A)	EGY	19
Bathurst Regional (A)	FJI	49
Bathurst Regional (A)	FRA	27
Bathurst Regional (A)	GBR	1004
Bathurst Regional (A)	GRC	20
Bathurst Regional (A)	HKG	23
Bathurst Regional (A)	HRV	21
Bathurst Regional (A)	IDN	17
Bathurst Regional (A)	IND	172
Bathurst Regional (A)	IRL	61
Bathurst Regional (A)	IRN	25
Bathurst Regional (A)	IRQ	14
Bathurst Regional (A)	ITA	46
Bathurst Regional (A)	JPN	26
Bathurst Regional (A)	KHM	10
Bathurst Regional (A)	KOR	24
Bathurst Regional (A)	LBN	38
Bathurst Regional (A)	LKA	47
Bathurst Regional (A)	MKD	8
Bathurst Regional (A)	MLT	26
Bathurst Regional (A)	MMR	4
Bathurst Regional (A)	MUS	8
Bathurst Regional (A)	MYS	46
Bathurst Regional (A)	NLD	104
Bathurst Regional (A)	NPL	52
Bathurst Regional (A)	NZL	436
Bathurst Regional (A)	PAK	30
Bathurst Regional (A)	PHL	155
Bathurst Regional (A)	PNG	29
Bathurst Regional (A)	POL	19
Bathurst Regional (A)	SGP	22
Bathurst Regional (A)	THA	49
Bathurst Regional (A)	TWN	3
Bathurst Regional (A)	USA	72
Bathurst Regional (A)	VNM	65
Bathurst Regional (A)	ZAF	103
Bathurst Regional (A)	ZWE	21
Bega Valley (A)		3321
Bega Valley (A)	AUS	26446
Bega Valley (A)	BGD	3
Bega Valley (A)	CAN	54
Bega Valley (A)	CHL	12
Bega Valley (A)	CHN	37
Bega Valley (A)	DEU	238
Bega Valley (A)	EGY	14
Bega Valley (A)	FJI	16
Bega Valley (A)	FRA	25
Bega Valley (A)	GBR	1662
Bega Valley (A)	GRC	18
Bega Valley (A)	HKG	8
Bega Valley (A)	HRV	16
Bega Valley (A)	IDN	23
Bega Valley (A)	IND	46
Bega Valley (A)	IRL	61
Bega Valley (A)	IRN	8
Bega Valley (A)	ITA	54
Bega Valley (A)	JPN	23
Bega Valley (A)	KHM	4
Bega Valley (A)	KOR	17
Bega Valley (A)	LBN	3
Bega Valley (A)	LKA	11
Bega Valley (A)	MKD	4
Bega Valley (A)	MLT	30
Bega Valley (A)	MUS	6
Bega Valley (A)	MYS	31
Bega Valley (A)	NLD	204
Bega Valley (A)	NPL	8
Bega Valley (A)	NZL	375
Bega Valley (A)	PAK	3
Bega Valley (A)	PHL	120
Bega Valley (A)	PNG	18
Bega Valley (A)	POL	25
Bega Valley (A)	SGP	16
Bega Valley (A)	THA	59
Bega Valley (A)	TUR	5
Bega Valley (A)	TWN	3
Bega Valley (A)	USA	131
Bega Valley (A)	VNM	20
Bega Valley (A)	ZAF	85
Bega Valley (A)	ZWE	11
Bellingen (A)		1157
Bellingen (A)	AUS	10173
Bellingen (A)	CAN	28
Bellingen (A)	CHL	10
Bellingen (A)	CHN	8
Bellingen (A)	DEU	91
Bellingen (A)	EGY	3
Bellingen (A)	FJI	8
Bellingen (A)	FRA	26
Bellingen (A)	GBR	664
Bellingen (A)	HKG	11
Bellingen (A)	IDN	5
Bellingen (A)	IND	23
Bellingen (A)	IRL	24
Bellingen (A)	ITA	11
Bellingen (A)	JPN	5
Bellingen (A)	KOR	3
Bellingen (A)	MYS	14
Bellingen (A)	NLD	67
Bellingen (A)	NZL	169
Bellingen (A)	PHL	20
Bellingen (A)	PNG	14
Bellingen (A)	POL	5
Bellingen (A)	SGP	7
Bellingen (A)	THA	7
Bellingen (A)	TUR	3
Bellingen (A)	TWN	3
Bellingen (A)	USA	50
