LGA_NAME16	IndigenousStatus	persons
Albury (C)	Aboriginal	1363
Albury (C)	Both Aboriginal & Torres Strait Islander	23
Albury (C)	Non-indigenous	49661
Albury (C)	Torres Strait Islander	29
Armidale Regional (A)	Aboriginal	2113
Armidale Regional (A)	Both Aboriginal & Torres Strait Islander	28
Armidale Regional (A)	Non-indigenous	27271
Armidale Regional (A)	Torres Strait Islander	37
Ballina (A)	Aboriginal	1297
Ballina (A)	Both Aboriginal & Torres Strait Islander	20
Ballina (A)	Non-indigenous	40420
Ballina (A)	Torres Strait Islander	53
Balranald (A)	Aboriginal	194
Balranald (A)	Both Aboriginal & Torres Strait Islander	4
Balranald (A)	Non-indigenous	2089
Bathurst Regional (A)	Aboriginal	2146
Bathurst Regional (A)	Both Aboriginal & Torres Strait Islander	55
Bathurst Regional (A)	Non-indigenous	39054
Bathurst Regional (A)	Torres Strait Islander	45
Bega Valley (A)	Aboriginal	998
Bega Valley (A)	Both Aboriginal & Torres Strait Islander	25
Bega Valley (A)	Non-indigenous	32212
Bega Valley (A)	Torres Strait Islander	18
Bellingen (A)	Aboriginal	425
Bellingen (A)	Both Aboriginal & Torres Strait Islander	3
Bellingen (A)	Non-indigenous	12227
Bellingen (A)	Torres Strait Islander	13
Berrigan (A)	Aboriginal	187
Berrigan (A)	Both Aboriginal & Torres Strait Islander	3
Berrigan (A)	Non-indigenous	8264
Berrigan (A)	Torres Strait Islander	8
Blacktown (C)	Aboriginal	9103
Blacktown (C)	Both Aboriginal & Torres Strait Islander	186
Blacktown (C)	Non-indigenous	327428
Blacktown (C)	Torres Strait Islander	245
Bland (A)	Aboriginal	252
Bland (A)	Both Aboriginal & Torres Strait Islander	3
Bland (A)	Non-indigenous	5697
Bland (A)	Torres Strait Islander	3
Blayney (A)	Aboriginal	259
Blayney (A)	Both Aboriginal & Torres Strait Islander	5
Blayney (A)	Non-indigenous	6990
Blayney (A)	Torres Strait Islander	3
Blue Mountains (C)	Aboriginal	1754
Blue Mountains (C)	Both Aboriginal & Torres Strait Islander	36
Blue Mountains (C)	Non-indigenous	75081
Blue Mountains (C)	Torres Strait Islander	33
Bogan (A)	Aboriginal	442
Bogan (A)	Both Aboriginal & Torres Strait Islander	3
Bogan (A)	Non-indigenous	2242
Bogan (A)	Torres Strait Islander	5
Botany Bay (C)	Aboriginal	767
Botany Bay (C)	Both Aboriginal & Torres Strait Islander	23
Botany Bay (C)	Non-indigenous	45838
Botany Bay (C)	Torres Strait Islander	26
Bourke (A)	Aboriginal	812
Bourke (A)	Both Aboriginal & Torres Strait Islander	4
Bourke (A)	Non-indigenous	1809
Bourke (A)	Torres Strait Islander	9
Brewarrina (A)	Aboriginal	993
Brewarrina (A)	Both Aboriginal & Torres Strait Islander	16
Brewarrina (A)	Non-indigenous	642
Broken Hill (C)	Aboriginal	1472
Broken Hill (C)	Both Aboriginal & Torres Strait Islander	13
Broken Hill (C)	Non-indigenous	16208
Broken Hill (C)	Torres Strait Islander	15
Burwood (A)	Aboriginal	144
Burwood (A)	Non-indigenous	36665
Byron (A)	Aboriginal	489
Byron (A)	Both Aboriginal & Torres Strait Islander	42
Byron (A)	Non-indigenous	30988
Byron (A)	Torres Strait Islander	37
Cabonne (A)	Aboriginal	469
Cabonne (A)	Both Aboriginal & Torres Strait Islander	18
Cabonne (A)	Non-indigenous	12883
Cabonne (A)	Torres Strait Islander	16
Camden (A)	Aboriginal	1894
Camden (A)	Both Aboriginal & Torres Strait Islander	18
Camden (A)	Non-indigenous	76286
Camden (A)	Torres Strait Islander	20
Campbelltown (C) (NSW)	Aboriginal	5739
Campbelltown (C) (NSW)	Both Aboriginal & Torres Strait Islander	101
Campbelltown (C) (NSW)	Non-indigenous	151030
Campbelltown (C) (NSW)	Torres Strait Islander	136
Canada Bay (A)	Aboriginal	387
Canada Bay (A)	Both Aboriginal & Torres Strait Islander	5
Canada Bay (A)	Non-indigenous	87600
Canada Bay (A)	Torres Strait Islander	23
Canterbury-Bankstown (A)	Aboriginal	2383
Canterbury-Bankstown (A)	Both Aboriginal & Torres Strait Islander	51
Canterbury-Bankstown (A)	Non-indigenous	343757
Canterbury-Bankstown (A)	Torres Strait Islander	111
Carrathool (A)	Aboriginal	204
Carrathool (A)	Both Aboriginal & Torres Strait Islander	3
Carrathool (A)	Non-indigenous	2502
Carrathool (A)	Torres Strait Islander	10
Central Coast (C) (NSW)	Aboriginal	11987
Central Coast (C) (NSW)	Both Aboriginal & Torres Strait Islander	200
Central Coast (C) (NSW)	Non-indigenous	315249
Central Coast (C) (NSW)	Torres Strait Islander	300
Central Darling (A)	Aboriginal	714
Central Darling (A)	Both Aboriginal & Torres Strait Islander	8
Central Darling (A)	Non-indigenous	1108
Central Darling (A)	Torres Strait Islander	3
Cessnock (C)	Aboriginal	3824
Cessnock (C)	Both Aboriginal & Torres Strait Islander	89
Cessnock (C)	Non-indigenous	51556
Cessnock (C)	Torres Strait Islander	91
Clarence Valley (A)	Aboriginal	3083
Clarence Valley (A)	Both Aboriginal & Torres Strait Islander	63
Clarence Valley (A)	Non-indigenous	47455
Clarence Valley (A)	Torres Strait Islander	70
Cobar (A)	Aboriginal	628
Cobar (A)	Non-indigenous	4015
Cobar (A)	Torres Strait Islander	4
Coffs Harbour (C)	Aboriginal	3500
Coffs Harbour (C)	Both Aboriginal & Torres Strait Islander	78
Coffs Harbour (C)	Non-indigenous	69299
Coffs Harbour (C)	Torres Strait Islander	67
Coolamon (A)	Aboriginal	137
Coolamon (A)	Non-indigenous	4178
Coonamble (A)	Aboriginal	1162
Coonamble (A)	Both Aboriginal & Torres Strait Islander	18
Coonamble (A)	Non-indigenous	2734
Coonamble (A)	Torres Strait Islander	4
Cowra (A)	Aboriginal	945
Cowra (A)	Both Aboriginal & Torres Strait Islander	23
Cowra (A)	Non-indigenous	11476
Cowra (A)	Torres Strait Islander	16
Cumberland (A)	Aboriginal	1311
Cumberland (A)	Both Aboriginal & Torres Strait Islander	26
Cumberland (A)	Non-indigenous	214689
Cumberland (A)	Torres Strait Islander	53
Dungog (A)	Aboriginal	423
Dungog (A)	Both Aboriginal & Torres Strait Islander	14
Dungog (A)	Non-indigenous	8523
Dungog (A)	Torres Strait Islander	15
Edward River (A)	Aboriginal	339
Edward River (A)	Both Aboriginal & Torres Strait Islander	6
Edward River (A)	Non-indigenous	8495
Edward River (A)	Torres Strait Islander	11
Eurobodalla (A)	Aboriginal	2014
Eurobodalla (A)	Both Aboriginal & Torres Strait Islander	37
Eurobodalla (A)	Non-indigenous	35153
Eurobodalla (A)	Torres Strait Islander	28
Fairfield (C)	Aboriginal	1384
Fairfield (C)	Both Aboriginal & Torres Strait Islander	15
Fairfield (C)	Non-indigenous	197339
Fairfield (C)	Torres Strait Islander	79
Federation (A)	Aboriginal	198
Federation (A)	Both Aboriginal & Torres Strait Islander	6
Federation (A)	Non-indigenous	12063
Federation (A)	Torres Strait Islander	10
Forbes (A)	Aboriginal	1021
Forbes (A)	Both Aboriginal & Torres Strait Islander	26
Forbes (A)	Non-indigenous	8522
Forbes (A)	Torres Strait Islander	18
Georges River (A)	Aboriginal	747
Georges River (A)	Both Aboriginal & Torres Strait Islander	21
Georges River (A)	Non-indigenous	146038
Georges River (A)	Torres Strait Islander	35
Gilgandra (A)	Aboriginal	582
