LGA_NAME16	Landlord	Rent.min	occupied_private_dwellings_being_rented
Albury (C)		0	32
Albury (C)		5250	3
Albury (C)		7875	7
Albury (C)		10500	6
Albury (C)		14437	5
Albury (C)		18375	4
Albury (C)	(Other)	0	6
Albury (C)	(Other)	3937	9
Albury (C)	(Other)	5250	14
Albury (C)	(Other)	7875	19
Albury (C)	(Other)	10500	17
Albury (C)	(Other)	11812	26
Albury (C)	(Other)	14437	18
Albury (C)	(Other)	18375	6
Albury (C)	Co-op/church group etc	0	3
Albury (C)	Co-op/church group etc	3937	23
Albury (C)	Co-op/church group etc	5250	26
Albury (C)	Co-op/church group etc	7875	35
Albury (C)	Co-op/church group etc	10500	11
Albury (C)	Co-op/church group etc	11812	10
Albury (C)	Co-op/church group etc	14437	4
Albury (C)	Co-op/church group etc	18375	3
Albury (C)	Person not in same household	0	61
Albury (C)	Person not in same household	3937	16
Albury (C)	Person not in same household	5250	99
Albury (C)	Person not in same household	7875	160
Albury (C)	Person not in same household	10500	148
Albury (C)	Person not in same household	11812	210
Albury (C)	Person not in same household	14437	174
Albury (C)	Person not in same household	18375	74
Albury (C)	Person not in same household	23625	23
Albury (C)	Person not in same household	28875	3
Albury (C)	Person not in same household	34125	4
Albury (C)	Person not in same household	49875	3
Albury (C)	Real estate agent	0	15
Albury (C)	Real estate agent	3937	18
Albury (C)	Real estate agent	5250	303
Albury (C)	Real estate agent	7875	885
Albury (C)	Real estate agent	10500	484
Albury (C)	Real estate agent	11812	986
Albury (C)	Real estate agent	14437	1057
Albury (C)	Real estate agent	18375	621
Albury (C)	Real estate agent	23625	88
Albury (C)	Real estate agent	28875	12
Albury (C)	Real estate agent	34125	7
Albury (C)	Real estate agent	49875	5
Albury (C)	State or territory housing authority	0	28
Albury (C)	State or territory housing authority	3937	34
Albury (C)	State or territory housing authority	5250	284
Albury (C)	State or territory housing authority	7875	134
Albury (C)	State or territory housing authority	10500	61
Albury (C)	State or territory housing authority	11812	79
Albury (C)	State or territory housing authority	14437	23
Armidale Regional (A)		0	65
Armidale Regional (A)		5250	3
Armidale Regional (A)		7875	5
Armidale Regional (A)		10500	4
Armidale Regional (A)		11812	3
Armidale Regional (A)		14437	3
Armidale Regional (A)		18375	4
Armidale Regional (A)	(Other)	0	61
Armidale Regional (A)	(Other)	3937	8
Armidale Regional (A)	(Other)	5250	12
Armidale Regional (A)	(Other)	7875	16
Armidale Regional (A)	(Other)	10500	9
Armidale Regional (A)	(Other)	11812	9
Armidale Regional (A)	(Other)	14437	8
Armidale Regional (A)	(Other)	18375	5
Armidale Regional (A)	(Other)	23625	3
Armidale Regional (A)	(Other)	28875	4
Armidale Regional (A)	Co-op/church group etc	0	10
Armidale Regional (A)	Co-op/church group etc	3937	9
Armidale Regional (A)	Co-op/church group etc	5250	7
Armidale Regional (A)	Co-op/church group etc	7875	43
Armidale Regional (A)	Co-op/church group etc	10500	20
Armidale Regional (A)	Co-op/church group etc	11812	11
Armidale Regional (A)	Co-op/church group etc	14437	10
Armidale Regional (A)	Person not in same household	0	66
Armidale Regional (A)	Person not in same household	3937	10
Armidale Regional (A)	Person not in same household	5250	60
Armidale Regional (A)	Person not in same household	7875	104
Armidale Regional (A)	Person not in same household	10500	81
Armidale Regional (A)	Person not in same household	11812	104
Armidale Regional (A)	Person not in same household	14437	117
Armidale Regional (A)	Person not in same household	18375	82
Armidale Regional (A)	Person not in same household	23625	14
Armidale Regional (A)	Person not in same household	28875	6
Armidale Regional (A)	Person not in same household	49875	5
Armidale Regional (A)	Real estate agent	0	6
Armidale Regional (A)	Real estate agent	3937	9
Armidale Regional (A)	Real estate agent	5250	72
Armidale Regional (A)	Real estate agent	7875	196
Armidale Regional (A)	Real estate agent	10500	236
Armidale Regional (A)	Real estate agent	11812	448
Armidale Regional (A)	Real estate agent	14437	598
Armidale Regional (A)	Real estate agent	18375	488
Armidale Regional (A)	Real estate agent	23625	84
Armidale Regional (A)	Real estate agent	28875	12
Armidale Regional (A)	Real estate agent	49875	3
Armidale Regional (A)	State or territory housing authority	0	22
Armidale Regional (A)	State or territory housing authority	3937	27
Armidale Regional (A)	State or territory housing authority	5250	132
Armidale Regional (A)	State or territory housing authority	7875	140
Armidale Regional (A)	State or territory housing authority	10500	52
Armidale Regional (A)	State or territory housing authority	11812	54
Armidale Regional (A)	State or territory housing authority	14437	35
Armidale Regional (A)	State or territory housing authority	18375	6
Armidale Regional (A)	State or territory housing authority	23625	7
Ballina (A)		0	64
Ballina (A)		5250	3
Ballina (A)		7875	3
Ballina (A)		11812	4
Ballina (A)		14437	6
Ballina (A)		18375	4
Ballina (A)		23625	3
Ballina (A)	(Other)	0	9
Ballina (A)	(Other)	5250	19
Ballina (A)	(Other)	7875	32
Ballina (A)	(Other)	10500	29
Ballina (A)	(Other)	11812	47
Ballina (A)	(Other)	14437	9
Ballina (A)	(Other)	18375	16
Ballina (A)	(Other)	23625	3
Ballina (A)	(Other)	28875	6
Ballina (A)	(Other)	34125	3
Ballina (A)	(Other)	39375	3
Ballina (A)	Co-op/church group etc	0	7
Ballina (A)	Co-op/church group etc	3937	12
Ballina (A)	Co-op/church group etc	5250	48
Ballina (A)	Co-op/church group etc	7875	21
Ballina (A)	Co-op/church group etc	10500	11
Ballina (A)	Co-op/church group etc	11812	6
Ballina (A)	Co-op/church group etc	14437	9
Ballina (A)	Co-op/church group etc	18375	8
Ballina (A)	Person not in same household	0	50
Ballina (A)	Person not in same household	3937	3
Ballina (A)	Person not in same household	5250	40
Ballina (A)	Person not in same household	7875	47
Ballina (A)	Person not in same household	10500	74
Ballina (A)	Person not in same household	11812	109
Ballina (A)	Person not in same household	14437	223
Ballina (A)	Person not in same household	18375	257
Ballina (A)	Person not in same household	23625	108
Ballina (A)	Person not in same household	28875	33
Ballina (A)	Person not in same household	34125	12
Ballina (A)	Person not in same household	39375	7
Ballina (A)	Person not in same household	49875	3
Ballina (A)	Real estate agent	5250	22
Ballina (A)	Real estate agent	7875	27
Ballina (A)	Real estate agent	10500	52
Ballina (A)	Real estate agent	11812	182
Ballina (A)	Real estate agent	14437	620
Ballina (A)	Real estate agent	18375	907
Ballina (A)	Real estate agent	23625	492
Ballina (A)	Real estate agent	28875	174
Ballina (A)	Real estate agent	34125	57
Ballina (A)	Real estate agent	39375	13
Ballina (A)	Real estate agent	44625	3
Ballina (A)	Real estate agent	49875	5
Ballina (A)	State or territory housing authority	0	12
Ballina (A)	State or territory housing authority	3937	13
Ballina (A)	State or territory housing authority	5250	251
Ballina (A)	State or territory housing authority	7875	86
Ballina (A)	State or territory housing authority	10500	48
Ballina (A)	State or territory housing authority	11812	44
Ballina (A)	State or territory housing authority	14437	40
Ballina (A)	State or territory housing authority	18375	17
Ballina (A)	State or territory housing authority	23625	5
Balranald (A)		0	8
Balranald (A)	(Other)	0	20
Balranald (A)	(Other)	3937	5
Balranald (A)	(Other)	5250	6
Balranald (A)	(Other)	7875	8
Balranald (A)	(Other)	10500	5
Balranald (A)	Co-op/church group etc	0	7
Balranald (A)	Co-op/church group etc	3937	3
Balranald (A)	Co-op/church group etc	5250	5
Balranald (A)	Co-op/church group etc	7875	3
Balranald (A)	Person not in same household	0	18
Balranald (A)	Person not in same household	5250	8
Balranald (A)	Person not in same household	7875	23
Balranald (A)	Person not in same household	10500	21
Balranald (A)	Person not in same household	11812	13
Balranald (A)	Real estate agent	5250	7
Balranald (A)	Real estate agent	7875	18
Balranald (A)	Real estate agent	10500	6
Balranald (A)	Real estate agent	11812	7
Balranald (A)	State or territory housing authority	0	4
Balranald (A)	State or territory housing authority	5250	12
Balranald (A)	State or territory housing authority	7875	8
Balranald (A)	State or territory housing authority	10500	3
Bathurst Regional (A)		0	50
Bathurst Regional (A)		5250	8
Bathurst Regional (A)		7875	4
Bathurst Regional (A)		10500	3
Bathurst Regional (A)		11812	6
Bathurst Regional (A)		14437	4
Bathurst Regional (A)		18375	3
Bathurst Regional (A)	(Other)	0	21
Bathurst Regional (A)	(Other)	3937	3
Bathurst Regional (A)	(Other)	5250	13
Bathurst Regional (A)	(Other)	7875	7
Bathurst Regional (A)	(Other)	10500	8
Bathurst Regional (A)	(Other)	11812	7
Bathurst Regional (A)	(Other)	14437	20
Bathurst Regional (A)	(Other)	18375	5
Bathurst Regional (A)	Co-op/church group etc	0	13
Bathurst Regional (A)	Co-op/church group etc	3937	7
Bathurst Regional (A)	Co-op/church group etc	5250	15
Bathurst Regional (A)	Co-op/church group etc	7875	6
Bathurst Regional (A)	Co-op/church group etc	10500	3
Bathurst Regional (A)	Co-op/church group etc	11812	5
Bathurst Regional (A)	Co-op/church group etc	14437	21
Bathurst Regional (A)	Co-op/church group etc	18375	17
Bathurst Regional (A)	Person not in same household	0	63
Bathurst Regional (A)	Person not in same household	3937	6
Bathurst Regional (A)	Person not in same household	5250	57
Bathurst Regional (A)	Person not in same household	7875	90
Bathurst Regional (A)	Person not in same household	10500	112
Bathurst Regional (A)	Person not in same household	11812	143
Bathurst Regional (A)	Person not in same household	14437	213
Bathurst Regional (A)	Person not in same household	18375	101
Bathurst Regional (A)	Person not in same household	23625	7
Bathurst Regional (A)	Person not in same household	28875	3
Bathurst Regional (A)	Real estate agent	0	10
Bathurst Regional (A)	Real estate agent	5250	48
Bathurst Regional (A)	Real estate agent	7875	206
Bathurst Regional (A)	Real estate agent	10500	177
Bathurst Regional (A)	Real estate agent	11812	533
Bathurst Regional (A)	Real estate agent	14437	900
Bathurst Regional (A)	Real estate agent	18375	741
Bathurst Regional (A)	Real estate agent	23625	79
Bathurst Regional (A)	Real estate agent	28875	3
Bathurst Regional (A)	Real estate agent	49875	3
Bathurst Regional (A)	State or territory housing authority	0	20
Bathurst Regional (A)	State or territory housing authority	3937	27
Bathurst Regional (A)	State or territory housing authority	5250	178
Bathurst Regional (A)	State or territory housing authority	7875	109
Bathurst Regional (A)	State or territory housing authority	10500	61
Bathurst Regional (A)	State or territory housing authority	11812	43
Bathurst Regional (A)	State or territory housing authority	14437	54
Bathurst Regional (A)	State or territory housing authority	18375	12
Bega Valley (A)		0	70
Bega Valley (A)		5250	4
