LGA_NAME16	Age	EnglishProficiency	SpeaksEnglishOnly	YearOfArrival.max	persons_born_overseas
Albury (C)	0-14		1		6
Albury (C)	0-14		1	2005	12
Albury (C)	0-14		1	2010	50
Albury (C)	0-14		1	2011	13
Albury (C)	0-14		1	2012	11
Albury (C)	0-14		1	2013	5
Albury (C)	0-14		1	2014	16
Albury (C)	0-14		1	2015	13
Albury (C)	0-14		1	2016	15
Albury (C)	0-14	Speaks English not well or not at all	0		4
Albury (C)	0-14	Speaks English not well or not at all	0	2010	6
Albury (C)	0-14	Speaks English not well or not at all	0	2011	3
Albury (C)	0-14	Speaks English not well or not at all	0	2012	6
Albury (C)	0-14	Speaks English not well or not at all	0	2013	10
Albury (C)	0-14	Speaks English not well or not at all	0	2014	11
Albury (C)	0-14	Speaks English not well or not at all	0	2015	12
Albury (C)	0-14	Speaks English not well or not at all	0	2016	10
Albury (C)	0-14	Speaks English well or very well	0		8
Albury (C)	0-14	Speaks English well or very well	0	2010	61
Albury (C)	0-14	Speaks English well or very well	0	2011	37
Albury (C)	0-14	Speaks English well or very well	0	2012	34
Albury (C)	0-14	Speaks English well or very well	0	2013	21
Albury (C)	0-14	Speaks English well or very well	0	2014	22
Albury (C)	0-14	Speaks English well or very well	0	2015	22
Albury (C)	0-14	Speaks English well or very well	0	2016	5
Albury (C)	15-24		1		5
Albury (C)	15-24		1	2000	32
Albury (C)	15-24		1	2005	47
Albury (C)	15-24		1	2010	43
Albury (C)	15-24		1	2011	5
Albury (C)	15-24		1	2012	3
Albury (C)	15-24		1	2013	3
Albury (C)	15-24		1	2015	3
Albury (C)	15-24		1	2016	6
Albury (C)	15-24	Speaks English not well or not at all	0	2010	6
Albury (C)	15-24	Speaks English not well or not at all	0	2011	3
Albury (C)	15-24	Speaks English not well or not at all	0	2012	3
Albury (C)	15-24	Speaks English not well or not at all	0	2013	3
Albury (C)	15-24	Speaks English not well or not at all	0	2014	5
Albury (C)	15-24	Speaks English not well or not at all	0	2015	9
Albury (C)	15-24	Speaks English not well or not at all	0	2016	6
Albury (C)	15-24	Speaks English well or very well	0		3
Albury (C)	15-24	Speaks English well or very well	0	2000	10
Albury (C)	15-24	Speaks English well or very well	0	2005	18
Albury (C)	15-24	Speaks English well or very well	0	2010	66
Albury (C)	15-24	Speaks English well or very well	0	2011	29
Albury (C)	15-24	Speaks English well or very well	0	2012	23
Albury (C)	15-24	Speaks English well or very well	0	2013	18
Albury (C)	15-24	Speaks English well or very well	0	2014	11
Albury (C)	15-24	Speaks English well or very well	0	2015	26
Albury (C)	15-24	Speaks English well or very well	0	2016	6
Albury (C)	25-34		0	2010	3
Albury (C)	25-34		1		5
Albury (C)	25-34		1	2000	79
Albury (C)	25-34		1	2005	33
Albury (C)	25-34		1	2010	55
Albury (C)	25-34		1	2011	12
Albury (C)	25-34		1	2012	13
Albury (C)	25-34		1	2013	3
Albury (C)	25-34		1	2014	10
Albury (C)	25-34		1	2015	11
Albury (C)	25-34		1	2016	3
Albury (C)	25-34	Speaks English not well or not at all	0	2010	19
Albury (C)	25-34	Speaks English not well or not at all	0	2011	16
Albury (C)	25-34	Speaks English not well or not at all	0	2012	8
Albury (C)	25-34	Speaks English not well or not at all	0	2013	5
Albury (C)	25-34	Speaks English not well or not at all	0	2014	13
Albury (C)	25-34	Speaks English not well or not at all	0	2015	3
Albury (C)	25-34	Speaks English not well or not at all	0	2016	6
Albury (C)	25-34	Speaks English well or very well	0		8
Albury (C)	25-34	Speaks English well or very well	0	2000	18
Albury (C)	25-34	Speaks English well or very well	0	2005	36
Albury (C)	25-34	Speaks English well or very well	0	2010	264
Albury (C)	25-34	Speaks English well or very well	0	2011	43
Albury (C)	25-34	Speaks English well or very well	0	2012	48
Albury (C)	25-34	Speaks English well or very well	0	2013	42
Albury (C)	25-34	Speaks English well or very well	0	2014	38
Albury (C)	25-34	Speaks English well or very well	0	2015	38
Albury (C)	25-34	Speaks English well or very well	0	2016	20
Albury (C)	35-44		0	2010	3
Albury (C)	35-44		1		3
Albury (C)	35-44		1	2000	161
Albury (C)	35-44		1	2005	67
Albury (C)	35-44		1	2010	32
Albury (C)	35-44		1	2011	13
Albury (C)	35-44		1	2012	11
Albury (C)	35-44		1	2013	3
Albury (C)	35-44		1	2014	4
Albury (C)	35-44		1	2015	10
Albury (C)	35-44		1	2016	8
Albury (C)	35-44	Speaks English not well or not at all	0	2000	3
Albury (C)	35-44	Speaks English not well or not at all	0	2005	5
Albury (C)	35-44	Speaks English not well or not at all	0	2010	30
Albury (C)	35-44	Speaks English not well or not at all	0	2011	21
Albury (C)	35-44	Speaks English not well or not at all	0	2012	6
Albury (C)	35-44	Speaks English not well or not at all	0	2013	5
Albury (C)	35-44	Speaks English not well or not at all	0	2014	4
Albury (C)	35-44	Speaks English not well or not at all	0	2015	14
Albury (C)	35-44	Speaks English well or very well	0		6
Albury (C)	35-44	Speaks English well or very well	0	2000	72
Albury (C)	35-44	Speaks English well or very well	0	2005	64
Albury (C)	35-44	Speaks English well or very well	0	2010	192
Albury (C)	35-44	Speaks English well or very well	0	2011	31
Albury (C)	35-44	Speaks English well or very well	0	2012	37
Albury (C)	35-44	Speaks English well or very well	0	2013	11
Albury (C)	35-44	Speaks English well or very well	0	2014	26
Albury (C)	35-44	Speaks English well or very well	0	2015	16
Albury (C)	35-44	Speaks English well or very well	0	2016	13
Albury (C)	45-54		1		12
Albury (C)	45-54		1	2000	378
Albury (C)	45-54		1	2005	41
Albury (C)	45-54		1	2010	50
Albury (C)	45-54		1	2011	3
Albury (C)	45-54		1	2012	6
Albury (C)	45-54		1	2013	5
Albury (C)	45-54		1	2014	3
Albury (C)	45-54	Speaks English not well or not at all	0	2000	8
Albury (C)	45-54	Speaks English not well or not at all	0	2010	25
Albury (C)	45-54	Speaks English not well or not at all	0	2011	7
Albury (C)	45-54	Speaks English not well or not at all	0	2012	8
Albury (C)	45-54	Speaks English not well or not at all	0	2013	13
