LGA_NAME16	Religion	Denomination	Sex	persons
Albury (C)	(Other)		F	2292
Albury (C)	(Other)		M	2434
Albury (C)	(Other)	(Other)	F	72
Albury (C)	(Other)	(Other)	M	63
Albury (C)	(Other)	Australian Aboriginal Traditional	F	8
Albury (C)	(Other)	Australian Aboriginal Traditional	M	9
Albury (C)	(Other)	Other spiritual beliefs	F	35
Albury (C)	(Other)	Other spiritual beliefs	M	18
Albury (C)	(Other)	Secular beliefs	F	68
Albury (C)	(Other)	Secular beliefs	M	78
Albury (C)	(Other)	Sikhism	F	117
Albury (C)	(Other)	Sikhism	M	131
Albury (C)	Buddhism		F	299
Albury (C)	Buddhism		M	213
Albury (C)	Christianity		F	580
Albury (C)	Christianity		M	492
Albury (C)	Christianity	(Other)	F	15
Albury (C)	Christianity	(Other)	M	16
Albury (C)	Christianity	Anglican	F	4774
Albury (C)	Christianity	Anglican	M	3876
Albury (C)	Christianity	Baptist	F	291
Albury (C)	Christianity	Baptist	M	243
Albury (C)	Christianity	Brethren	F	64
Albury (C)	Christianity	Brethren	M	49
Albury (C)	Christianity	Catholic	F	6945
Albury (C)	Christianity	Catholic	M	6130
Albury (C)	Christianity	Churches Of Christ	F	19
Albury (C)	Christianity	Churches Of Christ	M	11
Albury (C)	Christianity	Eastern Orthodox	F	164
Albury (C)	Christianity	Eastern Orthodox	M	147
Albury (C)	Christianity	Jehovah's Witnesses	F	113
Albury (C)	Christianity	Jehovah's Witnesses	M	70
Albury (C)	Christianity	Latter Day Saints	F	24
Albury (C)	Christianity	Latter Day Saints	M	22
Albury (C)	Christianity	Lutheran	F	619
Albury (C)	Christianity	Lutheran	M	449
Albury (C)	Christianity	Oriental Orthodox	F	7
Albury (C)	Christianity	Oriental Orthodox	M	6
Albury (C)	Christianity	Pentecostal	F	294
Albury (C)	Christianity	Pentecostal	M	230
Albury (C)	Christianity	Presbyterian Reformed	F	989
Albury (C)	Christianity	Presbyterian Reformed	M	833
Albury (C)	Christianity	Protestant (Other)	F	54
Albury (C)	Christianity	Protestant (Other)	M	47
Albury (C)	Christianity	Salvation Army	F	79
Albury (C)	Christianity	Salvation Army	M	60
Albury (C)	Christianity	Seventh Day Adventist	F	103
Albury (C)	Christianity	Seventh Day Adventist	M	99
Albury (C)	Christianity	Uniting Church	F	1298
Albury (C)	Christianity	Uniting Church	M	844
Albury (C)	Hinduism		F	406
Albury (C)	Hinduism		M	429
Albury (C)	Islam		F	107
Albury (C)	Islam		M	134
Albury (C)	Judaism		F	11
Albury (C)	Judaism		M	12
Albury (C)	No religion		F	6559
Albury (C)	No religion		M	7506
Armidale Regional (A)	(Other)		F	1534
Armidale Regional (A)	(Other)		M	1504
Armidale Regional (A)	(Other)	(Other)	F	62
Armidale Regional (A)	(Other)	(Other)	M	58
Armidale Regional (A)	(Other)	Australian Aboriginal Traditional	F	6
Armidale Regional (A)	(Other)	Australian Aboriginal Traditional	M	7
Armidale Regional (A)	(Other)	Other spiritual beliefs	F	24
Armidale Regional (A)	(Other)	Other spiritual beliefs	M	19
Armidale Regional (A)	(Other)	Secular beliefs	F	40
Armidale Regional (A)	(Other)	Secular beliefs	M	50
Armidale Regional (A)	(Other)	Sikhism	F	16
Armidale Regional (A)	(Other)	Sikhism	M	27
Armidale Regional (A)	Buddhism		F	182
Armidale Regional (A)	Buddhism		M	129
Armidale Regional (A)	Christianity		F	288
Armidale Regional (A)	Christianity		M	286
Armidale Regional (A)	Christianity	(Other)	F	13
Armidale Regional (A)	Christianity	(Other)	M	21
Armidale Regional (A)	Christianity	Anglican	F	3658
Armidale Regional (A)	Christianity	Anglican	M	3067
Armidale Regional (A)	Christianity	Baptist	F	165
Armidale Regional (A)	Christianity	Baptist	M	141
Armidale Regional (A)	Christianity	Brethren	F	68
Armidale Regional (A)	Christianity	Brethren	M	66
Armidale Regional (A)	Christianity	Catholic	F	3153
Armidale Regional (A)	Christianity	Catholic	M	2792
Armidale Regional (A)	Christianity	Churches Of Christ	F	35
Armidale Regional (A)	Christianity	Churches Of Christ	M	24
Armidale Regional (A)	Christianity	Eastern Orthodox	F	40
Armidale Regional (A)	Christianity	Eastern Orthodox	M	43
Armidale Regional (A)	Christianity	Jehovah's Witnesses	F	43
Armidale Regional (A)	Christianity	Jehovah's Witnesses	M	36
Armidale Regional (A)	Christianity	Latter Day Saints	F	33
Armidale Regional (A)	Christianity	Latter Day Saints	M	21
Armidale Regional (A)	Christianity	Lutheran	F	40
Armidale Regional (A)	Christianity	Lutheran	M	29
Armidale Regional (A)	Christianity	Oriental Orthodox	F	3
Armidale Regional (A)	Christianity	Pentecostal	F	141
Armidale Regional (A)	Christianity	Pentecostal	M	97
Armidale Regional (A)	Christianity	Presbyterian Reformed	F	711
Armidale Regional (A)	Christianity	Presbyterian Reformed	M	621
Armidale Regional (A)	Christianity	Protestant (Other)	F	38
Armidale Regional (A)	Christianity	Protestant (Other)	M	28
Armidale Regional (A)	Christianity	Salvation Army	F	90
Armidale Regional (A)	Christianity	Salvation Army	M	74
Armidale Regional (A)	Christianity	Seventh Day Adventist	F	99
Armidale Regional (A)	Christianity	Seventh Day Adventist	M	83
Armidale Regional (A)	Christianity	Uniting Church	F	536
Armidale Regional (A)	Christianity	Uniting Church	M	375
Armidale Regional (A)	Hinduism		F	155
Armidale Regional (A)	Hinduism		M	131
Armidale Regional (A)	Islam		F	210
Armidale Regional (A)	Islam		M	257
Armidale Regional (A)	Judaism		F	3
Armidale Regional (A)	Judaism		M	14
Armidale Regional (A)	No religion		F	3850
Armidale Regional (A)	No religion		M	4224
Ballina (A)	(Other)		F	2182
Ballina (A)	(Other)		M	2122
Ballina (A)	(Other)	(Other)	F	100
Ballina (A)	(Other)	(Other)	M	59
Ballina (A)	(Other)	Australian Aboriginal Traditional	F	4
Ballina (A)	(Other)	Australian Aboriginal Traditional	M	3
Ballina (A)	(Other)	Other spiritual beliefs	F	73
Ballina (A)	(Other)	Other spiritual beliefs	M	42
Ballina (A)	(Other)	Secular beliefs	F	63
Ballina (A)	(Other)	Secular beliefs	M	78
Ballina (A)	(Other)	Sikhism	F	21
Ballina (A)	(Other)	Sikhism	M	22
Ballina (A)	Buddhism		F	309
Ballina (A)	Buddhism		M	199
Ballina (A)	Christianity		F	498
Ballina (A)	Christianity		M	415
Ballina (A)	Christianity	(Other)	F	37
Ballina (A)	Christianity	(Other)	M	27
Ballina (A)	Christianity	Anglican	F	4364
Ballina (A)	Christianity	Anglican	M	3599
Ballina (A)	Christianity	Baptist	F	270
Ballina (A)	Christianity	Baptist	M	236
Ballina (A)	Christianity	Brethren	F	3
Ballina (A)	Christianity	Catholic	F	4866
Ballina (A)	Christianity	Catholic	M	4302
Ballina (A)	Christianity	Churches Of Christ	F	11
Ballina (A)	Christianity	Churches Of Christ	M	15
Ballina (A)	Christianity	Eastern Orthodox	F	54
Ballina (A)	Christianity	Eastern Orthodox	M	52
Ballina (A)	Christianity	Jehovah's Witnesses	F	132
Ballina (A)	Christianity	Jehovah's Witnesses	M	106
Ballina (A)	Christianity	Latter Day Saints	F	31
Ballina (A)	Christianity	Latter Day Saints	M	29
Ballina (A)	Christianity	Lutheran	F	62
Ballina (A)	Christianity	Lutheran	M	52
Ballina (A)	Christianity	Oriental Orthodox	M	5
Ballina (A)	Christianity	Pentecostal	F	297
Ballina (A)	Christianity	Pentecostal	M	224
Ballina (A)	Christianity	Presbyterian Reformed	F	980
Ballina (A)	Christianity	Presbyterian Reformed	M	793
Ballina (A)	Christianity	Protestant (Other)	F	74
Ballina (A)	Christianity	Protestant (Other)	M	58
Ballina (A)	Christianity	Salvation Army	F	60
Ballina (A)	Christianity	Salvation Army	M	34
Ballina (A)	Christianity	Seventh Day Adventist	F	114
Ballina (A)	Christianity	Seventh Day Adventist	M	108
Ballina (A)	Christianity	Uniting Church	F	1016
Ballina (A)	Christianity	Uniting Church	M	787
Ballina (A)	Hinduism		F	42
Ballina (A)	Hinduism		M	54
Ballina (A)	Islam		F	26
Ballina (A)	Islam		M	23
Ballina (A)	Judaism		F	23
Ballina (A)	Judaism		M	26
Ballina (A)	No religion		F	5960
Ballina (A)	No religion		M	6660
Balranald (A)	(Other)		F	137
Balranald (A)	(Other)		M	154
Balranald (A)	(Other)	(Other)	F	3
Balranald (A)	Buddhism		F	10
Balranald (A)	Buddhism		M	7
Balranald (A)	Christianity		F	35
Balranald (A)	Christianity		M	28
Balranald (A)	Christianity	Anglican	F	171
Balranald (A)	Christianity	Anglican	M	175
Balranald (A)	Christianity	Baptist	F	3
Balranald (A)	Christianity	Baptist	M	3
Balranald (A)	Christianity	Catholic	F	395
Balranald (A)	Christianity	Catholic	M	416
Balranald (A)	Christianity	Churches Of Christ	F	3
Balranald (A)	Christianity	Jehovah's Witnesses	F	3
Balranald (A)	Christianity	Lutheran	F	7
Balranald (A)	Christianity	Lutheran	M	8
Balranald (A)	Christianity	Pentecostal	F	7
Balranald (A)	Christianity	Pentecostal	M	9
Balranald (A)	Christianity	Presbyterian Reformed	F	80
Balranald (A)	Christianity	Presbyterian Reformed	M	72
Balranald (A)	Christianity	Protestant (Other)	F	4
Balranald (A)	Christianity	Uniting Church	F	38
Balranald (A)	Christianity	Uniting Church	M	30
Balranald (A)	Hinduism		F	8
Balranald (A)	Hinduism		M	6
Balranald (A)	Islam		M	4
Balranald (A)	No religion		F	212
Balranald (A)	No religion		M	268
Bathurst Regional (A)	(Other)		F	1872
Bathurst Regional (A)	(Other)		M	2786
Bathurst Regional (A)	(Other)	(Other)	F	49
Bathurst Regional (A)	(Other)	(Other)	M	48
Bathurst Regional (A)	(Other)	Australian Aboriginal Traditional	F	10
Bathurst Regional (A)	(Other)	Australian Aboriginal Traditional	M	6
Bathurst Regional (A)	(Other)	Other spiritual beliefs	F	32
