LGA_NAME16	CountryOfBirth	Sex	persons
Albury (C)		F	2511
Albury (C)		M	2320
Albury (C)	AFG	F	3
Albury (C)	AFG	M	8
Albury (C)	AUS	F	21514
Albury (C)	AUS	M	20071
Albury (C)	BGD	F	43
Albury (C)	BGD	M	43
Albury (C)	BIH	F	3
Albury (C)	BIH	M	3
Albury (C)	CAN	F	19
Albury (C)	CAN	M	29
Albury (C)	CHL	F	6
Albury (C)	CHL	M	4
Albury (C)	CHN	F	68
Albury (C)	CHN	M	49
Albury (C)	DEU	F	129
Albury (C)	DEU	M	120
Albury (C)	EGY	F	5
Albury (C)	EGY	M	13
Albury (C)	FJI	F	18
Albury (C)	FJI	M	24
Albury (C)	FRA	F	12
Albury (C)	FRA	M	6
Albury (C)	GBR	F	617
Albury (C)	GBR	M	618
Albury (C)	GRC	F	23
Albury (C)	GRC	M	32
Albury (C)	HKG	F	20
Albury (C)	HKG	M	16
Albury (C)	HRV	F	28
Albury (C)	HRV	M	24
Albury (C)	IDN	F	8
Albury (C)	IDN	M	3
Albury (C)	IND	F	270
Albury (C)	IND	M	290
Albury (C)	IRL	F	34
Albury (C)	IRL	M	39
Albury (C)	IRN	F	15
Albury (C)	IRN	M	14
Albury (C)	ITA	F	38
Albury (C)	ITA	M	33
Albury (C)	JPN	F	14
Albury (C)	JPN	M	3
Albury (C)	KHM	F	3
Albury (C)	KHM	M	3
Albury (C)	KOR	F	20
Albury (C)	KOR	M	16
Albury (C)	LBN	F	3
Albury (C)	LBN	M	9
Albury (C)	LKA	F	57
Albury (C)	LKA	M	47
Albury (C)	MKD	M	3
Albury (C)	MLT	F	7
Albury (C)	MLT	M	7
Albury (C)	MMR	F	3
Albury (C)	MUS	F	8
Albury (C)	MUS	M	3
Albury (C)	MYS	F	30
Albury (C)	MYS	M	13
Albury (C)	NLD	F	100
Albury (C)	NLD	M	96
Albury (C)	NPL	F	101
Albury (C)	NPL	M	103
Albury (C)	NZL	F	263
