POA_CODE_2016	Religion	Denomination	Sex	persons
POA0800	(Other)		F	515
POA0800	(Other)		M	711
POA0800	(Other)	(Other)	F	11
POA0800	(Other)	(Other)	M	11
POA0800	(Other)	Australian Aboriginal Traditional	F	3
POA0800	(Other)	Australian Aboriginal Traditional	M	3
POA0800	(Other)	Other spiritual beliefs	F	6
POA0800	(Other)	Secular beliefs	F	13
POA0800	(Other)	Secular beliefs	M	19
POA0800	(Other)	Sikhism	F	8
POA0800	(Other)	Sikhism	M	18
POA0800	Buddhism		F	128
POA0800	Buddhism		M	148
POA0800	Christianity		F	50
POA0800	Christianity		M	66
POA0800	Christianity	(Other)	F	3
POA0800	Christianity	Anglican	F	176
POA0800	Christianity	Anglican	M	230
POA0800	Christianity	Baptist	F	36
POA0800	Christianity	Baptist	M	30
POA0800	Christianity	Catholic	F	573
POA0800	Christianity	Catholic	M	652
POA0800	Christianity	Churches Of Christ	M	3
POA0800	Christianity	Eastern Orthodox	F	43
POA0800	Christianity	Eastern Orthodox	M	51
POA0800	Christianity	Jehovah's Witnesses	F	3
POA0800	Christianity	Jehovah's Witnesses	M	4
POA0800	Christianity	Latter Day Saints	F	3
POA0800	Christianity	Latter Day Saints	M	5
POA0800	Christianity	Lutheran	F	19
POA0800	Christianity	Lutheran	M	14
POA0800	Christianity	Oriental Orthodox	F	3
POA0800	Christianity	Oriental Orthodox	M	4
POA0800	Christianity	Pentecostal	F	19
POA0800	Christianity	Pentecostal	M	16
POA0800	Christianity	Presbyterian Reformed	F	37
POA0800	Christianity	Presbyterian Reformed	M	38
POA0800	Christianity	Protestant (Other)	F	14
POA0800	Christianity	Protestant (Other)	M	14
POA0800	Christianity	Salvation Army	F	3
POA0800	Christianity	Seventh Day Adventist	F	5
POA0800	Christianity	Seventh Day Adventist	M	3
POA0800	Christianity	Uniting Church	F	55
POA0800	Christianity	Uniting Church	M	60
POA0800	Hinduism		F	131
POA0800	Hinduism		M	164
POA0800	Islam		F	37
POA0800	Islam		M	52
POA0800	Judaism		M	8
POA0800	No religion		F	950
POA0800	No religion		M	1314
POA0810	(Other)		F	2101
POA0810	(Other)		M	2217
POA0810	(Other)	(Other)	F	68
POA0810	(Other)	(Other)	M	53
POA0810	(Other)	Australian Aboriginal Traditional	F	5
POA0810	(Other)	Australian Aboriginal Traditional	M	6
POA0810	(Other)	Other spiritual beliefs	F	29
POA0810	(Other)	Other spiritual beliefs	M	27
POA0810	(Other)	Secular beliefs	F	55
POA0810	(Other)	Secular beliefs	M	47
POA0810	(Other)	Sikhism	F	105
POA0810	(Other)	Sikhism	M	131
POA0810	Buddhism		F	640
POA0810	Buddhism		M	495
POA0810	Christianity		F	412
POA0810	Christianity		M	357
POA0810	Christianity	(Other)	F	13
POA0810	Christianity	(Other)	M	13
POA0810	Christianity	Anglican	F	1225
POA0810	Christianity	Anglican	M	1116
POA0810	Christianity	Baptist	F	233
POA0810	Christianity	Baptist	M	198
POA0810	Christianity	Catholic	F	3781
POA0810	Christianity	Catholic	M	3464
POA0810	Christianity	Churches Of Christ	F	21
POA0810	Christianity	Churches Of Christ	M	15
POA0810	Christianity	Eastern Orthodox	F	903
POA0810	Christianity	Eastern Orthodox	M	999
POA0810	Christianity	Jehovah's Witnesses	F	52
POA0810	Christianity	Jehovah's Witnesses	M	29
POA0810	Christianity	Latter Day Saints	F	23
POA0810	Christianity	Latter Day Saints	M	37
POA0810	Christianity	Lutheran	F	99
POA0810	Christianity	Lutheran	M	69
POA0810	Christianity	Oriental Orthodox	F	38
POA0810	Christianity	Oriental Orthodox	M	32
POA0810	Christianity	Pentecostal	F	196
POA0810	Christianity	Pentecostal	M	156
POA0810	Christianity	Presbyterian Reformed	F	172
POA0810	Christianity	Presbyterian Reformed	M	193
POA0810	Christianity	Protestant (Other)	F	98
POA0810	Christianity	Protestant (Other)	M	65
POA0810	Christianity	Salvation Army	F	27
POA0810	Christianity	Salvation Army	M	24
POA0810	Christianity	Seventh Day Adventist	F	66
POA0810	Christianity	Seventh Day Adventist	M	56
POA0810	Christianity	Uniting Church	F	492
POA0810	Christianity	Uniting Church	M	441
POA0810	Hinduism		F	645
POA0810	Hinduism		M	742
POA0810	Islam		F	332
POA0810	Islam		M	512
POA0810	Judaism		F	16
POA0810	Judaism		M	18
POA0810	No religion		F	4712
POA0810	No religion		M	5259
POA0812	(Other)		F	1148
POA0812	(Other)		M	1260
POA0812	(Other)	(Other)	F	42
POA0812	(Other)	(Other)	M	40
POA0812	(Other)	Australian Aboriginal Traditional	F	12
POA0812	(Other)	Australian Aboriginal Traditional	M	12
POA0812	(Other)	Other spiritual beliefs	F	14
POA0812	(Other)	Other spiritual beliefs	M	15
POA0812	(Other)	Secular beliefs	F	22
POA0812	(Other)	Secular beliefs	M	41
POA0812	(Other)	Sikhism	F	12
POA0812	(Other)	Sikhism	M	24
POA0812	Buddhism		F	400
POA0812	Buddhism		M	288
POA0812	Christianity		F	224
POA0812	Christianity		M	221
POA0812	Christianity	(Other)	F	8
POA0812	Christianity	(Other)	M	3
POA0812	Christianity	Anglican	F	740
POA0812	Christianity	Anglican	M	667
POA0812	Christianity	Baptist	F	131
POA0812	Christianity	Baptist	M	134
POA0812	Christianity	Brethren	F	3
POA0812	Christianity	Catholic	F	2487
POA0812	Christianity	Catholic	M	2225
POA0812	Christianity	Churches Of Christ	F	5
POA0812	Christianity	Churches Of Christ	M	10
POA0812	Christianity	Eastern Orthodox	F	389
POA0812	Christianity	Eastern Orthodox	M	419
POA0812	Christianity	Jehovah's Witnesses	F	73
POA0812	Christianity	Jehovah's Witnesses	M	62
POA0812	Christianity	Latter Day Saints	F	35
POA0812	Christianity	Latter Day Saints	M	25
POA0812	Christianity	Lutheran	F	93
POA0812	Christianity	Lutheran	M	84
POA0812	Christianity	Oriental Orthodox	F	7
POA0812	Christianity	Oriental Orthodox	M	4
POA0812	Christianity	Pentecostal	F	147
POA0812	Christianity	Pentecostal	M	123
POA0812	Christianity	Presbyterian Reformed	F	105
POA0812	Christianity	Presbyterian Reformed	M	102
POA0812	Christianity	Protestant (Other)	F	66
POA0812	Christianity	Protestant (Other)	M	57
POA0812	Christianity	Salvation Army	F	19
POA0812	Christianity	Salvation Army	M	20
POA0812	Christianity	Seventh Day Adventist	F	44
POA0812	Christianity	Seventh Day Adventist	M	36
POA0812	Christianity	Uniting Church	F	338
POA0812	Christianity	Uniting Church	M	303
POA0812	Hinduism		F	126
POA0812	Hinduism		M	120
POA0812	Islam		F	165
POA0812	Islam		M	155
POA0812	Judaism		F	11
POA0812	Judaism		M	4
POA0812	No religion		F	2568
POA0812	No religion		M	3009
POA0815	(Other)		F	37
POA0815	(Other)		M	75
POA0815	Buddhism		F	5
POA0815	Buddhism		M	4
POA0815	Christianity		M	3
POA0815	Christianity	Anglican	F	6
POA0815	Christianity	Anglican	M	3
POA0815	Christianity	Catholic	F	14
POA0815	Christianity	Catholic	M	22
POA0815	Christianity	Uniting Church	M	3
POA0815	Hinduism		F	7
POA0815	Hinduism		M	30
POA0815	Islam		F	4
POA0815	Islam		M	17
POA0815	No religion		F	32
POA0815	No religion		M	26
POA0820	(Other)		F	1193
POA0820	(Other)		M	1500
POA0820	(Other)	(Other)	F	48
POA0820	(Other)	(Other)	M	32
POA0820	(Other)	Australian Aboriginal Traditional	F	11
POA0820	(Other)	Australian Aboriginal Traditional	M	6
