POA_CODE_2016	Ancestry	responses
POA0800		1090
POA0800	Australian	1173
POA0800	Australian Aboriginal	74
POA0800	Chinese	423
POA0800	Croatian	8
POA0800	Dutch	75
POA0800	English	1608
POA0800	Filipino	215
POA0800	French	71
POA0800	German	218
POA0800	Greek	93
POA0800	Hungarian	13
POA0800	Indian	213
POA0800	Irish	721
POA0800	Italian	164
POA0800	Korean	123
POA0800	Lebanese	15
POA0800	Macedonian	3
POA0800	Maltese	13
POA0800	Maori	37
POA0800	NZ	61
POA0800	(Other)	1012
POA0800	Polish	23
POA0800	Russian	24
POA0800	Scottish	464
POA0800	Serbian	9
POA0800	South African	14
POA0800	Spanish	55
POA0800	Sri Lankan	38
POA0800	Turkish	11
POA0800	Vietnamese	49
POA0800	Welsh	44
POA0810		3479
POA0810	Australian	9308
POA0810	Australian Aboriginal	385
POA0810	Chinese	1848
POA0810	Croatian	63
POA0810	Dutch	382
POA0810	English	8301
POA0810	Filipino	1856
POA0810	French	203
POA0810	German	1299
POA0810	Greek	1801
POA0810	Hungarian	81
POA0810	Indian	1548
POA0810	Irish	2932
POA0810	Italian	761
POA0810	Korean	74
POA0810	Lebanese	34
POA0810	Macedonian	9
POA0810	Maltese	55
POA0810	Maori	190
POA0810	NZ	267
POA0810	(Other)	5156
POA0810	Polish	165
POA0810	Russian	87
POA0810	Scottish	2252
POA0810	Serbian	22
POA0810	South African	104
POA0810	Spanish	219
POA0810	Sri Lankan	293
POA0810	Turkish	23
POA0810	Vietnamese	296
POA0810	Welsh	168
POA0812		1904
POA0812	Australian	6128
POA0812	Australian Aboriginal	299
POA0812	Chinese	1191
POA0812	Croatian	36
POA0812	Dutch	249
POA0812	English	4876
POA0812	Filipino	1150
POA0812	French	98
POA0812	German	779
POA0812	Greek	742
POA0812	Hungarian	25
POA0812	Indian	407
POA0812	Irish	1645
POA0812	Italian	389
POA0812	Korean	21
POA0812	Lebanese	17
POA0812	Macedonian	18
POA0812	Maltese	34
POA0812	Maori	124
POA0812	NZ	159
POA0812	(Other)	2819
POA0812	Polish	80
POA0812	Russian	22
POA0812	Scottish	1385
POA0812	Serbian	15
POA0812	South African	43
POA0812	Spanish	121
POA0812	Sri Lankan	82
POA0812	Turkish	3
POA0812	Vietnamese	186
POA0812	Welsh	78
POA0815		105
POA0815	Australian	13
POA0815	Chinese	35
POA0815	English	25
POA0815	Filipino	4
POA0815	German	3
POA0815	Indian	44
POA0815	Irish	3
POA0815	Italian	3
POA0815	(Other)	62
POA0815	Scottish	3
POA0815	Vietnamese	3
POA0820		2256
POA0820	Australian	5320
POA0820	Australian Aboriginal	412
POA0820	Chinese	816
POA0820	Croatian	50
POA0820	Dutch	291
POA0820	English	5878
POA0820	Filipino	653
POA0820	French	165
POA0820	German	873
POA0820	Greek	604
POA0820	Hungarian	47
POA0820	Indian	423
POA0820	Irish	2376
POA0820	Italian	627
POA0820	Korean	66
POA0820	Lebanese	21
POA0820	Macedonian	7
POA0820	Maltese	61
POA0820	Maori	95
POA0820	NZ	196
POA0820	(Other)	2181
POA0820	Polish	105
POA0820	Russian	54
POA0820	Scottish	1696
POA0820	Serbian	21
POA0820	South African	76
POA0820	Spanish	107
POA0820	Sri Lankan	92
POA0820	Turkish	20
POA0820	Vietnamese	137
POA0820	Welsh	155
POA0822		2546
POA0822	Australian	3518
POA0822	Australian Aboriginal	15934
POA0822	Chinese	143
POA0822	Croatian	7
POA0822	Dutch	150
POA0822	English	2638
POA0822	Filipino	107
POA0822	French	43
POA0822	German	380
POA0822	Greek	44
POA0822	Hungarian	10
POA0822	Indian	36
POA0822	Irish	834
POA0822	Italian	157
POA0822	Korean	10
POA0822	Lebanese	7
POA0822	Maltese	13
POA0822	Maori	43
POA0822	NZ	83
POA0822	(Other)	647
POA0822	Polish	23
POA0822	Russian	14
POA0822	Scottish	683
POA0822	Serbian	3
POA0822	South African	12
POA0822	Spanish	19
POA0822	Sri Lankan	7
POA0822	Vietnamese	190
POA0822	Welsh	39
POA0828		219
POA0828	Australian	349
POA0828	Australian Aboriginal	160
POA0828	Chinese	30
POA0828	Dutch	12
POA0828	English	229
POA0828	Filipino	45
POA0828	French	5
POA0828	German	34
POA0828	Greek	50
POA0828	Hungarian	3
POA0828	Indian	21
POA0828	Irish	89
POA0828	Italian	22
POA0828	Korean	3
POA0828	Maori	5
POA0828	NZ	18
POA0828	(Other)	117
POA0828	Scottish	68
POA0828	Serbian	3
POA0828	South African	7
POA0828	Vietnamese	5
POA0828	Welsh	4
POA0829		1053
POA0829	Australian	378
POA0829	Australian Aboriginal	4
POA0829	Chinese	14
POA0829	Croatian	3
POA0829	Dutch	19
POA0829	English	327
POA0829	Filipino	12
POA0829	German	51
POA0829	Greek	4
POA0829	Indian	3
POA0829	Irish	101
POA0829	Italian	33
POA0829	Korean	5
POA0829	Maltese	7
POA0829	Maori	3
POA0829	NZ	13
POA0829	(Other)	54
POA0829	Russian	5
POA0829	Scottish	90
POA0829	South African	5
POA0829	Spanish	9
POA0829	Vietnamese	3
POA0829	Welsh	3
POA0830		2026
POA0830	Australian	7226
POA0830	Australian Aboriginal	337
POA0830	Chinese	440
POA0830	Croatian	29
POA0830	Dutch	268
POA0830	English	5808
POA0830	Filipino	797
POA0830	French	66
POA0830	German	930
POA0830	Greek	216
POA0830	Hungarian	39
POA0830	Indian	257
POA0830	Irish	1689
POA0830	Italian	367
POA0830	Korean	23
POA0830	Lebanese	13
POA0830	Maltese	45
POA0830	Maori	190
POA0830	NZ	161
POA0830	(Other)	1790
POA0830	Polish	84
POA0830	Russian	21
POA0830	Scottish	1520
POA0830	Serbian	7
POA0830	South African	68
POA0830	Spanish	97
POA0830	Sri Lankan	42
POA0830	Turkish	10
POA0830	Vietnamese	126
POA0830	Welsh	118
POA0832		1159
POA0832	Australian	6076
POA0832	Australian Aboriginal	204
POA0832	Chinese	378
POA0832	Croatian	32
POA0832	Dutch	183
POA0832	English	5213
POA0832	Filipino	791
POA0832	French	83
POA0832	German	803
POA0832	Greek	232
POA0832	Hungarian	32
POA0832	Indian	379
POA0832	Irish	1540
POA0832	Italian	339
POA0832	Korean	40
POA0832	Lebanese	7
POA0832	Macedonian	3
POA0832	Maltese	34
POA0832	Maori	193
POA0832	NZ	190
POA0832	(Other)	1795
POA0832	Polish	81
POA0832	Russian	34
POA0832	Scottish	1286
POA0832	Serbian	12
POA0832	South African	92
POA0832	Spanish	92
POA0832	Sri Lankan	38
POA0832	Turkish	3
POA0832	Vietnamese	85
POA0832	Welsh	84
POA0834		185
POA0834	Australian	870
POA0834	Australian Aboriginal	12
POA0834	Chinese	22
POA0834	Dutch	32
POA0834	English	597
POA0834	Filipino	19
POA0834	French	10
POA0834	German	97
POA0834	Greek	42
POA0834	Hungarian	3
POA0834	Indian	3
POA0834	Irish	163
POA0834	Italian	39
POA0834	Maltese	8
POA0834	Maori	7
POA0834	NZ	22
POA0834	(Other)	93
POA0834	Polish	16
POA0834	Russian	11
POA0834	Scottish	175
POA0834	South African	3
POA0834	Spanish	4
POA0834	Vietnamese	10
POA0834	Welsh	10
POA0835		1421
POA0835	Australian	1588
POA0835	Australian Aboriginal	20
POA0835	Chinese	58
POA0835	Croatian	12
POA0835	Dutch	72
POA0835	English	1481
POA0835	Filipino	98
POA0835	French	15
POA0835	German	214
POA0835	Greek	35
POA0835	Hungarian	15
POA0835	Indian	20
POA0835	Irish	507
POA0835	Italian	98
POA0835	Korean	9
POA0835	Lebanese	4
POA0835	Macedonian	4
POA0835	Maltese	11
POA0835	Maori	35
POA0835	NZ	46
POA0835	(Other)	275
POA0835	Polish	11
POA0835	Russian	9
POA0835	Scottish	369
POA0835	Serbian	11
POA0835	South African	13
POA0835	Spanish	25
POA0835	Sri Lankan	4
POA0835	Turkish	3
POA0835	Vietnamese	9
POA0835	Welsh	21
POA0836		908
POA0836	Australian	3584
POA0836	Australian Aboriginal	65
POA0836	Chinese	94
POA0836	Croatian	14
POA0836	Dutch	138
POA0836	English	2625
POA0836	Filipino	87
POA0836	French	37
POA0836	German	380
POA0836	Greek	40
POA0836	Hungarian	14
POA0836	Indian	6
POA0836	Irish	872
POA0836	Italian	186
POA0836	Korean	7
POA0836	Maltese	15
POA0836	Maori	34
POA0836	NZ	62
POA0836	(Other)	427
POA0836	Polish	37
POA0836	Russian	8
POA0836	Scottish	712
POA0836	South African	17
POA0836	Spanish	11
POA0836	Sri Lankan	3
POA0836	Turkish	3
POA0836	Vietnamese	32
POA0836	Welsh	32
POA0837		76
POA0837	Australian	148
POA0837	Australian Aboriginal	39
POA0837	Dutch	3
POA0837	English	138
POA0837	Filipino	7
POA0837	German	15
POA0837	Greek	3
POA0837	Irish	41
POA0837	Maori	9
POA0837	NZ	3
POA0837	(Other)	12
POA0837	Polish	3
POA0837	Scottish	33
POA0838		94
POA0838	Australian	389
POA0838	Australian Aboriginal	24
POA0838	Chinese	15
POA0838	Dutch	20
POA0838	English	281
POA0838	Filipino	4
POA0838	French	3
POA0838	German	45
POA0838	Irish	74
POA0838	Italian	15
POA0838	Maltese	5
POA0838	Maori	7
POA0838	NZ	12
POA0838	(Other)	38
POA0838	Polish	5
POA0838	Scottish	66
POA0838	South African	15
POA0838	Vietnamese	28
POA0838	Welsh	4
POA0839		93
POA0839	Australian	212
POA0839	Australian Aboriginal	5
POA0839	Chinese	3
POA0839	Dutch	3
POA0839	English	167
POA0839	Filipino	7
POA0839	French	3
POA0839	German	44
POA0839	Greek	3
POA0839	Indian	5
POA0839	Irish	64
POA0839	Italian	8
POA0839	Korean	6
POA0839	Maori	7
POA0839	NZ	3
POA0839	(Other)	48
POA0839	Scottish	46
POA0839	Spanish	4
POA0839	Vietnamese	3
POA0840		26
POA0840	Australian	151
POA0840	Australian Aboriginal	3
POA0840	Dutch	3
POA0840	English	139
POA0840	Filipino	3
POA0840	German	15
POA0840	Greek	4
POA0840	Irish	43
POA0840	Italian	4
POA0840	Maori	3
POA0840	NZ	5
POA0840	(Other)	14
POA0840	Scottish	34
POA0840	Welsh	3
POA0841		98
POA0841	Australian	312
POA0841	Australian Aboriginal	3
POA0841	Chinese	3
POA0841	Dutch	8
POA0841	English	274
POA0841	Filipino	8
POA0841	German	36
POA0841	Greek	4
POA0841	Indian	6
POA0841	Irish	66
POA0841	Italian	10
POA0841	Maori	4
POA0841	NZ	10
POA0841	(Other)	26
POA0841	Russian	3
POA0841	Scottish	55
POA0841	Vietnamese	16
POA0841	Welsh	9
POA0845		96
POA0845	Australian	247
POA0845	Australian Aboriginal	16
POA0845	Chinese	3
POA0845	English	138
POA0845	Filipino	4
POA0845	French	4
POA0845	German	26
POA0845	Irish	51
POA0845	Italian	3
POA0845	NZ	7
POA0845	(Other)	27
POA0845	Polish	3
POA0845	Scottish	38
POA0845	Spanish	3
POA0846		53
POA0846	Australian	143
POA0846	Australian Aboriginal	34
POA0846	Chinese	3
POA0846	Dutch	5
POA0846	English	103
POA0846	Filipino	7
POA0846	French	3
POA0846	German	6
POA0846	Irish	33
POA0846	Maltese	3
POA0846	NZ	3
POA0846	(Other)	8
POA0846	Scottish	24
POA0847		49
POA0847	Australian	93
POA0847	Australian Aboriginal	105
POA0847	Chinese	9
POA0847	Dutch	3
POA0847	English	71
POA0847	French	3
POA0847	German	3
POA0847	Indian	4
POA0847	Irish	12
POA0847	Italian	4
POA0847	Maori	3
POA0847	NZ	6
POA0847	(Other)	13
POA0847	Scottish	12
POA0847	Vietnamese	3
POA0847	Welsh	4
POA0850		1713
POA0850	Australian	3095
POA0850	Australian Aboriginal	620
POA0850	Chinese	120
POA0850	Croatian	8
POA0850	Dutch	61
POA0850	English	1950
POA0850	Filipino	252
POA0850	French	33
POA0850	German	348
POA0850	Greek	17
POA0850	Hungarian	10
POA0850	Indian	126
POA0850	Irish	588
POA0850	Italian	115
POA0850	Korean	4
POA0850	Lebanese	6
POA0850	Macedonian	3
POA0850	Maltese	16
POA0850	Maori	40
POA0850	NZ	69
POA0850	(Other)	400
POA0850	Polish	20
POA0850	Russian	9
POA0850	Scottish	571
POA0850	Serbian	3
POA0850	South African	10
POA0850	Spanish	25
POA0850	Sri Lankan	20
POA0850	Turkish	3
POA0850	Vietnamese	22
POA0850	Welsh	28
POA0852		1112
POA0852	Australian	970
POA0852	Australian Aboriginal	5370
POA0852	Chinese	16
POA0852	Dutch	22
POA0852	English	697
POA0852	Filipino	11
POA0852	French	16
POA0852	German	106
POA0852	Greek	9
POA0852	Indian	8
POA0852	Irish	229
POA0852	Italian	32
POA0852	Korean	3
POA0852	Maltese	3
POA0852	Maori	13
POA0852	NZ	31
POA0852	(Other)	147
POA0852	Polish	3
POA0852	Russian	3
POA0852	Scottish	218
POA0852	South African	3
POA0852	Spanish	7
POA0852	Sri Lankan	3
POA0852	Turkish	3
POA0852	Vietnamese	3
POA0852	Welsh	4
POA0853		89
POA0853	Australian	440
POA0853	Australian Aboriginal	3
POA0853	Chinese	14
POA0853	Croatian	8
POA0853	Dutch	8
POA0853	English	299
POA0853	Filipino	7
POA0853	French	4
POA0853	German	43
POA0853	Hungarian	3
POA0853	Indian	7
POA0853	Irish	87
POA0853	Italian	26
POA0853	Maltese	9
POA0853	NZ	8
POA0853	(Other)	48
POA0853	Polish	10
POA0853	Russian	3
POA0853	Scottish	83
POA0853	South African	5
POA0853	Sri Lankan	3
POA0853	Welsh	11
POA0854		95
POA0854	Australian	125
POA0854	Australian Aboriginal	532
POA0854	Chinese	8
POA0854	English	83
POA0854	German	22
POA0854	Greek	3
POA0854	Indian	4
POA0854	Irish	35
POA0854	Italian	9
POA0854	Maori	6
POA0854	(Other)	38
POA0854	Scottish	24
POA0860		383
POA0860	Australian	937
POA0860	Australian Aboriginal	881
POA0860	Chinese	34
POA0860	Croatian	3
POA0860	Dutch	14
POA0860	English	608
POA0860	Filipino	85
POA0860	French	16
POA0860	German	83
POA0860	Greek	28
POA0860	Indian	47
POA0860	Irish	171
POA0860	Italian	26
POA0860	Korean	3
POA0860	Lebanese	3
POA0860	Maori	18
POA0860	NZ	15
POA0860	(Other)	156
POA0860	Polish	3
POA0860	Russian	3
POA0860	Scottish	132
POA0860	South African	3
POA0860	Spanish	3
POA0860	Sri Lankan	3
POA0860	Welsh	3
POA0862		26
POA0862	Australian	150
POA0862	Australian Aboriginal	448
POA0862	Chinese	3
POA0862	Dutch	3
POA0862	English	135
POA0862	French	6
POA0862	German	13
POA0862	Irish	42
POA0862	NZ	4
POA0862	(Other)	11
POA0862	Scottish	37
POA0870		2503
POA0870	Australian	6329
POA0870	Australian Aboriginal	961
POA0870	Chinese	344
POA0870	Croatian	14
POA0870	Dutch	278
POA0870	English	5809
POA0870	Filipino	508
POA0870	French	126
POA0870	German	1122
POA0870	Greek	53
POA0870	Hungarian	39
POA0870	Indian	749
POA0870	Irish	2021
POA0870	Italian	429
POA0870	Korean	51
POA0870	Lebanese	21
POA0870	Macedonian	9
POA0870	Maltese	23
POA0870	Maori	360
POA0870	NZ	203
POA0870	(Other)	2139
POA0870	Polish	113
POA0870	Russian	38
POA0870	Scottish	1689
POA0870	Serbian	15
POA0870	South African	74
POA0870	Spanish	72
POA0870	Sri Lankan	86
POA0870	Turkish	11
POA0870	Vietnamese	66
POA0870	Welsh	97
POA0872		2474
POA0872	Australian	1420
POA0872	Australian Aboriginal	10075
POA0872	Chinese	56
POA0872	Croatian	5
POA0872	Dutch	45
POA0872	English	1029
POA0872	Filipino	31
POA0872	French	41
POA0872	German	159
POA0872	Greek	8
POA0872	Indian	47
POA0872	Irish	394
POA0872	Italian	76
POA0872	Korean	25
