POA_CODE_2016	Landlord	Rent.min	occupied_private_dwellings_being_rented
POA0800		0	9
POA0800	(Other)	0	36
POA0800	(Other)	5250	3
POA0800	(Other)	10500	10
POA0800	(Other)	11812	43
POA0800	(Other)	14437	12
POA0800	(Other)	18375	4
POA0800	(Other)	23625	6
POA0800	(Other)	28875	6
POA0800	(Other)	34125	4
POA0800	(Other)	44625	3
POA0800	(Other)	49875	11
POA0800	Co-op/church group etc	0	3
POA0800	Person not in same household	0	13
POA0800	Person not in same household	5250	3
POA0800	Person not in same household	10500	9
POA0800	Person not in same household	11812	12
POA0800	Person not in same household	14437	20
POA0800	Person not in same household	18375	40
POA0800	Person not in same household	23625	45
POA0800	Person not in same household	28875	39
POA0800	Person not in same household	34125	23
POA0800	Person not in same household	39375	9
POA0800	Person not in same household	44625	9
POA0800	Person not in same household	49875	10
POA0800	Real estate agent	0	13
POA0800	Real estate agent	5250	3
POA0800	Real estate agent	10500	7
POA0800	Real estate agent	11812	19
POA0800	Real estate agent	14437	102
POA0800	Real estate agent	18375	180
POA0800	Real estate agent	23625	252
POA0800	Real estate agent	28875	263
POA0800	Real estate agent	34125	126
POA0800	Real estate agent	39375	74
POA0800	Real estate agent	44625	58
POA0800	Real estate agent	49875	46
POA0800	State or territory housing authority	0	8
POA0800	State or territory housing authority	3937	12
POA0800	State or territory housing authority	5250	7
POA0800	State or territory housing authority	7875	3
POA0800	State or territory housing authority	10500	3
POA0800	State or territory housing authority	11812	8
POA0800	State or territory housing authority	14437	3
POA0810		0	19
POA0810		11812	3
POA0810		14437	3
POA0810		18375	10
POA0810		23625	5
POA0810		28875	3
POA0810		34125	4
POA0810	(Other)	0	17
POA0810	(Other)	5250	6
POA0810	(Other)	7875	7
POA0810	(Other)	10500	19
POA0810	(Other)	11812	261
POA0810	(Other)	14437	154
POA0810	(Other)	18375	78
POA0810	(Other)	23625	34
POA0810	(Other)	28875	15
POA0810	(Other)	34125	14
POA0810	(Other)	39375	3
POA0810	(Other)	49875	7
POA0810	Co-op/church group etc	0	5
POA0810	Co-op/church group etc	5250	5
POA0810	Co-op/church group etc	7875	3
POA0810	Co-op/church group etc	10500	5
POA0810	Co-op/church group etc	11812	3
POA0810	Co-op/church group etc	14437	3
POA0810	Co-op/church group etc	18375	3
POA0810	Person not in same household	0	52
POA0810	Person not in same household	5250	14
POA0810	Person not in same household	7875	29
POA0810	Person not in same household	10500	40
POA0810	Person not in same household	11812	66
POA0810	Person not in same household	14437	155
POA0810	Person not in same household	18375	318
POA0810	Person not in same household	23625	264
POA0810	Person not in same household	28875	128
POA0810	Person not in same household	34125	61
POA0810	Person not in same household	39375	24
POA0810	Person not in same household	44625	9
POA0810	Person not in same household	49875	6
POA0810	Real estate agent	0	3
POA0810	Real estate agent	5250	6
POA0810	Real estate agent	7875	16
POA0810	Real estate agent	10500	23
POA0810	Real estate agent	11812	93
POA0810	Real estate agent	14437	329
POA0810	Real estate agent	18375	606
POA0810	Real estate agent	23625	465
POA0810	Real estate agent	28875	279
POA0810	Real estate agent	34125	190
POA0810	Real estate agent	39375	87
POA0810	Real estate agent	44625	35
