SA3_NAME16	Ancestry	responses
Queanbeyan		4321
Queanbeyan	Australian	21666
Queanbeyan	Australian Aboriginal	247
Queanbeyan	Chinese	716
Queanbeyan	Croatian	608
Queanbeyan	Dutch	919
Queanbeyan	English	20836
Queanbeyan	Filipino	557
Queanbeyan	French	318
Queanbeyan	German	2584
Queanbeyan	Greek	598
Queanbeyan	Hungarian	246
Queanbeyan	Indian	1087
Queanbeyan	Irish	7376
Queanbeyan	Italian	2328
Queanbeyan	Korean	75
Queanbeyan	Lebanese	124
Queanbeyan	Macedonian	1211
Queanbeyan	Maltese	373
Queanbeyan	Maori	291
Queanbeyan	NZ	437
Queanbeyan	(Other)	4504
Queanbeyan	Polish	495
Queanbeyan	Russian	183
Queanbeyan	Scottish	5641
Queanbeyan	Serbian	430
Queanbeyan	South African	122
Queanbeyan	Spanish	263
Queanbeyan	Sri Lankan	104
Queanbeyan	Turkish	44
Queanbeyan	Vietnamese	115
Queanbeyan	Welsh	383
Snowy Mountains		1889
Snowy Mountains	Australian	7994
Snowy Mountains	Australian Aboriginal	29
Snowy Mountains	Chinese	176
Snowy Mountains	Croatian	62
Snowy Mountains	Dutch	333
Snowy Mountains	English	7594
Snowy Mountains	Filipino	54
Snowy Mountains	French	109
Snowy Mountains	German	1046
Snowy Mountains	Greek	89
Snowy Mountains	Hungarian	69
Snowy Mountains	Indian	52
Snowy Mountains	Irish	2365
Snowy Mountains	Italian	446
Snowy Mountains	Korean	28
Snowy Mountains	Lebanese	99
Snowy Mountains	Macedonian	24
Snowy Mountains	Maltese	61
Snowy Mountains	Maori	53
Snowy Mountains	NZ	163
Snowy Mountains	(Other)	1082
Snowy Mountains	Polish	134
Snowy Mountains	Russian	78
Snowy Mountains	Scottish	2167
Snowy Mountains	Serbian	33
Snowy Mountains	South African	45
Snowy Mountains	Spanish	41
Snowy Mountains	Sri Lankan	10
Snowy Mountains	Turkish	16
Snowy Mountains	Vietnamese	15
Snowy Mountains	Welsh	114
South Coast		5585
South Coast	Australian	28988
South Coast	Australian Aboriginal	536
South Coast	Chinese	408
South Coast	Croatian	277
South Coast	Dutch	1303
South Coast	English	30395
South Coast	Filipino	279
South Coast	French	394
South Coast	German	3351
South Coast	Greek	283
South Coast	Hungarian	220
South Coast	Indian	172
South Coast	Irish	9152
South Coast	Italian	1266
South Coast	Korean	35
South Coast	Lebanese	84
South Coast	Macedonian	38
South Coast	Maltese	318
South Coast	Maori	184
South Coast	NZ	392
South Coast	(Other)	2927
South Coast	Polish	402
South Coast	Russian	169
South Coast	Scottish	8001
South Coast	Serbian	54
South Coast	South African	165
South Coast	Spanish	181
South Coast	Sri Lankan	35
South Coast	Turkish	25
South Coast	Vietnamese	82
South Coast	Welsh	535
Goulburn - Mulwaree		3271
Goulburn - Mulwaree	Australian	15349
Goulburn - Mulwaree	Australian Aboriginal	114
Goulburn - Mulwaree	Chinese	247
Goulburn - Mulwaree	Croatian	74
Goulburn - Mulwaree	Dutch	350
Goulburn - Mulwaree	English	14473
Goulburn - Mulwaree	Filipino	206
Goulburn - Mulwaree	French	163
Goulburn - Mulwaree	German	1159
Goulburn - Mulwaree	Greek	240
Goulburn - Mulwaree	Hungarian	84
Goulburn - Mulwaree	Indian	170
Goulburn - Mulwaree	Irish	4896
Goulburn - Mulwaree	Italian	516
Goulburn - Mulwaree	Korean	72
Goulburn - Mulwaree	Lebanese	70
Goulburn - Mulwaree	Macedonian	27
Goulburn - Mulwaree	Maltese	188
Goulburn - Mulwaree	Maori	90
Goulburn - Mulwaree	NZ	160
Goulburn - Mulwaree	(Other)	1315
Goulburn - Mulwaree	Polish	140
Goulburn - Mulwaree	Russian	62
Goulburn - Mulwaree	Scottish	3552
Goulburn - Mulwaree	Serbian	20
Goulburn - Mulwaree	South African	59
Goulburn - Mulwaree	Spanish	78
Goulburn - Mulwaree	Sri Lankan	25
Goulburn - Mulwaree	Turkish	12
Goulburn - Mulwaree	Vietnamese	11
Goulburn - Mulwaree	Welsh	227
Young - Yass		2510
Young - Yass	Australian	16817
Young - Yass	Australian Aboriginal	93
Young - Yass	Chinese	207
Young - Yass	Croatian	166
Young - Yass	Dutch	501
Young - Yass	English	14842
Young - Yass	Filipino	113
Young - Yass	French	166
Young - Yass	German	1383
Young - Yass	Greek	117
Young - Yass	Hungarian	84
Young - Yass	Indian	92
Young - Yass	Irish	5165
Young - Yass	Italian	470
Young - Yass	Korean	7
Young - Yass	Lebanese	252
Young - Yass	Macedonian	20
Young - Yass	Maltese	145
Young - Yass	Maori	70
Young - Yass	NZ	158
Young - Yass	(Other)	1213
Young - Yass	Polish	156
Young - Yass	Russian	59
Young - Yass	Scottish	3653
Young - Yass	Serbian	71
Young - Yass	South African	52
Young - Yass	Spanish	44
