SA3_NAME16	IndigenousStatus	persons
Queanbeyan	Aboriginal	1693
Queanbeyan	Both Aboriginal & Torres Strait Islander	28
Queanbeyan	Non-indigenous	55581
Queanbeyan	Torres Strait Islander	29
Snowy Mountains	Aboriginal	394
Snowy Mountains	Both Aboriginal & Torres Strait Islander	5
Snowy Mountains	Non-indigenous	18945
Snowy Mountains	Torres Strait Islander	22
South Coast	Aboriginal	3022
South Coast	Both Aboriginal & Torres Strait Islander	57
South Coast	Non-indigenous	67515
South Coast	Torres Strait Islander	44
Goulburn - Mulwaree	Aboriginal	1263
Goulburn - Mulwaree	Both Aboriginal & Torres Strait Islander	27
Goulburn - Mulwaree	Non-indigenous	34237
Goulburn - Mulwaree	Torres Strait Islander	32
Young - Yass	Aboriginal	1204
Young - Yass	Both Aboriginal & Torres Strait Islander	14
Young - Yass	Non-indigenous	34695
Young - Yass	Torres Strait Islander	29
Gosford	Aboriginal	4575
Gosford	Both Aboriginal & Torres Strait Islander	61
Gosford	Non-indigenous	164289
Gosford	Torres Strait Islander	128
Wyong	Aboriginal	7410
Wyong	Both Aboriginal & Torres Strait Islander	137
Wyong	Non-indigenous	150962
Wyong	Torres Strait Islander	174
Bathurst	Aboriginal	2309
Bathurst	Both Aboriginal & Torres Strait Islander	55
Bathurst	Non-indigenous	44175
Bathurst	Torres Strait Islander	55
Lachlan Valley	Aboriginal	4971
Lachlan Valley	Both Aboriginal & Torres Strait Islander	73
Lachlan Valley	Non-indigenous	50232
Lachlan Valley	Torres Strait Islander	60
Lithgow - Mudgee	Aboriginal	2541
Lithgow - Mudgee	Both Aboriginal & Torres Strait Islander	35
Lithgow - Mudgee	Non-indigenous	43982
Lithgow - Mudgee	Torres Strait Islander	54
Orange	Aboriginal	3035
Orange	Both Aboriginal & Torres Strait Islander	56
Orange	Non-indigenous	54472
Orange	Torres Strait Islander	51
Clarence Valley	Aboriginal	3070
Clarence Valley	Both Aboriginal & Torres Strait Islander	63
Clarence Valley	Non-indigenous	47058
Clarence Valley	Torres Strait Islander	70
Coffs Harbour	Aboriginal	3947
Coffs Harbour	Both Aboriginal & Torres Strait Islander	80
Coffs Harbour	Non-indigenous	81916
Coffs Harbour	Torres Strait Islander	78
Bourke - Cobar - Coonamble	Aboriginal	6195
Bourke - Cobar - Coonamble	Both Aboriginal & Torres Strait Islander	63
Bourke - Cobar - Coonamble	Non-indigenous	17854
Bourke - Cobar - Coonamble	Torres Strait Islander	40
Broken Hill and Far West	Aboriginal	2224
Broken Hill and Far West	Both Aboriginal & Torres Strait Islander	17
Broken Hill and Far West	Non-indigenous	17963
Broken Hill and Far West	Torres Strait Islander	13
Dubbo	Aboriginal	10205
Dubbo	Both Aboriginal & Torres Strait Islander	165
Dubbo	Non-indigenous	58924
Dubbo	Torres Strait Islander	120
Lower Hunter	Aboriginal	5484
Lower Hunter	Both Aboriginal & Torres Strait Islander	123
Lower Hunter	Non-indigenous	81912
Lower Hunter	Torres Strait Islander	156
Maitland	Aboriginal	3591
Maitland	Both Aboriginal & Torres Strait Islander	107
Maitland	Non-indigenous	70356
Maitland	Torres Strait Islander	108
Port Stephens	Aboriginal	3294
Port Stephens	Both Aboriginal & Torres Strait Islander	64
Port Stephens	Non-indigenous	67928
Port Stephens	Torres Strait Islander	95
Upper Hunter	Aboriginal	2000
Upper Hunter	Both Aboriginal & Torres Strait Islander	31
Upper Hunter	Non-indigenous	28135
Upper Hunter	Torres Strait Islander	30
Dapto - Port Kembla	Aboriginal	2610
Dapto - Port Kembla	Both Aboriginal & Torres Strait Islander	51
Dapto - Port Kembla	Non-indigenous	72645
Dapto - Port Kembla	Torres Strait Islander	48
Illawarra Catchment Reserve	Non-indigenous	8
Kiama - Shellharbour	Aboriginal	2884
Kiama - Shellharbour	Both Aboriginal & Torres Strait Islander	55
Kiama - Shellharbour	Non-indigenous	86817
Kiama - Shellharbour	Torres Strait Islander	81
Wollongong	Aboriginal	2532
Wollongong	Both Aboriginal & Torres Strait Islander	53
Wollongong	Non-indigenous	125654
Wollongong	Torres Strait Islander	62
Great Lakes	Aboriginal	1572
Great Lakes	Both Aboriginal & Torres Strait Islander	32
Great Lakes	Non-indigenous	29635
Great Lakes	Torres Strait Islander	33
Kempsey - Nambucca	Aboriginal	4643
Kempsey - Nambucca	Both Aboriginal & Torres Strait Islander	127
Kempsey - Nambucca	Non-indigenous	43309
Kempsey - Nambucca	Torres Strait Islander	48
Lord Howe Island	Aboriginal	3
Lord Howe Island	Non-indigenous	379
Port Macquarie	Aboriginal	3104
Port Macquarie	Both Aboriginal & Torres Strait Islander	31
Port Macquarie	Non-indigenous	75398
Port Macquarie	Torres Strait Islander	34
Taree - Gloucester	Aboriginal	3571
Taree - Gloucester	Both Aboriginal & Torres Strait Islander	63
Taree - Gloucester	Non-indigenous	50152
Taree - Gloucester	Torres Strait Islander	70
Albury	Aboriginal	1669
Albury	Both Aboriginal & Torres Strait Islander	25
Albury	Non-indigenous	59535
Albury	Torres Strait Islander	42
Lower Murray	Aboriginal	1016
Lower Murray	Both Aboriginal & Torres Strait Islander	23
Lower Murray	Non-indigenous	11505
Lower Murray	Torres Strait Islander	3
Upper Murray exc. Albury	Aboriginal	1116
Upper Murray exc. Albury	Both Aboriginal & Torres Strait Islander	21
Upper Murray exc. Albury	Non-indigenous	40806
Upper Murray exc. Albury	Torres Strait Islander	37
Armidale	Aboriginal	2456
Armidale	Both Aboriginal & Torres Strait Islander	36
Armidale	Non-indigenous	34553
Armidale	Torres Strait Islander	45
Inverell - Tenterfield	Aboriginal	2743
Inverell - Tenterfield	Both Aboriginal & Torres Strait Islander	79
Inverell - Tenterfield	Non-indigenous	35474
Inverell - Tenterfield	Torres Strait Islander	49
Moree - Narrabri	Aboriginal	4191
Moree - Narrabri	Both Aboriginal & Torres Strait Islander	88
Moree - Narrabri	Non-indigenous	21294
