SA4_NAME16	IndigenousStatus	persons
Capital Region	Aboriginal	7583
Capital Region	Both Aboriginal & Torres Strait Islander	140
Capital Region	Non-indigenous	210958
Capital Region	Torres Strait Islander	162
Central Coast	Aboriginal	11987
Central Coast	Both Aboriginal & Torres Strait Islander	200
Central Coast	Non-indigenous	315249
Central Coast	Torres Strait Islander	300
Central West	Aboriginal	12849
Central West	Both Aboriginal & Torres Strait Islander	218
Central West	Non-indigenous	192863
Central West	Torres Strait Islander	225
Coffs Harbour - Grafton	Aboriginal	7012
Coffs Harbour - Grafton	Both Aboriginal & Torres Strait Islander	141
Coffs Harbour - Grafton	Non-indigenous	128984
Coffs Harbour - Grafton	Torres Strait Islander	151
Far West and Orana	Aboriginal	18617
Far West and Orana	Both Aboriginal & Torres Strait Islander	249
Far West and Orana	Non-indigenous	94738
Far West and Orana	Torres Strait Islander	175
Hunter Valley exc Newcastle	Aboriginal	14372
Hunter Valley exc Newcastle	Both Aboriginal & Torres Strait Islander	325
Hunter Valley exc Newcastle	Non-indigenous	248335
Hunter Valley exc Newcastle	Torres Strait Islander	384
Illawarra	Aboriginal	8024
Illawarra	Both Aboriginal & Torres Strait Islander	153
Illawarra	Non-indigenous	285129
Illawarra	Torres Strait Islander	188
Mid North Coast	Aboriginal	12892
Mid North Coast	Both Aboriginal & Torres Strait Islander	258
Mid North Coast	Non-indigenous	198862
Mid North Coast	Torres Strait Islander	189
Murray	Aboriginal	3796
Murray	Both Aboriginal & Torres Strait Islander	73
Murray	Non-indigenous	111856
Murray	Torres Strait Islander	78
New England and North West	Aboriginal	17746
New England and North West	Both Aboriginal & Torres Strait Islander	355
New England and North West	Non-indigenous	163141
New England and North West	Torres Strait Islander	313
Newcastle and Lake Macquarie	Aboriginal	13359
Newcastle and Lake Macquarie	Both Aboriginal & Torres Strait Islander	273
Newcastle and Lake Macquarie	Non-indigenous	345204
Newcastle and Lake Macquarie	Torres Strait Islander	270
Richmond - Tweed	Aboriginal	8838
Richmond - Tweed	Both Aboriginal & Torres Strait Islander	455
Richmond - Tweed	Non-indigenous	229866
Richmond - Tweed	Torres Strait Islander	445
Riverina	Aboriginal	8172
Riverina	Both Aboriginal & Torres Strait Islander	105
Riverina	Non-indigenous	147494
Riverina	Torres Strait Islander	163
Southern Highlands and Shoalhaven	Aboriginal	6215
Southern Highlands and Shoalhaven	Both Aboriginal & Torres Strait Islander	84
Southern Highlands and Shoalhaven	Non-indigenous	140916
Southern Highlands and Shoalhaven	Torres Strait Islander	148
Sydney - Baulkham Hills and Hawkesbury	Aboriginal	1767
Sydney - Baulkham Hills and Hawkesbury	Both Aboriginal & Torres Strait Islander	31
Sydney - Baulkham Hills and Hawkesbury	Non-indigenous	225903
Sydney - Baulkham Hills and Hawkesbury	Torres Strait Islander	38
Sydney - Blacktown	Aboriginal	9114
Sydney - Blacktown	Both Aboriginal & Torres Strait Islander	186
Sydney - Blacktown	Non-indigenous	330092
Sydney - Blacktown	Torres Strait Islander	245
Sydney - City and Inner South	Aboriginal	3861
Sydney - City and Inner South	Both Aboriginal & Torres Strait Islander	140
Sydney - City and Inner South	Non-indigenous	311415
Sydney - City and Inner South	Torres Strait Islander	135
Sydney - Eastern Suburbs	Aboriginal	2454
Sydney - Eastern Suburbs	Both Aboriginal & Torres Strait Islander	56
Sydney - Eastern Suburbs	Non-indigenous	264436
Sydney - Eastern Suburbs	Torres Strait Islander	91
Sydney - Inner South West	Aboriginal	3552
Sydney - Inner South West	Both Aboriginal & Torres Strait Islander	71
Sydney - Inner South West	Non-indigenous	567614
Sydney - Inner South West	Torres Strait Islander	179
Sydney - Inner West	Aboriginal	1802
Sydney - Inner West	Both Aboriginal & Torres Strait Islander	48
Sydney - Inner West	Non-indigenous	291370
Sydney - Inner West	Torres Strait Islander	81
Sydney - North Sydney and Hornsby	Aboriginal	1102
Sydney - North Sydney and Hornsby	Both Aboriginal & Torres Strait Islander	29
Sydney - North Sydney and Hornsby	Non-indigenous	404164
Sydney - North Sydney and Hornsby	Torres Strait Islander	61
Sydney - Northern Beaches	Aboriginal	1313
Sydney - Northern Beaches	Both Aboriginal & Torres Strait Islander	23
Sydney - Northern Beaches	Non-indigenous	251486
Sydney - Northern Beaches	Torres Strait Islander	56
Sydney - Outer South West	Aboriginal	8679
Sydney - Outer South West	Both Aboriginal & Torres Strait Islander	121
Sydney - Outer South West	Non-indigenous	253095
