SA4_NAME16	MotorVehicles.min	occupied_private_dwellings
Capital Region		3492
Capital Region	0	3913
Capital Region	1	27501
Capital Region	2	30175
Capital Region	3	11044
Capital Region	4	6178
Central Coast		4810
Central Coast	0	8388
Central Coast	1	44315
Central Coast	2	42414
Central Coast	3	13703
Central Coast	4	7415
Central West		3471
Central West	0	4604
Central West	1	24317
Central West	2	27034
Central West	3	9797
Central West	4	5520
Coffs Harbour - Grafton		2237
Coffs Harbour - Grafton	0	2995
Coffs Harbour - Grafton	1	19581
Coffs Harbour - Grafton	2	18526
Coffs Harbour - Grafton	3	5608
Coffs Harbour - Grafton	4	2664
Far West and Orana		2191
Far West and Orana	0	3252
Far West and Orana	1	14203
Far West and Orana	2	13883
Far West and Orana	3	5050
Far West and Orana	4	2665
Hunter Valley exc Newcastle		3695
Hunter Valley exc Newcastle	0	4411
Hunter Valley exc Newcastle	1	30351
Hunter Valley exc Newcastle	2	35917
Hunter Valley exc Newcastle	3	12529
Hunter Valley exc Newcastle	4	6993
Illawarra		3924
Illawarra	0	8319
Illawarra	1	36203
Illawarra	2	37591
Illawarra	3	12458
Illawarra	4	6796
Mid North Coast		3897
Mid North Coast	0	5027
Mid North Coast	1	32622
Mid North Coast	2	28886
Mid North Coast	3	8827
Mid North Coast	4	4075
Murray		2008
Murray	0	2761
Murray	1	15177
Murray	2	16012
Murray	3	5214
Murray	4	2666
New England and North West		3240
New England and North West	0	4165
New England and North West	1	22278
New England and North West	2	23423
New England and North West	3	8435
New England and North West	4	4762
Newcastle and Lake Macquarie		4578
Newcastle and Lake Macquarie	0	9874
Newcastle and Lake Macquarie	1	47647
Newcastle and Lake Macquarie	2	50064
Newcastle and Lake Macquarie	3	15654
Newcastle and Lake Macquarie	4	7693
Richmond - Tweed		3969
Richmond - Tweed	0	5192
Richmond - Tweed	1	34412
Richmond - Tweed	2	32864
Richmond - Tweed	3	9787
Richmond - Tweed	4	4731
Riverina		2526
Riverina	0	3112
Riverina	1	18079
Riverina	2	20478
Riverina	3	7267
Riverina	4	4050
Southern Highlands and Shoalhaven		2381
Southern Highlands and Shoalhaven	0	2510
Southern Highlands and Shoalhaven	1	20713
Southern Highlands and Shoalhaven	2	20362
Southern Highlands and Shoalhaven	3	6463
Southern Highlands and Shoalhaven	4	3468
Sydney - Baulkham Hills and Hawkesbury		1426
Sydney - Baulkham Hills and Hawkesbury	0	1647
Sydney - Baulkham Hills and Hawkesbury	1	15907
Sydney - Baulkham Hills and Hawkesbury	2	30342
Sydney - Baulkham Hills and Hawkesbury	3	12031
Sydney - Baulkham Hills and Hawkesbury	4	8461
Sydney - Blacktown		3693
Sydney - Blacktown	0	7155
Sydney - Blacktown	1	33106
Sydney - Blacktown	2	38708
Sydney - Blacktown	3	12916
Sydney - Blacktown	4	6337
Sydney - City and Inner South		5120
Sydney - City and Inner South	0	40413
Sydney - City and Inner South	1	55161
Sydney - City and Inner South	2	19338
Sydney - City and Inner South	3	3315
Sydney - City and Inner South	4	1319
Sydney - Eastern Suburbs		3697
Sydney - Eastern Suburbs	0	17118
Sydney - Eastern Suburbs	1	43328
Sydney - Eastern Suburbs	2	26576
Sydney - Eastern Suburbs	3	5764
Sydney - Eastern Suburbs	4	2340
Sydney - Inner South West		6774
Sydney - Inner South West	0	21770
Sydney - Inner South West	1	71909
Sydney - Inner South West	2	56834
Sydney - Inner South West	3	17849
Sydney - Inner South West	4	9278
Sydney - Inner West		3396
Sydney - Inner West	0	14870
Sydney - Inner West	1	47204
Sydney - Inner West	2	29652
Sydney - Inner West	3	6776
Sydney - Inner West	4	3065
Sydney - North Sydney and Hornsby		3201
