SA4_NAME16	Age.min	persons
Capital Region	0	2240
Capital Region	1	2294
Capital Region	2	2418
Capital Region	3	2448
Capital Region	4	2466
Capital Region	5	2560
Capital Region	6	2720
Capital Region	7	2755
Capital Region	8	2760
Capital Region	9	2779
Capital Region	10	2804
Capital Region	11	2690
Capital Region	12	2602
Capital Region	13	2566
Capital Region	14	2648
Capital Region	15	2714
Capital Region	16	2642
Capital Region	17	2691
Capital Region	18	2429
Capital Region	19	2182
Capital Region	20	2092
Capital Region	21	2003
Capital Region	22	2104
Capital Region	23	2072
Capital Region	24	2100
Capital Region	25	2109
Capital Region	26	2156
Capital Region	27	2183
Capital Region	28	2211
Capital Region	29	2144
Capital Region	30	2380
Capital Region	31	2307
Capital Region	32	2257
Capital Region	33	2249
Capital Region	34	2345
Capital Region	35	2379
Capital Region	36	2245
Capital Region	37	2286
Capital Region	38	2296
Capital Region	39	2373
Capital Region	40	2572
Capital Region	41	2642
Capital Region	42	2716
Capital Region	43	2887
Capital Region	44	3023
Capital Region	45	3293
Capital Region	46	3056
Capital Region	47	3039
Capital Region	48	3016
Capital Region	49	2988
Capital Region	50	2959
Capital Region	51	3055
Capital Region	52	3291
Capital Region	53	3404
Capital Region	54	3399
Capital Region	55	3434
Capital Region	56	3363
Capital Region	57	3362
Capital Region	58	3297
Capital Region	59	3291
Capital Region	60	3187
Capital Region	61	3202
Capital Region	62	3203
Capital Region	63	3182
Capital Region	64	3209
Capital Region	65	3055
Capital Region	66	3150
Capital Region	67	3021
Capital Region	68	2940
Capital Region	69	3178
Capital Region	70	2412
Capital Region	71	2364
Capital Region	72	2286
Capital Region	73	2091
Capital Region	74	2053
Capital Region	75	1873
Capital Region	76	1741
Capital Region	77	1573
Capital Region	78	1430
Capital Region	79	1321
Capital Region	80	5306
Capital Region	85	3397
Capital Region	90	1480
Capital Region	95	336
Capital Region	100	44
Central Coast	0	3559
Central Coast	1	3791
Central Coast	2	3889
Central Coast	3	3969
Central Coast	4	3979
Central Coast	5	4084
Central Coast	6	4138
Central Coast	7	4188
Central Coast	8	4205
Central Coast	9	4294
Central Coast	10	4226
Central Coast	11	4061
Central Coast	12	4093
Central Coast	13	4005
Central Coast	14	3945
Central Coast	15	4035
Central Coast	16	4027
Central Coast	17	4037
Central Coast	18	4001
Central Coast	19	3830
Central Coast	20	3730
Central Coast	21	3759
Central Coast	22	3647
Central Coast	23	3509
Central Coast	24	3528
Central Coast	25	3523
Central Coast	26	3427
Central Coast	27	3347
Central Coast	28	3431
Central Coast	29	3467
Central Coast	30	3584
Central Coast	31	3585
Central Coast	32	3640
Central Coast	33	3676
Central Coast	34	3598
Central Coast	35	3825
Central Coast	36	3648
Central Coast	37	3685
Central Coast	38	3689
Central Coast	39	3662
Central Coast	40	3894
Central Coast	41	3984
Central Coast	42	4151
Central Coast	43	4264
Central Coast	44	4571
Central Coast	45	4724
Central Coast	46	4334
Central Coast	47	4386
Central Coast	48	4118
Central Coast	49	4176
Central Coast	50	4162
Central Coast	51	4196
Central Coast	52	4364
Central Coast	53	4499
Central Coast	54	4668
Central Coast	55	4621
Central Coast	56	4445
Central Coast	57	4329
Central Coast	58	4304
Central Coast	59	4334
Central Coast	60	4243
Central Coast	61	4099
Central Coast	62	3941
Central Coast	63	4100
Central Coast	64	3941
Central Coast	65	3850
Central Coast	66	3877
Central Coast	67	3848
Central Coast	68	4128
Central Coast	69	4336
Central Coast	70	3615
Central Coast	71	3524
Central Coast	72	3370
Central Coast	73	3019
Central Coast	74	3038
Central Coast	75	2826
Central Coast	76	2620
Central Coast	77	2563
Central Coast	78	2335
Central Coast	79	2231
Central Coast	80	9124
Central Coast	85	6544
Central Coast	90	2971
Central Coast	95	698
Central Coast	100	63
Central West	0	2495
Central West	1	2578
Central West	2	2679
Central West	3	2825
Central West	4	2709
Central West	5	2750
Central West	6	2776
Central West	7	2891
Central West	8	2933
Central West	9	2915
Central West	10	2717
Central West	11	2693
Central West	12	2644
Central West	13	2645
Central West	14	2653
Central West	15	2679
Central West	16	2733
Central West	17	2684
Central West	18	2563
Central West	19	2419
Central West	20	2389
Central West	21	2401
Central West	22	2330
Central West	23	2166
Central West	24	2272
Central West	25	2306
Central West	26	2324
Central West	27	2325
Central West	28	2250
Central West	29	2275
Central West	30	2314
Central West	31	2310
Central West	32	2356
Central West	33	2313
Central West	34	2325
Central West	35	2317
Central West	36	2218
Central West	37	2198
Central West	38	2245
Central West	39	2246
Central West	40	2259
Central West	41	2396
Central West	42	2481
Central West	43	2517
Central West	44	2775
Central West	45	2797
Central West	46	2603
Central West	47	2688
Central West	48	2567
Central West	49	2621
Central West	50	2556
Central West	51	2625
Central West	52	2771
Central West	53	2862
Central West	54	2924
Central West	55	2959
Central West	56	2813
Central West	57	2708
Central West	58	2742
Central West	59	2710
Central West	60	2573
Central West	61	2636
Central West	62	2525
Central West	63	2523
Central West	64	2578
Central West	65	2559
Central West	66	2529
Central West	67	2477
Central West	68	2467
Central West	69	2575
Central West	70	2163
Central West	71	2114
Central West	72	1984
Central West	73	1792
Central West	74	1833
Central West	75	1586
Central West	76	1478
Central West	77	1485
Central West	78	1366
Central West	79	1376
Central West	80	5208
Central West	85	3301
Central West	90	1376
Central West	95	349
Central West	100	48
Coffs Harbour - Grafton	0	1314
Coffs Harbour - Grafton	1	1354
Coffs Harbour - Grafton	2	1414
Coffs Harbour - Grafton	3	1491
Coffs Harbour - Grafton	4	1553
Coffs Harbour - Grafton	5	1666
Coffs Harbour - Grafton	6	1703
Coffs Harbour - Grafton	7	1710
Coffs Harbour - Grafton	8	1721
Coffs Harbour - Grafton	9	1721
Coffs Harbour - Grafton	10	1698
Coffs Harbour - Grafton	11	1685
Coffs Harbour - Grafton	12	1573
Coffs Harbour - Grafton	13	1616
Coffs Harbour - Grafton	14	1636
Coffs Harbour - Grafton	15	1660
Coffs Harbour - Grafton	16	1729
Coffs Harbour - Grafton	17	1773
Coffs Harbour - Grafton	18	1512
Coffs Harbour - Grafton	19	1349
Coffs Harbour - Grafton	20	1201
Coffs Harbour - Grafton	21	1201
Coffs Harbour - Grafton	22	1240
Coffs Harbour - Grafton	23	1263
Coffs Harbour - Grafton	24	1229
Coffs Harbour - Grafton	25	1226
Coffs Harbour - Grafton	26	1323
Coffs Harbour - Grafton	27	1221
Coffs Harbour - Grafton	28	1295
Coffs Harbour - Grafton	29	1237
Coffs Harbour - Grafton	30	1275
Coffs Harbour - Grafton	31	1205
Coffs Harbour - Grafton	32	1301
Coffs Harbour - Grafton	33	1340
Coffs Harbour - Grafton	34	1344
Coffs Harbour - Grafton	35	1353
Coffs Harbour - Grafton	36	1357
Coffs Harbour - Grafton	37	1258
Coffs Harbour - Grafton	38	1329
Coffs Harbour - Grafton	39	1356
Coffs Harbour - Grafton	40	1417
Coffs Harbour - Grafton	41	1493
Coffs Harbour - Grafton	42	1574
Coffs Harbour - Grafton	43	1729
Coffs Harbour - Grafton	44	1810
Coffs Harbour - Grafton	45	1832
Coffs Harbour - Grafton	46	1720
Coffs Harbour - Grafton	47	1640
Coffs Harbour - Grafton	48	1698
Coffs Harbour - Grafton	49	1716
Coffs Harbour - Grafton	50	1779
Coffs Harbour - Grafton	51	1724
