SA4_NAME16	Age	MaritalStatus	Sex	responses
Capital Region	15-19	Divorced	F	6
Capital Region	15-19	Divorced	M	3
Capital Region	15-19	Married	F	7
Capital Region	15-19	Married	M	14
Capital Region	15-19	Widowed	F	5
Capital Region	15-19	Widowed	M	3
Capital Region	20-24	Divorced	F	11
Capital Region	20-24	Divorced	M	3
Capital Region	20-24	Married	F	366
Capital Region	20-24	Married	M	172
Capital Region	20-24	Separated	F	40
Capital Region	20-24	Separated	M	13
Capital Region	20-24	Widowed	F	4
Capital Region	20-24	Widowed	M	5
Capital Region	25-34	Divorced	F	322
Capital Region	25-34	Divorced	M	186
Capital Region	25-34	Married	F	4849
Capital Region	25-34	Married	M	3764
Capital Region	25-34	Separated	F	320
Capital Region	25-34	Separated	M	194
Capital Region	25-34	Widowed	F	20
Capital Region	25-34	Widowed	M	16
Capital Region	35-44	Divorced	F	1074
Capital Region	35-44	Divorced	M	745
Capital Region	35-44	Married	F	7800
Capital Region	35-44	Married	M	7163
Capital Region	35-44	Separated	F	647
Capital Region	35-44	Separated	M	519
Capital Region	35-44	Widowed	F	97
Capital Region	35-44	Widowed	M	32
Capital Region	45-54	Divorced	F	2533
Capital Region	45-54	Divorced	M	2009
Capital Region	45-54	Married	F	9554
Capital Region	45-54	Married	M	8984
Capital Region	45-54	Separated	F	903
Capital Region	45-54	Separated	M	823
Capital Region	45-54	Widowed	F	340
Capital Region	45-54	Widowed	M	115
Capital Region	55-64	Divorced	F	2958
Capital Region	55-64	Divorced	M	2683
Capital Region	55-64	Married	F	10276
Capital Region	55-64	Married	M	10091
Capital Region	55-64	Separated	F	730
Capital Region	55-64	Separated	M	824
Capital Region	55-64	Widowed	F	903
Capital Region	55-64	Widowed	M	328
Capital Region	65-74	Divorced	F	2004
Capital Region	65-74	Divorced	M	2000
Capital Region	65-74	Married	F	8121
Capital Region	65-74	Married	M	9356
Capital Region	65-74	Separated	F	368
Capital Region	65-74	Separated	M	578
Capital Region	65-74	Widowed	F	1978
Capital Region	65-74	Widowed	M	655
Capital Region	75-84	Divorced	F	617
Capital Region	75-84	Divorced	M	654
Capital Region	75-84	Married	F	3022
Capital Region	75-84	Married	M	4362
Capital Region	75-84	Separated	F	133
Capital Region	75-84	Separated	M	210
Capital Region	75-84	Widowed	F	2823
Capital Region	75-84	Widowed	M	874
Capital Region	85+	Divorced	F	158
Capital Region	85+	Divorced	M	105
Capital Region	85+	Married	F	533
Capital Region	85+	Married	M	1010
Capital Region	85+	Separated	F	20
Capital Region	85+	Separated	M	41
Capital Region	85+	Widowed	F	2501
Capital Region	85+	Widowed	M	687
Central Coast	15-19	Divorced	F	3
Central Coast	15-19	Divorced	M	8
Central Coast	15-19	Married	F	21
Central Coast	15-19	Married	M	16
Central Coast	15-19	Separated	F	3
Central Coast	15-19	Separated	M	5
Central Coast	15-19	Widowed	F	3
Central Coast	20-24	Divorced	F	9
Central Coast	20-24	Divorced	M	7
Central Coast	20-24	Married	F	462
Central Coast	20-24	Married	M	247
Central Coast	20-24	Separated	F	49
Central Coast	20-24	Separated	M	19
Central Coast	20-24	Widowed	F	8
Central Coast	20-24	Widowed	M	3
Central Coast	25-34	Divorced	F	448
Central Coast	25-34	Divorced	M	285
Central Coast	25-34	Married	F	7565
Central Coast	25-34	Married	M	5749
Central Coast	25-34	Separated	F	606
Central Coast	25-34	Separated	M	328
Central Coast	25-34	Widowed	F	34
Central Coast	25-34	Widowed	M	14
Central Coast	35-44	Divorced	F	1997
Central Coast	35-44	Divorced	M	1263
Central Coast	35-44	Married	F	11740
Central Coast	35-44	Married	M	10906
Central Coast	35-44	Separated	F	1312
Central Coast	35-44	Separated	M	914
Central Coast	35-44	Widowed	F	142
Central Coast	35-44	Widowed	M	55
Central Coast	45-54	Divorced	F	4215
Central Coast	45-54	Divorced	M	2901
Central Coast	45-54	Married	F	12629
Central Coast	45-54	Married	M	12119
Central Coast	45-54	Separated	F	1619
Central Coast	45-54	Separated	M	1244
Central Coast	45-54	Widowed	F	480
Central Coast	45-54	Widowed	M	152
Central Coast	55-64	Divorced	F	4910
Central Coast	55-64	Divorced	M	3415
Central Coast	55-64	Married	F	12721
Central Coast	55-64	Married	M	12570
Central Coast	55-64	Separated	F	1315
Central Coast	55-64	Separated	M	1066
Central Coast	55-64	Widowed	F	1358
Central Coast	55-64	Widowed	M	384
Central Coast	65-74	Divorced	F	3885
Central Coast	65-74	Divorced	M	2762
Central Coast	65-74	Married	F	10780
Central Coast	65-74	Married	M	11634
Central Coast	65-74	Separated	F	706
Central Coast	65-74	Separated	M	789
Central Coast	65-74	Widowed	F	3066
Central Coast	65-74	Widowed	M	892
Central Coast	75-84	Divorced	F	1512
Central Coast	75-84	Divorced	M	1025
Central Coast	75-84	Married	F	4995
Central Coast	75-84	Married	M	6602
Central Coast	75-84	Separated	F	206
Central Coast	75-84	Separated	M	274
Central Coast	75-84	Widowed	F	4907
Central Coast	75-84	Widowed	M	1334
Central Coast	85+	Divorced	F	395
Central Coast	85+	Divorced	M	220
Central Coast	85+	Married	F	1131
Central Coast	85+	Married	M	2025
Central Coast	85+	Separated	F	43
Central Coast	85+	Separated	M	63
Central Coast	85+	Widowed	F	4665
Central Coast	85+	Widowed	M	1413
Central West	15-19	Divorced	F	6
Central West	15-19	Divorced	M	7
Central West	15-19	Married	F	10
Central West	15-19	Married	M	11
Central West	15-19	Separated	F	4
Central West	15-19	Widowed	F	6
Central West	20-24	Divorced	F	10
Central West	20-24	Divorced	M	3
Central West	20-24	Married	F	390
Central West	20-24	Married	M	233
Central West	20-24	Separated	F	37
Central West	20-24	Separated	M	19
Central West	20-24	Widowed	F	9
Central West	20-24	Widowed	M	3
Central West	25-34	Divorced	F	255
Central West	25-34	Divorced	M	175
Central West	25-34	Married	F	5058
Central West	25-34	Married	M	4094
Central West	25-34	Separated	F	351
Central West	25-34	Separated	M	241
