SA4_NAME16	Age	EnglishProficiency	SpeaksEnglishOnly	YearOfArrival.max	persons_born_overseas
Capital Region	0-14			2016	3
Capital Region	0-14		0	2015	3
Capital Region	0-14		0	2016	4
Capital Region	0-14		1		23
Capital Region	0-14		1	2005	68
Capital Region	0-14		1	2010	254
Capital Region	0-14		1	2011	62
Capital Region	0-14		1	2012	51
Capital Region	0-14		1	2013	66
Capital Region	0-14		1	2014	45
Capital Region	0-14		1	2015	68
Capital Region	0-14		1	2016	19
Capital Region	0-14	Speaks English well or very well	0		14
Capital Region	0-14	Speaks English well or very well	0	2005	19
Capital Region	0-14	Speaks English well or very well	0	2010	117
Capital Region	0-14	Speaks English well or very well	0	2011	40
Capital Region	0-14	Speaks English well or very well	0	2012	35
Capital Region	0-14	Speaks English well or very well	0	2013	39
Capital Region	0-14	Speaks English well or very well	0	2014	59
Capital Region	0-14	Speaks English well or very well	0	2015	54
Capital Region	0-14	Speaks English well or very well	0	2016	26
Capital Region	0-14	Speaks English not well or not at all	0		3
Capital Region	0-14	Speaks English not well or not at all	0	2012	3
Capital Region	0-14	Speaks English not well or not at all	0	2014	12
Capital Region	0-14	Speaks English not well or not at all	0	2015	27
Capital Region	0-14	Speaks English not well or not at all	0	2016	23
Capital Region	15-24				27
Capital Region	15-24		0	2000	4
Capital Region	15-24		0	2010	3
Capital Region	15-24		1		45
Capital Region	15-24		1	2000	114
Capital Region	15-24		1	2005	188
Capital Region	15-24		1	2010	114
Capital Region	15-24		1	2011	18
Capital Region	15-24		1	2012	19
Capital Region	15-24		1	2013	18
Capital Region	15-24		1	2014	17
Capital Region	15-24		1	2015	28
Capital Region	15-24		1	2016	17
Capital Region	15-24	Speaks English well or very well	0		21
Capital Region	15-24	Speaks English well or very well	0	2000	31
Capital Region	15-24	Speaks English well or very well	0	2005	72
Capital Region	15-24	Speaks English well or very well	0	2010	124
Capital Region	15-24	Speaks English well or very well	0	2011	31
Capital Region	15-24	Speaks English well or very well	0	2012	35
Capital Region	15-24	Speaks English well or very well	0	2013	47
Capital Region	15-24	Speaks English well or very well	0	2014	51
Capital Region	15-24	Speaks English well or very well	0	2015	44
Capital Region	15-24	Speaks English well or very well	0	2016	39
Capital Region	15-24	Speaks English not well or not at all	0		15
Capital Region	15-24	Speaks English not well or not at all	0	2010	3
Capital Region	15-24	Speaks English not well or not at all	0	2014	4
Capital Region	15-24	Speaks English not well or not at all	0	2015	15
Capital Region	15-24	Speaks English not well or not at all	0	2016	17
Capital Region	25-34				53
Capital Region	25-34		0		3
Capital Region	25-34		0	2000	4
Capital Region	25-34		0	2010	3
Capital Region	25-34		0	2012	3
Capital Region	25-34		0	2014	3
Capital Region	25-34		0	2015	3
Capital Region	25-34		0	2016	4
Capital Region	25-34		1		38
Capital Region	25-34		1	2000	358
Capital Region	25-34		1	2005	104
Capital Region	25-34		1	2010	189
Capital Region	25-34		1	2011	60
Capital Region	25-34		1	2012	47
Capital Region	25-34		1	2013	47
Capital Region	25-34		1	2014	34
Capital Region	25-34		1	2015	38
Capital Region	25-34		1	2016	23
Capital Region	25-34	Speaks English well or very well	0		45
Capital Region	25-34	Speaks English well or very well	0	2000	163
Capital Region	25-34	Speaks English well or very well	0	2005	126
Capital Region	25-34	Speaks English well or very well	0	2010	595
Capital Region	25-34	Speaks English well or very well	0	2011	105
Capital Region	25-34	Speaks English well or very well	0	2012	105
Capital Region	25-34	Speaks English well or very well	0	2013	134
Capital Region	25-34	Speaks English well or very well	0	2014	174
Capital Region	25-34	Speaks English well or very well	0	2015	153
Capital Region	25-34	Speaks English well or very well	0	2016	74
Capital Region	25-34	Speaks English not well or not at all	0		12
Capital Region	25-34	Speaks English not well or not at all	0	2005	5
Capital Region	25-34	Speaks English not well or not at all	0	2010	26
Capital Region	25-34	Speaks English not well or not at all	0	2011	11
Capital Region	25-34	Speaks English not well or not at all	0	2012	8
Capital Region	25-34	Speaks English not well or not at all	0	2013	13
Capital Region	25-34	Speaks English not well or not at all	0	2014	28
Capital Region	25-34	Speaks English not well or not at all	0	2015	22
Capital Region	25-34	Speaks English not well or not at all	0	2016	19
Capital Region	35-44				61
Capital Region	35-44			2010	3
Capital Region	35-44		0		3
Capital Region	35-44		0	2000	3
Capital Region	35-44		0	2010	3
Capital Region	35-44		0	2015	3
Capital Region	35-44		1		64
Capital Region	35-44		1	2000	959
Capital Region	35-44		1	2005	266
Capital Region	35-44		1	2010	230
Capital Region	35-44		1	2011	25
Capital Region	35-44		1	2012	39
Capital Region	35-44		1	2013	26
Capital Region	35-44		1	2014	28
Capital Region	35-44		1	2015	27
Capital Region	35-44		1	2016	6
Capital Region	35-44	Speaks English well or very well	0		24
Capital Region	35-44	Speaks English well or very well	0	2000	304
Capital Region	35-44	Speaks English well or very well	0	2005	262
Capital Region	35-44	Speaks English well or very well	0	2010	459
Capital Region	35-44	Speaks English well or very well	0	2011	60
Capital Region	35-44	Speaks English well or very well	0	2012	69
Capital Region	35-44	Speaks English well or very well	0	2013	51
Capital Region	35-44	Speaks English well or very well	0	2014	63
Capital Region	35-44	Speaks English well or very well	0	2015	55
Capital Region	35-44	Speaks English well or very well	0	2016	24
Capital Region	35-44	Speaks English not well or not at all	0		8
Capital Region	35-44	Speaks English not well or not at all	0	2000	7
Capital Region	35-44	Speaks English not well or not at all	0	2005	16
Capital Region	35-44	Speaks English not well or not at all	0	2010	25
Capital Region	35-44	Speaks English not well or not at all	0	2011	5
Capital Region	35-44	Speaks English not well or not at all	0	2013	7
Capital Region	35-44	Speaks English not well or not at all	0	2014	6
Capital Region	35-44	Speaks English not well or not at all	0	2015	4
