SA2_NAME16	IndigenousStatus	persons
Braidwood	Aboriginal	70
Braidwood	Non-indigenous	3802
Karabar	Aboriginal	493
Karabar	Non-indigenous	7742
Karabar	Torres Strait Islander	12
Queanbeyan	Aboriginal	310
Queanbeyan	Both Aboriginal & Torres Strait Islander	4
Queanbeyan	Non-indigenous	10522
Queanbeyan	Torres Strait Islander	6
Queanbeyan - East	Aboriginal	167
Queanbeyan - East	Both Aboriginal & Torres Strait Islander	3
Queanbeyan - East	Non-indigenous	4616
Queanbeyan Region	Aboriginal	322
Queanbeyan Region	Both Aboriginal & Torres Strait Islander	11
Queanbeyan Region	Non-indigenous	16610
Queanbeyan Region	Torres Strait Islander	3
Queanbeyan West - Jerrabomberra	Aboriginal	332
Queanbeyan West - Jerrabomberra	Both Aboriginal & Torres Strait Islander	10
Queanbeyan West - Jerrabomberra	Non-indigenous	12297
Queanbeyan West - Jerrabomberra	Torres Strait Islander	4
Bombala	Aboriginal	49
Bombala	Non-indigenous	2341
Cooma	Aboriginal	204
Cooma	Both Aboriginal & Torres Strait Islander	3
Cooma	Non-indigenous	6529
Cooma	Torres Strait Islander	6
Cooma Region	Aboriginal	66
Cooma Region	Non-indigenous	3210
Cooma Region	Torres Strait Islander	4
Jindabyne - Berridale	Aboriginal	78
Jindabyne - Berridale	Non-indigenous	6863
Jindabyne - Berridale	Torres Strait Islander	10
Batemans Bay	Aboriginal	582
Batemans Bay	Both Aboriginal & Torres Strait Islander	4
Batemans Bay	Non-indigenous	7096
Batemans Bay	Torres Strait Islander	10
Batemans Bay - South	Aboriginal	339
Batemans Bay - South	Both Aboriginal & Torres Strait Islander	8
Batemans Bay - South	Non-indigenous	8003
Batemans Bay - South	Torres Strait Islander	8
Bega - Tathra	Aboriginal	323
Bega - Tathra	Both Aboriginal & Torres Strait Islander	3
Bega - Tathra	Non-indigenous	8079
Bega-Eden Hinterland	Aboriginal	207
Bega-Eden Hinterland	Both Aboriginal & Torres Strait Islander	11
Bega-Eden Hinterland	Non-indigenous	8570
Bega-Eden Hinterland	Torres Strait Islander	5
Broulee - Tomakin	Aboriginal	112
Broulee - Tomakin	Both Aboriginal & Torres Strait Islander	3
Broulee - Tomakin	Non-indigenous	3170
Deua - Wadbilliga	Non-indigenous	25
Eden	Aboriginal	216
Eden	Both Aboriginal & Torres Strait Islander	4
Eden	Non-indigenous	2991
Eden	Torres Strait Islander	5
Eurobodalla Hinterland	Aboriginal	266
Eurobodalla Hinterland	Both Aboriginal & Torres Strait Islander	10
Eurobodalla Hinterland	Non-indigenous	3018
Eurobodalla Hinterland	Torres Strait Islander	7
Merimbula - Tura Beach	Aboriginal	197
Merimbula - Tura Beach	Non-indigenous	10421
Moruya - Tuross Head	Aboriginal	365
Moruya - Tuross Head	Both Aboriginal & Torres Strait Islander	13
Moruya - Tuross Head	Non-indigenous	7587
Moruya - Tuross Head	Torres Strait Islander	3
Narooma - Bermagui	Aboriginal	422
Narooma - Bermagui	Both Aboriginal & Torres Strait Islander	7
Narooma - Bermagui	Non-indigenous	8546
Narooma - Bermagui	Torres Strait Islander	3
Goulburn	Aboriginal	932
Goulburn	Both Aboriginal & Torres Strait Islander	23
Goulburn	Non-indigenous	21910
Goulburn	Torres Strait Islander	25
Goulburn Region	Aboriginal	330
Goulburn Region	Both Aboriginal & Torres Strait Islander	5
Goulburn Region	Non-indigenous	12327
Goulburn Region	Torres Strait Islander	8
Yass	Aboriginal	247
Yass	Both Aboriginal & Torres Strait Islander	3
Yass	Non-indigenous	6256
Yass Region	Aboriginal	175
Yass Region	Both Aboriginal & Torres Strait Islander	4
Yass Region	Non-indigenous	11321
Yass Region	Torres Strait Islander	5
