SA2_NAME16	MotorVehicles.min	occupied_private_dwellings
Braidwood		69
Braidwood	0	37
Braidwood	1	455
Braidwood	2	544
Braidwood	3	208
Braidwood	4	144
Karabar		102
Karabar	0	180
Karabar	1	954
Karabar	2	1032
Karabar	3	420
Karabar	4	267
Queanbeyan		184
Queanbeyan	0	386
Queanbeyan	1	2175
Queanbeyan	2	1365
Queanbeyan	3	345
Queanbeyan	4	162
Queanbeyan - East		76
Queanbeyan - East	0	131
Queanbeyan - East	1	905
Queanbeyan - East	2	655
Queanbeyan - East	3	164
Queanbeyan - East	4	104
Queanbeyan Region		146
Queanbeyan Region	0	42
Queanbeyan Region	1	859
Queanbeyan Region	2	2228
Queanbeyan Region	3	1112
Queanbeyan Region	4	860
Queanbeyan West - Jerrabomberra		71
Queanbeyan West - Jerrabomberra	0	55
Queanbeyan West - Jerrabomberra	1	963
Queanbeyan West - Jerrabomberra	2	1919
Queanbeyan West - Jerrabomberra	3	704
Queanbeyan West - Jerrabomberra	4	423
Bombala		46
Bombala	0	48
Bombala	1	307
Bombala	2	333
Bombala	3	143
Bombala	4	80
Cooma		163
Cooma	0	229
Cooma	1	1058
Cooma	2	857
Cooma	3	268
Cooma	4	131
Cooma Region		32
Cooma Region	0	28
Cooma Region	1	304
Cooma Region	2	479
Cooma Region	3	231
Cooma Region	4	151
Jindabyne - Berridale		170
Jindabyne - Berridale	0	52
Jindabyne - Berridale	1	673
Jindabyne - Berridale	2	910
Jindabyne - Berridale	3	375
Jindabyne - Berridale	4	202
Batemans Bay		171
Batemans Bay	0	244
Batemans Bay	1	1240
Batemans Bay	2	989
Batemans Bay	3	289
Batemans Bay	4	120
Batemans Bay - South		152
Batemans Bay - South	0	152
Batemans Bay - South	1	1371
Batemans Bay - South	2	1184
Batemans Bay - South	3	331
Batemans Bay - South	4	133
Bega - Tathra		156
Bega - Tathra	0	186
Bega - Tathra	1	1214
Bega - Tathra	2	1199
Bega - Tathra	3	327
Bega - Tathra	4	158
Bega-Eden Hinterland		144
Bega-Eden Hinterland	0	55
Bega-Eden Hinterland	1	957
Bega-Eden Hinterland	2	1439
Bega-Eden Hinterland	3	555
Bega-Eden Hinterland	4	243
Broulee - Tomakin		48
Broulee - Tomakin	0	47
Broulee - Tomakin	1	548
Broulee - Tomakin	2	459
Broulee - Tomakin	3	143
Broulee - Tomakin	4	40
Deua - Wadbilliga	1	5
Deua - Wadbilliga	2	4
Eden		77
Eden	0	96
Eden	1	521
Eden	2	432
Eden	3	120
Eden	4	41
Eurobodalla Hinterland		61
Eurobodalla Hinterland	0	27
Eurobodalla Hinterland	1	357
Eurobodalla Hinterland	2	527
Eurobodalla Hinterland	3	192
Eurobodalla Hinterland	4	115
Merimbula - Tura Beach		203
Merimbula - Tura Beach	0	199
Merimbula - Tura Beach	1	1777
Merimbula - Tura Beach	2	1578
Merimbula - Tura Beach	3	446
Merimbula - Tura Beach	4	142
Moruya - Tuross Head		149
Moruya - Tuross Head	0	144
Moruya - Tuross Head	1	1298
Moruya - Tuross Head	2	1208
Moruya - Tuross Head	3	361
Moruya - Tuross Head	4	165
Narooma - Bermagui		169
Narooma - Bermagui	0	174
Narooma - Bermagui	1	1646
Narooma - Bermagui	2	1338
Narooma - Bermagui	3	338
Narooma - Bermagui	4	117
Goulburn		390
Goulburn	0	766
Goulburn	1	3139
Goulburn	2	2797
Goulburn	3	998
Goulburn	4	475
Goulburn Region		174
Goulburn Region	0	100
Goulburn Region	1	1079
Goulburn Region	2	1807
Goulburn Region	3	836
Goulburn Region	4	616
Yass		88
Yass	0	119
Yass	1	750
Yass	2	876
Yass	3	352
Yass	4	172
Yass Region		115
Yass Region	0	34
Yass Region	1	658
Yass Region	2	1594
Yass Region	3	849
Yass Region	4	627
Young		192
Young	0	262
Young	1	1410
Young	2	1375
Young	3	487
Young	4	221
Young Region		154
Young Region	0	118
Young Region	1	880
Young Region	2	1039
Young Region	3	459
Young Region	4	279
Avoca Beach - Copacabana		59
Avoca Beach - Copacabana	0	44
Avoca Beach - Copacabana	1	671
Avoca Beach - Copacabana	2	1135
Avoca Beach - Copacabana	3	371
Avoca Beach - Copacabana	4	182
Box Head - MacMasters Beach		116
Box Head - MacMasters Beach	0	128
Box Head - MacMasters Beach	1	1269
Box Head - MacMasters Beach	2	1606
Box Head - MacMasters Beach	3	545
Box Head - MacMasters Beach	4	298
Calga - Kulnura		81
Calga - Kulnura	0	57
Calga - Kulnura	1	369
Calga - Kulnura	2	585
Calga - Kulnura	3	275
Calga - Kulnura	4	241
Erina - Green Point		190
Erina - Green Point	0	433
Erina - Green Point	1	1935
Erina - Green Point	2	1685
Erina - Green Point	3	615
Erina - Green Point	4	333
Gosford - Springfield		356
Gosford - Springfield	0	945
Gosford - Springfield	1	3389
Gosford - Springfield	2	2277
Gosford - Springfield	3	569
Gosford - Springfield	4	241
Kariong		45
Kariong	0	48
Kariong	1	509
Kariong	2	874
Kariong	3	321
Kariong	4	175
Kincumber - Picketts Valley		123
Kincumber - Picketts Valley	0	245
Kincumber - Picketts Valley	1	1175
Kincumber - Picketts Valley	2	880
Kincumber - Picketts Valley	3	305
Kincumber - Picketts Valley	4	166
Narara		60
Narara	0	86
Narara	1	702
Narara	2	941
Narara	3	313
Narara	4	166
Niagara Park - Lisarow		60
Niagara Park - Lisarow	0	103
Niagara Park - Lisarow	1	799
Niagara Park - Lisarow	2	1100
Niagara Park - Lisarow	3	360
Niagara Park - Lisarow	4	247
Point Clare - Koolewong		73
Point Clare - Koolewong	0	149
Point Clare - Koolewong	1	919
Point Clare - Koolewong	2	871
Point Clare - Koolewong	3	255
Point Clare - Koolewong	4	113
Saratoga - Davistown		71
Saratoga - Davistown	0	106
Saratoga - Davistown	1	800
Saratoga - Davistown	2	1057
Saratoga - Davistown	3	336
Saratoga - Davistown	4	171
Terrigal - North Avoca		108
Terrigal - North Avoca	0	169
Terrigal - North Avoca	1	1457
Terrigal - North Avoca	2	2073
Terrigal - North Avoca	3	666
Terrigal - North Avoca	4	357
Umina - Booker Bay - Patonga		404
Umina - Booker Bay - Patonga	0	990
Umina - Booker Bay - Patonga	1	4184
Umina - Booker Bay - Patonga	2	2881
Umina - Booker Bay - Patonga	3	732
Umina - Booker Bay - Patonga	4	331
Wamberal - Forresters Beach		85
Wamberal - Forresters Beach	0	72
Wamberal - Forresters Beach	1	905
Wamberal - Forresters Beach	2	1407
Wamberal - Forresters Beach	3	510
Wamberal - Forresters Beach	4	273
Woy Woy - Blackwall		304
Woy Woy - Blackwall	0	818
Woy Woy - Blackwall	1	2512
Woy Woy - Blackwall	2	1496
Woy Woy - Blackwall	3	407
Woy Woy - Blackwall	4	196
Wyoming		156
Wyoming	0	356
Wyoming	1	1694
Wyoming	2	1333
Wyoming	3	413
Wyoming	4	209
Bateau Bay - Killarney Vale		347
Bateau Bay - Killarney Vale	0	574
Bateau Bay - Killarney Vale	1	2706
Bateau Bay - Killarney Vale	2	2924
Bateau Bay - Killarney Vale	3	959
Bateau Bay - Killarney Vale	4	450
Blue Haven - San Remo		143
Blue Haven - San Remo	0	127
Blue Haven - San Remo	1	1262
Blue Haven - San Remo	2	1435
Blue Haven - San Remo	3	491
Blue Haven - San Remo	4	243
Budgewoi - Buff Point - Halekulani		206
Budgewoi - Buff Point - Halekulani	0	197
Budgewoi - Buff Point - Halekulani	1	1520
Budgewoi - Buff Point - Halekulani	2	1230
Budgewoi - Buff Point - Halekulani	3	381
Budgewoi - Buff Point - Halekulani	4	199
Chittaway Bay - Tumbi Umbi		154
Chittaway Bay - Tumbi Umbi	0	205
Chittaway Bay - Tumbi Umbi	1	1607
Chittaway Bay - Tumbi Umbi	2	2109
Chittaway Bay - Tumbi Umbi	3	761
Chittaway Bay - Tumbi Umbi	4	455
Gorokan - Kanwal - Charmhaven		425
Gorokan - Kanwal - Charmhaven	0	656
Gorokan - Kanwal - Charmhaven	1	3129
Gorokan - Kanwal - Charmhaven	2	2621
Gorokan - Kanwal - Charmhaven	3	885
Gorokan - Kanwal - Charmhaven	4	454
Jilliby - Yarramalong		34
Jilliby - Yarramalong	0	8
Jilliby - Yarramalong	1	160
Jilliby - Yarramalong	2	363
Jilliby - Yarramalong	3	204
Jilliby - Yarramalong	4	216
Lake Munmorah - Mannering Park		200
Lake Munmorah - Mannering Park	0	185
Lake Munmorah - Mannering Park	1	1864
Lake Munmorah - Mannering Park	2	1323
Lake Munmorah - Mannering Park	3	458
Lake Munmorah - Mannering Park	4	254
Ourimbah - Fountaindale		40
Ourimbah - Fountaindale	0	38
Ourimbah - Fountaindale	1	474
Ourimbah - Fountaindale	2	696
Ourimbah - Fountaindale	3	232
Ourimbah - Fountaindale	4	176
Summerland Point - Gwandalan		73
Summerland Point - Gwandalan	0	57
Summerland Point - Gwandalan	1	717
Summerland Point - Gwandalan	2	900
Summerland Point - Gwandalan	3	268
Summerland Point - Gwandalan	4	151
The Entrance		350
The Entrance	0	672
The Entrance	1	2832
The Entrance	2	1831
The Entrance	3	460
The Entrance	4	224
Toukley - Norah Head		207
Toukley - Norah Head	0	347
Toukley - Norah Head	1	1597
Toukley - Norah Head	2	1171
Toukley - Norah Head	3	358
Toukley - Norah Head	4	195
Tuggerah - Kangy Angy		51
Tuggerah - Kangy Angy	0	70
Tuggerah - Kangy Angy	1	606
Tuggerah - Kangy Angy	2	681
Tuggerah - Kangy Angy	3	209
Tuggerah - Kangy Angy	4	138
Warnervale - Wadalba		142
Warnervale - Wadalba	0	151
Warnervale - Wadalba	1	1309
Warnervale - Wadalba	2	1988
Warnervale - Wadalba	3	689
Warnervale - Wadalba	4	391
Wyong		173
Wyong	0	348
Wyong	1	1234
Wyong	2	936
Wyong	3	354
Wyong	4	188
Bathurst		325
Bathurst	0	703
Bathurst	1	3298
Bathurst	2	2943
Bathurst	3	951
Bathurst	4	460
Bathurst - East		119
Bathurst - East	0	176
Bathurst - East	1	1022
Bathurst - East	2	1488
Bathurst - East	3	547
Bathurst - East	4	297
Bathurst Region		99
Bathurst Region	0	41
Bathurst Region	1	441
Bathurst Region	2	863
Bathurst Region	3	478
Bathurst Region	4	350
Oberon		78
Oberon	0	67
Oberon	1	491
Oberon	2	622
Oberon	3	255
Oberon	4	159
Condobolin		146
Condobolin	0	144
Condobolin	1	742
Condobolin	2	824
Condobolin	3	316
Condobolin	4	195
Cowra		169
Cowra	0	268
Cowra	1	1376
Cowra	2	1243
Cowra	3	337
Cowra	4	178
Cowra Region		90
Cowra Region	0	86
Cowra Region	1	582
Cowra Region	2	774
Cowra Region	3	332
Cowra Region	4	231
Forbes		186
Forbes	0	204
Forbes	1	1172
Forbes	2	1379
Forbes	3	509
Forbes	4	280
Grenfell		67
Grenfell	0	80
Grenfell	1	448
Grenfell	2	512
Grenfell	3	202
Grenfell	4	136
Parkes (NSW)		197
Parkes (NSW)	0	316
Parkes (NSW)	1	1416
Parkes (NSW)	2	1363
Parkes (NSW)	3	468
Parkes (NSW)	4	206
Parkes Region		69
Parkes Region	0	58
Parkes Region	1	349
Parkes Region	2	404
Parkes Region	3	190
Parkes Region	4	164
West Wyalong		110
West Wyalong	0	100
West Wyalong	1	686
West Wyalong	2	760
West Wyalong	3	331
West Wyalong	4	180
Lithgow		267
Lithgow	0	617
Lithgow	1	1908
Lithgow	2	1436
Lithgow	3	493
Lithgow	4	273
Lithgow Region		124
Lithgow Region	0	91
Lithgow Region	1	789
Lithgow Region	2	1106
Lithgow Region	3	462
Lithgow Region	4	304
Mudgee		226
Mudgee	0	278
Mudgee	1	1399
Mudgee	2	1638
Mudgee	3	504
Mudgee	4	205
Mudgee Region - East		88
Mudgee Region - East	0	64
Mudgee Region - East	1	492
Mudgee Region - East	2	461
Mudgee Region - East	3	180
Mudgee Region - East	4	103
Mudgee Region - West		174
Mudgee Region - West	0	106
Mudgee Region - West	1	974
Mudgee Region - West	2	1412
Mudgee Region - West	3	588
Mudgee Region - West	4	373
Blayney		154
Blayney	0	96
Blayney	1	746
Blayney	2	979
Blayney	3	427
Blayney	4	254
Orange		403
Orange	0	702
Orange	1	3057
Orange	2	2347
Orange	3	618
Orange	4	262
Orange - North		211
Orange - North	0	305
Orange - North	1	2121
Orange - North	2	2910
Orange - North	3	868
Orange - North	4	379
Orange Region		153
Orange Region	0	91
Orange Region	1	798
Orange Region	2	1579
Orange Region	3	754
Orange Region	4	539
Grafton		302
Grafton	0	640
Grafton	1	2952
Grafton	2	2298
Grafton	3	649
Grafton	4	300
Grafton Region		261
Grafton Region	0	132
Grafton Region	1	1607
Grafton Region	2	2205
Grafton Region	3	891
Grafton Region	4	483
Maclean - Yamba - Iluka		306
Maclean - Yamba - Iluka	0	349
Maclean - Yamba - Iluka	1	2890
Maclean - Yamba - Iluka	2	2324
Maclean - Yamba - Iluka	3	630
Maclean - Yamba - Iluka	4	230
Bellingen		92
Bellingen	0	68
Bellingen	1	833
Bellingen	2	844
Bellingen	3	222
Bellingen	4	85
Coffs Harbour - North		303
Coffs Harbour - North	0	573
Coffs Harbour - North	1	2751
Coffs Harbour - North	2	2195
Coffs Harbour - North	3	608
Coffs Harbour - North	4	264
Coffs Harbour - South		167
Coffs Harbour - South	0	414
