SA2_NAME16	AustCitizen	persons
Braidwood	0	579
Braidwood	1	3293
Karabar	0	846
Karabar	1	7401
Queanbeyan	0	2099
Queanbeyan	1	8743
Queanbeyan - East	0	860
Queanbeyan - East	1	3926
Queanbeyan Region	0	2072
Queanbeyan Region	1	14874
Queanbeyan West - Jerrabomberra	0	1024
Queanbeyan West - Jerrabomberra	1	11619
Bombala	0	234
Bombala	1	2156
Cooma	0	990
Cooma	1	5752
Cooma Region	0	390
Cooma Region	1	2890
Jindabyne - Berridale	0	982
Jindabyne - Berridale	1	5969
Batemans Bay	0	863
Batemans Bay	1	6829
Batemans Bay - South	0	953
Batemans Bay - South	1	7405
Bega - Tathra	0	910
Bega - Tathra	1	7495
Bega-Eden Hinterland	0	875
Bega-Eden Hinterland	1	7918
Broulee - Tomakin	0	370
Broulee - Tomakin	1	2915
Deua - Wadbilliga	0	9
Deua - Wadbilliga	1	16
Eden	0	383
Eden	1	2833
Eurobodalla Hinterland	0	324
Eurobodalla Hinterland	1	2977
Merimbula - Tura Beach	0	1111
Merimbula - Tura Beach	1	9507
Moruya - Tuross Head	0	779
Moruya - Tuross Head	1	7189
Narooma - Bermagui	0	978
Narooma - Bermagui	1	8000
Goulburn	0	2891
Goulburn	1	19999
Goulburn Region	0	1390
Goulburn Region	1	11280
Yass	0	574
Yass	1	5932
Yass Region	0	1018
Yass Region	1	10487
Young	0	947
Young	1	9654
Young Region	0	659
Young Region	1	6664
Avoca Beach - Copacabana	0	798
Avoca Beach - Copacabana	1	6514
Box Head - MacMasters Beach	0	970
Box Head - MacMasters Beach	1	9719
Calga - Kulnura	0	681
Calga - Kulnura	1	4024
Erina - Green Point	0	1650
Erina - Green Point	1	12303
Gosford - Springfield	0	2967
Gosford - Springfield	1	15836
Kariong	0	787
Kariong	1	5598
Kincumber - Picketts Valley	0	612
Kincumber - Picketts Valley	1	6701
Narara	0	636
Narara	1	6006
Niagara Park - Lisarow	0	726
Niagara Park - Lisarow	1	7303
Point Clare - Koolewong	0	608
Point Clare - Koolewong	1	5598
Saratoga - Davistown	0	605
Saratoga - Davistown	1	6379
Terrigal - North Avoca	0	1500
Terrigal - North Avoca	1	11847
Umina - Booker Bay - Patonga	0	2826
Umina - Booker Bay - Patonga	1	20764
Wamberal - Forresters Beach	0	862
Wamberal - Forresters Beach	1	8895
Woy Woy - Blackwall	0	1741
Woy Woy - Blackwall	1	12183
Wyoming	0	1390
Wyoming	1	10046
Bateau Bay - Killarney Vale	0	2113
Bateau Bay - Killarney Vale	1	19895
Blue Haven - San Remo	0	971
Blue Haven - San Remo	1	10075
Budgewoi - Buff Point - Halekulani	0	913
Budgewoi - Buff Point - Halekulani	1	8496
Chittaway Bay - Tumbi Umbi	0	1284
