STE_NAME16	Age	MaritalStatus	Sex	responses
New South Wales	15-19	Divorced	F	89
New South Wales	15-19	Divorced	M	124
New South Wales	15-19	Married	F	1006
New South Wales	15-19	Married	M	649
New South Wales	15-19	Separated	F	109
New South Wales	15-19	Separated	M	81
New South Wales	15-19	Widowed	F	89
New South Wales	15-19	Widowed	M	78
New South Wales	20-24	Divorced	F	558
New South Wales	20-24	Divorced	M	282
New South Wales	20-24	Married	F	19269
New South Wales	20-24	Married	M	8751
New South Wales	20-24	Separated	F	1156
New South Wales	20-24	Separated	M	458
New South Wales	20-24	Widowed	F	181
New South Wales	20-24	Widowed	M	162
New South Wales	25-34	Divorced	F	13333
New South Wales	25-34	Divorced	M	8177
New South Wales	25-34	Married	F	244293
New South Wales	25-34	Married	M	192001
New South Wales	25-34	Separated	F	13010
New South Wales	25-34	Separated	M	7842
New South Wales	25-34	Widowed	F	915
New South Wales	25-34	Widowed	M	473
New South Wales	35-44	Divorced	F	41667
New South Wales	35-44	Divorced	M	27139
New South Wales	35-44	Married	F	320604
New South Wales	35-44	Married	M	309680
New South Wales	35-44	Separated	F	23894
New South Wales	35-44	Separated	M	17299
New South Wales	35-44	Widowed	F	3098
New South Wales	35-44	Widowed	M	1000
New South Wales	45-54	Divorced	F	76774
New South Wales	45-54	Divorced	M	53129
New South Wales	45-54	Married	F	307272
New South Wales	45-54	Married	M	301547
New South Wales	45-54	Separated	F	27808
New South Wales	45-54	Separated	M	22519
New South Wales	45-54	Widowed	F	10080
New South Wales	45-54	Widowed	M	3016
New South Wales	55-64	Divorced	F	83830
New South Wales	55-64	Divorced	M	62904
New South Wales	55-64	Married	F	280408
New South Wales	55-64	Married	M	285022
New South Wales	55-64	Separated	F	21786
New South Wales	55-64	Separated	M	20080
New South Wales	55-64	Widowed	F	27318
New South Wales	55-64	Widowed	M	7473
New South Wales	65-74	Divorced	F	56614
New South Wales	65-74	Divorced	M	44359
New South Wales	65-74	Married	F	203888
New South Wales	65-74	Married	M	232776
New South Wales	65-74	Separated	F	11358
New South Wales	65-74	Separated	M	13303
New South Wales	65-74	Widowed	F	56710
New South Wales	65-74	Widowed	M	15269
New South Wales	75-84	Divorced	F	19703
New South Wales	75-84	Divorced	M	15254
New South Wales	75-84	Married	F	86737
New South Wales	75-84	Married	M	119994
New South Wales	75-84	Separated	F	3260
New South Wales	75-84	Separated	M	4632
New South Wales	75-84	Widowed	F	84913
New South Wales	75-84	Widowed	M	21683
New South Wales	85+	Divorced	F	5444
New South Wales	85+	Divorced	M	2919
New South Wales	85+	Married	F	17238
New South Wales	85+	Married	M	34136
New South Wales	85+	Separated	F	615
New South Wales	85+	Separated	M	989
New South Wales	85+	Widowed	F	78325
New South Wales	85+	Widowed	M	20865
Victoria	15-19	Divorced	F	82
Victoria	15-19	Divorced	M	93
Victoria	15-19	Married	F	731
Victoria	15-19	Married	M	488
Victoria	15-19	Separated	F	75
Victoria	15-19	Separated	M	64
Victoria	15-19	Widowed	F	92
Victoria	15-19	Widowed	M	65
Victoria	20-24	Divorced	F	371
Victoria	20-24	Divorced	M	189
Victoria	20-24	Married	F	13320
Victoria	20-24	Married	M	5962
Victoria	20-24	Separated	F	789
Victoria	20-24	Separated	M	315
Victoria	20-24	Widowed	F	166
Victoria	20-24	Widowed	M	129
Victoria	25-34	Divorced	F	9692
Victoria	25-34	Divorced	M	5767
Victoria	25-34	Married	F	197188
Victoria	25-34	Married	M	156256
Victoria	25-34	Separated	F	9807
Victoria	25-34	Separated	M	5925
Victoria	25-34	Widowed	F	738
Victoria	25-34	Widowed	M	372
Victoria	35-44	Divorced	F	31319
Victoria	35-44	Divorced	M	20192
Victoria	35-44	Married	F	255833
