STE_NAME16	DwellingStructure	DwellingSubtype	HouseholdComposition	occupied_private_dwellings
New South Wales			Couple family with children	2852
New South Wales			Couple family with no children	3336
New South Wales			Group household	751
New South Wales			Lone-person household	5883
New South Wales			One parent family with children	1100
New South Wales			Other family	148
New South Wales	(Other)	Cabin household	Couple family with children	349
New South Wales	(Other)	Cabin household	Couple family with no children	1676
New South Wales	(Other)	Cabin household	Group household	214
New South Wales	(Other)	Cabin household	Lone-person household	3986
New South Wales	(Other)	Cabin household	One parent family with children	414
New South Wales	(Other)	Cabin household	Other family	52
New South Wales	(Other)	Caravan	Couple family with children	270
New South Wales	(Other)	Caravan	Couple family with no children	1252
New South Wales	(Other)	Caravan	Group household	156
New South Wales	(Other)	Caravan	Lone-person household	3632
New South Wales	(Other)	Caravan	One parent family with children	269
New South Wales	(Other)	Caravan	Other family	39
New South Wales	(Other)	House or flat attached to a shop, office, etc	Couple family with children	2265
New South Wales	(Other)	House or flat attached to a shop, office, etc	Couple family with no children	2344
New South Wales	(Other)	House or flat attached to a shop, office, etc	Group household	989
New South Wales	(Other)	House or flat attached to a shop, office, etc	Lone-person household	2964
New South Wales	(Other)	House or flat attached to a shop, office, etc	One parent family with children	1215
New South Wales	(Other)	House or flat attached to a shop, office, etc	Other family	190
New South Wales	(Other)	Improvised home, tent sleepers	Couple family with children	241
New South Wales	(Other)	Improvised home, tent sleepers	Couple family with no children	250
New South Wales	(Other)	Improvised home, tent sleepers	Group household	49
New South Wales	(Other)	Improvised home, tent sleepers	Lone-person household	642
New South Wales	(Other)	Improvised home, tent sleepers	One parent family with children	118
New South Wales	(Other)	Improvised home, tent sleepers	Other family	7
New South Wales	Flat/apartment	1 or 2 storey block	Couple family with children	21106
New South Wales	Flat/apartment	1 or 2 storey block	Couple family with no children	27442
New South Wales	Flat/apartment	1 or 2 storey block	Group household	9099
New South Wales	Flat/apartment	1 or 2 storey block	Lone-person household	63786
New South Wales	Flat/apartment	1 or 2 storey block	One parent family with children	13247
New South Wales	Flat/apartment	1 or 2 storey block	Other family	1944
New South Wales	Flat/apartment	3 storey block	Couple family with children	32187
New South Wales	Flat/apartment	3 storey block	Couple family with no children	40876
New South Wales	Flat/apartment	3 storey block	Group household	14270
New South Wales	Flat/apartment	3 storey block	Lone-person household	56611
New South Wales	Flat/apartment	3 storey block	One parent family with children	15656
New South Wales	Flat/apartment	3 storey block	Other family	2849
New South Wales	Flat/apartment	4 storey block or more	Couple family with children	39227
New South Wales	Flat/apartment	4 storey block or more	Couple family with no children	65762
New South Wales	Flat/apartment	4 storey block or more	Group household	22846
New South Wales	Flat/apartment	4 storey block or more	Lone-person household	71338
New South Wales	Flat/apartment	4 storey block or more	One parent family with children	14665
New South Wales	Flat/apartment	4 storey block or more	Other family	4237
New South Wales	Flat/apartment	Attached to a house	Couple family with children	415
New South Wales	Flat/apartment	Attached to a house	Couple family with no children	480
New South Wales	Flat/apartment	Attached to a house	Group household	168
New South Wales	Flat/apartment	Attached to a house	Lone-person household	911
New South Wales	Flat/apartment	Attached to a house	One parent family with children	227
New South Wales	Flat/apartment	Attached to a house	Other family	36
New South Wales	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	57120
New South Wales	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	38563
New South Wales	Semi-detached, row/terrace house, townhouse etc.		Group household	9969
New South Wales	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	43778
New South Wales	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	24012
New South Wales	Semi-detached, row/terrace house, townhouse etc.		Other family	2268
New South Wales	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	26989
New South Wales	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	30998
New South Wales	Semi-detached, row/terrace house, townhouse etc.	1 storey	Group household	6180
New South Wales	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	59908
New South Wales	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	16020
New South Wales	Semi-detached, row/terrace house, townhouse etc.	1 storey	Other family	1652
New South Wales	Separate house		Couple family with children	692252
New South Wales	Separate house		Couple family with no children	457894
New South Wales	Separate house		Group household	44306
New South Wales	Separate house		Lone-person household	307344
New South Wales	Separate house		One parent family with children	209016
New South Wales	Separate house		Other family	19010
Victoria			Couple family with children	1628
Victoria			Couple family with no children	1877
Victoria			Group household	483
Victoria			Lone-person household	3012
Victoria			One parent family with children	601
Victoria			Other family	103
Victoria	(Other)	Cabin household	Couple family with children	117
Victoria	(Other)	Cabin household	Couple family with no children	568
Victoria	(Other)	Cabin household	Group household	85
Victoria	(Other)	Cabin household	Lone-person household	2243
Victoria	(Other)	Cabin household	One parent family with children	157
Victoria	(Other)	Cabin household	Other family	15
Victoria	(Other)	Caravan	Couple family with children	99
Victoria	(Other)	Caravan	Couple family with no children	399
Victoria	(Other)	Caravan	Group household	56
Victoria	(Other)	Caravan	Lone-person household	1591
Victoria	(Other)	Caravan	One parent family with children	88
Victoria	(Other)	Caravan	Other family	13
Victoria	(Other)	House or flat attached to a shop, office, etc	Couple family with children	1131
Victoria	(Other)	House or flat attached to a shop, office, etc	Couple family with no children	1309
Victoria	(Other)	House or flat attached to a shop, office, etc	Group household	516
Victoria	(Other)	House or flat attached to a shop, office, etc	Lone-person household	1739
Victoria	(Other)	House or flat attached to a shop, office, etc	One parent family with children	510
Victoria	(Other)	House or flat attached to a shop, office, etc	Other family	91
Victoria	(Other)	Improvised home, tent sleepers	Couple family with children	65
Victoria	(Other)	Improvised home, tent sleepers	Couple family with no children	59
Victoria	(Other)	Improvised home, tent sleepers	Group household	5
Victoria	(Other)	Improvised home, tent sleepers	Lone-person household	207
Victoria	(Other)	Improvised home, tent sleepers	One parent family with children	22
Victoria	(Other)	Improvised home, tent sleepers	Other family	3
Victoria	Flat/apartment	1 or 2 storey block	Couple family with children	13034
Victoria	Flat/apartment	1 or 2 storey block	Couple family with no children	22689
Victoria	Flat/apartment	1 or 2 storey block	Group household	8183
Victoria	Flat/apartment	1 or 2 storey block	Lone-person household	48913
Victoria	Flat/apartment	1 or 2 storey block	One parent family with children	8101
Victoria	Flat/apartment	1 or 2 storey block	Other family	1689
Victoria	Flat/apartment	3 storey block	Couple family with children	3878
Victoria	Flat/apartment	3 storey block	Couple family with no children	13055
Victoria	Flat/apartment	3 storey block	Group household	6122
Victoria	Flat/apartment	3 storey block	Lone-person household	23016
Victoria	Flat/apartment	3 storey block	One parent family with children	2546
Victoria	Flat/apartment	3 storey block	Other family	1008
Victoria	Flat/apartment	4 storey block or more	Couple family with children	6956
Victoria	Flat/apartment	4 storey block or more	Couple family with no children	25414
Victoria	Flat/apartment	4 storey block or more	Group household	14467
Victoria	Flat/apartment	4 storey block or more	Lone-person household	39059
Victoria	Flat/apartment	4 storey block or more	One parent family with children	4759
Victoria	Flat/apartment	4 storey block or more	Other family	2777
Victoria	Flat/apartment	Attached to a house	Couple family with children	52
Victoria	Flat/apartment	Attached to a house	Couple family with no children	85
Victoria	Flat/apartment	Attached to a house	Group household	26
Victoria	Flat/apartment	Attached to a house	Lone-person household	179
Victoria	Flat/apartment	Attached to a house	One parent family with children	36
Victoria	Flat/apartment	Attached to a house	Other family	3
Victoria	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	32861
Victoria	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	29006
Victoria	Semi-detached, row/terrace house, townhouse etc.		Group household	9264
Victoria	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	23570
Victoria	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	12220
Victoria	Semi-detached, row/terrace house, townhouse etc.		Other family	1938
Victoria	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	37286
Victoria	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	43043
Victoria	Semi-detached, row/terrace house, townhouse etc.	1 storey	Group household	10608
Victoria	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	79236
Victoria	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	19311
Victoria	Semi-detached, row/terrace house, townhouse etc.	1 storey	Other family	2585
Victoria	Separate house		Couple family with children	606350
Victoria	Separate house		Couple family with no children	400567
Victoria	Separate house		Group household	45768
Victoria	Separate house		Lone-person household	299077
Victoria	Separate house		One parent family with children	177606
Victoria	Separate house		Other family	17577
Queensland			Couple family with children	1502
Queensland			Couple family with no children	2058
Queensland			Group household	431
Queensland			Lone-person household	3907
Queensland			One parent family with children	649
Queensland			Other family	63
Queensland	(Other)	Cabin household	Couple family with children	172
Queensland	(Other)	Cabin household	Couple family with no children	982
Queensland	(Other)	Cabin household	Group household	177
Queensland	(Other)	Cabin household	Lone-person household	2744
Queensland	(Other)	Cabin household	One parent family with children	201
Queensland	(Other)	Cabin household	Other family	24
Queensland	(Other)	Caravan	Couple family with children	319
Queensland	(Other)	Caravan	Couple family with no children	2185
Queensland	(Other)	Caravan	Group household	292
Queensland	(Other)	Caravan	Lone-person household	5786
Queensland	(Other)	Caravan	One parent family with children	319
Queensland	(Other)	Caravan	Other family	40
Queensland	(Other)	House or flat attached to a shop, office, etc	Couple family with children	514
Queensland	(Other)	House or flat attached to a shop, office, etc	Couple family with no children	584
Queensland	(Other)	House or flat attached to a shop, office, etc	Group household	158
Queensland	(Other)	House or flat attached to a shop, office, etc	Lone-person household	694
Queensland	(Other)	House or flat attached to a shop, office, etc	One parent family with children	251
Queensland	(Other)	House or flat attached to a shop, office, etc	Other family	35
Queensland	(Other)	Improvised home, tent sleepers	Couple family with children	230
Queensland	(Other)	Improvised home, tent sleepers	Couple family with no children	326
Queensland	(Other)	Improvised home, tent sleepers	Group household	51
Queensland	(Other)	Improvised home, tent sleepers	Lone-person household	644
Queensland	(Other)	Improvised home, tent sleepers	One parent family with children	92
Queensland	(Other)	Improvised home, tent sleepers	Other family	10
Queensland	Flat/apartment	1 or 2 storey block	Couple family with children	6055
Queensland	Flat/apartment	1 or 2 storey block	Couple family with no children	13364
Queensland	Flat/apartment	1 or 2 storey block	Group household	5690
Queensland	Flat/apartment	1 or 2 storey block	Lone-person household	39931
Queensland	Flat/apartment	1 or 2 storey block	One parent family with children	7365
Queensland	Flat/apartment	1 or 2 storey block	Other family	1097
Queensland	Flat/apartment	3 storey block	Couple family with children	4576
Queensland	Flat/apartment	3 storey block	Couple family with no children	13727
Queensland	Flat/apartment	3 storey block	Group household	6447
Queensland	Flat/apartment	3 storey block	Lone-person household	22103
Queensland	Flat/apartment	3 storey block	One parent family with children	4069
Queensland	Flat/apartment	3 storey block	Other family	1014
Queensland	Flat/apartment	4 storey block or more	Couple family with children	5604
Queensland	Flat/apartment	4 storey block or more	Couple family with no children	20911
Queensland	Flat/apartment	4 storey block or more	Group household	6979
Queensland	Flat/apartment	4 storey block or more	Lone-person household	23078
Queensland	Flat/apartment	4 storey block or more	One parent family with children	3407
Queensland	Flat/apartment	4 storey block or more	Other family	986
Queensland	Flat/apartment	Attached to a house	Couple family with children	42
Queensland	Flat/apartment	Attached to a house	Couple family with no children	69
Queensland	Flat/apartment	Attached to a house	Group household	33
Queensland	Flat/apartment	Attached to a house	Lone-person household	190
Queensland	Flat/apartment	Attached to a house	One parent family with children	41
