STE_NAME16	AgeChild	CoupleFamily	ParentsBornAus	children
New South Wales	0-4	0		2617
New South Wales	0-4	0	Both	39745
New South Wales	0-4	0	Father only	3160
New South Wales	0-4	0	Mother only	6023
New South Wales	0-4	0	Neither	8310
New South Wales	0-4	1		1996
New South Wales	0-4	1	Both	194164
New South Wales	0-4	1	Father only	32474
New South Wales	0-4	1	Mother only	33618
New South Wales	0-4	1	Neither	110750
New South Wales	5-9	0		2680
New South Wales	5-9	0	Both	51928
New South Wales	5-9	0	Father only	5328
New South Wales	5-9	0	Mother only	8372
New South Wales	5-9	0	Neither	12950
New South Wales	5-9	1		2097
New South Wales	5-9	1	Both	198379
New South Wales	5-9	1	Father only	30384
New South Wales	5-9	1	Mother only	34407
New South Wales	5-9	1	Neither	103254
New South Wales	10-12	0		1603
New South Wales	10-12	0	Both	32666
New South Wales	10-12	0	Father only	3593
New South Wales	10-12	0	Mother only	5473
New South Wales	10-12	0	Neither	9531
New South Wales	10-12	1		1125
New South Wales	10-12	1	Both	111272
New South Wales	10-12	1	Father only	15173
New South Wales	10-12	1	Mother only	18929
New South Wales	10-12	1	Neither	53598
New South Wales	13-14	0		1013
New South Wales	13-14	0	Both	22338
New South Wales	13-14	0	Father only	2619
New South Wales	13-14	0	Mother only	3949
New South Wales	13-14	0	Neither	7341
New South Wales	13-14	1		759
New South Wales	13-14	1	Both	69491
New South Wales	13-14	1	Father only	9068
New South Wales	13-14	1	Mother only	11467
New South Wales	13-14	1	Neither	34569
New South Wales	15-17	0		981
New South Wales	15-17	0	Both	28405
New South Wales	15-17	0	Father only	3696
New South Wales	15-17	0	Mother only	5262
New South Wales	15-17	0	Neither	11627
New South Wales	15-17	1		654
New South Wales	15-17	1	Both	88926
New South Wales	15-17	1	Father only	11964
New South Wales	15-17	1	Mother only	14822
New South Wales	15-17	1	Neither	50020
New South Wales	18-20	0		269
New South Wales	18-20	0	Both	7722
New South Wales	18-20	0	Father only	1479
New South Wales	18-20	0	Mother only	1951
New South Wales	18-20	0	Neither	7682
New South Wales	18-20	1		230
New South Wales	18-20	1	Both	30978
New South Wales	18-20	1	Father only	5262
New South Wales	18-20	1	Mother only	6405
New South Wales	18-20	1	Neither	33760
New South Wales	21-24	0		124
New South Wales	21-24	0	Both	3362
New South Wales	21-24	0	Father only	759
New South Wales	21-24	0	Mother only	969
New South Wales	21-24	0	Neither	4689
New South Wales	21-24	1		95
New South Wales	21-24	1	Both	13279
New South Wales	21-24	1	Father only	2512
New South Wales	21-24	1	Mother only	2938
New South Wales	21-24	1	Neither	18221
Victoria	0-4	0		1949
Victoria	0-4	0	Both	24605
Victoria	0-4	0	Father only	2353
Victoria	0-4	0	Mother only	3980
Victoria	0-4	0	Neither	8011
Victoria	0-4	1		1599
Victoria	0-4	1	Both	158727
Victoria	0-4	1	Father only	24503
Victoria	0-4	1	Mother only	24800
Victoria	0-4	1	Neither	94966
Victoria	5-9	0		1914
Victoria	5-9	0	Both	34615
Victoria	5-9	0	Father only	3691
Victoria	5-9	0	Mother only	5690
Victoria	5-9	0	Neither	11303
Victoria	5-9	1		1570
Victoria	5-9	1	Both	159800
Victoria	5-9	1	Father only	21825
Victoria	5-9	1	Mother only	24125
Victoria	5-9	1	Neither	81642
Victoria	10-12	0		1158
Victoria	10-12	0	Both	22795
Victoria	10-12	0	Father only	2511
Victoria	10-12	0	Mother only	3773
Victoria	10-12	0	Neither	7906
Victoria	10-12	1		863
Victoria	10-12	1	Both	89990
Victoria	10-12	1	Father only	10969
Victoria	10-12	1	Mother only	13266
Victoria	10-12	1	Neither	42078
Victoria	13-14	0		814
Victoria	13-14	0	Both	16308
Victoria	13-14	0	Father only	1760
Victoria	13-14	0	Mother only	2777
Victoria	13-14	0	Neither	6020
Victoria	13-14	1		548
Victoria	13-14	1	Both	56464
Victoria	13-14	1	Father only	6751
Victoria	13-14	1	Mother only	8022
Victoria	13-14	1	Neither	26079
Victoria	15-17	0		754
Victoria	15-17	0	Both	22434
Victoria	15-17	0	Father only	2711
Victoria	15-17	0	Mother only	4000
Victoria	15-17	0	Neither	9646
Victoria	15-17	1		505
Victoria	15-17	1	Both	75382
Victoria	15-17	1	Father only	9249
Victoria	15-17	1	Mother only	11174
Victoria	15-17	1	Neither	37531
Victoria	18-20	0		295
Victoria	18-20	0	Both	8532
Victoria	18-20	0	Father only	1331
Victoria	18-20	0	Mother only	1912
Victoria	18-20	0	Neither	6546
Victoria	18-20	1		206
Victoria	18-20	1	Both	32920
Victoria	18-20	1	Father only	4853
