STE_NAME16	IndigenousStatus	persons
New South Wales	Aboriginal	207256
New South Wales	Both Aboriginal & Torres Strait Islander	4080
New South Wales	Non-indigenous	7264053
New South Wales	Torres Strait Islander	4839
Victoria	Aboriginal	44592
Victoria	Both Aboriginal & Torres Strait Islander	1171
Victoria	Non-indigenous	5878837
Victoria	Torres Strait Islander	2024
Queensland	Aboriginal	148943
Queensland	Both Aboriginal & Torres Strait Islander	16493
Queensland	Non-indigenous	4516704
Queensland	Torres Strait Islander	21053
South Australia	Aboriginal	32616
South Australia	Both Aboriginal & Torres Strait Islander	629
South Australia	Non-indigenous	1642470
South Australia	Torres Strait Islander	938
Western Australia	Aboriginal	72924
Western Australia	Both Aboriginal & Torres Strait Islander	1628
Western Australia	Non-indigenous	2398424
Western Australia	Torres Strait Islander	1434
Tasmania	Aboriginal	21570
Tasmania	Both Aboriginal & Torres Strait Islander	889
Tasmania	Non-indigenous	486387
Tasmania	Torres Strait Islander	1119
Northern Territory	Aboriginal	55805
Northern Territory	Both Aboriginal & Torres Strait Islander	1699
Northern Territory	Non-indigenous	170585
Northern Territory	Torres Strait Islander	744
Australian Capital Territory	Aboriginal	6140
Australian Capital Territory	Both Aboriginal & Torres Strait Islander	183
Australian Capital Territory	Non-indigenous	390891
Australian Capital Territory	Torres Strait Islander	183
Other Territories	Aboriginal	215
Other Territories	Both Aboriginal & Torres Strait Islander	3
Other Territories	Non-indigenous	4356
Other Territories	Torres Strait Islander	13
