STE_NAME16	Age	EnglishProficiency	SpeaksEnglishOnly	YearOfArrival.max	persons_born_overseas
New South Wales	0-14				121
New South Wales	0-14			2005	7
New South Wales	0-14			2010	30
New South Wales	0-14			2011	12
New South Wales	0-14			2012	7
New South Wales	0-14			2013	11
New South Wales	0-14			2014	15
New South Wales	0-14			2015	31
New South Wales	0-14			2016	69
New South Wales	0-14		0		64
New South Wales	0-14		0	2005	22
New South Wales	0-14		0	2010	81
New South Wales	0-14		0	2011	31
New South Wales	0-14		0	2012	39
New South Wales	0-14		0	2013	47
New South Wales	0-14		0	2014	65
New South Wales	0-14		0	2015	129
New South Wales	0-14		0	2016	107
New South Wales	0-14		1		2177
New South Wales	0-14		1	2005	3976
New South Wales	0-14		1	2010	12675
New South Wales	0-14		1	2011	3261
New South Wales	0-14		1	2012	3565
New South Wales	0-14		1	2013	3568
New South Wales	0-14		1	2014	3295
New South Wales	0-14		1	2015	3358
New South Wales	0-14		1	2016	1686
New South Wales	0-14	Speaks English not well or not at all	0		1427
New South Wales	0-14	Speaks English not well or not at all	0	2005	44
New South Wales	0-14	Speaks English not well or not at all	0	2010	200
New South Wales	0-14	Speaks English not well or not at all	0	2011	166
New South Wales	0-14	Speaks English not well or not at all	0	2012	405
New South Wales	0-14	Speaks English not well or not at all	0	2013	1004
New South Wales	0-14	Speaks English not well or not at all	0	2014	1755
New South Wales	0-14	Speaks English not well or not at all	0	2015	3244
New South Wales	0-14	Speaks English not well or not at all	0	2016	3457
New South Wales	0-14	Speaks English well or very well	0		2130
New South Wales	0-14	Speaks English well or very well	0	2005	3630
New South Wales	0-14	Speaks English well or very well	0	2010	15170
New South Wales	0-14	Speaks English well or very well	0	2011	4479
New South Wales	0-14	Speaks English well or very well	0	2012	5552
New South Wales	0-14	Speaks English well or very well	0	2013	6416
New South Wales	0-14	Speaks English well or very well	0	2014	6224
New South Wales	0-14	Speaks English well or very well	0	2015	5437
New South Wales	0-14	Speaks English well or very well	0	2016	2453
New South Wales	15-24				529
New South Wales	15-24			2000	19
New South Wales	15-24			2005	27
New South Wales	15-24			2010	30
New South Wales	15-24			2011	4
New South Wales	15-24			2012	5
New South Wales	15-24			2013	10
New South Wales	15-24			2014	16
New South Wales	15-24			2015	20
New South Wales	15-24			2016	24
New South Wales	15-24		0		80
New South Wales	15-24		0	2000	53
New South Wales	15-24		0	2005	118
New South Wales	15-24		0	2010	133
New South Wales	15-24		0	2011	38
New South Wales	15-24		0	2012	48
New South Wales	15-24		0	2013	61
New South Wales	15-24		0	2014	96
New South Wales	15-24		0	2015	95
New South Wales	15-24		0	2016	82
New South Wales	15-24		1		1974
New South Wales	15-24		1	2000	9262
New South Wales	15-24		1	2005	13236
New South Wales	15-24		1	2010	7469
New South Wales	15-24		1	2011	1309
New South Wales	15-24		1	2012	1530
