STE_NAME16	DwellingStructure	DwellingSubtype	NumberBedrooms.min	occupied_private_dwellings
New South Wales				2499
New South Wales			0	327
New South Wales			1	1973
New South Wales			2	3437
New South Wales			3	3212
New South Wales			4	1765
New South Wales			5	503
New South Wales			6	361
New South Wales	(Other)			1737
New South Wales	(Other)		0	1438
New South Wales	(Other)		1	6136
New South Wales	(Other)		2	7965
New South Wales	(Other)		3	4275
New South Wales	(Other)		4	1524
New South Wales	(Other)		5	336
New South Wales	(Other)		6	181
New South Wales	Flat/apartment		0	66
New South Wales	Flat/apartment		6	138
New South Wales	Flat/apartment	1 or 2 storey block		5953
New South Wales	Flat/apartment	1 or 2 storey block	0	2904
New South Wales	Flat/apartment	1 or 2 storey block	1	30027
New South Wales	Flat/apartment	1 or 2 storey block	2	73480
New South Wales	Flat/apartment	1 or 2 storey block	3	21127
New South Wales	Flat/apartment	1 or 2 storey block	4	2324
New South Wales	Flat/apartment	1 or 2 storey block	5	444
New South Wales	Flat/apartment	1 or 2 storey block	6	346
New South Wales	Flat/apartment	3 storey block		4526
New South Wales	Flat/apartment	3 storey block	0	2398
New South Wales	Flat/apartment	3 storey block	1	24297
New South Wales	Flat/apartment	3 storey block	2	108805
New South Wales	Flat/apartment	3 storey block	3	21179
New South Wales	Flat/apartment	3 storey block	4	970
New South Wales	Flat/apartment	3 storey block	5	156
New South Wales	Flat/apartment	4 storey block or more		5223
New South Wales	Flat/apartment	4 storey block or more	0	5320
New South Wales	Flat/apartment	4 storey block or more	1	51827
New South Wales	Flat/apartment	4 storey block or more	2	120923
New South Wales	Flat/apartment	4 storey block or more	3	32991
New South Wales	Flat/apartment	4 storey block or more	4	1393
New South Wales	Flat/apartment	4 storey block or more	5	204
New South Wales	Flat/apartment	4 storey block or more	6	194
New South Wales	Flat/apartment	Attached to a house		146
New South Wales	Flat/apartment	Attached to a house	1	709
New South Wales	Flat/apartment	Attached to a house	2	742
New South Wales	Flat/apartment	Attached to a house	3	373
New South Wales	Flat/apartment	Attached to a house	4	134
New South Wales	Flat/apartment	Attached to a house	5	41
New South Wales	Flat/apartment	Attached to a house	6	27
New South Wales	Semi-detached, row/terrace house, townhouse etc.		0	597
New South Wales	Semi-detached, row/terrace house, townhouse etc.	1 storey		4915
New South Wales	Semi-detached, row/terrace house, townhouse etc.	1 storey	0	1082
New South Wales	Semi-detached, row/terrace house, townhouse etc.	1 storey	1	11614
New South Wales	Semi-detached, row/terrace house, townhouse etc.	1 storey	2	61234
New South Wales	Semi-detached, row/terrace house, townhouse etc.	1 storey	3	53721
New South Wales	Semi-detached, row/terrace house, townhouse etc.	1 storey	4	7880
New South Wales	Semi-detached, row/terrace house, townhouse etc.	1 storey	5	1006
New South Wales	Semi-detached, row/terrace house, townhouse etc.	1 storey	6	279
New South Wales	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more		4384
New South Wales	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	1	10150
New South Wales	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	2	41608
New South Wales	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	3	86945
New South Wales	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	4	27540
New South Wales	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	5	3679
New South Wales	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	6	806
New South Wales	Separate house			36493
New South Wales	Separate house		0	3026
New South Wales	Separate house		1	20466
New South Wales	Separate house		2	159479
New South Wales	Separate house		3	746180
New South Wales	Separate house		4	589647
New South Wales	Separate house		5	142480
New South Wales	Separate house		6	32046
Victoria				1106
Victoria			0	113
Victoria			1	840
Victoria			2	1815
Victoria			3	2360
Victoria			4	1117
Victoria			5	221
Victoria			6	131
Victoria	(Other)			757
Victoria	(Other)		0	728
Victoria	(Other)		1	3301
Victoria	(Other)		2	3243
Victoria	(Other)		3	2080
Victoria	(Other)		4	757
Victoria	(Other)		5	138
Victoria	(Other)		6	81
Victoria	Flat/apartment		0	7
Victoria	Flat/apartment		6	51
Victoria	Flat/apartment	1 or 2 storey block		3694
Victoria	Flat/apartment	1 or 2 storey block	0	1212
Victoria	Flat/apartment	1 or 2 storey block	1	23024
Victoria	Flat/apartment	1 or 2 storey block	2	55035
Victoria	Flat/apartment	1 or 2 storey block	3	17460
Victoria	Flat/apartment	1 or 2 storey block	4	1771
Victoria	Flat/apartment	1 or 2 storey block	5	214
Victoria	Flat/apartment	1 or 2 storey block	6	194
Victoria	Flat/apartment	3 storey block		1328
Victoria	Flat/apartment	3 storey block	0	841
Victoria	Flat/apartment	3 storey block	1	16214
Victoria	Flat/apartment	3 storey block	2	27085
Victoria	Flat/apartment	3 storey block	3	3845
Victoria	Flat/apartment	3 storey block	4	223
Victoria	Flat/apartment	3 storey block	5	47
Victoria	Flat/apartment	4 storey block or more		2451
Victoria	Flat/apartment	4 storey block or more	0	2463
Victoria	Flat/apartment	4 storey block or more	1	31118
Victoria	Flat/apartment	4 storey block or more	2	47834
Victoria	Flat/apartment	4 storey block or more	3	8852
Victoria	Flat/apartment	4 storey block or more	4	527
Victoria	Flat/apartment	4 storey block or more	5	63
Victoria	Flat/apartment	4 storey block or more	6	114
Victoria	Flat/apartment	Attached to a house		17
Victoria	Flat/apartment	Attached to a house	1	120
Victoria	Flat/apartment	Attached to a house	2	139
Victoria	Flat/apartment	Attached to a house	3	70
Victoria	Flat/apartment	Attached to a house	4	15
Victoria	Flat/apartment	Attached to a house	5	3
Victoria	Flat/apartment	Attached to a house	6	4
Victoria	Semi-detached, row/terrace house, townhouse etc.		0	237
Victoria	Semi-detached, row/terrace house, townhouse etc.	1 storey		6018
Victoria	Semi-detached, row/terrace house, townhouse etc.	1 storey	0	572
Victoria	Semi-detached, row/terrace house, townhouse etc.	1 storey	1	16099
Victoria	Semi-detached, row/terrace house, townhouse etc.	1 storey	2	95154
Victoria	Semi-detached, row/terrace house, townhouse etc.	1 storey	3	61155
Victoria	Semi-detached, row/terrace house, townhouse etc.	1 storey	4	11608
Victoria	Semi-detached, row/terrace house, townhouse etc.	1 storey	5	1160
Victoria	Semi-detached, row/terrace house, townhouse etc.	1 storey	6	296
Victoria	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more		2198
Victoria	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	1	3173
Victoria	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	2	28237
Victoria	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	3	56825
Victoria	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	4	15668
Victoria	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	5	2126
Victoria	Semi-detached, row/terrace house, townhouse etc.	2 storeys or more	6	388
Victoria	Separate house			33114
Victoria	Separate house		0	2102
Victoria	Separate house		1	13474
Victoria	Separate house		2	149063
Victoria	Separate house		3	777597
Victoria	Separate house		4	476893
Victoria	Separate house		5	79870
Victoria	Separate house		6	14836
Queensland				1880
Queensland			0	190
Queensland			1	1081
Queensland			2	1650
Queensland			3	2179
Queensland			4	1152
Queensland			5	278
Queensland			6	189
Queensland	(Other)			1641
Queensland	(Other)		0	2389
Queensland	(Other)		1	6448
Queensland	(Other)		2	3391
Queensland	(Other)		3	1847
Queensland	(Other)		4	799
Queensland	(Other)		5	177
Queensland	(Other)		6	129
Queensland	Flat/apartment		0	5
Queensland	Flat/apartment		6	63
Queensland	Flat/apartment	1 or 2 storey block		3112
Queensland	Flat/apartment	1 or 2 storey block	0	1185
Queensland	Flat/apartment	1 or 2 storey block	1	16683
Queensland	Flat/apartment	1 or 2 storey block	2	38915
Queensland	Flat/apartment	1 or 2 storey block	3	12053
Queensland	Flat/apartment	1 or 2 storey block	4	1170
Queensland	Flat/apartment	1 or 2 storey block	5	201
Queensland	Flat/apartment	1 or 2 storey block	6	177
Queensland	Flat/apartment	3 storey block		1332
Queensland	Flat/apartment	3 storey block	0	512
Queensland	Flat/apartment	3 storey block	1	7274
Queensland	Flat/apartment	3 storey block	2	35003
Queensland	Flat/apartment	3 storey block	3	7352
Queensland	Flat/apartment	3 storey block	4	352
Queensland	Flat/apartment	3 storey block	5	44
Queensland	Flat/apartment	4 storey block or more		1549
Queensland	Flat/apartment	4 storey block or more	0	794
Queensland	Flat/apartment	4 storey block or more	1	12761
Queensland	Flat/apartment	4 storey block or more	2	32346
Queensland	Flat/apartment	4 storey block or more	3	12691
Queensland	Flat/apartment	4 storey block or more	4	710
