LGA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
LGA10050,..,6020,6020,6126,609,6738,2615,129,2740,2493,46,2541,1033,11,1041,415,4,417,12674,6824,19495
LGA10130,..,2983,2983,3346,319,3663,1343,97,1432,1242,47,1288,591,18,603,290,4,295,6803,3469,10276
LGA10250,..,4594,4594,5786,448,6229,2167,74,2241,1964,24,1988,822,9,828,332,0,332,11067,5156,16220
LGA10300,..,224,224,270,13,287,112,0,109,79,0,79,73,0,73,38,0,38,563,240,807
LGA10470,..,3884,3884,4458,448,4903,2037,91,2135,2053,43,2090,937,10,946,452,3,452,9934,4478,14411
LGA10550,..,4018,4018,5167,297,5467,1574,21,1590,1293,8,1298,557,0,558,284,0,284,8873,4344,13222
LGA10600,..,1440,1440,1777,153,1926,659,10,664,583,0,585,231,0,232,114,0,114,3370,1603,4970
LGA10650,..,1075,1075,1219,82,1300,321,3,323,321,0,320,162,0,162,82,0,82,2103,1159,3265
LGA10750,..,15362,15362,22954,1710,24663,19689,348,20040,22397,164,22561,10651,75,10724,7684,67,7755,83375,17730,101107
LGA10800,..,664,664,789,23,810,248,0,253,209,0,210,159,0,159,81,0,81,1486,696,2185
LGA10850,..,709,709,920,43,961,366,4,368,335,0,335,190,0,190,93,0,93,1905,753,2656
LGA10900,..,7386,7386,9310,732,10043,4233,80,4311,4207,22,4234,1863,14,1874,783,8,788,20389,8240,28630
LGA10950,..,296,296,323,17,346,114,3,122,110,0,110,58,0,58,40,0,40,654,316,967
LGA11100,..,3783,3783,4237,723,4961,2811,272,3087,2828,106,2929,1079,45,1121,524,18,542,11477,4947,16421
LGA11150,..,268,268,241,13,260,113,0,116,89,0,89,57,0,57,46,0,46,550,283,831
LGA11200,..,159,159,165,21,181,79,0,80,55,0,55,39,0,39,33,0,33,369,184,553
LGA11250,..,2532,2532,2361,167,2528,936,13,952,725,3,729,296,0,303,142,0,142,4461,2716,7184
LGA11300,..,2397,2397,2722,578,3303,2042,369,2414,2048,197,2243,880,84,966,560,69,629,8256,3698,11957
LGA11350,..,3132,3132,3449,597,4047,1655,193,1845,1486,67,1554,553,34,586,198,10,209,7338,4030,11368
LGA11400,..,1144,1144,1598,61,1660,621,8,633,678,0,678,413,0,413,164,0,164,3472,1213,4686
LGA11450,..,3298,3298,6434,285,6721,4517,51,4564,5506,17,5522,2616,7,2621,1350,3,1358,20420,3658,24084
LGA11500,..,9180,9180,13176,939,14114,9299,141,9436,9340,51,9396,4483,24,4510,3330,12,3341,39635,10341,49981
