LGA_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
LGA10050,0,3,4,37,14,9,0,3,0,68,0,0,0,0,4,5,6,4,0,28,0,0,0,0,0,0,0,0,0,5,0,16,23,50,88,112,104,72,39,512,0,0,3,10,6,3,0,0,0,18,0,0,0,0,3,0,0,0,0,12,0,0,0,11,11,26,47,27,18,129,0,0,0,0,0,0,3,12,4,23,0,0,3,4,0,6,3,0,0,20,11,19,19,189,11,9,5,3,0,270,0,0,0,3,0,0,0,0,0,8,0,0,0,5,3,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,9,0,4,7,3,0,5,0,34,0,0,0,0,0,6,11,10,11,38,0,0,0,10,0,0,0,0,0,14,0,0,4,14,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,3,0,0,3,12,6,0,0,3,0,30,0,0,0,0,0,3,0,0,0,7
LGA10130,0,3,70,48,9,0,0,0,0,142,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,11,33,50,63,62,30,8,264,0,0,0,8,8,0,0,3,0,13,0,0,0,7,3,0,0,0,0,17,0,0,3,9,11,14,15,4,4,55,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,4,0,0,0,15,3,9,6,41,5,4,0,5,0,78,0,0,3,9,9,0,3,0,0,17,0,0,0,15,0,0,0,0,0,19,6,9,4,18,3,0,0,0,0,42,0,0,0,0,4,0,3,3,0,12,0,0,3,0,0,4,0,0,3,13,0,0,4,8,11,3,0,0,0,19,0,0,0,11,0,0,0,0,0,11,0,0,0,3,0,0,4,0,0,3,0,3,0,7,7,0,0,3,0,22,0,0,0,0,0,0,0,0,0,0
LGA10250,0,0,0,9,15,3,4,4,0,44,0,0,0,0,0,3,0,4,0,12,0,0,0,0,0,0,3,0,0,3,7,20,15,101,145,116,158,102,60,721,0,0,0,10,3,6,3,0,3,29,0,0,3,16,3,4,0,0,0,30,0,0,3,13,11,13,22,16,4,74,0,0,0,0,0,3,0,0,3,7,0,0,0,3,4,0,0,0,0,12,0,3,0,31,3,0,0,0,3,41,0,0,0,12,3,4,0,0,0,17,0,0,0,3,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,12,5,3,0,36,0,0,0,3,4,5,6,7,3,36,0,0,4,16,5,3,3,0,4,44,0,0,3,11,5,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,8,3,0,0,27,0,0,0,0,0,0,8,0,0,13
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,10,0,0,0,3,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
LGA10470,0,4,4,26,9,5,9,0,0,57,0,0,0,0,3,3,3,0,0,11,0,0,0,0,0,0,3,0,0,3,0,7,20,57,68,83,90,57,22,401,0,0,3,6,3,5,3,0,0,20,0,0,0,0,3,0,0,0,0,11,0,0,0,9,7,8,21,8,7,55,0,0,0,0,0,0,3,3,0,7,0,0,0,0,0,3,0,0,0,7,5,6,8,42,5,6,7,0,0,79,0,0,3,3,0,0,0,0,0,13,0,3,0,9,0,0,0,0,0,13,0,0,3,0,4,0,0,0,0,8,0,0,0,9,0,10,3,0,0,28,0,0,0,0,0,4,5,3,9,19,0,0,4,5,3,0,0,0,0,12,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,14,0,0,0,13,7,0,3,0,0,20,0,0,0,0,8,3,4,0,0,8
LGA10550,0,0,0,7,9,0,0,3,0,22,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,8,0,11,11,42,98,183,225,107,55,722,0,0,0,0,3,0,0,0,0,7,0,0,0,4,6,3,0,3,0,21,0,0,0,8,23,22,41,17,7,121,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,3,0,3,0,0,0,10,5,0,0,4,0,21,0,0,0,3,0,3,3,3,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,7,3,3,0,32,0,0,0,0,3,0,3,0,0,13,0,0,0,5,4,0,0,0,0,14,0,0,0,4,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,0,0,0,17,0,0,0,0,0,4,3,3,0,13
LGA10600,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,25,54,61,65,36,20,284,0,0,0,0,0,0,0,0,0,4,0,0,0,6,3,4,3,0,0,15,0,0,0,9,8,18,13,8,6,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,3,0,4,3,0,0,11,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,3,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0
LGA10650,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,14,11,27,21,6,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,10,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
LGA10750,13,49,171,1086,472,447,188,104,51,2574,0,0,11,57,94,112,133,100,42,545,8,86,75,226,138,183,148,68,25,956,20,120,72,449,489,508,498,281,104,2544,4,89,273,1639,764,539,303,96,16,3727,0,3,4,18,24,14,18,7,3,92,0,3,27,57,33,48,182,84,77,509,3,8,10,18,37,76,103,86,20,359,5,11,32,152,104,136,32,8,4,482,158,712,1048,7592,1329,810,380,166,53,12236,4,20,48,374,153,143,61,22,10,828,0,38,86,330,128,92,49,15,5,751,5,50,128,343,156,86,40,19,4,833,3,25,9,74,43,42,51,28,0,267,3,6,6,35,72,114,182,143,55,615,4,11,7,46,25,5,5,4,0,106,8,24,72,290,152,123,55,38,4,782,0,8,32,246,209,230,108,36,14,881,11,33,43,223,141,161,95,24,5,729,0,4,4,34,74,288,417,207,89,1113
LGA10800,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,12,11,6,4,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
