LGA_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
LGA10050,52,10,24,4,89,30,7,21,4,62,25,12,69,9,113,24,0,106,0,125,188,42,197,7,429,110,79,268,7,460,687,112,279,10,1089,407,198,276,17,907,556,332,249,24,1158,553,451,160,17,1186,311,425,124,22,883,350,414,92,10,864,624,848,94,10,1586,373,606,38,3,1019,197,407,9,0,618,97,219,20,0,336,182,346,15,0,544,366,583,168,8,1124,118,62,55,3,239,5235,5160,2267,167,12829
LGA10130,38,12,16,5,66,18,7,6,0,30,23,11,40,6,73,8,0,54,0,68,123,22,75,7,233,75,40,153,5,273,348,88,159,13,605,253,117,148,20,529,271,202,141,18,630,291,232,100,9,631,149,240,71,12,470,190,208,50,10,461,343,362,53,5,764,199,252,21,3,473,114,182,3,0,295,52,120,13,0,185,128,197,3,0,333,198,377,90,7,670,59,15,46,9,123,2867,2680,1237,126,6912
LGA10250,35,11,16,0,57,28,10,11,0,43,28,14,52,4,89,14,7,61,0,84,201,32,120,3,355,132,39,204,6,374,826,90,257,20,1197,489,160,211,17,880,626,327,231,20,1204,550,347,166,15,1079,287,317,89,5,702,317,365,88,14,782,530,659,86,12,1284,287,412,33,4,739,155,269,11,0,439,84,152,13,0,248,209,320,12,3,550,294,517,162,10,982,99,37,49,3,192,5187,4083,1884,138,11297
LGA10300,3,4,0,0,11,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,10,0,0,0,14,4,3,12,0,23,24,4,7,0,42,23,15,11,3,47,27,21,3,0,54,33,18,3,0,57,28,21,4,0,51,21,22,3,0,41,20,29,3,0,55,14,26,0,0,39,0,12,0,0,10,0,4,0,0,5,6,13,0,0,17,21,40,11,0,76,7,3,3,0,23,248,236,77,13,570
LGA10470,44,11,13,0,69,26,7,13,4,51,26,9,57,3,94,15,5,79,0,99,160,24,112,11,314,80,47,224,0,359,491,73,207,8,786,292,161,197,18,665,364,251,205,20,838,380,343,149,14,890,246,307,108,11,670,235,308,82,11,635,474,698,90,8,1271,294,557,21,7,889,199,387,17,0,600,95,224,13,0,332,147,328,9,0,482,230,525,167,6,931,80,43,45,3,173,3885,4308,1811,131,10136
LGA10550,51,9,18,0,76,50,7,11,0,68,48,7,40,3,92,19,3,56,3,85,279,28,110,4,430,149,57,151,0,362,759,85,165,12,1029,470,149,140,12,778,620,287,132,15,1057,509,291,87,13,904,226,240,57,4,533,228,238,46,0,520,409,441,36,3,893,218,228,17,0,462,111,130,9,0,253,46,78,4,0,131,93,122,3,0,218,344,458,166,4,966,97,21,24,3,151,4733,2892,1283,81,8991
LGA10600,7,8,4,3,20,14,0,5,0,17,16,6,18,3,38,13,0,25,0,42,75,21,49,0,142,54,19,98,3,175,264,52,86,3,405,171,71,73,0,314,195,127,83,5,408,161,122,44,0,330,87,93,29,0,208,109,102,23,0,232,119,160,22,4,302,76,86,3,0,169,34,48,0,0,83,16,38,3,0,58,30,47,6,0,83,116,157,93,0,365,33,11,9,0,53,1592,1171,662,28,3446
LGA10650,12,3,0,0,23,13,0,3,0,17,19,3,14,0,28,3,3,11,0,15,69,4,26,0,102,30,14,31,0,78,219,13,33,0,272,85,42,31,0,161,136,67,35,0,238,100,79,18,3,197,52,67,8,0,126,61,75,6,7,149,76,127,15,3,217,49,57,5,0,107,22,27,0,0,43,10,17,0,0,31,31,31,0,0,66,67,98,31,0,196,39,13,7,0,60,1104,722,283,16,2123
LGA10750,813,253,298,26,1386,212,94,124,14,438,176,172,451,23,825,126,128,585,11,853,1016,423,927,57,2420,600,671,1381,39,2691,2754,1095,1582,127,5559,1423,1823,1592,129,4969,1818,2914,1720,128,6575,1744,3527,1347,158,6776,1245,3582,999,103,5932,1367,3793,824,115,6101,2895,8250,1210,182,12531,1802,5991,600,99,8486,1034,4160,242,49,5478,562,2750,208,27,3544,792,4532,205,39,5567,1154,4535,1253,96,7037,413,456,432,45,1345,21958,49127,15976,1455,88519
LGA10800,14,5,0,0,19,6,0,0,0,5,9,3,10,0,18,0,4,13,0,17,32,5,22,0,63,24,11,26,0,55,95,12,33,0,137,53,25,25,3,109,81,62,27,0,172,45,42,18,3,111,37,41,6,0,77,61,45,10,0,111,62,69,8,0,145,35,42,4,0,80,14,34,0,0,58,13,20,4,0,42,37,33,0,0,68,47,101,13,0,164,25,3,12,4,44,687,558,227,20,1494
