LGA_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
LGA10050,1063,255,1329,7993,3162,372,11523,26127,3813,41468
LGA10130,537,100,649,4082,1509,150,5746,16044,2328,24115
LGA10250,1300,438,1755,6143,2539,253,8937,22595,3323,34860
LGA10300,32,7,35,325,137,11,480,1057,269,1801
LGA10470,677,197,892,6553,2771,286,9616,19712,3860,33181
LGA10550,786,198,999,4314,1988,201,6504,18693,2794,27994
LGA10600,302,59,368,1859,805,118,2786,6713,967,10465
LGA10650,247,66,313,1053,468,50,1573,4531,911,7018
LGA10750,3054,452,3553,61952,17116,1836,80902,161294,18108,260306
LGA10800,134,73,211,846,373,40,1257,2786,686,4725
LGA10850,133,28,165,1216,465,54,1737,3447,563,5751
LGA10900,1415,197,1630,12627,5680,666,18977,40116,3732,62830
LGA10950,46,19,65,374,137,8,526,1317,300,2140
LGA11100,573,172,765,7609,2017,174,9804,25648,3281,38732
LGA11150,23,11,40,303,111,17,431,1134,450,2016
LGA11200,19,3,21,182,84,3,268,832,172,1274
LGA11250,483,114,593,2350,1143,100,3595,9659,1515,14767
LGA11300,846,114,976,4911,1500,115,6526,23387,2089,32004
LGA11350,518,152,687,4835,1740,257,6836,15699,3738,26265
LGA11400,255,42,306,2203,837,105,3144,6383,964,10499
LGA11450,756,209,980,16095,4837,597,21530,34461,3525,59521
LGA11500,1188,458,1666,26312,9527,858,36699,77138,9308,123148
LGA11520,1792,196,2020,14444,4243,292,18983,49716,5030,73728
LGA11570,6529,837,7487,55252,14940,1260,71458,182838,20972,275266
LGA11600,49,12,60,423,140,8,577,1377,236,2185
LGA11650,7895,2288,10278,52139,22558,2534,77236,168866,21210,267307
LGA11700,20,3,23,183,57,3,246,920,321,1485
LGA11720,844,190,1052,8940,4214,425,13574,25836,4775,44189
LGA11730,1349,258,1618,6397,3096,355,9854,28038,4471,42364
LGA11750,59,12,78,754,213,27,994,2117,512,3623
LGA11800,1448,600,2070,10888,4304,508,15699,38187,5710,59595
LGA12000,76,46,120,661,257,20,937,2014,474,3431
LGA12150,77,26,105,471,184,14,664,1870,583,3124
LGA12350,362,62,433,1579,729,82,2388,6813,1095,10296
LGA12380,2765,487,3282,34731,8554,696,43988,114722,12996,171707
LGA12700,130,44,179,1363,677,56,2093,4504,720,7315
LGA12730,242,51,295,1222,542,37,1800,4574,892,7276
LGA12750,1057,324,1388,4157,2041,196,6393,22143,3376,31914
LGA12850,3204,322,3585,27273,9004,593,36872,113680,10329,160880
LGA12870,286,119,411,1623,763,72,2458,6528,1197,10187
LGA12900,213,41,254,1357,537,62,1960,4803,877,7636
LGA12930,3212,476,3763,24381,7589,556,32525,82828,6868,122216
LGA12950,98,30,134,586,266,20,870,2194,377,3440
LGA13010,192,79,279,1085,465,59,1611,4648,1069,7322
LGA13310,497,233,738,4374,1865,205,6439,14920,2869,24238
LGA13340,186,65,259,1660,692,65,2417,4935,761,8116
LGA13450,434,230,669,3923,1474,142,5537,12190,2552,20274
LGA13510,319,67,391,1471,689,65,2233,5995,904,9126
LGA13550,261,51,318,1960,717,87,2765,5918,1002,9686
LGA13660,111,41,155,716,240,16,981,2739,563,4280
LGA13800,824,170,1010,10953,4263,466,15682,32169,3866,51718
LGA13850,36,22,60,383,153,20,548,1516,365,2431
LGA13910,407,105,516,2598,1072,107,3778,9588,1517,14883
LGA14000,3057,733,3841,27354,8560,795,36704,72613,5477,114796
LGA14100,679,52,746,2380,904,55,3337,7318,691,11350
LGA14170,2757,358,3170,28313,7573,997,36874,104144,13108,154128
LGA14200,333,68,408,2379,988,103,3474,8259,1424,13158
LGA14300,86,21,115,767,336,36,1146,2670,1359,5173
LGA14350,646,217,867,3475,1629,162,5263,15304,3348,23915
LGA14400,542,149,704,3190,1809,169,5166,11289,1400,17852
LGA14500,3311,661,4036,23169,7085,595,30850,58801,4540,94189
LGA14550,177,56,239,1077,519,62,1658,4942,881,7473
LGA14600,133,37,172,888,355,39,1286,2861,697,4846
LGA14650,4472,1149,5681,32271,16133,1477,49881,101173,10208,161262
LGA14700,689,73,777,6670,1761,200,8631,19078,1666,29376
LGA14750,200,36,239,1581,724,46,2347,5478,1043,8868
LGA14850,935,204,1148,6309,2683,377,9369,22564,3494,35430
LGA14870,412,96,516,2851,1392,122,4364,10621,2512,17496
LGA14900,1949,303,2283,34394,9013,797,44206,100333,13495,158031
LGA14920,162,28,191,1113,388,42,1537,3952,756,6243
LGA14950,81,19,101,479,200,19,706,1507,269,2477
LGA15050,1027,240,1280,14297,5505,705,20506,35869,4031,60404
LGA15240,2631,765,3421,10825,5446,452,16732,52223,7418,76370
LGA15270,410,72,487,3718,1269,161,5147,11665,2365,19175
LGA15300,147,29,176,1866,719,88,2676,6084,1518,10270
LGA15350,731,173,910,4870,1633,122,6624,14904,1938,23465
LGA15520,269,71,341,1633,697,65,2394,6262,1028,9683
LGA15560,53,10,70,555,207,16,771,1872,404,3051
LGA15650,159,39,203,2871,902,106,3875,7247,1342,12458
LGA15700,507,193,706,2358,1069,95,3526,10768,1744,16040
LGA15750,160,84,256,1930,780,88,2796,6118,1380,10296
LGA15800,158,36,199,830,352,33,1217,2837,642,4697
LGA15850,139,36,179,918,407,40,1369,3044,660,5069
LGA15900,2841,1252,4148,24134,10610,1050,35790,84098,9326,129212
LGA15950,951,180,1146,9430,3437,211,13080,40920,5112,59115
LGA15990,5521,1313,6945,47586,15220,1608,64413,125105,13502,203023
LGA16100,91,20,112,726,341,25,1095,2613,669,4375
LGA16150,765,136,921,6749,2676,339,9768,19403,2633,31801
LGA16200,318,113,438,2153,839,92,3084,7146,1423,11662
LGA16260,3317,530,3898,41023,9970,877,51866,118211,14474,184550
LGA16350,1966,316,2316,34197,12491,1395,48082,94741,11958,154775
LGA16380,2452,511,2981,10967,4555,485,16009,43665,5771,65441
LGA16400,1348,312,1676,10177,4866,507,15550,36086,5408,57039
LGA16490,574,94,680,9445,3245,344,13032,28180,3845,45061
LGA16550,2586,525,3181,20467,6219,603,27284,80653,11760,119698
LGA16610,527,101,634,3063,1383,143,4585,11896,1957,18441
LGA16650,2119,654,2817,16632,4847,335,21809,62766,7398,91982
LGA16700,2549,377,2972,19482,5266,452,25191,66748,5399,97335
LGA16900,1026,331,1377,11695,5355,550,17599,33221,4040,54854
LGA16950,2398,743,3160,13194,6468,654,20317,54236,8779,83332
LGA17000,291,49,343,4104,1510,164,5779,10764,1584,18127
LGA17040,336,122,460,2990,1023,103,4119,10618,2019,16754
LGA17080,288,138,430,2075,849,70,2987,7225,1578,11789
LGA17100,667,73,752,6029,1547,100,7676,23664,2745,34086
LGA17150,5266,605,5947,39063,15855,1314,56237,111452,9116,176814
