LGA_CODE_2016,MOL_SAL_Oth_SOLSE_NWorNAA,MOL_SAL_Oth_SOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_SOLSE_VWorW,MOL_SAL_Tot_SOLSE_NWorNAA,MOL_SAL_Tot_SOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_SOLSE_VWorW,MOL_Spanish_SOLSE_NWorNAA,MOL_Spanish_SOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_SOLSE_VWorW,MOL_Tamil_SOLSE_NWorNAA,MOL_Tamil_SOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_SOLSE_VWorW,MOL_Thai_SOLSE_NWorNAA,MOL_Thai_SOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_SOLSE_VWorW,MOL_Turkish_SOLSE_NWorNAA,MOL_Turkish_SOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_SOLSE_VWorW,MOL_Vietnamese_SOLSE_NWorNAA,MOL_Vietnamese_SOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_SOLSE_VWorW,MOL_Oth_SOLSE_NWorNAA,MOL_Oth_SOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_SOLSE_VWorW,MOL_Tot_SOLSE_NWorNAA,MOL_Tot_SOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LSatH_NS_SEO,M_LSatH_NS_SOLSE_VWorW,M_LSatH_NS_SOLSE_NWorNAA,M_LSatH_NS_SOLSE_Tot,M_LSatH_NS_NS,M_LSatH_NS_Tot,M_Tot_SEO,M_Tot_SOLSE_VWorW,M_Tot_SOLSE_NWorNAA,M_Tot_SOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_SOLSE_VWorW,FSEO_SOLSE_NWorNAA,FSEO_SOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_SOLSE_VWorW,FOL_Afrikaans_SOLSE_NWorNAA,FOL_Afrikaans_SOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_SOLSE_VWorW,FOL_Arabic_SOLSE_NWorNAA,FOL_Arabic_SOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_SOLSE_VWorW,FOL_AIndLng_SOLSE_NWorNAA,FOL_AIndLng_SOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Cantones_SEO,FOL_CL_Cantones_SOLSE_VWorW,FOL_CL_Cantones_SOLSE_NWorNAA,FOL_CL_Cantones_SOLSE_Tot,FOL_CL_Cantones_NS,FOL_CL_Cantones_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_SOLSE_VWorW,FOL_CL_Mandarin_SOLSE_NWorNAA,FOL_CL_Mandarin_SOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_SOLSE_VWorW,FOL_CL_Oth_SOLSE_NWorNAA,FOL_CL_Oth_SOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_SOLSE_VWorW,FOL_CL_Tot_SOLSE_NWorNAA,FOL_CL_Tot_SOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_SOLSE_VWorW,FOL_Croatian_SOLSE_NWorNAA,FOL_Croatian_SOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_Dutch_SEO,FOL_Dutch_SOLSE_VWorW,FOL_Dutch_SOLSE_NWorNAA,FOL_Dutch_SOLSE_Tot,FOL_Dutch_NS,FOL_Dutch_Tot,FOL_French_SEO,FOL_French_SOLSE_VWorW,FOL_French_SOLSE_NWorNAA,FOL_French_SOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_SOLSE_VWorW,FOL_German_SOLSE_NWorNAA,FOL_German_SOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_SOLSE_VWorW,FOL_Greek_SOLSE_NWorNAA,FOL_Greek_SOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_SOLSE_VWorW,FOL_IAL_Bengali_SOLSE_NWorNAA,FOL_IAL_Bengali_SOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_SOLSE_VWorW,FOL_IAL_Hindi_SOLSE_NWorNAA,FOL_IAL_Hindi_SOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_SOLSE_VWorW,FOL_IAL_Punjabi_SOLSE_NWorNAA,FOL_IAL_Punjabi_SOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhalese_SEO,FOL_IAL_Sinhalese_SOLSE_VWorW,FOL_IAL_Sinhale_SOLSE_NWorNAA,FOL_IAL_Sinhalese_SOLSE_Tot,FOL_IAL_Sinhalese_NS,FOL_IAL_Sinhalese_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_SOLSE_VWorW,FOL_IAL_Urdu_SOLSE_NWorNAA,FOL_IAL_Urdu_SOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_SOLSE_VWorW,FOL_IAL_Oth_SOLSE_NWorNAA,FOL_IAL_Oth_SOLSE_Tot,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_SOLSE_VWorW,FOL_IAL_Tot_SOLSE_NWorNAA,FOL_IAL_Tot_SOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_SOLSE_VWorW,FOL_Italian_SOLSE_NWorNAA,FOL_Italian_SOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japanese_SEO,FOL_Japanese_SOLSE_VWorW,FOL_Japanese_SOLSE_NWorNAA,FOL_Japanese_SOLSE_Tot,FOL_Japanese_NS,FOL_Japanese_Tot,FOL_Korean_SEO,FOL_Korean_SOLSE_VWorW,FOL_Korean_SOLSE_NWorNAA,FOL_Korean_SOLSE_Tot
LGA10050,0,13,0,13,..,84,3,84,0,83,..,32,0,33,0,33,..,20,0,20,0,20,..,15,3,14,0,14,..,0,0,0,0,3,..,5,10,18,0,16,..,236,56,290,8,301,..,1329,286,1615,22,1634,..,60,3,67,1679,1747,21282,1390,292,1678,1707,24662,22839,..,..,..,..,22839,..,19,0,19,0,24,..,22,9,28,0,28,..,17,3,22,0,24,..,22,6,26,3,28,..,67,25,93,0,93,..,0,0,0,0,0,..,91,30,121,3,125,..,14,3,18,0,18,..,43,0,41,0,47,..,33,0,36,0,36,..,74,10,77,0,77,..,62,9,69,0,75,..,38,7,42,0,42,..,63,5,72,0,67,..,112,20,129,3,129,..,41,3,44,0,44,..,6,6,10,0,10,..,155,147,299,3,302,..,411,181,599,4,602,..,53,7,57,0,59,..,12,0,16,0,16,..,12,5,14
LGA10130,0,13,0,13,..,63,0,63,3,61,..,28,0,27,0,27,..,10,0,10,0,10,..,15,6,22,0,22,..,3,0,0,0,0,..,29,6,35,0,35,..,182,26,205,4,212,..,975,160,1128,7,1142,..,42,0,42,1020,1062,12024,1012,158,1177,1027,14227,12911,..,..,..,..,12911,..,11,0,11,0,11,..,93,40,133,0,134,..,10,0,10,0,10,..,30,11,41,0,42,..,121,48,161,0,165,..,11,3,14,0,14,..,161,60,220,3,221,..,3,0,3,0,3,..,16,0,16,0,16,..,30,4,33,0,36,..,51,4,59,0,59,..,17,0,20,0,20,..,28,3,33,0,33,..,17,0,17,0,17,..,18,0,18,0,18,..,27,0,27,0,27,..,6,0,8,0,8,..,96,6,99,0,99,..,191,8,195,0,195,..,14,0,18,0,18,..,26,3,28,0,29,..,11,0,6
LGA10250,0,3,0,3,..,12,0,12,0,16,..,50,4,51,0,55,..,4,0,9,0,9,..,17,0,17,0,20,..,9,0,9,0,9,..,11,3,19,0,19,..,140,16,151,4,155,..,672,61,734,14,749,..,53,0,53,1384,1434,17944,725,61,784,1401,20127,19268,..,..,..,..,19268,..,21,0,21,0,21,..,3,3,3,0,3,..,3,0,3,0,0,..,18,3,26,0,26,..,36,7,41,0,41,..,4,0,4,0,4,..,57,12,71,0,71,..,8,0,10,0,10,..,44,0,41,0,43,..,48,0,54,0,54,..,77,0,77,0,83,..,16,0,16,0,16,..,0,0,0,0,0,..,9,0,9,0,9,..,20,0,23,0,23,..,3,0,3,0,3,..,0,0,0,0,0,..,12,0,12,0,12,..,49,0,47,0,47,..,67,0,74,0,72,..,38,3,38,3,42,..,9,3,11
LGA10300,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,3,12,0,12,..,60,10,69,0,70,..,0,0,0,123,124,984,58,10,71,120,1177,915,..,..,..,..,915,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,6,4,9,0,9,..,0,0,0,0,0,..,6,4,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,33,5,39,0,39,..,0,0,0,0,0,..,0,0,0
LGA10470,0,4,0,4,..,54,0,54,0,56,..,28,4,28,3,34,..,9,0,14,0,14,..,14,3,16,0,16,..,3,0,3,0,3,..,23,8,29,0,29,..,133,28,166,7,166,..,731,111,843,13,853,..,41,0,48,2203,2244,17597,777,109,886,2214,20695,18308,..,..,..,..,18308,..,17,0,17,0,17,..,33,10,41,0,41,..,10,4,15,0,13,..,22,9,33,0,33,..,43,11,52,0,57,..,3,0,9,0,9,..,69,25,95,0,96,..,11,0,11,0,11,..,23,0,23,0,23,..,17,0,17,0,17,..,37,3,37,0,37,..,15,0,15,0,15,..,19,0,23,0,23,..,26,0,26,0,26,..,28,5,30,0,30,..,12,0,12,0,12,..,6,0,6,0,10,..,29,0,29,0,29,..,116,8,130,0,130,..,23,5,28,0,34,..,22,0,23,0,23,..,5,0,6
LGA10550,0,0,0,0,..,22,0,23,0,23,..,18,0,22,0,24,..,0,0,0,0,0,..,9,0,12,3,16,..,0,0,0,0,0,..,10,0,10,0,10,..,57,12,68,0,65,..,397,41,437,6,445,..,47,3,52,1161,1215,14594,442,48,487,1174,16252,15172,..,..,..,..,15172,..,6,0,6,0,6,..,0,3,3,0,3,..,3,0,7,0,7,..,10,8,18,0,18,..,13,3,17,0,17,..,0,0,0,0,0,..,25,11,38,0,38,..,3,0,3,0,3,..,42,0,42,0,42,..,36,0,34,0,35,..,87,0,84,0,84,..,10,0,16,0,16,..,5,0,5,0,5,..,8,0,8,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,8,0,8,0,15,..,21,3,25,0,25,..,13,0,10,0,10,..,3,3,8
LGA10600,0,0,0,0,..,9,0,9,0,9,..,21,0,24,0,24,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,37,3,36,3,41,..,165,10,175,10,179,..,6,0,6,389,398,5548,176,10,178,400,6123,5904,..,..,..,..,5904,..,3,0,3,0,3,..,0,0,0,0,0,..,7,0,7,0,7,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,5,0,4,0,4,..,0,0,0,0,0,..,26,0,26,0,26,..,9,0,9,3,15,..,34,0,34,0,39,..,3,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,3,8,0,8,..,10,0,10,0,10,..,8,0,8,0,8,..,3,0,3
LGA10650,0,8,0,8,..,8,0,10,0,10,..,0,0,3,0,3,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,24,8,32,0,32,..,112,12,128,0,126,..,11,0,11,399,410,3685,122,12,139,405,4224,3690,..,..,..,..,3690,..,3,0,3,0,3,..,3,0,3,0,3,..,5,0,5,0,5,..,5,0,5,0,5,..,3,4,4,0,5,..,0,0,0,0,0,..,10,4,14,0,16,..,0,0,0,0,0,..,3,0,3,0,4,..,0,0,0,0,0,..,10,0,10,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,3,0,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,10,3,8,0,8,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0
LGA10750,10,277,0,283,..,9594,323,9916,86,10005,..,1203,184,1384,10,1389,..,2381,258,2642,18,2655,..,123,49,170,0,167,..,970,202,1170,12,1183,..,413,115,532,13,547,..,8314,1503,9815,216,10032,..,59733,7186,66913,755,67664,..,485,138,622,8668,9292,90618,60219,7320,67539,9420,167574,90305,..,..,..,..,90305,..,165,0,170,0,169,..,4185,898,5081,31,5118,..,19,3,21,3,22,..,1183,625,1803,13,1814,..,1711,863,2574,14,2587,..,121,46,168,0,168,..,3012,1536,4550,24,4575,..,673,134,802,4,811,..,127,3,131,6,137,..,406,23,421,6,428,..,304,17,323,11,332,..,886,151,1036,7,1048,..,1479,167,1650,10,1658,..,6363,430,6792,60,6855,..,4741,712,5455,38,5493,..,979,64,1040,4,1044,..,2279,361,2635,34,2673,..,3377,455,3833,33,3863,..,19221,2194,21412,184,21589,..,880,118,998,0,1000,..,101,16,113,0,113,..,564,374,936
LGA10800,0,0,0,0,..,5,0,5,0,5,..,3,0,3,0,3,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,3,19,3,19,..,53,8,57,3,58,..,5,0,5,339,347,2562,56,8,59,343,2971,2550,..,..,..,..,2550,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,9,4,11,0,11,..,3,0,4,0,4,..,0,0,0,0,0,..,8,5,15,0,15,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,4,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,4,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
