LGA_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
LGA10050,5361,458,22,45,10,5897,5935,325,20,7,12,6289,2371,1882,261,17,10,4546,500,174,19,0,10,695,714,246,18,10,13,1002,61,65,0,0,3,133,83,20,4,15,0,135,51,15,3,4,0,64,3779,2404,306,42,39,6575,187,11,0,3,6,209,374,125,28,3,3,528,15634,3324,376,96,68,19495
LGA10130,3386,96,20,20,23,3536,2588,53,16,3,13,2669,1342,544,263,6,19,2179,286,95,117,0,0,495,554,60,50,5,10,673,59,14,39,0,0,115,127,3,9,10,4,147,76,9,3,3,0,94,2445,729,476,23,40,3704,65,3,9,0,4,87,202,30,24,5,8,274,8689,910,540,51,84,10276
LGA10250,5123,1056,137,304,26,6644,3557,594,104,11,24,4293,1181,993,381,13,16,2587,193,316,46,0,0,559,597,276,90,30,14,1005,54,69,11,0,0,129,64,26,3,93,0,184,55,29,0,6,0,91,2144,1705,532,137,31,4547,120,103,3,4,0,231,287,152,17,34,22,507,11223,3612,798,483,105,16220
LGA10300,326,3,0,3,0,333,191,0,0,0,0,198,33,4,13,0,0,48,18,3,8,0,0,28,86,7,0,5,0,96,9,0,3,0,0,13,40,0,10,6,0,56,10,0,0,0,0,7,190,12,29,7,0,239,8,0,0,0,0,8,29,0,0,0,0,28,734,22,34,19,3,807
LGA10470,4322,282,54,14,14,4691,4632,165,38,4,7,4854,1719,674,341,11,6,2759,354,121,57,0,0,537,660,122,46,4,7,836,36,14,3,0,54,107,65,16,9,0,4,94,62,11,10,3,0,84,2896,955,462,24,75,4420,64,12,3,0,8,87,246,46,20,0,49,363,12166,1460,590,41,155,14411
LGA10550,5204,491,123,142,52,6017,3363,142,58,28,38,3631,932,360,195,25,9,1515,202,77,32,0,3,311,656,115,57,18,12,853,23,30,34,0,0,81,84,17,5,26,3,138,78,12,6,3,3,103,1971,599,326,71,32,2999,73,44,25,0,4,146,316,56,24,20,8,426,10934,1336,553,270,131,13222
LGA10600,2100,70,23,53,17,2259,1262,29,5,0,9,1311,414,53,55,3,4,535,54,23,11,0,0,86,391,39,24,10,8,464,22,3,0,0,0,26,44,4,4,14,0,68,36,0,3,3,0,43,965,117,98,33,10,1222,30,0,0,3,0,39,109,13,8,4,5,134,4466,233,136,90,47,4970
LGA10650,1331,23,26,61,0,1441,831,9,3,8,4,857,245,29,52,5,0,334,16,3,3,0,0,17,232,20,15,6,0,278,5,11,7,0,0,27,70,9,4,17,0,106,32,0,0,0,0,32,597,77,85,33,6,795,23,0,0,7,0,29,115,3,11,9,0,142,2904,107,126,120,6,3265
LGA10750,20236,2054,246,137,26,22698,34500,6868,897,64,83,42411,12647,3855,2507,88,97,19197,4709,1989,945,4,7,7650,3233,679,253,41,43,4258,213,174,72,0,4,461,412,108,37,53,9,618,283,52,37,3,3,378,21499,6857,3850,197,166,32561,394,126,46,5,3,572,2139,388,214,58,66,2858,78774,16286,5247,452,346,101107
LGA10800,989,3,4,4,12,1015,554,0,0,3,10,565,92,0,22,0,3,122,32,0,3,0,0,28,173,0,3,3,7,181,3,0,8,0,0,15,87,0,6,3,3,98,41,0,3,0,0,44,423,3,44,3,11,492,17,0,0,0,0,16,82,0,5,0,9,94,2066,9,56,13,36,2185
