LGA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
LGA10050,5235,10318,78,427,509,2388,130,589,2982,11571,3706,14978,239,976,416,1346,799,2468,1451,4795,5160,19767,26,149,168,579,77,270,1039,2811,1317,3808,59,191,213,444,676,1426,947,2064,2267,5867,167,344,12829,36304
LGA10130,2867,5651,52,319,284,1294,74,369,1515,6026,1928,8001,94,369,237,750,416,1269,750,2396,2680,10399,18,94,95,323,45,168,543,1472,697,2063,27,92,125,258,389,823,538,1177,1237,3232,126,258,6912,19542
LGA10250,5187,10318,59,330,438,1974,92,409,2172,8479,2765,11187,161,635,399,1281,764,2360,1321,4272,4083,15465,12,46,136,466,71,237,735,1874,953,2625,65,200,206,455,662,1353,931,2008,1884,4638,138,298,11297,30714
LGA10300,248,490,5,36,24,113,9,32,128,562,165,748,9,39,15,38,42,143,69,223,236,969,0,0,10,22,3,6,34,96,39,131,0,0,7,12,32,66,36,78,77,209,13,22,570,1687
LGA10470,3885,7686,81,432,510,2350,132,610,2366,9424,3083,12822,170,699,324,1050,727,2246,1221,3996,4308,16816,21,112,136,512,60,211,837,2306,1060,3137,56,186,166,358,531,1116,755,1670,1811,4806,131,270,10136,29579
LGA10550,4733,9314,43,251,307,1430,88,400,1562,6092,2002,8179,112,448,216,665,559,1673,890,2784,2892,10959,12,65,102,325,47,169,529,1446,695,2007,42,116,126,271,423,855,594,1243,1283,3252,81,173,8991,23699
LGA10600,1592,3148,10,64,132,572,30,129,640,2515,807,3278,39,162,105,336,217,652,358,1141,1171,4423,8,33,56,204,29,101,265,690,362,1037,19,66,74,142,209,435,300,641,662,1681,28,64,3446,9308
LGA10650,1104,2171,12,56,75,373,26,116,395,1647,512,2195,28,116,54,160,133,397,213,678,722,2874,4,12,20,78,16,40,128,331,164,462,10,18,31,62,82,172,117,255,283,715,16,41,2123,5801
LGA10750,21958,44790,1028,6081,4816,23269,1488,7158,25989,102301,33325,138802,2987,12977,3724,13165,9098,30368,15805,56506,49127,195312,328,1652,1152,4523,759,2949,5657,16493,7892,25622,803,2709,1323,3078,5958,13655,8084,19437,15976,45061,1455,3205,88519,288362
LGA10800,687,1365,12,72,60,279,16,64,321,1379,412,1795,27,91,34,99,87,269,144,463,558,2257,0,3,16,55,3,16,110,301,125,373,11,21,16,32,81,170,102,225,227,597,20,40,1494,4258
LGA10850,800,1576,13,89,94,451,24,110,438,1789,571,2441,36,154,59,175,140,424,233,755,805,3198,0,9,25,84,7,35,125,339,157,467,6,23,29,56,101,213,136,292,297,762,22,50,1926,5589
LGA10900,8250,16311,151,860,961,4448,219,1010,4713,18479,6041,24804,475,1945,868,2927,1762,5532,3104,10401,9148,35207,30,138,229,787,107,349,1148,3029,1513,4307,136,421,365,800,1175,2458,1674,3681,3182,7991,221,457,20798,59957
LGA10950,282,555,8,33,25,112,12,49,139,574,184,769,13,47,20,60,48,141,82,244,269,1013,3,12,4,10,3,4,52,146,55,174,0,3,11,17,40,83,46,99,107,274,10,22,662,1855
LGA11100,4000,8030,78,430,440,1978,129,552,3232,12140,3868,15099,320,1354,434,1511,1035,3373,1790,6238,5657,21328,21,88,100,344,61,210,569,1496,749,2137,86,270,204,478,852,1873,1149,2624,1898,4764,339,721,11899,34838
LGA11150,206,406,0,3,21,97,10,44,135,541,167,682,13,36,8,23,26,91,50,154,216,838,0,3,4,27,9,35,67,207,79,270,3,5,4,5,45,111,49,118,130,388,11,24,561,1652
LGA11200,124,253,3,34,12,47,4,16,68,285,87,383,3,4,3,13,18,47,25,63,114,451,0,9,8,26,7,12,86,266,99,313,0,0,5,6,36,85,39,92,137,407,16,41,398,1147
LGA11250,1921,3784,38,189,117,531,72,301,761,2906,988,3922,46,194,78,231,371,1133,494,1557,1484,5482,16,90,77,265,41,142,479,1294,610,1793,23,77,64,143,361,772,454,988,1059,2782,75,163,4536,12210
LGA11300,3099,6297,39,231,363,1668,63,266,1975,7434,2440,9600,268,1188,492,1719,817,2713,1585,5616,4024,15216,11,46,77,266,18,65,346,912,456,1285,60,205,209,493,586,1314,856,2006,1310,3286,289,630,8722,25434
