LGA_CODE_2016,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_Nthern_Ireland_0_4,M_Nthern_Ireland_5_14,M_Nthern_Ireland_15_24,M_Nthern_Ireland_25_44,M_Nthern_Ireland_45_54,M_Nthern_Ireland_55_64,M_Nthern_Ireland_65_74,M_Nthern_Ireland_75_84,M_Nthern_Ireland_85ov,M_Nthern_Ireland_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot
LGA10050,0,3,0,15,4,0,5,7,0,39,0,0,0,0,3,7,7,10,0,33,0,0,0,0,0,0,0,0,0,3,0,0,4,7,0,0,0,0,0,16,0,0,0,3,4,0,0,0,0,9,0,0,0,7,0,3,0,0,0,13,0,0,0,0,0,0,4,4,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,31,44,21,3,0,0,0,0,103,0,3,0,4,5,16,42,24,3,96,0,10,30,73,68,49,37,11,5,275,0,0,0,3,0,0,3,3,0,7,0,3,0,13,4,0,0,0,0,22,0,0,0,4,3,0,0,0,0,8,0,20,6,45,15,8,3,0,0,100,0,0,0,0,0,3,3,0,4,16,0,0,3,5,17,19,23,17,0,87,0,0,0,0,3,0,0,0,0,12,0,4,15,20,10,6,4,0,0,65
LGA10130,0,0,0,3,5,3,0,0,0,16,0,0,0,0,0,3,3,0,0,9,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,3,4,8,5,3,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,5,0,0,8,47,6,0,0,0,0,62,0,0,0,4,0,7,10,0,0,25,0,17,23,36,30,31,20,6,3,170,0,0,0,0,0,0,0,0,0,3,0,3,7,17,0,0,0,0,0,27,0,4,3,7,5,3,0,0,0,23,0,3,3,31,3,0,0,0,0,48,0,0,0,0,0,0,0,3,0,9,0,0,5,3,13,7,10,4,6,44,0,0,0,0,0,0,0,0,0,8,0,6,6,8,14,3,3,0,0,43
LGA10250,0,0,0,16,5,3,7,4,5,36,0,0,0,5,4,4,13,17,10,61,0,6,0,3,3,0,3,0,0,19,0,0,3,5,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,5,0,0,0,4,5,8,4,3,0,19,0,0,0,0,0,3,7,3,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,5,0,5,3,12,27,6,10,66,3,14,17,81,60,74,38,17,12,314,0,0,0,0,0,5,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,5,0,0,0,28,0,3,3,5,3,3,0,0,0,21,0,0,0,4,0,3,0,0,0,10,0,5,3,9,17,8,27,13,8,86,0,0,0,0,0,0,0,3,0,10,0,5,9,27,20,21,27,10,3,114
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10470,0,5,0,12,5,3,3,6,0,31,0,0,0,0,3,10,7,0,0,25,0,3,3,0,0,0,0,0,0,13,0,3,3,11,3,0,0,0,0,20,0,0,0,10,6,0,3,0,0,27,0,4,0,8,5,0,3,0,0,22,0,0,0,0,0,3,5,0,0,10,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,5,20,3,0,0,0,0,29,0,0,0,6,6,6,11,12,3,50,3,13,28,63,53,36,32,8,3,234,0,0,0,0,0,0,0,0,0,6,0,0,0,17,0,0,0,0,0,18,0,0,0,4,3,0,0,0,0,14,3,13,15,22,3,3,0,0,0,61,0,0,0,0,0,0,0,4,0,7,0,3,4,8,13,17,14,13,0,81,0,0,0,4,0,0,3,0,0,11,0,5,9,15,7,6,7,0,0,52
LGA10550,0,0,0,5,5,4,13,3,0,30,0,0,0,3,6,13,14,6,3,38,0,3,0,0,0,3,0,0,0,11,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,13,0,0,0,0,0,3,9,4,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,3,9,6,36,25,12,95,0,11,3,23,32,63,38,15,8,189,0,0,0,0,0,3,3,6,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,11,0,3,3,13,0,0,0,0,0,26,0,0,0,0,4,0,0,3,3,13,0,0,0,3,4,24,33,18,3,86,3,0,0,0,3,0,0,0,0,12,0,0,3,9,4,8,7,8,3,42
LGA10600,0,3,0,0,3,0,0,0,0,7,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,4,12,5,4,29,0,0,3,24,16,27,14,3,0,83,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,8,10,5,3,35,0,0,0,0,3,0,0,0,0,3,0,0,0,10,7,8,4,3,0,30
LGA10650,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,13,8,3,0,21,0,0,0,14,9,9,10,0,0,51,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6
LGA10750,3,33,15,113,50,40,66,22,8,347,0,8,14,39,82,131,206,150,54,681,0,10,6,16,3,8,3,0,0,41,3,38,65,238,137,100,76,28,9,700,3,14,31,299,203,189,160,53,10,957,4,27,50,197,94,132,85,22,7,616,0,0,3,42,79,288,484,219,39,1158,0,6,18,65,53,68,60,31,7,307,5,10,36,143,106,48,41,15,0,400,3,43,67,483,57,22,7,3,0,694,0,4,3,20,20,50,86,48,20,251,66,519,841,1525,556,367,153,30,8,4069,0,3,3,12,22,24,20,16,3,112,62,203,295,1063,320,163,61,19,6,2187,0,0,10,28,9,11,0,0,0,62,65,493,1027,3782,1960,1600,728,137,40,9828,0,6,6,88,44,112,73,32,44,404,0,10,12,47,90,104,97,60,14,441,10,40,35,68,40,46,23,6,3,271,8,40,109,294,180,122,65,29,8,855
LGA10800,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,6,3,6,3,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,13,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,9
