LGA_CODE_2016,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_0_4,M_Hong_Kong_5_14,M_Hong_Kong_15_24,M_Hong_Kong_25_44,M_Hong_Kong_45_54,M_Hong_Kong_55_64,M_Hong_Kong_65_74,M_Hong_Kong_75_84,M_Hong_Kong_85ov,M_Hong_Kong_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot
LGA10050,0,0,4,0,0,0,0,0,0,8,1585,2857,2886,4864,2504,2447,1704,886,335,20071,0,3,0,36,4,0,0,0,0,43,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,0,12,6,6,3,0,0,29,0,0,0,0,3,0,0,0,0,4,0,3,5,23,8,4,3,0,0,49,0,0,0,0,0,6,12,8,0,24,0,3,0,5,0,3,0,0,0,13,0,11,21,77,108,94,113,52,27,504,0,0,0,11,6,4,0,0,0,24,0,0,0,7,3,0,0,0,0,6,0,0,0,7,6,19,54,19,7,120,0,0,0,3,4,3,12,7,5,32,0,3,0,3,3,5,0,0,0,16,6,30,10,215,14,9,5,3,0,290,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
LGA10130,0,0,0,0,0,0,0,0,0,0,766,1610,2141,2310,1376,1372,1025,531,168,11302,0,3,0,20,3,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,6,3,0,0,26,0,0,0,0,4,0,0,0,0,3,0,3,80,48,12,0,3,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,23,28,44,52,84,42,6,300,0,0,4,7,3,6,0,0,0,17,0,0,0,3,3,4,0,0,0,10,0,3,7,0,12,11,3,3,3,41,0,0,0,0,0,0,0,0,0,7,0,0,4,5,0,0,0,0,0,9,3,3,7,60,8,4,0,0,0,87,0,0,0,3,3,0,0,0,3,13,0,0,5,11,6,0,3,0,0,21,7,8,0,26,7,0,0,0,0,50
LGA10250,0,0,0,0,0,0,0,0,0,0,997,2311,1802,3203,2144,2421,2041,1049,474,16436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,7,5,8,3,0,50,0,0,0,4,7,0,0,0,0,12,0,0,3,6,0,3,0,0,0,19,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,3,0,0,0,5,3,32,22,87,113,113,165,114,32,694,0,0,0,9,0,6,0,0,0,20,0,0,0,10,3,4,3,0,0,16,0,0,3,11,5,6,28,11,3,64,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,5,0,0,0,9,0,7,6,38,3,0,3,6,0,62,0,0,0,7,0,3,3,0,0,12,0,0,0,0,3,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0
LGA10300,0,0,0,0,0,0,0,0,0,0,74,153,134,196,122,151,90,37,10,965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,12,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10470,0,3,0,0,0,0,0,0,0,8,1254,2668,2691,4371,2090,2000,1415,630,205,17332,0,3,0,13,0,5,0,0,0,22,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,3,0,8,4,4,3,0,0,25,0,0,0,3,3,0,3,0,0,9,0,3,13,28,7,11,6,0,0,61,0,0,0,0,4,4,3,3,0,12,0,0,7,5,0,0,0,0,0,19,0,8,27,47,56,83,114,59,14,408,0,3,0,11,5,6,0,0,0,29,0,0,0,6,3,4,0,0,0,12,0,0,0,3,9,4,25,4,0,50,0,0,0,0,0,3,5,0,0,12,0,7,6,3,0,0,0,0,0,13,0,5,3,62,9,3,6,0,0,93,0,0,0,3,0,0,0,4,0,4,0,0,0,6,0,0,0,0,0,11,0,0,3,3,3,0,0,0,0,14
LGA10550,0,0,0,0,0,0,0,0,0,0,703,1779,1385,2226,1735,2291,1778,813,249,12969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,7,7,0,0,28,0,0,0,0,0,0,3,0,0,7,0,3,0,3,6,0,0,3,0,11,0,0,0,0,0,0,4,3,0,8,0,0,0,0,0,3,3,0,0,10,0,11,6,41,85,181,243,115,33,713,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,3,0,4,13,0,0,0,3,12,26,42,27,5,112,0,0,0,0,0,0,7,0,0,9,0,0,0,0,0,3,0,0,0,3,0,0,0,9,7,0,3,4,0,22,0,0,0,0,0,0,3,3,3,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
LGA10600,0,0,0,0,0,0,0,0,0,0,283,712,528,902,621,838,628,325,105,4948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,5,30,53,57,79,41,8,289,0,0,0,3,0,3,0,0,0,6,0,0,0,0,0,4,5,0,0,10,0,3,0,0,0,16,17,3,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,9,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10650,0,0,0,0,0,0,0,0,0,0,222,428,347,610,361,519,558,277,106,3424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,3,12,17,18,21,4,84,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
LGA10750,5,40,215,579,168,126,53,15,3,1205,12444,20951,15736,21790,8628,6241,3712,1470,419,91390,14,77,70,741,167,139,36,0,0,1252,3,0,15,86,52,56,37,21,3,262,0,0,3,17,15,12,5,0,0,54,0,13,28,53,24,12,11,0,0,140,3,4,8,90,72,48,68,19,9,325,17,68,163,810,373,376,176,82,21,2085,0,4,8,65,76,92,123,94,11,473,7,75,72,250,149,188,165,68,24,996,12,112,90,476,579,592,547,265,73,2740,9,93,285,1378,733,531,221,90,16,3352,0,6,0,18,14,14,10,0,0,71,0,12,24,45,60,49,163,71,20,447,0,9,14,26,37,70,98,71,17,335,3,11,51,135,69,140,42,6,0,468,138,799,1569,8017,1541,856,411,163,32,13522,0,26,60,262,119,95,69,25,3,657,3,41,71,377,129,105,50,25,0,802,5,46,146,337,163,105,41,8,3,858
LGA10800,0,0,0,0,0,0,0,0,0,0,158,381,272,528,286,367,267,151,52,2454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,8,10,7,7,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
