SA3_CODE_2016,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
10102,66,1617,184,1866,61,1402,152,1615,232,3279,324,3835,346,3297,336,3984,514,3684,394,4596,493,2852,313,3655,284,1733,257,2271,98,700,128,921,16,196,34,248,2119,18745,2124,22990,67,1485,173,1727,106,1430,140,1675,382,3211,371,3957,538,3232,295,4059,775,3477,336,4585,730,2497,292,3517,330,1576,250,2155,111,718,160,986,13,352,71,441,3043,17983,2087,23112,135,3099,364,3590,168,2828,291,3288,609,6487,698,7796,885,6530,634,8048,1293,7158,729,9179,1221,5346,600,7171,610,3310,507,4426,205,1418,284,1912,31,550,105,693,5157,36727,4212,46101
10103,32,469,100,605,21,469,80,576,67,881,188,1144,106,924,169,1195,173,1099,180,1453,195,1106,151,1456,91,904,142,1139,44,411,109,564,15,112,41,171,758,6384,1149,8291,23,429,70,525,26,389,48,464,104,820,98,1022,169,862,95,1132,255,1047,148,1456,267,940,113,1319,140,799,114,1054,62,362,133,555,13,189,77,281,1062,5849,891,7803,57,905,162,1128,53,857,130,1042,171,1709,283,2163,278,1789,259,2328,429,2148,325,2909,468,2048,259,2771,230,1702,257,2193,111,770,240,1117,26,307,120,449,1819,12227,2044,16097
10104,98,1448,283,1825,91,1057,131,1278,216,2053,237,2501,341,2445,296,3076,584,3439,443,4472,911,4767,547,6225,629,4644,647,5918,295,2135,490,2920,78,650,200,927,3232,22627,3286,29146,83,1458,239,1778,89,990,113,1191,319,2055,219,2601,529,2658,273,3461,944,3527,393,4865,1372,4812,558,6742,855,4265,658,5775,324,2128,565,3008,63,1039,361,1462,4578,22931,3389,30894,180,2900,520,3603,175,2048,241,2466,537,4109,463,5101,870,5101,568,6542,1532,6964,845,9338,2284,9580,1106,12972,1479,8911,1305,11696,615,4258,1050,5929,141,1684,562,2389,7811,45553,6669,60033
10105,43,903,150,1094,60,849,158,1064,133,1517,363,2012,234,1535,348,2113,342,1826,299,2476,339,1875,226,2437,236,1560,274,2073,98,767,190,1051,33,213,79,317,1513,11040,2087,14643,64,816,131,1006,71,682,69,826,249,1600,149,1992,329,1520,155,2004,485,1779,190,2449,559,1726,192,2471,297,1475,246,2016,97,835,243,1180,21,365,187,571,2176,10790,1562,14524,105,1716,284,2102,130,1531,226,1884,381,3115,513,4008,565,3058,501,4125,830,3606,488,4924,893,3604,416,4913,534,3030,522,4085,199,1607,432,2236,59,574,263,892,3694,21834,3648,29165
10106,46,893,160,1102,42,703,69,818,126,1285,133,1551,214,1751,167,2130,302,1994,204,2502,321,1915,241,2478,227,1626,253,2102,95,708,164,969,20,189,93,304,1398,11061,1492,13953,74,906,165,1136,67,728,81,871,222,1375,126,1719,352,1750,153,2256,512,1935,202,2652,528,1707,199,2432,324,1475,248,2046,115,764,210,1087,15,364,150,536,2205,11002,1525,14734,121,1796,322,2237,109,1435,145,1685,345,2664,258,3269,564,3503,317,4388,815,3927,411,5156,847,3621,439,4910,551,3096,499,4152,205,1474,380,2058,41,557,241,839,3602,22061,3021,28685
10201,225,4430,457,5113,247,4084,314,4645,595,7550,606,8746,969,8387,656,10008,1365,9001,699,11061,1587,8356,716,10660,1084,7261,774,9115,510,3761,613,4886,193,1517,396,2108,6767,54344,5226,66344,244,4332,388,4964,267,3721,290,4274,936,7505,528,8966,1585,8401,600,10590,2284,9024,677,11986,2694,8392,691,11773,1607,7606,871,10084,633,4629,993,6251,156,2584,838,3575,10409,56189,5873,72473,464,8759,844,10075,514,7806,601,8922,1530,15053,1128,17712,2554,16786,1257,20598,3648,18022,1376,23046,4278,16744,1410,22432,2693,14867,1642,19200,1140,8394,1604,11143,355,4098,1236,5691,17182,110535,11101,138818
10202,242,4321,451,5009,238,4026,352,4623,643,7254,595,8494,910,7517,597,9031,1303,7968,721,9990,1375,7262,761,9398,951,6319,864,8136,486,3534,802,4831,157,1156,444,1753,6298,49370,5590,61260,219,4202,432,4850,330,3970,337,4634,1166,7382,514,9063,1764,7394,598,9751,2235,7638,714,10592,2361,7386,788,10533,1401,6822,1029,9256,534,4110,1084,5727,115,1928,791,2834,10126,50828,6283,67238,458,8521,880,9858,568,7997,688,9255,1812,14642,1117,17565,2672,14914,1200,18777,3538,15608,1432,20583,3738,14647,1546,19932,2351,13147,1894,17392,1025,7647,1889,10552,273,3079,1232,4585,16424,100192,11878,128494
10301,95,1377,238,1700,75,1328,407,1811,195,2255,582,3037,268,2044,429,2743,368,2232,367,2962,390,2138,289,2820,234,1760,310,2302,104,748,179,1028,23,244,73,340,1754,14120,2874,18747,98,1315,219,1626,114,1361,172,1651,315,2129,175,2622,438,2083,176,2697,597,2203,229,3032,617,2018,267,2897,365,1686,275,2329,121,900,253,1281,23,482,163,664,2698,14174,1929,18805,196,2688,448,3329,195,2694,574,3463,510,4386,760,5657,707,4129,609,5440,966,4433,595,5993,1003,4154,557,5720,606,3444,586,4632,223,1650,438,2311,44,724,239,1008,4449,28298,4807,37548
10302,79,1333,255,1667,92,1204,181,1483,192,2185,268,2641,303,2235,293,2834,452,2653,399,3509,534,2905,455,3897,336,2541,480,3365,191,1368,388,1937,48,423,163,636,2231,16857,2889,21969,92,1328,269,1686,107,1071,134,1311,332,2192,263,2792,507,2162,296,2969,711,2499,393,3600,835,2526,383,3743,485,2239,459,3180,199,1518,443,2162,43,815,255,1108,3312,16358,2893,22553,169,2666,522,3353,202,2281,316,2793,525,4381,529,5430,806,4396,591,5797,1166,5154,791,7111,1368,5434,838,7638,824,4777,945,6548,389,2884,829,4102,95,1242,415,1749,5535,33210,5779,44522
10303,50,1078,237,1371,60,984,182,1225,183,1954,449,2589,225,1921,390,2533,411,2424,436,3268,433,2376,445,3251,269,2271,437,2973,110,1016,276,1403,31,281,75,388,1760,14306,2935,19005,54,946,212,1214,85,849,134,1064,279,1902,258,2438,406,1989,299,2691,628,2241,338,3209,653,2168,374,3190,367,2019,426,2806,140,1098,333,1568,19,507,132,667,2635,13721,2488,18849,108,2028,453,2585,145,1833,313,2288,464,3854,709,5027,630,3908,688,5232,1041,4664,769,6477,1079,4551,816,6448,632,4283,860,5779,249,2112,608,2968,51,795,208,1051,4394,28031,5426,37851
