SA3_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
11501,22403,957,453,265,27,5,32,24133
11502,3439,192,119,45,4,0,13,3802
11503,2980,206,163,50,6,0,23,3420
11504,5114,275,215,62,6,6,20,5702
11601,17002,924,587,352,31,19,79,18995
11602,14278,757,409,249,13,9,40,15758
11603,12910,747,631,381,36,15,82,14796
11701,5140,259,157,77,0,4,24,5661
11702,4683,278,88,61,4,4,20,5145
11703,8910,629,138,63,9,0,34,9788
11801,11832,612,204,50,0,3,13,12720
11802,13518,636,276,107,9,4,42,14591
11901,21156,959,592,412,36,11,84,23256
11902,16685,682,375,281,21,9,48,18094
11903,15474,686,328,260,21,4,41,16820
11904,15347,706,314,218,13,7,42,16647
12001,9923,437,144,56,4,0,26,10596
12002,5970,339,106,25,3,0,11,6451
12003,16230,674,253,223,10,9,37,17432
12101,14214,552,207,99,3,0,31,15111
12102,11434,490,221,97,9,3,24,12281
12103,17665,654,268,149,4,9,24,18770
12104,8656,475,139,28,6,4,14,9323
12201,4944,243,88,22,0,0,11,5315
12202,7585,487,238,75,13,3,20,8412
12203,19408,1011,442,139,12,5,55,21065
12301,8232,638,469,94,12,15,47,9517
12302,17709,1256,907,428,48,27,137,20512
12303,4953,357,305,85,3,3,39,5750
12401,7941,688,372,77,11,0,49,9141
12402,0,0,0,0,0,0,0,0
12403,15827,1288,916,231,43,26,111,18443
12404,3445,394,249,53,13,5,28,4185
12405,5885,493,315,123,19,9,38,6876
12501,10081,385,186,200,19,9,43,10916
12502,9309,385,158,128,8,0,21,10006
12503,18172,753,491,348,20,16,55,19863
12504,18137,669,253,228,14,3,43,19349
12601,6957,247,99,84,4,3,10,7408
12602,16330,632,248,163,12,4,42,17427
12701,13719,663,488,262,21,20,61,15226
12702,22408,1069,611,579,46,25,108,24842
12703,15199,689,500,234,15,12,50,16698
12801,13084,790,388,90,7,3,28,14388
12802,15030,836,445,124,7,3,36,16470
19797,0,0,0,0,0,0,0,0
19999,0,0,0,0,0,0,0,0
20101,9464,759,490,72,18,7,49,10850
20102,2582,197,112,23,3,0,17,2935
20103,1913,201,132,26,3,4,26,2299
20201,8300,717,467,59,17,5,54,9617
20202,4455,323,194,33,5,0,18,5020
20203,962,82,43,11,0,0,7,1113
20301,2334,160,93,12,3,0,7,2608
20302,18063,1415,752,136,25,10,95,20489
20303,7420,509,263,35,8,0,29,8267
20401,4440,417,229,38,12,0,31,5172
20402,3833,317,208,48,7,0,43,4455
20403,6221,546,375,50,3,3,37,7233
20501,4580,384,257,36,4,3,34,5298
20502,3307,293,181,37,7,3,33,3871
20503,4932,396,289,45,0,6,40,5711
20504,6082,601,379,66,11,5,55,7200
20505,3675,326,219,28,3,5,37,4292
20601,7968,348,126,61,3,0,17,8524
20602,5315,251,82,35,0,3,11,5699
20603,7200,313,112,30,3,3,11,7676
20604,5205,275,79,27,0,0,14,5607
20605,6791,434,119,18,7,0,11,7379
20606,3777,255,67,19,0,0,12,4135
20607,5497,374,88,35,3,0,11,6011
20701,20764,855,303,156,11,6,17,22119
20702,11759,508,171,139,10,10,27,12624
20703,11917,492,195,80,6,0,26,12715
20801,12533,625,226,54,6,3,21,13462
20802,17918,798,251,112,11,0,28,19126
20803,13628,876,398,90,13,0,24,15027
20804,4853,197,59,27,0,0,3,5141
20901,14743,723,314,106,9,0,34,15931
20902,9475,427,199,130,9,4,26,10264
20903,9260,553,256,70,0,0,17,10155
20904,27932,1446,919,368,38,19,71,30793
21001,7301,365,164,59,6,3,19,7908
21002,3752,207,139,29,4,0,12,4148
21003,8447,338,188,74,7,0,15,9069
21004,4600,365,216,37,8,3,20,5254
21005,21038,980,566,337,12,13,62,23002
21101,19444,1268,612,200,21,7,64,21619
21102,3689,183,84,25,0,3,6,3997
21103,12970,844,396,113,8,3,27,14363
21104,7728,356,153,76,8,0,14,8346
21105,16881,1451,791,175,31,11,61,19396
21201,10893,952,652,118,15,10,65,12707
21202,17069,1063,552,241,24,13,50,19004
21203,22236,1485,1016,384,37,26,75,25253
21204,21239,1118,547,497,45,12,96,23552
21205,21084,839,313,270,14,8,50,22576
21301,21343,1141,656,475,43,28,113,23797
21302,9886,524,244,82,5,5,29,10774
21303,7986,399,137,100,4,7,34,8661
21304,19192,1251,848,259,27,21,86,21678
21305,29702,1638,1035,447,47,32,88,32996
21401,13297,1318,738,153,31,9,61,15607
21402,14845,1327,685,113,17,9,69,17072
21501,4796,358,294,40,12,3,58,5554
21502,4627,423,262,55,9,6,33,5432
21503,3164,204,154,37,0,0,30,3593
21601,3268,267,179,26,3,0,24,3770
21602,2379,189,130,22,3,4,20,2747
21603,5978,426,290,71,10,3,43,6822
21701,3046,241,169,22,0,4,29,3503
21703,3224,230,173,25,0,0,19,3678
21704,4674,313,219,28,6,3,36,5282
29797,0,0,0,0,0,0,0,0
29999,0,0,0,0,0,0,0,0
30101,8047,756,437,92,23,0,35,9390
30102,8489,843,488,76,18,6,41,9964
30103,7757,694,372,70,16,6,24,8937
30201,4880,345,176,55,3,4,11,5485
30202,6955,505,251,81,5,9,21,7822
30203,3599,319,115,51,4,4,6,4097
30204,6092,512,243,73,5,3,21,6962
30301,5881,370,144,66,8,0,8,6474
30302,6282,406,151,47,8,5,22,6910
30303,7967,443,211,117,8,6,30,8773
30304,4096,230,94,52,3,0,12,4493
30305,7415,459,271,165,17,10,30,8362
30306,5606,290,144,100,14,4,24,6179
30401,4379,310,123,33,3,0,5,4861
30402,6330,335,179,41,3,0,12,6891
30403,4732,224,83,43,0,0,14,5096
30404,5926,420,208,41,5,0,15,6613
30501,3267,256,65,20,3,0,9,3618
30502,4102,277,103,19,3,3,8,4522
30503,7361,489,165,40,3,0,18,8084
30504,5524,325,123,21,0,0,13,6008
30601,5272,443,232,55,9,3,37,6054
30602,8007,787,449,149,26,14,72,9508
30603,2758,196,129,73,4,4,35,3206
30604,777,68,47,10,3,3,7,913
30605,3110,280,178,51,17,3,35,3679
30701,3948,231,212,41,4,5,33,4477
30702,3804,268,274,61,0,5,33,4454
30703,3376,291,217,40,5,0,36,3968
30801,3019,177,171,27,4,0,27,3428
30803,10307,909,660,148,28,15,85,12155
30804,1480,91,77,10,0,0,13,1676
30805,6239,544,427,75,3,3,44,7340
30901,5011,495,185,32,15,0,21,5765
30902,4595,429,226,43,12,0,26,5336
30903,4908,547,251,57,9,0,28,5799
30904,1761,198,86,16,8,3,11,2081
30905,4226,320,189,50,13,3,17,4821
30906,7124,717,453,106,16,10,42,8469
30907,13750,1327,946,192,35,16,52,16322
30908,4789,472,201,60,7,0,28,5562
30909,4650,437,206,55,12,0,11,5373
30910,2603,258,87,26,0,0,13,2986
31001,7175,560,343,160,18,7,64,8336
31002,5376,538,445,86,18,9,76,6552
31003,9586,1060,750,151,15,15,80,11651
31004,9015,846,694,227,30,25,67,10899
31101,1119,121,89,17,3,3,15,1374
31102,3340,427,299,73,17,11,38,4203
31103,8075,784,649,188,35,19,59,9806
31104,5459,517,430,89,22,5,55,6583
31105,6036,637,426,117,15,6,40,7280
31106,7397,623,451,186,16,11,64,8747
31201,3122,228,200,23,4,0,21,3595
31202,11358,930,628,124,20,13,74,13150
31203,1624,154,84,17,3,3,14,1895
31301,2042,299,180,39,11,4,24,2593
31302,5730,745,647,104,26,16,65,7325
31303,1072,117,78,12,5,3,9,1296
31304,6493,758,526,105,22,10,32,7957
31305,4493,593,323,65,15,8,44,5535
31401,11656,834,492,102,9,9,45,13135
31402,7894,795,573,87,18,3,43,9419
31403,3761,363,237,58,14,5,32,4466
31501,2361,205,162,178,27,15,100,3054
31502,2468,198,157,86,14,12,54,2986
31503,1473,96,59,19,3,0,18,1661
31601,5669,468,262,52,3,4,20,6477
31602,7279,685,390,78,14,6,34,8490
31603,4240,440,173,31,4,0,15,4917
31605,3577,323,145,15,3,0,11,4086
31606,4644,488,277,62,7,5,25,5509
31607,4127,391,232,44,9,3,22,4827
31608,2132,190,88,25,10,0,12,2449
31701,13615,1095,808,170,21,17,104,15821
31801,3617,274,186,64,15,9,36,4194
31802,16690,1678,1131,221,33,21,130,19904
31901,6696,722,478,78,14,13,73,8066
31902,3560,334,279,46,19,8,58,4307
31903,3708,371,321,50,17,3,37,4507
31904,3922,479,322,52,16,9,35,4832
31905,3068,342,207,56,11,8,29,3727
39797,0,0,0,0,0,0,0,0
39999,0,0,0,0,0,0,0,0
40101,758,57,19,0,0,0,0,833
40102,8335,682,333,55,3,0,22,9439
40103,5207,297,116,36,7,0,19,5674
40104,5895,286,139,40,7,0,14,6392
40105,3339,191,60,22,9,0,12,3634
40106,3145,170,62,26,0,0,6,3409
40107,3940,244,79,24,0,0,7,4297
40201,3415,384,232,39,13,3,27,4108
40202,7524,894,660,138,25,15,77,9335
40203,6874,410,196,91,7,4,29,7609
40204,13759,1199,721,248,37,24,79,16063
40205,10254,908,417,83,10,7,39,11722
40301,2969,210,87,24,0,0,8,3302
40302,9111,674,296,91,20,4,26,10213
40303,7486,472,200,50,3,4,20,8225
40304,16528,1729,1035,158,25,11,99,19587
40401,10784,801,293,103,9,9,40,12037
40402,5159,474,216,82,12,8,27,5966
40403,5963,389,156,59,0,0,16,6588
40501,3587,318,221,28,6,0,20,4170
40502,1893,138,102,20,0,3,18,2173
40503,2146,170,121,24,3,0,32,2507
40504,1723,166,105,17,6,0,19,2035
40601,4656,408,324,49,14,8,59,5506
40602,1972,162,119,64,4,5,31,2364
40701,3624,351,243,40,6,0,44,4313
40702,5728,523,350,50,14,3,59,6721
40703,5509,504,351,58,9,3,62,6500
49797,0,0,0,0,0,0,0,0
49999,0,0,0,0,0,0,0,0
50101,4975,382,265,36,7,0,27,5690
50102,9840,884,642,138,21,9,95,11632
50103,1902,129,89,14,3,3,27,2164
50201,8251,891,567,105,18,12,86,9934
50301,7992,378,125,35,0,3,9,8544
50302,8443,434,131,47,3,3,14,9070
50401,7978,567,243,80,12,7,31,8920
50402,4303,385,215,64,16,0,37,5020
50403,14554,1172,718,248,21,21,78,16816
50501,20006,1350,661,159,20,3,82,22280
50502,19621,1210,519,172,22,13,60,21623
50503,22777,1715,1223,328,45,24,124,26227
50601,8810,733,472,139,22,10,69,10252
50602,5771,417,198,68,5,7,29,6499
50603,10624,540,271,171,14,4,30,11659
50604,13674,940,573,241,28,15,78,15563
50605,6284,545,306,92,17,0,39,7291
50606,3183,289,205,43,6,12,29,3758
50607,3906,234,59,36,0,0,10,4244
50701,11971,829,489,134,14,3,38,13483
50702,3303,259,97,19,3,0,13,3697
50703,3952,352,248,73,10,0,36,4668
50704,12069,675,266,96,13,0,34,13148
50705,13204,1351,953,163,23,18,111,15835
50901,5020,419,290,59,6,4,48,5850
50902,4623,333,292,76,8,8,82,5418
50903,1718,88,111,17,3,0,29,1966
51001,2411,223,145,136,28,19,83,3047
51002,1872,151,129,45,7,8,25,2245
51003,2963,220,167,46,11,3,30,3436
51101,1388,125,79,18,3,0,12,1628
51102,738,57,40,19,0,0,14,868
51103,3653,292,262,80,17,9,44,4357
51104,4521,384,265,65,13,3,66,5323
59797,0,0,0,0,0,0,0,0
59999,0,0,0,0,0,0,0,0
60101,1533,179,148,18,3,0,17,1903
60102,4787,522,288,52,8,4,27,5690
60103,4066,537,371,58,13,10,53,5113
60104,3451,313,187,26,7,3,19,4006
60105,4255,316,129,20,3,0,17,4741
60106,1389,170,104,21,0,5,15,1702
60201,6831,673,447,53,16,4,47,8069
60202,1935,173,122,21,3,3,20,2285
60203,2968,292,205,32,3,0,25,3529
60301,978,109,60,14,4,0,13,1182
60302,1634,166,95,18,0,5,9,1929
60303,382,32,19,5,0,0,7,443
60401,3821,450,283,27,4,0,35,4628
60402,3518,449,252,34,8,3,37,4301
60403,1465,144,126,9,4,0,15,1761
69797,0,0,0,0,0,0,0,0
69999,0,0,0,0,0,0,0,0
70101,1877,167,60,24,3,0,4,2140
70102,5392,424,235,133,14,7,38,6242
70103,1990,202,149,31,3,3,17,2398
70104,3649,358,278,57,9,3,26,4377
70201,2814,219,129,147,21,14,68,3424
70202,357,28,16,48,4,3,24,484
70203,1175,97,49,147,16,17,52,1543
70204,1113,72,43,126,14,6,42,1417
70205,1377,109,77,136,17,16,77,1798
79797,0,0,0,0,0,0,0,0
79999,0,0,0,0,0,0,0,0
80101,10010,670,392,106,11,5,48,11247
80103,76,6,3,0,0,0,0,84
80104,9644,596,341,106,12,4,23,10722
80105,3770,251,96,29,4,0,18,4169
80106,2446,141,50,18,0,0,7,2666
80107,9755,906,514,122,13,8,43,11361
80108,2570,171,98,17,3,0,5,2868
80109,3844,234,95,33,3,3,14,4230
80110,529,30,16,8,0,0,0,582
80111,68,3,0,0,0,0,0,80
89797,0,0,0,0,0,0,0,0
89999,0,0,0,0,0,0,0,0
90101,148,5,0,0,0,0,0,159
90102,73,3,0,3,0,0,0,83
90103,24,0,0,3,0,0,0,24
90104,132,11,11,0,0,0,0,165
99797,0,0,0,0,0,0,0,0
99999,0,0,0,0,0,0,0,0
