SED_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
SED10001,0,0,0,0,5,0,6,4,0,18,3,3,0,32,5,8,0,0,0,51,0,0,0,0,0,0,0,0,0,0,3,6,7,5,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,8,12,10,10,9,3,0,65,0,4,4,6,3,3,0,0,0,24,0,0,0,8,4,10,11,0,0,29,0,0,0,10,3,0,0,0,0,14,6,16,20,148,75,60,68,46,22,476,118,280,343,701,403,468,440,276,140,3167,2456,5043,4771,8768,4977,5173,4280,2235,830,38534,0,0,0,3,0,0,0,0,0,3,2167,4464,4186,7385,4213,4348,3344,1922,937,32984,3,3,3,32,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,9,7,8,0,0,0,27,0,0,0,0,0,0,4,0,0,6
SED10002,0,0,0,7,6,8,8,8,0,34,3,24,93,512,145,127,76,33,14,1025,0,0,35,339,11,7,10,0,0,411,3,7,25,87,7,4,3,0,0,139,0,0,0,9,6,10,4,8,0,37,4,13,60,352,347,230,146,63,7,1229,7,16,16,41,9,7,0,0,0,92,7,8,55,363,438,470,168,62,17,1593,0,0,0,0,3,3,3,0,0,14,0,0,5,16,8,0,0,0,0,32,34,147,256,982,392,241,162,82,42,2339,232,293,512,1481,397,357,224,118,30,3642,3862,5895,8195,21436,6035,4886,2717,1326,407,54766,7,75,187,378,78,44,16,5,3,789,3244,4336,3503,4190,838,766,444,343,313,17971,0,10,30,138,23,6,0,0,0,217,0,0,0,23,17,18,14,13,0,89,0,0,7,38,37,23,16,7,3,124,0,0,11,11,6,0,0,0,0,30,0,0,3,21,22,10,22,3,0,93
SED10003,0,0,0,0,0,3,0,0,0,6,0,0,0,9,4,6,3,0,0,24,0,4,0,5,3,0,0,0,0,7,0,13,14,8,4,0,0,0,0,32,0,0,0,3,0,0,0,0,0,6,0,0,0,7,4,0,0,0,0,12,3,15,22,48,25,34,58,8,3,214,0,3,0,7,4,0,0,0,0,19,0,0,3,12,7,4,10,3,3,38,0,3,0,9,6,6,6,0,0,27,4,30,28,222,82,93,80,33,11,583,139,348,307,835,586,658,461,217,120,3668,1842,4438,3451,7535,4966,5724,4446,1997,889,35293,0,0,0,0,0,0,0,0,0,0,1588,3587,2772,6054,4002,4576,3175,1832,1113,28707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,7,3,3,10,60,28,16,11,3,0,130,0,0,0,12,3,8,5,3,0,30
SED10004,0,0,0,7,8,5,7,5,0,34,0,0,12,50,12,12,8,5,0,99,0,3,10,56,7,3,4,0,0,90,4,4,25,208,21,9,3,0,0,276,0,0,0,9,3,3,4,3,0,25,0,0,3,42,11,8,3,0,0,77,17,55,22,170,76,47,27,11,0,434,0,7,46,118,38,34,18,11,4,280,0,0,3,38,23,10,9,0,0,89,0,0,0,23,6,3,0,0,0,30,18,46,127,737,183,112,140,75,23,1470,170,260,441,1531,492,388,264,126,37,3702,2544,3773,4785,15036,5397,3874,2760,1063,340,39576,0,0,0,3,0,0,0,0,0,6,2200,2975,2898,8148,3238,2565,1696,576,313,24615,0,0,6,18,0,0,0,0,0,27,0,0,0,13,9,6,3,3,0,28,0,0,0,15,0,3,3,3,0,26,0,8,18,117,38,33,13,0,0,227,0,0,0,25,15,8,12,0,3,59
SED10005,0,0,0,4,10,10,6,8,0,37,3,0,14,44,15,23,13,3,0,113,0,4,9,33,0,6,0,0,0,51,0,3,22,33,0,7,0,0,0,70,0,3,15,53,93,122,114,47,8,464,0,4,8,26,44,27,12,11,0,134,6,16,13,15,9,5,0,0,0,70,26,95,366,1361,1087,1005,339,126,64,4469,0,0,0,0,0,0,4,0,0,6,0,5,10,14,3,4,0,0,0,33,38,142,237,882,425,301,224,113,61,2415,222,395,367,858,420,341,251,153,61,3067,3441,6235,6064,11931,5174,4527,2902,1532,681,42490,0,14,31,61,17,13,0,0,0,145,2930,4758,3920,4403,1146,995,760,546,497,19945,4,13,46,259,18,9,0,0,0,353,0,0,4,31,12,14,7,3,0,66,0,5,4,32,24,35,24,8,0,133,0,0,0,3,3,0,0,0,0,8,0,0,0,4,16,20,12,9,0,60
SED10006,0,0,0,0,3,4,12,5,0,26,0,4,0,8,8,0,3,0,0,26,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,3,4,10,10,10,8,3,56,0,0,3,0,3,0,3,0,0,12,0,0,0,0,0,4,3,3,0,12,0,0,0,8,4,0,0,0,0,11,3,8,8,33,30,34,57,39,8,214,255,446,422,1028,715,764,659,359,129,4776,2584,5038,4202,8407,5204,5753,4492,2338,715,38729,0,0,0,0,0,0,0,0,0,0,2234,4483,3490,7172,4163,4232,3191,2075,965,32004,0,0,3,5,0,0,0,0,0,14,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,3,4,5,7,0,3,0,0,29,0,0,0,0,0,0,0,0,0,3
SED10007,0,0,0,0,9,4,8,4,0,23,0,4,5,12,11,6,0,0,0,31,0,0,3,0,3,0,0,0,0,5,0,0,7,16,0,0,0,0,0,32,0,0,0,3,0,3,3,0,0,11,0,0,0,0,0,0,0,0,0,8,0,3,12,20,6,12,5,0,0,65,0,3,4,38,11,5,0,0,0,69,0,0,0,4,11,4,13,3,0,30,0,0,0,3,3,0,3,0,0,12,4,10,16,79,43,56,75,48,7,339,147,294,451,734,507,516,530,258,95,3539,2389,5176,5298,9128,5171,5151,4391,2014,625,39351,0,0,0,4,0,0,0,0,0,4,2079,4402,4228,7190,4121,4051,3193,1726,817,31805,0,3,0,13,0,0,0,0,0,22,0,0,0,0,3,0,0,0,0,8,0,0,0,5,0,0,0,0,0,11,0,3,6,14,9,11,5,4,3,51,0,0,0,0,3,0,5,0,0,8
SED10008,0,0,0,3,12,9,8,0,0,30,3,23,29,188,177,165,77,21,11,691,3,0,18,65,18,19,20,4,0,142,3,4,6,24,6,4,4,0,0,51,0,0,0,3,3,4,3,0,0,15,0,0,0,15,23,14,10,3,0,67,11,27,89,53,25,18,17,7,0,247,0,0,5,64,43,43,14,0,0,169,0,4,0,4,3,5,4,0,0,22,0,0,5,17,13,6,3,0,0,39,21,72,110,287,169,184,129,64,21,1041,69,96,118,281,144,135,123,70,17,1051,2567,5688,5320,9800,5336,4638,3644,1551,396,38942,0,0,3,35,16,18,8,0,0,81,2285,4506,3712,4663,2488,2156,2008,837,379,23029,0,0,6,36,30,14,3,0,0,86,0,0,0,13,11,4,0,0,0,30,0,0,0,12,12,5,0,0,0,31,0,5,23,35,7,12,7,4,0,91,0,0,3,13,26,15,13,7,0,73
SED10009,0,0,0,0,5,7,11,12,3,31,0,0,0,5,4,0,5,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,4,5,3,0,0,0,0,18,0,0,0,0,0,0,6,4,0,10,0,0,0,0,3,0,0,0,0,3,0,6,3,15,12,18,38,8,4,112,0,0,0,12,8,3,0,0,0,23,0,0,0,4,12,19,14,9,3,51,0,0,0,0,0,3,6,0,0,8,0,13,6,45,43,64,113,88,27,397,80,234,235,502,443,586,540,337,112,3077,1499,3920,3070,5529,4425,6174,5861,2902,924,34307,0,0,0,0,0,0,0,0,0,0,1339,3352,2644,4923,3745,5063,3951,1991,1000,28012,0,0,0,4,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,3,0,0,0,4,0,4,3,24,7,14,10,6,0,66,0,0,3,4,4,3,4,3,0,21
SED10010,0,0,0,25,14,28,21,16,6,104,8,38,63,344,75,77,47,20,8,682,0,0,4,11,3,5,0,0,0,22,3,4,8,19,0,5,4,0,0,49,0,0,0,3,3,8,11,3,0,26,0,3,15,82,51,41,21,5,0,222,3,14,7,36,11,5,3,0,0,82,0,0,7,42,29,19,7,3,3,106,0,0,0,3,0,0,4,3,0,13,0,0,3,7,4,0,0,0,0,16,16,123,285,675,393,273,191,104,33,2079,150,215,272,683,288,272,206,111,63,2248,3421,5848,6112,14097,5210,4535,2836,1374,483,43928,0,17,79,185,36,37,14,3,0,365,2967,4287,3500,5156,1939,1795,1040,800,280,21757,3,31,19,224,46,24,8,0,0,350,0,0,4,36,29,24,20,8,0,121,0,0,0,14,8,3,3,0,0,25,0,3,7,12,3,3,0,0,0,32,0,0,0,22,13,22,18,4,4,87
