SED_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SED10011,98,168,267,64,90,149,95,376,470,94,602,699,392,1468,1861,474,841,1319,1197,708,1907,1112,722,1832,1596,617,2213,1463,465,1928,1215,381,1597,1256,320,1570,2468,384,2852,1893,49,1936,1194,22,1220,825,113,931,1525,17,1539,1740,144,1887,211,358,569,18904,7843,26747
SED10012,355,232,587,145,71,215,351,341,691,263,477,744,750,759,1506,789,279,1070,1678,294,1975,1377,328,1698,1671,288,1960,1531,155,1685,1290,114,1402,1155,97,1255,1942,96,2038,1333,28,1359,883,9,893,557,31,588,966,15,979,1837,92,1931,295,194,493,19161,3905,23064
SED10013,136,122,261,67,57,129,90,187,279,77,308,383,339,654,995,330,325,654,964,294,1254,874,337,1215,1288,411,1694,1425,302,1726,1425,246,1673,1501,208,1708,3464,260,3730,2830,40,2870,1931,19,1953,1323,77,1393,2416,23,2432,1980,68,2043,309,184,494,22768,4120,26886
SED10014,157,146,302,75,85,160,176,319,493,197,558,749,590,992,1581,706,434,1145,1474,407,1882,1226,542,1765,1621,539,2160,1646,345,1993,1427,306,1729,1387,192,1572,2604,248,2850,1657,36,1693,1004,18,1019,632,61,701,1055,19,1075,1805,87,1891,319,313,632,19746,5629,25380
SED10015,384,317,706,142,107,249,228,407,634,158,578,736,708,1060,1768,640,476,1115,1600,475,2074,1395,554,1949,1770,642,2414,1771,426,2202,1384,317,1707,1321,277,1600,2682,363,3053,1827,110,1940,1229,44,1270,848,114,962,1751,50,1800,2088,245,2331,269,271,545,22207,6836,29040
SED10016,190,85,268,82,44,125,86,103,189,57,176,232,258,362,623,232,250,481,600,223,829,687,199,889,983,253,1241,1011,178,1188,929,159,1088,1032,134,1159,2517,270,2780,2135,30,2170,1814,12,1826,1539,131,1668,4553,35,4589,2081,62,2145,197,116,306,20978,2821,23802
SED10017,127,169,293,81,64,150,152,389,541,176,702,875,632,1547,2172,659,561,1223,1875,513,2388,1329,602,1936,1656,565,2225,1698,342,2041,1392,231,1620,1409,176,1583,2431,272,2705,1607,42,1648,917,17,936,524,75,591,893,16,908,1769,93,1859,337,404,738,19656,6777,26431
SED10018,71,156,224,82,74,157,113,377,493,109,754,861,462,1542,2009,467,685,1156,1612,569,2179,1168,607,1773,1518,563,2081,1505,405,1910,1119,325,1448,1227,243,1471,2387,357,2744,1851,46,1900,1357,20,1373,795,119,914,1610,30,1643,1795,144,1940,232,347,585,19489,7375,26868
SED10019,152,186,336,114,128,242,171,587,754,184,988,1170,891,2389,3279,830,1007,1838,2616,785,3399,1802,786,2589,2146,577,2725,1823,284,2105,1179,217,1397,1180,157,1332,1679,165,1845,952,18,967,482,6,488,271,99,373,383,9,393,1804,150,1957,374,604,977,19039,9129,28171
SED10020,139,167,308,78,80,158,118,497,618,138,863,997,663,1755,2413,669,906,1573,1939,761,2702,1553,765,2320,1859,633,2496,1847,388,2235,1295,250,1546,1206,194,1405,2071,196,2264,1235,57,1293,680,22,706,434,99,537,720,23,748,1793,168,1959,298,468,766,18743,8306,27042
SED10021,178,324,499,57,120,176,90,397,490,69,575,640,212,899,1112,248,642,896,473,551,1017,489,712,1205,731,821,1544,829,805,1633,751,812,1562,811,702,1513,1924,1357,3282,1793,391,2181,1468,284,1758,1663,1063,2725,5499,491,5989,2017,791,2805,186,382,567,19472,12108,31577
SED10022,146,197,339,99,129,227,183,527,710,193,991,1184,725,2118,2840,662,856,1519,2075,773,2848,1427,750,2180,1935,568,2501,1739,284,2027,1134,215,1348,1187,166,1350,1823,161,1988,986,20,1004,581,6,590,351,122,476,622,9,636,1848,81,1931,425,669,1099,18133,8651,26786
SED10023,123,159,286,72,79,154,77,233,312,61,432,492,256,914,1172,251,555,813,693,536,1233,740,625,1362,1034,687,1723,1073,468,1533,877,449,1325,1045,337,1388,2240,571,2814,1986,76,2058,1587,52,1634,1302,255,1552,3860,54,3908,2069,149,2216,231,307,537,19579,6929,26511
SED10024,259,152,409,90,51,143,100,160,256,48,228,279,219,478,696,243,400,643,536,344,879,537,364,900,908,341,1250,907,259,1175,790,269,1059,849,218,1073,1842,330,2172,1577,39,1617,1342,23,1361,1630,314,1948,6488,45,6535,2368,69,2444,224,191,416,20970,4278,25247
SED10025,322,512,838,111,114,224,118,326,450,99,501,599,378,843,1217,319,461,783,827,437,1262,745,517,1266,1099,620,1728,1076,516,1593,917,501,1419,1041,455,1490,2428,870,3297,1889,148,2034,1513,85,1598,1615,636,2250,4588,152,4745,1957,307,2264,183,286,463,21245,8281,29520
SED10026,123,176,299,85,119,209,154,447,606,173,746,914,614,1536,2151,613,720,1330,1618,634,2252,1233,704,1937,1648,638,2284,1591,415,2006,1186,315,1503,1272,265,1541,2192,372,2566,1509,42,1557,934,24,959,534,126,663,1002,24,1024,2097,133,2229,394,559,949,18968,8008,26979
SED10027,191,190,380,88,82,177,171,327,498,131,617,746,493,1007,1493,500,456,952,1303,370,1673,1012,365,1373,1361,392,1750,1354,238,1590,1166,213,1382,1220,163,1387,2580,203,2785,1850,50,1893,1314,18,1329,889,66,960,1808,25,1832,1749,89,1835,257,288,546,19443,5151,24595
SED10028,262,228,488,112,80,191,133,193,320,82,274,357,289,648,938,298,481,779,759,339,1093,759,376,1132,1098,365,1462,1148,281,1427,945,247,1193,1041,205,1245,2297,326,2623,1940,51,1994,1494,27,1520,1488,150,1643,4621,54,4670,2126,118,2243,166,228,395,21044,4672,25718
SED10029,362,248,610,138,98,232,319,463,783,234,734,971,906,1078,1991,875,380,1257,1980,360,2338,1646,386,2039,1867,362,2227,1694,209,1907,1284,156,1448,1261,103,1359,1940,118,2062,1303,34,1335,796,12,808,468,40,506,782,18,803,1962,138,2098,365,281,651,20191,5218,25404
SED10030,122,265,384,90,115,213,134,514,642,131,935,1066,537,2063,2603,595,1045,1640,1588,813,2403,1374,826,2207,1735,766,2500,1632,561,2200,1240,383,1617,1241,314,1553,2326,385,2714,1535,52,1584,908,28,933,623,150,775,1070,17,1090,1772,185,1961,303,622,925,18971,10050,29021
SED10031,131,190,323,109,135,244,134,414,547,139,754,891,539,1644,2182,533,823,1355,1447,646,2093,1272,709,1977,1630,639,2264,1618,416,2029,1233,369,1603,1244,252,1491,2371,350,2717,1621,44,1664,1077,17,1096,712,148,854,1522,11,1538,2024,93,2115,347,447,792,19707,8080,27789
SED10032,335,285,623,121,103,229,240,493,735,209,682,894,730,1009,1741,718,504,1226,1523,460,1979,1376,557,1926,1833,583,2418,1736,429,2161,1507,358,1868,1372,258,1630,2634,355,2992,1630,98,1727,1093,48,1144,660,96,755,1251,65,1322,2025,239,2265,308,316,628,21310,6946,28254
SED10033,136,127,266,82,66,147,82,289,373,95,407,505,375,818,1191,343,480,821,908,449,1356,856,482,1337,1263,544,1810,1305,350,1656,1232,285,1515,1280,189,1471,2497,270,2773,1927,47,1974,1271,23,1294,937,104,1044,1965,17,1980,1888,71,1956,272,261,532,18720,5285,24002
SED10034,98,126,230,65,53,122,66,201,267,53,315,368,318,789,1103,291,473,764,872,389,1265,816,441,1256,1241,507,1745,1254,297,1548,1115,343,1458,1251,279,1533,2859,388,3246,2487,57,2539,1824,20,1840,1274,133,1414,2752,20,2769,1913,101,2015,213,227,443,20760,5152,25916
SED10035,529,1820,2351,119,298,419,167,640,809,135,839,972,455,1171,1629,433,658,1094,857,645,1504,825,872,1697,1127,1109,2240,1240,1038,2276,1157,1075,2233,1167,944,2108,2806,1798,4605,2432,474,2901,1952,359,2317,1588,882,2473,3748,551,4301,1987,945,2930,221,405,624,22962,16524,39483
SED10036,176,127,297,83,47,125,139,206,343,140,396,531,460,684,1142,444,286,731,1112,248,1361,1027,311,1331,1369,367,1730,1476,238,1711,1329,203,1530,1368,160,1524,2804,164,2964,2174,27,2197,1486,13,1498,1034,67,1100,1923,17,1942,1970,64,2028,278,234,508,20767,3853,24620
SED10037,148,143,295,77,82,158,116,196,315,59,332,396,313,703,1018,284,461,747,803,399,1199,788,446,1234,1199,492,1687,1268,377,1648,1108,286,1399,1187,245,1429,2635,395,3024,2157,60,2218,1700,33,1736,1365,141,1506,3689,35,3721,2106,98,2207,184,181,364,21184,5111,26292
SED10038,135,193,325,96,132,224,146,465,610,115,852,964,514,1507,2023,503,686,1191,1423,561,1983,1090,574,1658,1421,596,2012,1365,394,1755,1066,352,1416,1231,294,1523,2446,362,2807,2031,48,2085,1444,25,1466,1005,140,1150,2122,13,2139,2007,156,2157,259,388,646,20404,7729,28130
SED10039,118,129,251,94,83,175,123,315,436,120,563,692,489,1342,1824,516,654,1170,1559,510,2071,1223,545,1771,1602,450,2052,1563,310,1867,1234,269,1499,1267,184,1454,2304,253,2556,1630,31,1665,977,13,985,646,89,735,1234,18,1248,1934,101,2041,256,339,594,18895,6204,25098
SED10040,405,503,901,151,126,278,238,387,625,192,557,748,631,934,1564,653,500,1148,1429,468,1897,1277,571,1848,1664,682,2344,1659,482,2143,1472,442,1905,1511,304,1812,2932,543,3476,2039,95,2138,1333,81,1412,918,139,1059,1807,62,1871,2074,272,2349,242,230,467,22619,7369,29993
SED10041,260,188,450,109,90,203,118,193,313,72,296,370,228,566,794,272,455,724,529,377,900,640,437,1073,970,458,1431,966,353,1320,823,372,1201,955,262,1224,2164,510,2667,1699,42,1745,1398,37,1438,1696,362,2056,6060,40,6096,2251,92,2345,194,185,378,21413,5318,26732
SED10042,110,168,286,88,87,171,133,379,509,137,669,809,533,1602,2138,570,777,1345,1769,591,2354,1358,596,1954,1832,575,2411,1629,328,1959,1275,265,1540,1194,200,1389,2319,237,2553,1584,26,1610,939,16,958,568,88,649,1053,12,1070,1798,115,1907,304,369,673,19186,7098,26282
SED10043,387,305,688,151,114,269,304,605,911,259,880,1141,885,1172,2050,984,474,1457,1938,430,2366,1723,465,2186,2032,427,2455,1804,257,2058,1358,220,1571,1202,152,1351,1996,179,2175,1211,60,1272,766,38,804,517,60,581,874,21,898,2066,209,2273,337,380,718,20772,6435,27208
SED10044,219,250,474,79,104,182,85,306,395,57,531,589,253,862,1115,252,499,753,609,492,1102,610,589,1203,855,670,1522,900,585,1486,803,605,1411,951,545,1495,2199,1081,3279,1844,129,1976,1546,74,1622,1577,646,2226,5941,119,6059,2106,223,2326,212,296,506,21107,8610,29721
SED10045,120,206,330,119,142,258,178,715,893,183,1079,1260,743,2229,2969,840,999,1832,2005,856,2864,1560,849,2408,1994,709,2706,1833,383,2213,1285,234,1520,1226,201,1421,1855,209,2062,1001,28,1025,504,11,520,326,86,407,550,9,561,1792,187,1981,308,461,772,18412,9582,27995
SED10046,288,214,497,119,97,216,244,516,756,234,702,933,758,916,1673,814,332,1149,1561,386,1946,1443,442,1886,1792,467,2259,1711,291,2001,1440,194,1636,1322,125,1445,2512,153,2662,1637,35,1668,1014,17,1028,650,41,696,1057,9,1062,2054,87,2140,367,381,748,21023,5387,26405
SED10047,168,193,364,73,99,173,173,388,570,188,636,822,638,1122,1769,645,471,1121,1627,537,2158,1339,674,2015,1792,643,2439,1907,416,2317,1599,353,1954,1602,204,1805,3095,269,3364,1950,64,2008,1137,26,1161,697,80,772,1096,18,1112,1994,137,2126,434,439,877,22170,6765,28936
SED10048,184,136,318,124,70,194,161,287,447,175,454,633,549,840,1385,593,372,969,1337,325,1666,1264,463,1725,1750,501,2249,1750,365,2120,1640,257,1896,1578,193,1772,3057,227,3283,2007,44,2051,1257,17,1274,790,56,845,1383,14,1397,1927,103,2032,324,249,579,21865,4971,26838
SED10049,122,132,249,83,75,159,116,350,461,162,601,761,536,1326,1857,604,581,1182,1656,502,2156,1273,625,1899,1657,550,2210,1702,357,2059,1464,281,1747,1378,246,1625,2728,302,3033,1898,38,1936,1137,14,1153,679,89,771,1329,17,1344,1907,117,2019,287,396,687,20717,6604,27320
SED10050,133,185,320,53,85,137,59,250,311,42,367,411,194,713,904,212,520,734,432,464,892,532,615,1140,821,727,1552,864,563,1425,815,591,1408,896,511,1412,2142,889,3031,1808,169,1974,1423,138,1559,1798,719,2512,6138,230,6372,2278,396,2674,199,248,445,20842,8368,29213
SED10051,216,415,632,94,167,258,126,571,697,104,908,1015,430,1181,1619,418,562,983,922,518,1440,846,583,1427,1137,630,1765,1093,493,1583,1002,380,1380,1014,330,1340,2339,571,2915,1809,97,1908,1420,58,1478,1185,248,1436,3247,110,3359,2084,318,2400,291,449,739,19774,8586,28358
SED10052,159,169,330,69,82,150,107,296,399,71,523,597,350,1024,1374,331,516,846,836,485,1318,836,483,1316,1234,519,1755,1116,368,1487,1007,352,1354,1074,247,1323,2463,386,2847,2045,62,2103,1579,27,1605,1190,170,1355,3150,22,3173,1879,98,1976,263,297,553,19760,6107,25860
SED10053,111,136,250,63,96,166,116,352,467,104,627,732,382,1151,1535,374,654,1030,980,671,1647,847,762,1602,1214,795,2010,1230,637,1859,1082,530,1608,1167,378,1543,2457,567,3023,1885,53,1939,1459,38,1498,1145,203,1349,2450,39,2488,1989,132,2122,235,348,589,19289,8178,27475
SED10054,188,137,327,78,47,120,202,252,462,212,385,600,540,646,1184,698,281,973,1399,299,1695,1255,391,1650,1603,396,1997,1795,284,2082,1491,192,1684,1552,140,1689,3033,174,3203,1906,30,1934,1158,13,1166,665,37,709,1164,9,1174,1930,75,2005,321,181,501,21183,3972,25159
SED10055,157,94,248,52,31,82,95,121,215,98,184,284,298,385,686,317,178,496,809,182,992,792,250,1042,1191,298,1490,1353,232,1591,1303,221,1524,1471,184,1653,3079,188,3269,2396,26,2417,1671,14,1689,1188,50,1244,2378,22,2397,1948,42,1990,271,104,370,20869,2809,23674
SED10056,215,213,429,134,118,259,187,546,739,180,905,1083,737,1764,2503,660,822,1476,1854,762,2615,1423,874,2295,1929,735,2666,1903,457,2355,1414,286,1701,1381,210,1596,2425,306,2728,1407,52,1459,760,26,781,437,131,560,824,27,853,2127,113,2240,539,731,1268,20527,9079,29600
SED10057,167,187,355,137,145,276,187,633,825,187,1037,1225,923,2479,3403,810,1071,1880,2837,818,3661,1803,811,2617,2162,578,2742,1836,291,2124,1145,199,1348,1078,147,1224,1523,152,1675,856,23,880,393,8,404,261,96,364,420,12,437,1772,117,1887,466,638,1108,18978,9450,28429
SED10058,105,210,317,53,132,189,112,670,783,115,1060,1172,379,1762,2143,441,871,1312,1087,849,1941,936,917,1851,1262,1013,2274,1283,814,2091,987,650,1639,1079,518,1599,2133,826,2952,1725,177,1904,1106,108,1213,742,331,1074,1929,92,2018,1738,495,2234,192,496,686,17411,11998,29406
SED10059,204,1470,1678,65,294,357,109,884,989,79,1192,1269,273,1334,1610,224,728,954,515,750,1267,457,855,1313,674,1105,1778,697,1095,1794,642,1034,1674,720,929,1650,1872,1866,3738,1587,528,2115,1401,372,1771,1246,1056,2305,3820,776,4598,1444,1166,2609,138,488,619,16170,17920,34093
SED10060,161,323,482,64,122,188,63,281,340,49,438,490,137,708,843,165,587,748,314,594,910,372,816,1188,602,967,1563,687,986,1671,645,1062,1712,689,929,1616,1993,1999,3989,1648,208,1861,1419,174,1589,1954,1817,3774,6742,320,7063,2108,427,2531,156,330,489,19974,13089,33061
SED10061,209,214,417,133,120,255,229,620,851,199,926,1126,780,1931,2715,732,874,1599,1968,862,2832,1513,812,2320,1816,692,2507,1821,436,2258,1255,309,1560,1249,242,1488,2009,303,2317,1151,37,1189,670,19,682,400,135,532,732,10,742,1956,178,2130,454,652,1106,19270,9360,28630
SED10062,204,206,407,78,73,155,110,300,414,110,455,563,348,910,1264,366,460,830,977,422,1395,878,482,1356,1361,517,1880,1298,396,1702,1130,306,1439,1186,248,1433,2486,358,2849,1839,50,1886,1353,28,1381,1078,162,1239,2871,32,2898,1891,120,2010,239,280,523,19795,5803,25599
SED10063,149,197,347,117,136,257,139,540,681,146,941,1086,620,1726,2349,653,756,1407,1632,709,2341,1250,738,1986,1691,678,2376,1648,448,2098,1209,339,1551,1309,252,1564,2374,324,2695,1526,42,1569,975,33,1007,563,141,709,1138,28,1163,1954,114,2068,401,547,942,19504,8693,28197
SED10064,144,167,312,126,115,240,177,648,824,197,1051,1250,781,2326,3110,879,944,1822,2551,767,3317,1764,735,2501,2063,576,2638,1820,283,2100,1213,165,1377,1122,137,1250,1641,163,1797,853,20,875,455,6,455,253,69,327,419,13,429,1832,121,1958,423,636,1063,18711,8939,27646
SED10065,360,352,714,122,146,270,210,573,783,172,861,1036,588,1012,1596,616,519,1134,1269,566,1834,1227,746,1971,1809,826,2634,1928,669,2593,1758,561,2318,1827,501,2323,3598,737,4335,2407,180,2592,1651,125,1773,1252,225,1479,2130,166,2297,2091,293,2376,213,347,564,25232,9395,34622
SED10066,146,174,321,46,81,128,127,362,487,118,642,762,432,1257,1687,511,614,1120,1239,514,1750,1070,644,1711,1534,739,2278,1544,518,2064,1356,387,1747,1417,290,1702,3012,358,3370,2040,65,2110,1309,39,1349,860,112,968,1575,28,1601,1638,132,1777,260,378,642,20239,7327,27568
SED10067,124,160,279,63,82,147,67,233,301,51,355,404,236,777,1017,183,609,794,581,499,1087,637,520,1161,1060,580,1647,1057,408,1467,885,343,1225,990,247,1236,2151,431,2582,1799,50,1854,1347,26,1375,1298,334,1634,3879,40,3922,2256,116,2369,231,295,532,18909,6114,25021
SED10068,155,216,367,88,114,205,116,481,594,144,985,1131,690,2227,2915,730,1092,1828,2526,791,3314,1758,795,2549,2100,637,2739,1883,361,2244,1176,258,1434,1173,187,1354,1978,260,2242,1281,43,1323,689,19,710,418,123,541,796,22,817,1744,136,1884,368,644,1011,19809,9392,29200
SED10069,151,178,326,96,93,195,142,371,510,138,674,814,661,1636,2294,604,799,1410,1939,608,2550,1446,666,2113,1863,597,2457,1708,332,2040,1247,260,1501,1190,178,1362,2097,214,2318,1390,24,1414,778,3,780,442,107,543,898,14,911,1898,108,2005,320,433,753,19001,7285,26292
SED10070,253,177,428,96,66,163,131,274,407,115,494,616,575,829,1408,486,329,817,1328,305,1634,1145,358,1504,1530,365,1890,1553,240,1791,1334,247,1575,1354,158,1511,2843,191,3030,1977,40,2020,1259,18,1278,876,55,932,1512,17,1532,1819,89,1911,313,221,533,20492,4478,24970
SED10071,136,124,259,57,34,90,69,115,187,71,186,260,258,381,637,310,222,535,687,172,857,709,248,953,1081,291,1372,1276,261,1532,1244,201,1445,1435,193,1628,3541,272,3816,2881,42,2918,2227,25,2251,1682,87,1769,3025,26,3051,1923,78,2008,195,126,318,22806,3078,25887
SED10072,291,419,712,121,128,253,178,385,557,124,582,703,501,1130,1633,428,639,1069,1245,594,1840,1063,730,1790,1426,799,2221,1497,623,2124,1321,574,1901,1290,440,1732,2872,785,3654,2007,175,2183,1464,107,1576,1057,280,1341,2129,99,2225,2062,320,2382,257,339,594,21333,9156,30485
SED10073,425,626,1052,137,158,296,181,449,635,130,586,719,438,1083,1521,433,622,1057,1051,599,1653,1020,723,1741,1504,882,2385,1569,697,2262,1432,653,2086,1399,520,1924,3107,839,3942,2246,166,2412,1646,86,1732,1420,332,1746,3045,115,3156,1956,278,2234,174,271,453,23311,9693,33004
SED10074,170,193,365,92,78,169,139,320,458,107,514,622,438,1030,1463,445,493,937,1152,439,1593,947,470,1411,1444,523,1971,1486,371,1851,1433,369,1800,1461,294,1750,3258,422,3682,2315,67,2380,1686,36,1716,1213,141,1351,2099,35,2133,1762,144,1905,244,323,566,21881,6252,28138
SED10075,157,155,314,104,84,188,153,363,515,175,784,952,648,1581,2231,675,661,1337,2160,476,2643,1406,542,1952,1855,530,2382,1789,288,2079,1505,238,1735,1483,178,1659,2775,240,3014,1831,33,1869,1067,7,1071,671,74,744,1164,8,1172,1965,97,2066,310,403,715,21888,6742,28632
SED10076,167,183,346,110,111,224,166,548,720,183,986,1174,837,2103,2937,728,966,1693,2629,702,3326,1725,687,2413,2053,579,2634,1793,322,2117,1152,248,1402,1038,170,1212,1595,188,1780,926,8,935,508,9,516,257,86,343,475,9,487,1791,108,1898,391,638,1024,18511,8667,27179
SED10077,383,629,1010,143,141,289,191,362,550,155,577,738,425,868,1298,483,549,1032,1100,514,1621,1000,616,1616,1472,725,2192,1412,585,2001,1285,505,1791,1301,386,1686,2736,712,3447,1969,224,2191,1441,137,1580,1111,249,1358,2971,253,3220,2044,452,2499,203,277,487,21834,8763,30600
SED10078,207,336,547,113,133,245,130,463,599,101,616,715,374,1010,1381,360,623,986,925,599,1520,770,753,1526,1177,983,2157,1201,810,2012,1058,782,1835,1071,665,1736,2418,1164,3577,1931,264,2192,1506,141,1646,1199,379,1574,3007,158,3168,1625,481,2107,173,315,494,19337,10671,30008
SED10079,136,176,313,81,92,168,119,394,516,163,745,900,637,1996,2627,587,875,1468,2170,596,2767,1361,631,1990,1834,540,2370,1669,321,1985,1249,248,1499,1245,149,1396,2214,198,2414,1510,37,1545,890,16,904,548,104,647,1031,16,1044,1826,98,1920,349,536,886,19604,7771,27374
SED10080,263,911,1172,80,216,295,109,489,595,65,723,787,204,971,1169,220,851,1070,453,896,1351,459,1294,1746,753,1666,2417,792,1495,2291,715,1475,2193,797,1250,2045,2022,2831,4855,1533,460,1992,1325,344,1666,1576,2672,4251,5384,911,6298,1792,1058,2850,170,388,556,18718,20894,39612
