SED_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_650_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
SED10001,23,34,189,16,91,139,491,23,45,35,30,17,5,163,408,312,213,26,45,11,1012,1103,152,369,42,63,12,1749,615,62,264,15,32,10,996,1221,82,304,10,34,4,1653,1239,23,217,8,28,5,1516,652,0,85,3,5,4,752,90,0,24,0,0,0,118,12,0,3,0,0,0,12,3,0,4,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,12,0,0,0,16,85,50,74,14,44,16,278,5471,766,1794,169,367,197,8769
SED10002,47,97,176,7,12,72,412,5,83,8,21,4,0,117,32,512,56,26,14,3,641,55,338,87,66,12,6,555,58,147,56,22,10,3,297,165,148,81,22,29,0,449,685,90,200,25,30,5,1038,2612,95,463,30,94,16,3312,3141,40,435,3,87,14,3719,1426,7,219,7,34,3,1688,419,4,56,3,10,0,489,181,3,35,0,3,0,223,47,0,7,0,0,0,56,49,0,18,0,0,0,65,184,101,137,37,42,24,514,9109,1662,2020,264,383,156,13591
SED10003,8,17,143,6,15,143,337,0,21,6,17,5,0,47,21,264,83,50,33,6,459,63,157,133,48,44,3,449,70,68,175,12,35,3,365,229,53,248,8,51,8,609,772,48,421,12,28,12,1291,1245,28,601,14,37,10,1935,837,6,336,4,13,5,1202,436,3,167,0,7,0,623,182,0,81,0,7,0,270,70,0,31,0,0,0,105,41,0,15,0,4,0,59,42,0,21,0,0,0,68,54,41,97,16,11,11,235,4075,720,2565,184,300,200,8044
SED10004,24,123,146,9,17,78,405,0,122,3,11,0,0,138,15,982,18,38,3,10,1062,43,281,46,74,11,8,455,61,157,39,19,0,0,287,221,102,89,31,17,3,469,560,99,167,22,35,4,891,1108,94,285,28,40,4,1565,1608,31,278,22,16,4,1954,1875,16,321,3,20,3,2235,1658,18,245,3,12,3,1936,1220,3,201,0,3,10,1441,651,3,109,0,6,0,773,1001,0,244,0,19,0,1264,182,108,125,18,15,14,465,10226,2143,2308,300,211,147,15341
SED10005,20,182,142,17,11,76,446,0,144,4,11,7,0,165,9,1012,40,26,12,4,1102,36,564,58,71,20,5,752,37,271,59,22,8,3,392,93,218,73,25,24,0,436,302,209,163,54,28,4,766,2372,178,439,32,98,14,3137,1317,78,330,10,75,19,1830,394,5,91,0,13,3,510,163,5,18,0,9,0,195,24,3,10,0,3,0,39,6,0,3,0,0,0,12,21,0,0,0,0,0,24,100,167,99,20,29,28,440,4893,3036,1526,286,335,157,10246
SED10006,20,113,410,71,649,383,1634,12,84,70,118,107,13,403,215,305,445,174,168,32,1347,622,341,615,212,242,26,2063,372,153,369,39,67,10,1021,376,82,305,32,70,5,874,277,21,192,7,53,4,550,189,6,74,3,24,0,296,20,0,7,0,7,0,39,6,0,5,0,0,0,14,0,0,6,0,0,0,4,0,0,3,0,0,0,4,0,0,0,0,0,0,4,4,0,9,0,8,0,26,37,55,160,33,132,25,438,2153,1165,2672,692,1526,504,8716
SED10007,20,63,165,14,76,141,480,4,52,23,6,5,0,94,132,368,136,22,32,12,702,453,202,227,25,26,13,942,413,105,241,9,20,4,788,1008,88,295,8,21,8,1425,1349,83,297,21,23,7,1793,903,13,126,15,7,3,1080,103,0,6,0,0,0,117,7,0,6,0,0,0,13,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,7,0,0,0,8,74,63,67,21,36,15,274,4479,1035,1609,152,247,195,7723
SED10008,5,0,46,9,10,36,100,0,3,0,0,0,0,3,11,15,7,20,0,0,55,4,16,9,23,3,0,52,8,8,8,3,0,0,37,21,3,25,5,21,0,73,36,12,47,0,12,0,103,251,4,101,3,10,0,374,922,4,142,6,11,0,1084,1038,3,90,3,3,0,1137,510,0,42,3,0,0,556,192,0,28,4,0,0,231,85,0,11,0,0,0,100,90,0,22,0,0,0,113,39,3,40,22,4,3,116,3204,75,616,100,80,44,4121
SED10009,5,20,170,3,45,140,394,4,31,15,15,15,0,78,45,244,156,51,26,12,532,274,167,248,60,49,9,808,316,62,261,16,25,7,700,747,67,340,18,29,12,1209,1055,81,406,10,30,11,1591,757,9,203,7,15,4,1001,66,0,29,0,4,0,96,8,0,7,0,0,0,13,3,0,3,0,0,0,10,0,0,3,0,0,0,5,0,0,0,0,0,0,3,7,0,7,0,0,0,17,52,46,78,11,25,7,217,3334,736,1914,207,274,204,6666
SED10010,7,134,97,14,5,66,322,0,108,0,5,0,4,123,9,760,28,14,10,3,824,40,398,56,19,0,0,517,50,187,55,16,3,8,316,125,163,94,17,10,3,409,594,206,231,24,17,0,1083,3593,196,576,8,71,16,4465,1241,17,200,3,25,3,1491,198,0,30,0,6,0,233,41,0,13,0,0,0,53,11,0,3,0,3,0,11,3,0,0,0,0,0,3,11,0,0,0,0,0,10,110,143,77,11,14,14,372,6024,2330,1466,127,167,121,10234
