SED_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SED10041,1538,9867,10581,2948,1262,26199,529,26732
SED10042,1342,8901,9652,3491,1940,25335,949,26282
SED10043,3480,10545,7749,2602,1540,25918,1294,27208
SED10044,2918,12324,10093,2485,1197,29019,703,29721
SED10045,1673,10384,9868,3208,1640,26774,1220,27995
SED10046,3071,8623,8301,3268,1877,25142,1259,26405
SED10047,2424,10065,9758,3329,2081,27667,1270,28936
SED10048,1739,9347,9701,3266,1916,25969,868,26838
SED10049,1384,8578,10973,3599,1910,26447,867,27320
SED10050,2507,12507,10066,2381,989,28451,758,29213
SED10051,3828,11017,8873,2300,1073,27093,1265,28358
SED10052,1682,8294,10136,3102,1936,25151,712,25860
SED10053,1182,8604,10217,3934,2483,26422,1048,27475
SED10054,1879,8338,8936,3366,1652,24170,992,25159
SED10055,440,4909,9885,4494,3338,23073,600,23674
SED10056,1635,9230,11038,3920,2229,28050,1552,29600
SED10057,1833,11389,9581,2961,1280,27048,1382,28429
SED10058,3222,11697,9956,2485,993,28340,1061,29406
SED10059,12143,14873,4584,748,283,32635,1455,34093
SED10060,5281,17118,7851,1494,554,32294,768,33061
SED10061,1995,9885,9812,3534,1995,27228,1402,28630
SED10062,2185,9346,9050,2867,1464,24915,684,25599
SED10063,1759,9296,10385,3563,1918,26924,1279,28197
SED10064,1550,10399,9622,3173,1533,26279,1371,27646
SED10065,4961,14691,10105,2503,1219,33485,1138,34622
SED10066,2203,9534,9970,3126,1774,26606,963,27568
SED10067,1115,7514,10438,3335,1857,24265,761,25021
SED10068,1742,11725,10342,2845,1290,27952,1246,29200
SED10069,1074,9295,9709,3217,1829,25125,1165,26292
SED10070,1553,8091,9354,3348,1818,24160,804,24970
SED10071,617,6771,12237,3785,1875,25273,614,25887
SED10072,4107,13087,8662,2310,1153,29325,1163,30485
SED10073,4216,14782,9652,2372,1089,32107,895,33004
SED10074,2248,10413,10094,3042,1460,27263,873,28138
SED10075,1654,9472,10630,3706,2084,27548,1085,28632
SED10076,1372,10872,9611,2696,1326,25880,1297,27179
SED10077,5078,12807,8039,2319,1151,29398,1206,30600
SED10078,5560,14323,6908,1462,637,28885,1121,30008
SED10079,1544,9826,9956,3217,1709,26262,1115,27374
SED10080,16524,16444,4278,497,217,37956,1654,39612
SED10081,1642,9303,10365,3596,1971,26882,1387,28267
SED10082,1251,8670,10406,3529,1838,25696,781,26482
SED10083,1863,9693,9509,3011,1661,25739,1044,26785
SED10084,1799,11750,10260,2974,1424,28212,1300,29512
SED10085,1265,8260,10352,3943,2224,26040,1064,27104
SED10086,4539,13089,8884,1976,820,29312,1066,30375
SED10087,1578,9346,10388,3457,1824,26586,1087,27671
SED10088,1921,9084,10413,3117,1609,26149,806,26951
SED10089,2202,10642,10779,3380,1648,28644,967,29613
SED10090,4030,14355,9189,1910,698,30179,751,30938
SED10091,752,6532,9398,4147,3208,24035,855,24890
SED10092,3889,12143,9305,3011,1489,29842,1502,31340
SED10093,1754,9392,9448,3305,1881,25777,1192,26971
SED19494,0,0,0,0,0,0,0,0
SED19797,0,0,0,0,0,0,0,0
SED20106,7266,16747,6989,1034,366,32402,1012,33414
SED20207,1303,10297,12952,3349,1536,29440,766,30207
SED20302,1208,8997,10263,3162,1545,25174,1069,26244
SED20401,1077,7740,9087,2787,1433,22129,685,22812
SED20508,631,7251,9301,2738,1387,21301,708,22012
SED20604,1060,7434,9373,3218,1744,22818,858,23681
SED20704,1086,7394,9184,3189,1701,22552,853,23396
SED20804,1480,8210,8265,2808,1529,22287,1007,23289
SED20906,1465,7834,8841,2114,915,21168,640,21805
SED21001,2372,9902,9010,2218,1037,24532,662,25197
SED21106,1576,9211,9156,2152,942,23032,615,23651
SED21203,2066,7713,6997,2485,1270,20538,1199,21741
SED21303,5178,13720,6838,1519,600,27858,895,28750
SED21401,1009,6875,9120,2838,1497,21335,602,21938
SED21503,1463,7182,8153,2543,1275,20614,637,21255
SED21608,1018,6458,8025,3175,2074,20751,872,21621
SED21706,1861,7979,9170,2454,984,22447,579,23027
SED21805,1365,8554,10262,2795,1350,24330,919,25244
SED21906,2939,10602,8382,1736,762,24420,700,25117
SED22005,2288,9392,8665,2609,1195,24154,945,25095
SED22105,805,8183,13835,4084,1851,28762,946,29711
SED22201,1019,7317,8711,2622,1391,21054,601,21658
SED22305,2320,8827,7791,2626,1457,23021,1247,24267
SED22404,626,5928,7820,3426,2371,20170,975,21144
SED22501,543,5227,9048,3107,1944,19868,390,20255
SED22607,3281,10593,7861,1989,950,24673,899,25571
SED22704,1051,7335,8690,3531,2433,23040,1144,24191
SED22802,568,4988,8165,3123,2151,18998,505,19510
SED22901,853,5926,8468,2941,1511,19701,507,20211
SED23007,3912,11917,8557,2328,995,27709,1247,28953
SED23101,1153,6692,8922,2454,1132,20345,504,20852
SED23205,1909,8971,8413,2243,1086,22624,1013,23637
SED23308,2258,10365,8769,2239,968,24599,939,25531
SED23402,640,6138,9766,3460,2266,22269,601,22868
SED23502,1010,7435,8454,3078,1724,21708,1159,22866
SED23602,1001,6946,7946,2931,1710,20544,826,21368
SED23702,765,6638,9258,3716,2687,23059,777,23837
SED23806,2778,10299,8402,2051,897,24429,656,25086
SED23901,1761,8828,8970,2301,1004,22868,701,23564
SED24006,1118,7280,8824,2627,1196,21040,494,21535
SED24105,1266,6548,8544,3268,1557,21191,808,21997
SED24207,900,6816,10643,3553,1685,23603,891,24491
SED24308,1975,8328,8178,2703,1416,22598,1090,23684
SED24408,1183,7070,7781,3175,2216,21421,982,22404
SED24504,544,5129,8339,3343,2231,19587,701,20288
SED24606,2201,8886,7919,1980,1026,22021,624,22641
SED24703,23479,16258,5084,779,269,45867,1890,47756
SED24808,1179,8249,10474,3508,1946,25362,1049,26407
SED24904,1497,7457,8212,2984,1880,22025,1214,23241
SED25003,700,6066,9135,3258,1931,21087,611,21703
SED25102,434,4709,8397,3200,2175,18909,447,19364
SED25205,1368,8289,9493,2400,1086,22644,634,23276
SED25302,774,6754,9523,2944,1444,21434,708,22143
SED25402,1568,8305,8778,3020,1663,23323,1078,24396
SED25501,1027,7125,8763,2690,1101,20704,480,21182
SED25605,1160,6750,8509,2723,1373,20507,684,21192
SED25704,1231,7026,8570,3254,1991,22071,1141,23216
SED25802,1207,7386,8964,3504,2402,23465,992,24457
SED25905,690,5552,8638,3323,2084,20282,658,20937
SED26005,505,5697,10894,3840,2069,23002,638,23643
SED26102,1044,8318,9177,2572,1146,22253,1155,23407
SED26207,1230,6806,8619,2686,1355,20695,722,21415
SED26303,3295,11494,7375,1524,584,24263,742,25011
SED26406,3202,10843,8311,1980,876,25211,781,25994
SED26504,1105,7084,7879,2757,1702,20528,1105,21630
SED26603,2777,11342,8718,2268,1075,26186,915,27103
SED26708,854,6371,8257,3353,2222,21051,932,21983
SED26806,7709,17377,6585,1011,366,33049,1106,34152
SED26903,3298,11112,7330,1906,831,24471,1119,25582
SED27003,6543,15051,6415,1155,306,29477,1104,30580
SED27101,1485,8947,9034,2185,999,22649,602,23257
SED27208,1314,7615,8656,3309,2228,23121,1213,24335
SED27305,320,3929,7942,3188,2060,17436,388,17824
SED27406,1296,8280,8875,2180,970,21601,567,22169
SED27504,1405,8129,9078,3255,1841,23714,1138,24856
SED27608,750,6769,10864,3152,1686,23221,637,23854
SED27708,1187,7646,8899,2990,1728,22446,991,23443
SED27807,2422,8699,7703,2891,1443,23159,1307,24472
SED27907,886,6581,8516,3044,1743,20761,610,21372
SED28007,590,5291,9887,3863,2282,21912,579,22492
SED28107,753,8806,12392,3724,1817,27496,824,28323
SED28203,1634,7622,8236,2693,1305,21490,876,22368
SED28301,579,4930,8462,3223,2072,19274,492,19760
SED28408,1615,8349,8004,2243,1034,21240,832,22074
SED28507,1373,8370,8931,2813,1425,22907,790,23697
SED28607,2389,10675,9622,2095,816,25592,786,26380
SED28704,428,5945,11899,3915,2532,24713,585,25299
SED28803,643,6600,11055,3931,2437,24665,660,25324
SED29494,0,0,0,0,0,0,0,0
SED29797,0,0,0,0,0,0,0,0
SED30001,365,5221,9694,3679,2110,21065,526,21590
SED30002,541,5090,7323,2663,1281,16898,423,17325
SED30003,911,5545,6618,1874,806,15747,349,16100
SED30004,817,4853,6489,2149,1070,15381,385,15766
SED30005,719,7462,9370,2686,1088,21317,625,21938
SED30006,439,5087,7635,3334,2314,18812,642,19450
SED30007,5598,12331,5437,1046,401,24815,861,25674
SED30008,1407,9230,7209,1787,792,20425,792,21216
SED30009,690,5700,7383,2465,1195,17445,489,17935
SED30010,1065,7275,7549,1963,787,18637,463,19102
SED30011,1610,6989,5402,1525,654,16174,810,16988
SED30012,1018,8090,10130,3100,1372,23706,739,24446
SED30013,784,5356,6586,2331,1158,16212,756,16967
SED30014,1050,7176,7613,2159,916,18913,688,19598
SED30015,489,6073,7100,2442,1274,17380,667,18044
SED30016,2697,9281,6579,1730,762,21046,1219,22270
SED30017,809,5032,5797,2560,1648,15849,817,16665
SED30018,1008,7042,7181,2270,1137,18632,605,19238
SED30019,641,4848,6730,2553,1483,16252,444,16699
SED30020,772,5355,7472,2387,1295,17280,333,17616
SED30021,1901,8762,7028,1782,763,20240,574,20813
SED30022,915,5801,7081,2580,1360,17731,544,18274
SED30023,553,4762,7464,3275,2233,18288,624,18910
SED30024,2410,5326,4849,1665,847,15102,943,16041
SED30025,859,7901,10209,3382,1619,23971,738,24707
SED30026,974,6363,6708,2176,1227,17449,630,18080
SED30027,769,5651,6212,2278,1244,16152,736,16885
SED30028,764,4936,6846,2212,1214,15977,327,16307
SED30029,438,4066,6676,2364,1403,14957,298,15252
SED30030,649,5497,8081,3002,1698,18920,601,19524
SED30031,795,5709,7928,2797,1292,18526,543,19067
SED30032,351,4982,7384,3120,2181,18015,545,18560
SED30033,1399,6715,6595,1724,786,17214,442,17659
SED30034,635,4171,5037,2042,1336,13220,600,13817
SED30035,894,6454,6730,2459,1352,17894,694,18589
SED30036,1364,8912,6737,1973,823,19810,864,20673
SED30037,566,5717,8101,2678,1213,18272,754,19031
SED30038,1218,5834,6200,2283,1130,16656,733,17391
SED30039,1916,6988,5735,1611,662,16908,398,17304
SED30040,1420,6500,6587,2265,1072,17854,667,18527
SED30041,934,5625,6712,2810,1839,17921,594,18519
SED30042,715,5915,7385,2490,1344,17849,451,18304
SED30043,827,7109,7445,2361,1023,18754,549,19305
SED30044,811,6065,7506,2644,1345,18372,779,19148
SED30045,505,4069,6865,3255,2407,17099,758,17857
SED30046,346,3562,5924,2823,2283,14946,409,15354
SED30047,1130,6230,6912,2228,976,17481,692,18169
SED30048,1444,6143,5621,1835,712,15755,628,16379
SED30049,968,5137,6159,2043,1068,15375,373,15742
SED30050,1175,8776,7688,2036,809,20487,752,21236
SED30051,1105,6889,6729,2429,1237,18384,841,19222
SED30052,968,6957,7874,2326,1028,19147,617,19771
SED30053,481,4488,7087,2991,1758,16810,834,17637
SED30054,341,3905,7042,2528,1361,15169,307,15475
SED30055,752,5089,7055,2799,1801,17487,484,17965
SED30056,1773,7202,5753,1513,661,16904,477,17377
SED30057,972,3371,3525,1271,761,9900,625,10520
SED30058,567,4967,6982,2136,889,15547,250,15799
SED30059,470,5512,7874,2847,1618,18323,650,18970
SED30060,1049,5710,6602,2134,1039,16538,679,17217
SED30061,1056,5396,5920,1960,877,15205,460,15665
SED30062,964,8265,9863,3063,1556,23706,679,24387
SED30063,724,6071,6675,2643,1681,17788,784,18575
SED30064,797,5833,7188,2543,1518,17878,574,18449
SED30065,738,6787,7951,2398,1099,18977,647,19617
SED30066,1802,8368,7335,1926,840,20271,682,20949
SED30067,678,5098,7387,2843,1597,17605,385,17991
SED30068,1600,8744,6901,2144,1123,20521,883,21408
SED30069,1862,8070,6461,2003,1014,19403,753,20158
SED30070,852,5420,7019,2744,1619,17655,513,18167
SED30071,1512,6623,6113,1996,887,17138,729,17867
SED30072,1210,6827,6892,2078,922,17937,530,18469
SED30073,3468,10428,5671,1332,554,21445,772,22219
SED30074,982,5912,6594,2562,1537,17590,755,18345
SED30075,1959,8883,7107,2127,985,21051,1093,22145
SED30076,475,4674,7127,2665,1497,16437,337,16772
SED30077,1595,7248,6592,1720,679,17835,567,18403
SED30078,565,5239,7959,2579,1192,17536,487,18025
SED30079,1253,6322,6161,2154,1006,16899,824,17724
SED30080,1912,9636,7410,1898,835,21691,846,22537
SED30081,643,5243,7361,2463,1206,16915,536,17452
SED30082,1385,7098,6808,2147,1019,18447,626,19077
SED30083,1473,7705,6855,1906,797,18743,705,19447
SED30084,1931,7903,6486,1678,700,18691,699,19385
SED30085,701,4308,4921,2193,1531,13646,682,14329
SED30086,1525,7378,7675,2732,1328,20641,838,21480
SED30087,710,5925,8231,2819,1269,18948,838,19785
SED30088,1603,6767,6491,2322,1122,18291,874,19172
SED30089,1592,7269,6744,1837,850,18297,546,18841
SED39494,0,0,0,0,0,0,0,0
SED39797,0,0,0,0,0,0,0,0
SED40001,3322,6624,4165,1043,474,15629,546,16170
SED40002,1349,5785,4675,1253,572,13639,401,14039
SED40003,596,4056,5196,1598,778,12226,254,12477
SED40004,740,4436,5083,1581,660,12496,330,12828
SED40005,747,4326,4845,1918,1251,13083,579,13666
SED40006,1755,5854,4886,1460,645,14603,563,15168
SED40007,1022,4917,4907,1541,772,13149,386,13536
SED40008,1571,5392,4487,1300,555,13311,481,13792
SED40009,341,3389,5487,1789,862,11868,251,12121
SED40010,1589,6258,4720,1199,514,14282,380,14655
SED40011,1846,6174,4546,1200,472,14235,493,14735
SED40012,1723,5488,4690,1368,613,13885,527,14416
SED40013,592,5212,4946,1551,804,13105,459,13564
SED40014,420,4042,5245,1910,970,12583,265,12852
SED40015,679,3899,4758,1769,946,12053,512,12566
SED40016,783,4791,4459,1278,622,11936,327,12259
SED40017,921,4787,4730,1828,1174,13444,513,13958
SED40018,1519,4528,4071,1416,677,12209,576,12777
SED40019,553,4452,4910,1802,1127,12839,519,13356
SED40020,770,4958,4521,1663,966,12874,528,13403
SED40021,1431,5793,4777,1295,584,13882,425,14310
SED40022,275,3199,5461,2100,1299,12334,288,12626
SED40023,681,5193,5506,1616,668,13665,445,14115
SED40024,468,3849,5414,2049,1170,12944,369,13314
SED40025,1201,5681,4957,1388,636,13864,414,14271
SED40026,751,4429,5271,1847,1152,13439,397,13834
SED40027,1871,5638,4402,1450,733,14093,662,14750
SED40028,521,3606,4695,2000,1228,12048,469,12515
SED40029,709,4297,4869,1685,882,12438,376,12821
SED40030,856,4916,5314,1629,662,13366,339,13710
SED40031,537,4000,5196,1756,993,12482,336,12816
SED40032,1179,5403,4754,1222,532,13087,370,13464
SED40033,783,4426,4760,1681,940,12597,456,13057
SED40034,1260,5129,4858,1450,695,13399,535,13934
SED40035,466,3867,5351,1766,846,12292,240,12535
SED40036,871,4954,4968,1459,684,12939,382,13318
SED40037,1196,5696,5647,1709,728,14980,440,15422
SED40038,1441,5323,4343,1445,672,13226,556,13784
SED40039,1279,5801,4438,1315,564,13406,543,13948
SED40040,400,3845,5189,2108,1368,12914,352,13264
SED40041,813,4203,4176,1787,1122,12103,523,12625
SED40042,522,4141,5317,1926,1038,12947,395,13341
SED40043,1213,5833,5563,1333,507,14450,407,14862
SED40044,1215,5614,4821,1218,512,13385,351,13740
SED40045,725,4254,5071,1566,774,12385,297,12680
SED40046,1673,6165,4512,1255,499,14100,450,14555
SED40047,672,4323,4972,1736,861,12562,310,12877
SED49494,0,0,0,0,0,0,0,0
SED49797,0,0,0,0,0,0,0,0
SED50106,604,4188,4986,1904,1244,12927,501,13425
SED50205,529,4186,5482,1762,871,12828,270,13105
SED50302,1029,5603,5779,2003,1171,15583,595,16183
SED50404,1124,6358,5752,1561,767,15558,469,16030
SED50502,848,4664,5083,1834,1017,13451,441,13889
SED50605,500,3629,4907,1842,966,11840,269,12113
SED50702,1107,5757,5577,1633,866,14929,625,15556
SED50806,911,5108,5193,1570,663,13449,481,13929
SED50904,780,8290,10486,3285,1469,24313,711,25023
SED51005,916,5669,6030,2059,1112,15789,545,16333
SED51104,297,2948,5837,1781,991,11866,212,12080
SED51201,590,3632,4306,1926,1646,12100,523,12624
SED51304,721,4706,6114,1862,958,14358,416,14776
SED51405,565,4585,7208,2448,1320,16127,399,16524
SED51506,375,3544,5562,2391,1428,13304,398,13701
SED51604,768,4834,5568,1668,771,13603,356,13961
SED51702,224,4047,8924,3645,2804,19639,383,20026
SED51806,464,5327,6054,1914,971,14726,450,15175
SED51903,823,5132,6502,2607,1574,16645,738,17378
SED52002,505,4463,5756,2388,1541,14652,432,15080
SED52105,1278,6100,5896,1549,679,15505,582,16089
SED52201,718,4153,5082,1961,1115,13030,499,13529
SED52304,508,4089,6559,2627,1344,15117,390,15509
SED52402,791,4907,5245,2053,1182,14189,441,14630
SED52504,282,2779,5415,2040,1163,11679,225,11906
SED52605,310,3283,6099,2256,1263,13207,240,13447
SED52704,480,4136,5449,1972,995,13033,310,13341
SED52802,402,3197,4857,2176,1620,12249,302,12550
SED52903,258,342,173,48,29,855,84,932
SED53003,1671,3179,2964,1042,564,9423,611,10031
SED53104,345,3202,5244,1969,1039,11793,224,12020
SED53205,860,6836,8715,2927,1489,20818,604,21423
SED53306,952,6239,5413,1847,991,15445,585,16023
SED53402,1355,6672,5867,1524,637,16053,470,16519
SED53502,960,4942,5303,1990,1194,14390,467,14864
SED53602,985,5059,5456,2094,1159,14757,600,15362
SED53701,353,3269,4725,2335,1901,12586,574,13161
SED53802,757,4958,5558,1743,979,13990,415,14412
SED53902,1123,6409,5531,1505,697,15258,444,15701
SED54006,289,3704,5576,2460,1653,13682,461,14149
SED54104,1157,5906,5397,1412,655,14534,330,14865
SED54203,393,1983,1917,706,447,5453,352,5813
SED54304,210,3029,6161,2598,1496,13497,220,13715
SED54404,2985,10432,5926,1183,471,20998,640,21633
SED54503,629,3164,4769,1918,939,11431,562,11991
SED54605,401,3677,5456,2000,1042,12586,249,12834
SED54705,1009,5589,4996,1721,824,14138,535,14672
SED54804,823,5889,6749,1727,669,15852,438,16295
SED54905,885,5861,5774,1540,726,14790,361,15154
SED55005,212,3516,7245,2850,1608,15431,269,15695
SED55102,239,2986,6325,2976,2516,15037,347,15388
SED55206,446,4372,5668,2023,988,13496,464,13956
SED55305,1723,7315,6058,1681,797,17579,682,18263
SED55401,489,3127,4072,1977,1784,11450,563,12015
SED55504,386,3953,6739,2497,1525,15100,345,15444
SED55605,398,5175,8684,3024,1548,18831,444,19275
SED55706,484,4387,5834,2289,1379,14367,483,14849
SED55802,412,4801,8116,2944,1612,17876,428,18311
SED55905,983,4894,5228,1698,839,13649,458,14103
SED59494,0,0,0,0,0,0,0,0
SED59797,0,0,0,0,0,0,0,0
SED60101,147,1154,1441,650,474,3860,153,4013
SED60106,1009,4843,4463,1413,727,12457,392,12847
SED60112,472,3292,3443,1162,598,8964,248,9219
SED60115,1468,4780,4075,1475,792,12598,611,13213
SED60207,970,4660,4361,1585,804,12373,509,12882
SED60208,835,4496,4394,1638,833,12194,496,12686
SED60209,838,4468,4556,1630,784,12279,535,12820
SED60214,0,8,31,23,5,66,0,66
SED60302,217,1299,1334,451,256,3561,124,3685
SED60303,1902,5887,4282,1325,677,14072,618,14686
SED60304,1656,6020,4016,1063,424,13177,388,13567
SED60305,0,34,61,25,23,142,0,147
SED60310,522,3099,3033,961,443,8059,230,8291
SED60402,25,339,563,256,134,1312,28,1346
SED60405,358,3970,5356,1965,1101,12756,385,13140
SED60410,285,1790,1540,408,163,4186,121,4313
SED60411,920,5117,4985,1507,651,13184,430,13616
SED60413,327,2047,2942,1174,720,7217,209,7431
SED60501,327,2464,2892,1232,786,7711,365,8076
SED60502,724,2844,2885,1308,833,8600,434,9028
SED60512,91,1078,1444,654,388,3652,139,3788
SED60513,198,2105,2457,960,525,6253,232,6485
SED60514,383,3449,4543,2048,1341,11764,483,12247
SED69494,0,0,0,0,0,0,0,0
SED69797,0,0,0,0,0,0,0,0
SED70001,748,343,99,26,8,1224,74,1300
SED70002,259,1408,1311,438,160,3572,144,3718
SED70003,593,511,298,66,24,1486,145,1635
SED70004,507,706,348,125,96,1781,191,1968
SED70005,125,830,1337,384,143,2819,120,2939
SED70006,251,1231,1207,448,188,3321,203,3520
SED70007,58,721,1267,386,159,2585,103,2688
SED70008,101,747,1130,377,188,2534,107,2645
SED70009,389,752,697,301,172,2313,197,2505
SED70010,248,947,1012,327,150,2681,158,2843
SED70011,283,1253,1074,307,122,3036,147,3183
SED70012,118,919,1135,349,166,2691,102,2793
SED70013,63,582,1045,598,498,2791,162,2948
SED70014,134,759,923,377,156,2344,124,2468
SED70015,174,701,858,350,190,2263,122,2385
SED70016,205,822,916,313,182,2443,181,2625
SED70017,626,714,373,148,150,2016,174,2190
SED70018,50,452,982,574,434,2487,136,2628
SED70019,508,648,416,107,35,1709,122,1834
SED70020,217,1145,1025,285,158,2834,134,2967
SED70021,406,1688,1122,219,73,3509,145,3654
SED70022,107,806,1085,344,196,2532,136,2670
SED70023,94,734,1312,400,189,2730,96,2825
SED70024,588,460,181,46,34,1309,51,1362
SED70025,96,700,1215,425,236,2668,110,2775
SED79494,0,0,0,0,0,0,0,0
SED79797,0,0,0,0,0,0,0,0
SED80001,796,7547,10247,3626,1971,24196,617,24818
SED80002,1619,10944,10792,2934,1315,27603,669,28275
SED80003,3071,14111,9557,2187,849,29774,887,30658
SED80004,1503,10700,11456,3103,1339,28101,703,28803
SED80005,848,9727,13653,3703,1552,29484,629,30114
SED89494,0,0,0,0,0,0,0,0
SED89797,0,0,0,0,0,0,0,0
SED99191,63,435,516,178,105,1296,69,1360
SED99494,0,0,0,0,0,0,0,0
SED99797,0,0,0,0,0,0,0,0
