SED_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SED10001,..,8982,8982,9977,799,10776,3821,150,3973,3656,54,3713,1667,10,1676,716,4,714,19835,9993,29834
SED10002,..,5305,5305,6688,888,7571,5168,408,5580,5147,277,5426,2897,218,3109,2882,283,3168,22778,7382,30167
SED10003,..,7728,7728,9215,1039,10258,3812,265,4079,3446,97,3539,1378,41,1419,537,11,544,18383,9185,27570
SED10004,..,10080,10080,9531,1721,11251,4353,775,5124,4005,397,4397,1066,143,1209,270,93,360,19218,13207,32423
SED10005,..,5286,5286,5395,470,5863,4285,126,4411,4578,43,4616,2756,26,2779,2455,31,2486,19464,5980,25442
SED10006,..,9132,9132,9462,639,10105,3542,57,3595,3132,7,3138,1625,4,1631,939,0,939,18697,9844,28544
SED10007,..,8136,8136,9066,745,9809,3802,113,3909,3670,43,3706,1683,8,1693,807,3,816,19030,9049,28077
SED10008,..,2958,2958,6458,241,6697,4801,88,4893,6244,39,6281,2620,29,2645,1243,38,1288,21366,3392,24758
SED10009,..,8630,8630,11289,616,11911,3178,52,3233,2569,15,2585,1126,7,1127,610,0,610,18772,9319,28095
SED10010,..,5027,5027,6717,585,7298,5370,144,5512,5267,65,5328,2506,31,2542,1985,23,2009,21852,5862,27720
SED10011,..,7039,7039,8716,699,9414,3957,76,4026,3823,23,3848,1689,14,1698,718,8,727,18904,7843,26747
SED10012,..,3350,3350,4786,392,5185,4303,95,4391,4681,25,4715,2772,22,2792,2619,20,2634,19161,3905,23064
SED10013,..,3707,3707,7110,334,7441,4968,56,5019,6070,15,6084,2995,7,3005,1626,3,1631,22768,4120,26886
SED10014,..,4989,4989,7055,519,7577,4537,73,4614,4228,33,4263,2200,16,2216,1723,3,1730,19746,5629,25380
SED10015,..,5524,5524,7711,865,8572,5398,229,5622,5314,125,5445,2275,55,2333,1505,42,1545,22207,6836,29040
SED10016,..,2531,2531,5786,200,5985,4392,64,4457,6295,14,6313,3075,6,3086,1419,3,1422,20978,2821,23802
SED10017,..,6080,6080,8311,603,8919,4290,64,4354,4228,22,4243,1930,6,1938,892,0,894,19656,6777,26431
SED10018,..,6584,6584,8553,599,9150,4212,141,4347,4452,43,4494,1674,4,1674,604,9,612,19489,7375,26868
SED10019,..,8257,8257,10185,788,10970,3533,63,3598,2941,13,2949,1528,5,1533,862,3,860,19039,9129,28171
SED10020,..,7276,7276,9151,846,9993,3803,117,3924,3401,44,3450,1551,10,1563,832,12,847,18743,8306,27042
SED10021,..,8659,8659,9041,2269,11304,4569,807,5374,4168,271,4440,1327,78,1406,370,24,398,19472,12108,31577
SED10022,..,8052,8052,9508,530,10036,3297,48,3351,2865,4,2874,1619,7,1625,849,4,851,18133,8651,26786
SED10023,..,6195,6195,8031,614,8649,3904,95,3998,4759,23,4789,2143,3,2142,742,7,744,19579,6929,26511
SED10024,..,3910,3910,6844,258,7104,4219,64,4283,6207,25,6233,2763,15,2774,936,8,945,20970,4278,25247
SED10025,..,6597,6597,9115,1111,10230,5042,401,5445,4879,114,4993,1604,28,1630,606,18,622,21245,8281,29520
SED10026,..,7234,7234,8641,640,9285,4033,107,4137,3537,21,3555,1829,3,1833,936,3,940,18968,8008,26979
SED10027,..,4669,4669,6175,339,6518,4290,91,4378,4977,38,5010,2424,17,2442,1579,4,1583,19443,5151,24595
SED10028,..,3977,3977,6434,382,6818,4800,169,4971,6290,85,6377,2425,34,2452,1102,30,1124,21044,4672,25718
SED10029,..,4533,4533,5577,473,6043,4341,112,4449,4613,66,4676,2802,20,2816,2867,13,2887,20191,5218,25404
