SED_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SED10068,9973,1378,736,534,56,12682,6606,507,274,27,29,7444,2495,1023,1177,26,19,4731,228,274,307,0,3,809,931,231,255,18,12,1450,50,83,34,0,5,174,113,39,41,120,8,327,81,21,38,7,5,147,3903,1668,1848,163,55,7635,138,224,166,7,0,538,490,180,160,45,27,905,21113,3950,3186,782,168,29200
SED10069,8387,1185,263,301,44,10180,7361,516,88,39,21,8021,2562,1138,402,23,14,4141,475,160,73,0,0,715,899,214,77,17,12,1222,41,89,16,0,0,144,430,64,12,84,8,599,81,19,12,7,0,113,4487,1690,585,133,41,6939,198,101,17,9,3,332,498,120,54,127,24,825,20932,3610,1002,616,132,26292
SED10070,7439,556,107,78,8,8191,7029,1632,352,59,29,9100,2362,1014,705,33,36,4153,403,581,233,0,0,1212,702,167,68,16,12,961,41,53,45,3,0,135,142,19,9,40,4,220,75,18,10,5,0,103,3718,1851,1069,95,53,6789,83,38,52,0,0,173,471,131,65,16,27,711,18732,4222,1646,246,116,24970
SED10071,3700,1249,47,21,16,5033,9956,3867,327,32,40,14221,2882,1332,317,17,32,4582,178,97,11,0,0,286,549,216,38,14,6,813,49,16,0,0,0,68,107,40,0,16,0,169,50,20,4,0,0,72,3818,1714,370,45,43,5987,55,35,0,0,0,91,377,87,9,53,21,547,17910,6941,763,153,125,25887
SED10072,6043,1392,1792,73,11,9319,4239,1202,3279,20,15,8757,1349,725,6346,91,37,8543,36,62,470,0,0,566,522,198,910,40,19,1691,35,45,66,0,5,146,62,24,92,22,7,195,53,22,61,4,3,139,2049,1073,7947,149,62,11287,78,27,84,3,5,192,397,121,391,10,22,935,12804,3812,13495,253,121,30485
SED10073,6313,1344,1507,10,31,9201,5043,1558,2558,14,22,9199,1442,1447,6796,53,39,9776,170,484,390,0,0,1043,725,329,1017,13,9,2085,25,127,88,0,14,251,64,88,82,4,11,247,67,32,47,0,0,149,2489,2507,8424,69,72,13554,85,96,104,4,19,312,293,122,291,3,31,736,14223,5621,12880,100,173,33004
SED10074,7229,497,500,3,3,8233,8040,1197,883,9,13,10146,2291,908,2352,12,31,5599,411,759,201,0,0,1371,699,166,191,10,13,1080,26,99,105,0,0,228,62,111,15,3,0,200,61,23,20,0,0,98,3546,2064,2884,25,45,8568,84,39,317,0,3,437,444,120,170,0,18,749,19342,3918,4759,36,78,28138
SED10075,8783,865,138,244,15,10039,9394,642,119,27,26,10206,2316,1035,532,16,17,3915,1277,493,205,0,3,1976,868,241,86,17,5,1220,41,52,20,0,0,122,64,19,11,31,4,130,56,21,10,0,0,90,4623,1860,862,70,33,7451,85,84,12,3,0,184,523,147,54,24,9,758,23404,3595,1186,365,78,28632
SED10076,11119,390,105,393,66,12080,6745,113,37,23,26,6948,2928,530,249,21,17,3739,601,207,60,0,0,872,1342,105,60,25,12,1542,103,61,14,0,8,189,300,8,0,97,16,423,129,17,4,9,0,165,5405,926,392,139,57,6923,195,111,15,10,15,331,718,69,55,35,18,889,24182,1608,607,610,175,27179
SED10077,5696,1055,1491,25,20,8288,3813,1172,2985,44,30,8047,1298,798,7207,118,86,9507,96,221,479,0,3,801,489,177,1254,28,29,1983,42,36,122,0,8,206,56,64,254,3,11,389,50,28,75,5,6,163,2037,1326,9391,153,143,13042,60,24,126,0,0,214,314,85,557,13,35,1010,11921,3674,14542,235,233,30600
SED10078,4875,1130,1779,37,13,7837,3265,1410,2910,54,18,7653,1028,797,7839,220,57,9929,100,83,673,0,0,853,449,252,1212,66,31,2012,61,55,174,3,5,295,34,13,84,9,6,153,41,20,93,3,0,161,1717,1214,10071,309,95,13406,56,24,82,0,0,166,246,82,427,18,171,946,10157,3863,15272,424,300,30008
SED10079,10157,631,351,156,16,11305,8691,223,121,22,11,9068,2712,479,430,31,21,3668,265,189,269,0,0,721,1038,112,71,8,5,1240,14,23,28,0,0,63,160,14,10,36,7,219,74,3,8,10,0,94,4261,822,809,83,27,6004,104,59,74,0,0,231,601,82,65,13,10,771,23805,1813,1417,266,62,27374
SED10080,169,1865,4987,17,23,7062,104,1889,5175,23,20,7215,58,2003,15920,59,66,18114,0,369,692,0,8,1067,30,572,3146,25,23,3787,0,27,264,0,6,300,9,26,243,7,19,300,3,42,202,0,4,248,101,3035,20469,91,120,23818,4,44,191,7,0,241,16,201,938,26,85,1274,392,7036,31758,164,259,39612
SED10081,9374,274,48,127,48,9868,8331,103,26,58,45,8557,3385,1029,366,82,29,4896,509,193,126,100,11,941,1635,130,65,28,22,1879,79,56,18,3,3,156,428,27,17,34,13,522,241,23,8,9,3,283,6278,1453,606,261,80,8673,185,33,7,7,5,241,714,125,45,31,19,926,24874,1989,729,480,193,28267
SED10082,8722,1076,471,82,21,10368,9209,293,272,10,12,9791,2099,393,517,22,30,3069,258,139,48,0,0,442,803,112,98,3,6,1021,28,48,5,0,0,84,135,25,9,8,3,181,79,12,8,0,0,103,3409,735,680,34,44,4901,112,505,107,3,0,723,491,137,58,4,14,692,21938,2739,1586,127,95,26482
SED10083,6690,1448,402,60,23,8626,8605,663,192,57,14,9529,2569,1116,779,34,27,4522,432,482,103,0,0,1020,968,225,121,20,11,1333,47,78,19,0,0,137,56,37,16,39,10,164,80,38,5,3,0,126,4145,1976,1042,94,45,7302,91,391,42,0,7,524,450,253,67,12,16,797,19978,4732,1747,226,107,26785
SED10084,7688,2303,1105,829,74,12004,6603,1146,426,41,24,8236,1739,1331,1328,10,14,4429,163,348,239,0,0,749,1127,534,354,32,31,2081,39,75,23,3,0,138,136,54,41,129,15,372,92,36,30,6,3,171,3287,2381,2019,188,65,7935,118,153,48,6,44,366,434,270,180,66,20,958,18125,6250,3778,1121,236,29512
SED10085,8995,150,76,135,59,9425,8665,123,42,33,40,8911,3203,701,369,12,24,4305,608,134,97,0,0,835,1468,59,58,15,16,1612,93,24,19,0,0,133,540,18,15,50,29,650,261,8,7,4,3,293,6172,940,562,83,75,7835,170,29,6,0,7,211,602,47,46,12,19,728,24608,1292,738,268,203,27104
SED10086,3470,1374,4336,31,46,9262,2231,1338,3590,22,30,7207,425,586,8410,79,31,9525,4,3,239,0,0,242,203,238,2080,28,17,2562,3,14,55,0,0,79,26,12,109,3,4,152,26,23,135,0,0,185,688,875,11021,113,50,12749,43,44,167,0,20,267,157,86,625,6,18,892,6586,3712,19742,172,159,30375
SED10087,8241,219,246,60,30,8786,8780,76,143,44,33,9071,3170,433,1354,52,14,5026,923,42,211,0,0,1175,1432,76,140,20,14,1687,57,43,63,0,0,165,437,17,24,28,9,518,137,5,21,7,0,177,6170,616,1813,106,34,8738,147,69,45,6,3,266,612,56,104,22,13,805,23944,1038,2355,235,104,27671
SED10088,6719,456,1602,5,12,8791,7357,424,2250,15,16,10056,1307,257,3034,24,19,4641,121,229,202,0,0,550,554,82,598,17,23,1279,21,70,150,0,0,238,40,46,36,6,0,126,48,14,45,0,3,106,2089,698,4055,47,47,6945,79,82,303,0,0,464,326,64,270,0,31,692,16561,1726,8486,72,106,26951
SED10089,8454,709,115,12,17,9310,9538,420,107,12,10,10086,3358,1101,756,28,33,5275,584,576,310,0,3,1469,1457,277,208,14,18,1967,64,90,37,0,0,200,133,31,29,0,7,200,78,22,12,0,0,107,5671,2094,1350,41,63,9225,130,113,28,0,3,274,521,114,70,3,14,724,24322,3447,1667,74,95,29613
SED10090,5989,1087,2708,9,23,9820,4808,1211,2773,7,12,8808,1236,805,6731,52,18,8840,16,14,249,0,0,281,504,237,1147,28,10,1924,19,23,65,0,0,99,41,19,105,7,3,169,48,14,72,0,0,134,1857,1109,8367,85,30,11450,70,17,147,3,4,238,237,80,295,7,18,627,12965,3500,14296,103,78,30938
SED10091,8326,570,50,50,46,9049,10368,144,30,29,32,10599,2164,286,160,17,18,2645,231,69,30,0,0,335,780,61,33,20,6,901,63,37,6,0,0,106,107,5,0,43,4,171,102,3,3,3,3,117,3451,459,235,84,37,4267,170,129,0,3,3,306,576,64,15,8,13,676,22893,1372,328,172,126,24890
SED10092,7831,718,1435,145,85,10223,5793,539,1129,18,20,7498,2051,913,3998,47,31,7043,1058,564,1132,10,0,2759,844,261,690,28,14,1836,37,57,64,3,0,165,98,31,77,35,6,246,72,22,59,4,3,160,4153,1854,6017,124,65,12216,77,131,81,4,36,328,508,106,328,34,104,1080,18365,3349,8995,326,310,31340
SED10093,7297,662,480,95,15,8550,8921,278,132,11,7,9345,3940,627,462,12,19,5057,332,309,247,3,3,891,1164,98,102,9,10,1389,57,95,76,0,5,230,176,29,19,86,11,312,92,8,18,0,3,118,5752,1167,918,112,41,7998,91,59,48,3,3,199,596,108,95,22,60,880,22654,2265,1674,240,133,26971
SED19494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED20106,734,2875,3183,43,29,6861,546,2520,4310,72,21,7468,292,1922,11225,189,31,13660,22,459,980,5,4,1476,86,560,1679,47,10,2378,3,26,214,3,0,247,9,11,115,0,3,132,8,42,121,0,4,179,423,3016,14333,243,49,18074,14,44,112,0,4,177,40,191,584,8,15,841,1755,8658,22533,362,110,33414
SED20207,5974,1407,111,5,5,7507,10644,1994,180,3,13,12838,4869,1745,560,8,11,7193,186,67,62,0,0,315,851,210,47,4,6,1125,22,11,21,0,0,57,162,31,6,0,0,199,62,30,0,0,0,91,6158,2098,701,13,18,8987,107,75,13,0,0,195,514,121,38,0,10,688,23396,5702,1042,27,40,30207
SED20302,7831,450,52,145,21,8501,9666,243,19,6,30,9962,3829,569,73,6,15,4488,185,214,13,0,0,406,1270,79,24,9,5,1392,34,31,9,0,0,77,143,12,4,42,0,205,158,17,0,0,0,171,5607,920,131,55,22,6740,215,50,0,3,7,279,636,89,12,16,13,763,23954,1755,220,235,85,26244
SED20401,6101,914,119,0,12,7152,7841,1337,271,4,18,9475,2251,1172,256,3,10,3695,276,185,117,0,0,582,693,246,36,0,7,982,48,31,36,0,0,115,36,13,0,3,0,60,44,15,4,0,0,67,3349,1665,458,5,23,5505,100,26,14,0,0,138,356,126,47,0,14,542,17761,4072,903,13,64,22812
SED20508,8657,504,97,64,32,9356,7417,223,32,8,21,7705,2368,399,88,12,11,2869,48,44,0,0,0,96,867,100,22,8,8,1003,42,14,0,0,0,59,58,6,4,25,6,94,98,10,0,3,6,122,3483,574,112,47,34,4247,127,27,3,3,3,168,443,51,17,10,14,529,20127,1389,258,134,100,22012
SED20604,7464,256,75,60,57,7910,7896,144,38,20,65,8165,2801,705,246,13,12,3775,624,247,106,0,0,985,1188,132,55,10,16,1408,55,20,11,0,0,83,390,23,7,17,3,437,117,7,5,0,0,131,5170,1140,431,46,33,6825,150,9,8,3,0,169,496,65,32,8,5,611,21172,1608,583,143,163,23681
SED20704,7340,366,27,39,11,7782,8306,163,25,15,21,8539,3039,873,73,6,18,4013,414,225,15,0,6,658,1082,161,7,8,9,1260,113,47,0,0,0,159,82,13,0,4,0,95,102,11,4,7,3,124,4833,1324,105,19,33,6315,140,14,0,0,3,164,490,82,15,9,9,608,21105,1949,174,88,83,23396
SED20804,7825,242,33,70,47,8214,7677,141,35,15,53,7921,2751,588,142,7,21,3521,537,256,63,0,0,863,1252,117,39,13,8,1432,95,42,35,0,0,171,114,13,35,35,6,203,95,15,10,3,0,126,4850,1039,319,63,35,6311,98,7,11,0,3,119,586,94,28,9,10,725,21030,1526,429,158,148,23289
SED20906,6259,949,578,5,4,7801,5537,1398,706,5,30,7670,1863,976,1015,19,15,3892,88,90,265,0,0,446,595,221,173,18,7,1010,19,18,60,0,0,106,33,10,14,0,0,61,50,19,14,0,0,90,2647,1338,1552,43,22,5607,58,61,74,0,0,196,317,104,109,0,4,533,14816,3847,3018,58,63,21805
SED21001,6679,2126,401,11,13,9231,5271,1566,475,11,13,7338,1652,2154,1879,8,19,5707,43,103,86,0,0,232,652,492,285,3,7,1435,33,83,41,0,0,153,48,53,41,0,3,149,48,38,20,0,0,108,2467,2919,2350,14,28,7781,134,94,44,0,0,281,307,150,98,0,17,570,14860,6855,3369,39,67,25197
SED21106,5374,1826,1102,13,23,8343,4173,1372,1280,18,38,6873,1135,1117,3595,40,21,5914,54,118,184,0,0,355,350,275,535,11,10,1181,5,16,72,0,0,94,18,10,22,0,0,58,39,22,29,0,0,93,1600,1554,4444,55,35,7690,50,71,94,0,0,213,226,104,186,0,7,534,11425,4928,7102,85,108,23651
SED21203,6207,300,98,38,16,6655,5945,773,178,25,11,6930,2151,872,355,20,25,3431,878,257,201,35,5,1380,1153,205,87,15,18,1466,44,19,37,0,0,104,304,64,44,82,3,502,89,15,16,10,0,125,4629,1435,735,161,46,7004,112,14,3,0,0,136,782,117,63,19,36,1014,17674,2636,1078,248,108,21741
SED21303,5088,1427,576,20,19,7134,3765,1841,1549,18,20,7204,1703,2923,5470,82,34,10216,74,281,474,0,0,836,720,657,665,37,13,2094,16,35,107,0,0,161,29,18,44,4,3,104,54,38,30,0,0,122,2599,3964,6792,126,55,13534,76,37,33,0,0,147,300,178,231,10,17,731,11824,7446,9194,177,114,28750
SED21401,8625,1353,351,3,4,10346,4792,1131,386,3,10,6324,1754,816,656,7,3,3232,23,20,41,0,0,84,554,196,105,3,7,864,16,6,33,0,0,51,37,10,13,0,0,64,53,17,14,0,0,86,2441,1071,860,8,16,4392,175,50,33,0,0,258,434,104,48,0,32,614,16466,3711,1679,17,64,21938
SED21503,6855,625,182,0,4,7666,6397,802,123,3,4,7339,1981,1141,686,9,4,3820,203,144,36,0,0,380,726,170,99,3,5,1002,48,12,56,0,0,117,82,19,48,0,0,145,58,10,5,0,0,72,3091,1493,921,11,10,5527,88,15,78,0,0,178,402,77,50,0,10,543,16830,3015,1355,12,34,21255
SED21608,6676,459,70,31,30,7266,7924,447,26,43,22,8459,2037,925,152,10,17,3131,349,196,47,0,0,586,888,132,21,10,7,1059,62,43,19,0,0,127,80,31,4,6,8,125,94,16,8,0,3,116,3504,1348,243,26,37,5148,99,58,5,3,5,162,449,77,25,6,22,583,18653,2384,362,107,119,21621
SED21706,6242,1357,353,6,15,7974,5580,1355,476,10,17,7438,1952,1252,817,16,25,4069,358,321,338,0,3,1019,759,297,155,8,11,1229,32,103,98,0,0,229,74,33,21,0,0,134,52,21,12,0,4,93,3219,2028,1447,29,40,6767,98,159,47,0,3,306,334,135,54,3,8,540,15477,5028,2384,47,83,23027
SED21805,4943,1503,141,134,12,6728,8608,2031,248,18,12,10911,2439,1802,336,11,5,4591,190,124,61,0,0,380,748,328,55,11,3,1149,37,67,6,0,0,108,61,25,15,207,0,306,46,25,3,10,0,86,3517,2367,483,235,12,6617,76,189,12,4,0,286,414,218,49,17,9,706,17553,6313,927,411,37,25244
SED21906,4393,2073,958,22,26,7476,3324,1929,1554,35,16,6857,944,1630,4964,78,22,7641,7,105,117,0,0,233,413,580,789,28,11,1828,14,22,73,0,0,109,32,12,38,3,3,90,45,49,41,3,3,143,1463,2395,6027,112,47,10039,52,41,53,4,3,162,203,157,197,7,20,589,9434,6597,8790,175,112,25117
SED22005,7256,964,306,0,17,8543,5117,1570,375,9,14,7081,2504,2376,988,3,20,5896,210,213,54,0,3,479,887,517,120,5,7,1546,61,31,10,0,0,102,142,78,16,0,0,241,90,35,9,0,0,140,3900,3248,1191,10,35,8392,91,37,120,0,4,251,493,161,150,0,25,834,16856,5986,2142,26,90,25095
SED22105,4176,733,52,0,4,4958,15884,1211,72,3,14,17177,3785,824,178,0,11,4795,266,60,37,0,4,369,959,144,23,3,0,1126,30,11,10,0,0,53,83,20,3,0,0,106,74,6,0,0,0,77,5196,1067,250,3,17,6523,141,90,7,0,0,234,662,119,23,0,5,812,26058,3209,396,8,43,29711
SED22201,6792,385,21,0,9,7207,8165,491,147,0,12,8811,2746,513,147,4,9,3431,277,105,20,0,0,409,769,79,18,4,8,875,58,22,11,0,0,88,45,13,0,0,0,59,57,8,0,0,0,67,3954,744,198,7,24,4923,143,54,0,0,3,202,428,66,12,0,11,518,19485,1730,377,6,57,21658
SED22305,5564,763,182,57,3,6578,5385,1142,362,61,8,6954,2612,1938,1488,66,24,6129,535,483,209,30,7,1268,975,336,162,17,3,1490,33,45,70,0,0,151,221,52,43,59,3,377,80,37,26,3,0,149,4455,2896,1994,183,34,9554,92,45,31,4,0,168,582,241,121,34,26,1006,16083,5084,2686,338,73,24267
SED22404,7843,179,19,177,58,8268,8434,84,21,35,35,8622,1419,141,62,12,6,1638,159,50,8,0,0,225,957,36,16,12,8,1034,26,20,3,0,0,48,159,12,3,59,9,232,137,4,7,4,3,157,2851,269,102,87,33,3337,176,11,3,3,0,192,606,40,11,62,16,735,19912,579,152,363,140,21144
SED22501,7472,399,179,3,9,8061,8426,543,120,6,8,9105,1138,431,180,5,3,1753,79,49,7,0,0,142,410,100,22,3,9,545,6,40,16,0,0,59,19,23,0,0,0,38,28,18,4,0,0,52,1678,657,239,8,11,2592,69,35,32,0,0,133,288,51,26,0,3,363,17930,1682,589,19,30,20255
SED22607,5342,1187,694,18,14,7257,4424,1543,1150,19,20,7161,1248,1621,3873,47,30,6815,45,169,1546,0,7,1762,466,317,501,16,8,1312,51,18,92,0,0,165,30,6,33,4,3,80,42,25,45,0,0,120,1876,2162,6095,66,44,10241,62,35,64,0,0,165,276,113,336,0,15,745,11986,5040,8341,105,100,25571
SED22704,9163,134,148,119,50,9618,8156,34,51,28,31,8302,1972,137,300,9,15,2431,438,84,88,0,0,606,1243,35,76,22,19,1390,20,24,21,0,0,70,416,21,17,51,7,514,181,7,8,4,3,201,4270,306,514,86,38,5211,139,30,62,3,6,242,707,35,44,21,13,815,22429,541,817,255,141,24191
SED22802,6087,394,21,27,12,6544,9117,270,0,6,22,9416,1429,383,10,3,13,1836,119,57,3,0,0,178,633,60,3,0,7,707,22,13,3,0,3,39,56,0,0,30,0,89,49,8,0,0,0,59,2314,517,18,35,27,2910,105,68,26,0,3,201,365,57,3,0,3,438,17986,1300,75,80,69,19510
SED22901,6566,671,51,81,5,7373,7282,686,35,4,7,8005,2149,440,100,0,8,2698,185,107,45,0,0,329,570,91,6,5,3,678,22,25,32,3,0,76,37,8,8,40,6,98,54,6,5,0,0,66,3013,672,185,46,21,3948,58,328,47,0,0,437,318,100,22,4,7,450,17240,2454,342,142,42,20211
SED23007,5575,1057,384,14,11,7036,4868,2322,1012,23,18,8250,2538,2078,3655,24,34,8330,507,705,268,0,8,1483,1055,486,438,20,16,2009,44,51,120,0,0,210,141,62,90,10,3,315,87,35,28,3,0,154,4376,3408,4594,55,64,12503,80,36,33,0,0,149,579,215,207,6,22,1025,15477,7036,6228,98,112,28953
SED23101,7745,1105,85,3,4,8936,6033,849,48,4,11,6942,1939,617,61,10,8,2637,167,172,18,0,0,360,629,170,39,0,4,849,39,34,87,0,0,156,74,15,30,4,0,115,62,13,17,0,0,94,2905,1032,247,12,12,4203,95,160,74,0,0,320,330,75,38,0,5,446,17101,3213,485,17,31,20852
SED23205,5942,682,85,28,11,6738,7034,641,103,7,8,7796,3381,1512,558,10,15,5474,470,297,40,0,3,811,937,307,73,9,10,1330,55,52,5,0,0,111,64,30,6,11,0,116,69,30,11,0,0,105,4982,2225,690,28,27,7953,86,319,23,0,0,431,512,155,47,3,6,726,18553,4026,938,74,49,23637
SED23308,7023,834,212,82,22,8171,6929,635,189,17,15,7778,3117,1670,847,24,26,5679,438,322,96,0,0,857,1094,340,117,14,4,1573,126,135,32,0,0,297,111,25,17,77,0,231,72,23,11,5,0,112,4963,2520,1130,113,31,8752,124,14,8,6,0,150,478,126,56,8,11,680,19510,4120,1597,230,73,25531
SED23402,5634,787,64,20,18,6517,10320,534,11,6,18,10887,2786,756,4,9,8,3557,88,22,3,0,0,115,610,88,3,4,4,715,12,35,0,0,0,51,50,12,0,29,0,93,49,14,0,0,0,65,3593,921,16,38,15,4592,90,193,80,3,0,361,378,107,14,0,15,515,20010,2546,186,74,61,22868
SED23502,9550,162,90,197,61,10060,6744,43,17,24,48,6878,2035,232,134,17,20,2439,425,119,51,0,5,600,1176,43,14,22,29,1280,97,20,13,0,4,133,244,10,13,43,8,318,173,7,12,4,5,192,4144,427,240,84,69,4959,167,8,3,6,9,189,636,35,16,21,70,782,21243,674,365,334,251,22866
SED23602,8381,176,129,95,27,8810,6850,56,41,34,23,7002,1849,257,228,8,13,2352,304,109,68,0,0,483,1071,35,45,7,9,1170,66,39,27,0,0,126,349,12,4,32,5,397,183,8,9,3,0,206,3814,458,390,48,31,4738,129,26,19,3,3,178,552,43,24,12,7,645,19727,763,597,193,93,21368
SED23702,6327,664,13,95,9,7110,10266,734,39,7,9,11056,1794,1130,63,8,5,2994,242,135,0,0,0,378,779,203,12,7,0,1012,21,20,0,0,0,40,213,25,0,98,0,337,72,22,0,4,0,101,3119,1543,77,118,13,4858,108,95,0,3,3,211,475,107,4,9,3,603,20293,3141,131,230,35,23837
SED23806,5065,1695,1228,12,17,8011,3589,1336,1512,7,14,6463,934,1260,5530,42,35,7800,0,31,168,0,3,197,320,312,809,11,10,1465,11,40,90,0,3,138,18,20,65,3,3,102,53,24,44,0,3,127,1339,1681,6702,55,60,9836,58,28,94,0,3,182,155,103,317,3,6,592,10204,4846,9850,78,106,25086
SED23901,7085,988,343,9,26,8445,5629,1227,367,4,13,7248,1927,1280,1142,6,20,4387,469,444,234,0,13,1157,596,295,180,8,3,1079,27,49,88,0,0,166,145,36,8,0,0,187,57,23,22,0,0,98,3228,2125,1674,18,42,7083,68,57,36,0,0,165,412,148,59,0,14,628,16426,4535,2474,34,94,23564
SED24006,6930,1618,568,12,20,9152,4868,1076,482,9,13,6453,1521,1179,1391,14,9,4117,20,7,30,0,0,58,487,271,178,5,6,947,16,21,12,0,0,40,39,4,8,0,0,48,61,24,14,0,0,97,2137,1511,1627,22,23,5314,77,30,43,0,3,158,305,73,78,3,9,467,14321,4315,2799,47,66,21535
SED24105,6727,658,190,27,13,7606,7432,847,230,5,9,8516,2083,795,457,0,16,3351,211,98,58,0,0,361,779,144,46,6,12,987,28,7,12,0,0,42,150,12,11,43,3,212,62,12,11,4,0,84,3305,1068,587,51,32,5042,86,29,28,4,3,147,511,110,48,6,3,680,18062,2712,1076,91,53,21997
SED24207,6004,356,34,30,6,6434,10948,739,47,5,9,11750,2795,636,102,3,10,3549,280,54,15,0,0,356,955,120,17,4,0,1099,48,21,6,0,0,76,121,16,3,66,0,210,64,11,0,0,0,72,4268,850,150,81,13,5360,114,48,11,0,0,175,683,63,17,3,4,772,22026,2063,252,122,25,24491
SED24308,7174,327,76,25,13,7610,7156,369,80,6,15,7623,3161,916,219,4,23,4323,951,427,32,0,0,1404,1058,111,41,3,0,1220,118,65,7,0,0,195,128,34,7,46,9,225,98,20,7,11,7,141,5504,1579,318,66,39,7508,124,10,3,11,4,151,663,103,26,0,8,797,20621,2382,499,110,71,23684
SED24408,9750,209,107,59,58,10192,6317,62,33,28,37,6485,1593,175,290,7,12,2079,308,110,93,0,4,517,1309,52,42,14,17,1433,42,59,20,0,5,127,310,26,15,10,18,376,216,16,10,3,10,247,3774,437,470,35,72,4791,174,31,4,11,7,231,615,41,30,15,23,714,20633,782,652,138,202,22404
SED24504,7470,193,46,40,40,7789,8614,110,24,31,36,8809,1281,226,54,16,8,1586,124,48,28,0,0,205,815,79,23,18,21,951,43,44,12,0,0,97,91,9,3,12,0,113,97,3,0,0,4,105,2443,415,120,51,28,3051,89,8,0,5,3,104,465,27,3,8,30,531,19073,744,198,141,130,20288
SED24606,4853,1769,1359,19,15,8020,3469,1222,1246,24,18,5982,815,1050,4083,129,23,6102,7,60,115,0,4,186,315,288,655,25,6,1299,7,33,118,3,3,168,17,15,44,0,0,85,25,29,34,0,0,93,1186,1476,5051,161,43,7918,59,62,71,3,0,199,210,102,201,5,4,523,9781,4632,7936,209,81,22641
SED24703,607,2321,3795,18,38,6782,454,2095,4879,15,40,7482,346,2789,19233,50,174,22591,54,318,2203,0,16,2596,152,922,3665,36,33,4806,11,60,510,0,0,584,16,30,654,8,20,720,9,51,229,7,11,306,588,4178,26494,95,251,31610,24,50,306,7,8,396,54,217,1126,48,38,1485,1723,8861,36604,189,378,47756
SED24808,5968,535,9,17,13,6547,11169,843,15,4,17,12050,3530,1053,34,11,12,4635,320,164,42,0,3,532,1044,215,21,6,3,1285,63,96,3,0,0,157,91,39,0,15,0,143,76,21,0,0,0,99,5125,1585,108,26,16,6851,125,20,0,0,4,146,667,129,3,0,12,815,23053,3106,137,49,63,26407
