SED_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SED10001,25173,62787,3160,5028,421,683,3575,5713,646,967,52,82,29,35,3,7,730,1094,47,90,112,177,4,11,59,139,222,415,127,279,29834,70282,4657,..,34492,70282
SED10002,13749,50378,681,1598,3363,11248,4051,12844,2693,7454,2272,7002,6979,18016,84,249,12029,32724,0,0,0,5,9,29,176,616,191,643,142,337,30167,96929,2081,..,32252,96929
SED10003,20470,52377,2573,4828,1849,3658,4427,8481,1203,2056,234,420,55,91,33,56,1526,2620,334,527,430,664,22,30,84,156,873,1377,276,556,27570,65419,3597,..,31170,65419
SED10004,3881,10644,6124,15290,8924,22440,15046,37723,1946,3571,3728,6660,7174,13969,124,237,12971,24430,4,3,3,6,0,0,298,663,303,671,223,455,32423,73926,3375,..,35796,73926
SED10005,14694,50314,827,2132,2557,8736,3385,10872,1553,3146,3648,9537,1897,5360,43,121,7133,18167,0,6,5,8,3,9,123,372,128,392,101,239,25442,79983,1949,..,27397,79983
SED10006,26182,63143,455,692,52,96,505,787,982,1387,26,38,22,29,4,11,1042,1468,154,261,37,77,173,320,99,217,465,872,356,800,28544,67062,6790,..,35335,67062
SED10007,24397,61801,1633,2747,413,729,2047,3478,803,1221,38,42,3,9,0,3,847,1277,49,83,14,39,25,45,354,865,440,1030,341,589,28077,68177,4249,..,32323,68177
SED10008,20525,66793,517,1050,2502,6964,3018,8016,309,598,366,816,465,1073,14,24,1153,2513,8,9,0,0,3,6,4,26,12,43,52,128,24758,77491,1368,..,26122,77491
SED10009,23237,54201,1585,2476,944,1624,2530,4103,1402,2205,77,119,29,39,11,21,1515,2380,194,307,263,399,57,97,61,125,576,932,231,476,28095,62087,9758,..,37856,62087
SED10010,22011,69193,959,2485,2071,6317,3027,8801,561,892,107,275,1836,4945,35,64,2532,6180,0,3,3,6,9,23,33,89,44,120,100,236,27720,84529,1548,..,29271,84529
