SED_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
SED10011,12709,7263,6159,8584,9713,10309,8073,3622,1443,67862,8,16,12,3,10,12,10,8,0,75,203,344,376,242,263,339,327,137,80,2322,10,10,13,18,30,22,9,4,0,106,21,14,28,30,18,35,30,0,0,178,0,0,3,11,3,10,0,0,0,21,0,3,21,8,6,9,0,3,0,49,0,0,0,0,0,9,5,0,0,19,0,0,0,3,0,0,0,0,0,4,0,3,5,3,0,9,3,0,0,25,0,0,0,0,0,0,0,0,0,0,232,377,439,322,321,426,384,145,83,2733,247,390,449,324,332,441,389,151,86,2807,12949,7649,6607,8911,10045,10749,8458,3772,1527,70671
SED10012,15023,12267,10685,9644,11182,10247,5816,3111,1343,79330,24,25,18,10,16,13,5,3,6,130,250,289,418,293,240,188,77,42,29,1822,5,3,3,13,7,7,7,3,0,52,6,7,5,5,9,7,8,0,0,46,5,0,3,0,3,0,3,4,0,16,0,0,3,3,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,7,7,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,270,310,434,316,267,201,91,47,32,1969,298,335,454,329,288,210,105,46,33,2099,15320,12600,11143,9976,11474,10460,5920,3165,1375,81431
SED10013,20388,11119,12558,12922,10892,8209,5634,2579,1139,85437,15,10,5,8,7,5,5,3,3,67,243,313,293,229,150,190,148,82,46,1691,5,0,3,5,10,3,7,0,0,34,8,9,6,12,10,18,3,5,0,71,0,0,0,0,4,5,3,0,0,17,0,0,3,0,0,3,0,0,0,8,3,0,0,3,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,256,330,315,248,176,216,168,85,49,1848,273,342,316,257,186,225,173,89,51,1919,20656,11462,12877,13178,11074,8430,5810,2676,1189,87353
SED10014,16536,11062,10990,9827,9184,8751,6346,2555,764,76022,19,33,11,20,7,12,13,11,3,114,347,497,524,334,287,261,203,121,81,2652,5,8,22,13,16,10,4,5,0,76,6,9,20,13,24,22,4,3,0,96,0,4,8,5,5,8,0,0,0,24,0,5,0,0,11,9,4,0,0,29,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,9,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,363,517,569,371,350,310,213,125,82,2899,378,552,576,395,359,314,230,136,85,3016,16914,11613,11563,10224,9546,9067,6575,2688,840,79038
SED10015,15126,10796,13840,12164,11779,9093,6472,4504,1773,85543,24,15,9,7,10,9,19,8,3,104,212,218,399,254,234,182,139,127,51,1821,4,0,3,10,0,0,7,0,0,26,0,3,4,9,9,8,4,0,3,44,0,0,8,3,4,6,3,0,0,20,0,0,0,6,3,0,3,0,0,13,0,0,0,0,6,0,4,0,0,9,0,0,0,0,0,0,0,0,0,6,0,3,0,3,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,221,233,420,289,256,196,158,134,51,1955,248,246,433,293,265,209,173,140,55,2062,15370,11041,14273,12459,12043,9301,6648,4650,1824,87609
SED10016,17476,10738,7749,11824,11463,8776,6029,2537,919,77517,6,6,3,0,3,4,7,6,0,45,109,179,237,117,150,112,120,80,34,1135,0,12,23,17,18,16,10,3,0,100,3,8,9,19,12,19,19,0,0,77,0,0,4,3,3,0,3,0,0,21,3,0,0,4,4,3,0,0,0,18,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,119,202,287,156,185,150,155,92,37,1366,122,210,289,162,185,151,160,94,38,1409,17595,10946,8040,11985,11648,8926,6194,2634,958,78926
SED10017,15646,8830,9609,9460,9151,8861,6801,3188,1348,72896,14,19,13,12,14,10,14,5,7,102,392,468,479,316,336,323,250,117,59,2740,4,7,3,7,15,8,12,6,0,70,7,10,35,22,49,43,33,3,0,205,0,3,3,3,4,8,7,0,0,32,3,0,14,4,5,7,3,0,0,33,0,3,0,0,0,6,8,0,0,16,0,3,3,3,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,411,489,536,356,412,392,318,127,59,3109,426,510,546,371,427,403,329,138,66,3213,16070,9336,10159,9834,9578,9265,7132,3321,1415,76112
SED10018,13475,7956,7851,8871,9080,8179,6670,4335,1947,68364,7,12,8,5,3,12,6,5,3,65,243,338,348,255,257,219,160,106,52,1973,0,3,3,10,7,8,7,4,0,40,4,10,9,10,16,25,23,8,0,99,3,0,6,0,0,10,0,0,0,25,0,0,0,0,4,7,3,3,3,22,0,0,0,0,0,0,4,3,0,12,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6,7,3,0,20,0,0,0,0,0,0,0,0,0,0,246,350,377,270,286,271,203,125,54,2183,256,364,382,278,289,283,205,127,56,2250,13736,8313,8237,9148,9370,8461,6877,4462,2003,70612
SED10019,12334,7078,5758,7238,9132,10846,9489,5369,2151,69404,30,35,14,15,15,15,28,14,0,168,319,455,349,276,384,628,637,271,87,3407,11,11,24,8,27,165,426,165,22,854,85,90,138,97,117,211,159,51,6,966,7,3,3,3,13,30,51,6,0,116,8,4,11,6,7,5,10,0,0,43,3,0,4,0,8,17,20,12,0,60,0,4,4,3,0,3,0,0,0,11,0,4,0,4,0,26,38,8,0,84,0,0,0,0,0,3,0,0,0,3,426,565,527,401,564,1092,1337,506,119,5543,455,602,539,418,581,1103,1362,525,120,5710,12787,7681,6300,7656,9714,11954,10856,5893,2272,75111
SED10020,12972,7436,7139,7789,9096,9962,7836,4553,1962,68742,22,14,19,19,11,15,10,11,7,131,351,466,447,341,446,591,625,289,95,3654,34,21,53,37,32,159,381,160,20,886,67,77,102,70,87,142,148,29,10,722,3,5,5,3,10,24,49,20,6,125,6,3,14,8,12,18,20,10,0,87,4,0,4,6,10,8,51,5,0,93,0,9,3,3,0,0,0,0,0,16,7,0,3,4,3,21,49,27,3,117,0,0,0,0,0,3,0,0,0,4,466,579,625,473,597,978,1328,542,131,5710,488,591,647,486,608,993,1331,553,137,5840,13460,8025,7781,8281,9702,10949,9172,5104,2105,74580
SED10021,12964,8126,17240,13839,10183,7133,5191,3098,1905,79688,9,11,13,8,8,9,5,5,8,74,257,380,636,443,335,361,237,202,180,3038,6,24,56,42,68,42,23,14,0,273,9,35,44,54,52,40,32,5,0,274,4,7,12,13,14,10,13,7,0,75,0,7,30,3,12,25,19,4,0,102,0,4,4,4,0,7,15,0,0,37,0,0,0,4,0,6,0,0,0,8,6,24,21,17,16,23,10,14,0,126,0,0,0,0,0,0,0,0,0,0,291,479,798,589,499,513,346,243,185,3937,304,485,813,599,508,523,350,247,191,4008,13264,8611,18057,14436,10695,7658,5548,3343,2091,83695
SED10022,13177,6831,6275,7379,8837,9426,8336,4946,2123,67335,16,36,20,11,20,23,23,16,9,170,274,382,377,256,249,375,279,136,84,2413,21,34,41,28,36,65,119,40,5,385,19,11,16,28,30,46,41,8,0,202,7,4,10,9,16,20,27,3,0,93,0,0,10,3,5,13,9,0,0,38,5,3,10,5,3,6,12,6,0,52,0,0,0,3,3,0,0,0,0,11,12,35,21,12,25,23,10,5,0,143,0,0,0,0,0,0,0,0,0,0,339,474,476,342,373,544,500,203,91,3332,360,512,495,349,390,567,520,218,99,3509,13540,7339,6766,7728,9223,9998,8861,5161,2222,70842
SED10023,13285,8275,8767,9585,9808,9059,6302,3664,1799,70549,6,5,8,8,8,7,10,8,0,71,185,250,288,165,141,151,102,78,44,1402,3,0,14,9,16,15,6,0,0,75,5,3,3,14,14,16,17,6,4,82,0,0,4,4,0,3,0,3,0,13,0,3,4,3,3,0,3,3,0,20,0,0,0,0,3,0,3,3,0,10,0,0,3,0,3,0,0,0,0,10,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,192,252,316,194,190,194,132,95,51,1617,199,260,326,205,198,196,146,106,49,1688,13478,8543,9091,9789,10004,9257,6450,3767,1853,72233
SED10024,16110,9672,5613,9989,11854,8385,7082,4662,2342,75709,11,5,4,0,3,10,0,6,5,40,126,184,202,121,115,132,96,69,63,1101,12,5,3,10,9,3,3,3,0,53,3,5,4,4,12,13,10,4,0,62,0,0,0,0,0,3,9,0,0,9,0,0,4,3,0,3,0,0,0,15,0,3,0,0,3,3,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,139,211,215,141,140,158,126,78,66,1274,149,213,218,143,142,162,131,89,72,1313,16254,9891,5829,10133,12000,8545,7211,4750,2412,77029
SED10025,13068,8684,13556,11866,10126,8334,6282,3627,1838,77391,3,3,15,6,12,3,9,3,6,57,161,219,353,260,247,215,216,207,139,2015,0,8,9,0,6,3,6,0,3,34,0,3,9,4,4,20,16,4,0,67,0,0,5,3,3,0,3,0,0,17,4,0,7,11,3,6,9,0,0,35,0,0,5,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,7,5,3,3,6,6,0,0,29,0,0,0,0,0,0,0,0,0,0,163,237,393,283,267,261,248,213,144,2216,171,240,405,293,275,264,256,217,150,2270,13236,8926,13965,12160,10406,8597,6537,3850,1987,79663
SED10026,15557,8240,9053,8405,9311,8924,6924,3955,1541,71911,15,12,14,8,12,16,18,20,7,123,468,654,606,511,561,576,454,256,98,4175,19,18,38,45,38,73,125,32,0,398,48,17,61,37,37,67,44,5,0,319,3,3,7,3,12,20,42,11,0,99,0,4,9,11,4,10,18,0,0,59,0,0,0,4,5,7,25,0,0,43,0,7,0,4,0,3,0,0,0,11,3,16,0,3,14,12,12,0,0,57,0,0,0,0,0,0,0,0,0,0,542,712,725,614,676,769,714,311,100,5155,563,724,736,624,684,787,728,326,106,5280,16118,8967,9795,9030,9994,9709,7653,4284,1650,77188
SED10027,15139,9806,9638,10188,9781,8827,5979,3720,2039,75106,3,3,10,12,5,9,17,8,4,75,202,220,317,185,174,170,123,79,32,1489,3,4,9,8,0,3,0,0,3,32,4,0,4,3,8,7,7,3,0,39,7,0,7,0,0,3,3,0,0,18,3,3,3,3,0,3,0,3,0,20,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,3,6,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,220,228,339,195,185,194,136,81,35,1614,223,235,349,212,197,203,151,92,46,1693,15360,10038,9984,10396,9974,9030,6122,3807,2082,76792
SED10028,14191,11313,8219,10035,11337,9815,6201,4075,2634,77812,5,3,4,3,4,0,3,0,3,33,102,163,253,104,111,117,107,74,35,1067,3,3,10,3,3,5,3,3,0,40,0,7,7,3,5,11,7,4,0,50,0,6,0,0,3,4,3,0,0,11,0,3,3,3,3,3,0,0,0,17,0,0,0,0,3,0,4,0,0,7,0,3,0,0,3,0,0,0,0,5,0,3,7,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,112,191,281,118,132,142,116,86,36,1220,116,191,287,120,135,143,117,90,42,1249,14305,11505,8510,10160,11475,9961,6318,4163,2676,79067
