CED_NAME16	Age	EnglishProficiency	SpeaksEnglishOnly	YearOfArrival.max	persons_born_overseas
Banks	0-14				5
Banks	0-14			2016	3
Banks	0-14		0	2014	3
Banks	0-14		0	2016	3
Banks	0-14		1		34
Banks	0-14		1	2005	77
Banks	0-14		1	2010	197
Banks	0-14		1	2011	49
Banks	0-14		1	2012	49
Banks	0-14		1	2013	65
Banks	0-14		1	2014	47
Banks	0-14		1	2015	46
Banks	0-14		1	2016	26
Banks	0-14	Speaks English well or very well	0		44
Banks	0-14	Speaks English well or very well	0	2005	111
Banks	0-14	Speaks English well or very well	0	2010	361
Banks	0-14	Speaks English well or very well	0	2011	114
Banks	0-14	Speaks English well or very well	0	2012	150
Banks	0-14	Speaks English well or very well	0	2013	132
Banks	0-14	Speaks English well or very well	0	2014	154
Banks	0-14	Speaks English well or very well	0	2015	97
Banks	0-14	Speaks English well or very well	0	2016	40
Banks	0-14	Speaks English not well or not at all	0		40
Banks	0-14	Speaks English not well or not at all	0	2010	13
Banks	0-14	Speaks English not well or not at all	0	2011	5
Banks	0-14	Speaks English not well or not at all	0	2012	17
Banks	0-14	Speaks English not well or not at all	0	2013	27
Banks	0-14	Speaks English not well or not at all	0	2014	47
Banks	0-14	Speaks English not well or not at all	0	2015	78
Banks	0-14	Speaks English not well or not at all	0	2016	80
Banks	15-24				3
Banks	15-24		0	2012	4
Banks	15-24		0	2014	3
Banks	15-24		0	2016	5
Banks	15-24		1		46
Banks	15-24		1	2000	163
Banks	15-24		1	2005	240
Banks	15-24		1	2010	125
Banks	15-24		1	2011	25
Banks	15-24		1	2012	23
Banks	15-24		1	2013	25
Banks	15-24		1	2014	22
Banks	15-24		1	2015	48
Banks	15-24		1	2016	37
Banks	15-24	Speaks English well or very well	0		137
Banks	15-24	Speaks English well or very well	0	2000	366
Banks	15-24	Speaks English well or very well	0	2005	642
Banks	15-24	Speaks English well or very well	0	2010	674
Banks	15-24	Speaks English well or very well	0	2011	191
Banks	15-24	Speaks English well or very well	0	2012	266
Banks	15-24	Speaks English well or very well	0	2013	343
Banks	15-24	Speaks English well or very well	0	2014	541
Banks	15-24	Speaks English well or very well	0	2015	566
Banks	15-24	Speaks English well or very well	0	2016	419
Banks	15-24	Speaks English not well or not at all	0		49
Banks	15-24	Speaks English not well or not at all	0	2005	16
Banks	15-24	Speaks English not well or not at all	0	2010	38
Banks	15-24	Speaks English not well or not at all	0	2011	14
Banks	15-24	Speaks English not well or not at all	0	2012	32
Banks	15-24	Speaks English not well or not at all	0	2013	62
Banks	15-24	Speaks English not well or not at all	0	2014	73
Banks	15-24	Speaks English not well or not at all	0	2015	100
Banks	15-24	Speaks English not well or not at all	0	2016	79
Banks	25-34				6
Banks	25-34			2015	3
Banks	25-34		0	2000	16
Banks	25-34		0	2005	6
Banks	25-34		0	2010	15
Banks	25-34		0	2013	5
Banks	25-34		1		50
Banks	25-34		1	2000	568
Banks	25-34		1	2005	191
Banks	25-34		1	2010	276
Banks	25-34		1	2011	72
Banks	25-34		1	2012	59
Banks	25-34		1	2013	75
Banks	25-34		1	2014	42
Banks	25-34		1	2015	32
Banks	25-34		1	2016	36
Banks	25-34	Speaks English well or very well	0		177
Banks	25-34	Speaks English well or very well	0	2000	1575
