CED_NAME16	IndigenousStatus	persons
Banks	Aboriginal	1231
Banks	Both Aboriginal & Torres Strait Islander	20
Banks	Non-indigenous	154523
Banks	Torres Strait Islander	32
Barton	Aboriginal	1126
Barton	Both Aboriginal & Torres Strait Islander	25
Barton	Non-indigenous	171643
Barton	Torres Strait Islander	56
Bennelong	Aboriginal	598
Bennelong	Both Aboriginal & Torres Strait Islander	15
Bennelong	Non-indigenous	168305
Bennelong	Torres Strait Islander	30
Berowra	Aboriginal	712
Berowra	Both Aboriginal & Torres Strait Islander	9
Berowra	Non-indigenous	144392
Berowra	Torres Strait Islander	23
Blaxland	Aboriginal	927
Blaxland	Both Aboriginal & Torres Strait Islander	24
Blaxland	Non-indigenous	173620
Blaxland	Torres Strait Islander	63
Bradfield	Aboriginal	321
Bradfield	Both Aboriginal & Torres Strait Islander	6
Bradfield	Non-indigenous	159905
Bradfield	Torres Strait Islander	23
Calare	Aboriginal	9767
Calare	Both Aboriginal & Torres Strait Islander	175
Calare	Non-indigenous	151176
Calare	Torres Strait Islander	180
Chifley	Aboriginal	6662
Chifley	Both Aboriginal & Torres Strait Islander	95
Chifley	Non-indigenous	164319
Chifley	Torres Strait Islander	173
Cook	Aboriginal	1293
Cook	Both Aboriginal & Torres Strait Islander	32
Cook	Non-indigenous	137674
Cook	Torres Strait Islander	63
Cowper	Aboriginal	9478
Cowper	Both Aboriginal & Torres Strait Islander	194
Cowper	Non-indigenous	149528
Cowper	Torres Strait Islander	121
Cunningham	Aboriginal	3313
Cunningham	Both Aboriginal & Torres Strait Islander	56
Cunningham	Non-indigenous	151933
Cunningham	Torres Strait Islander	78
Dobell	Aboriginal	6437
Dobell	Both Aboriginal & Torres Strait Islander	116
Dobell	Non-indigenous	147366
Dobell	Torres Strait Islander	148
Eden-Monaro	Aboriginal	4535
Eden-Monaro	Both Aboriginal & Torres Strait Islander	85
Eden-Monaro	Non-indigenous	142818
Eden-Monaro	Torres Strait Islander	94
Farrer	Aboriginal	6625
Farrer	Both Aboriginal & Torres Strait Islander	93
Farrer	Non-indigenous	157130
Farrer	Torres Strait Islander	132
Fowler	Aboriginal	1248
Fowler	Both Aboriginal & Torres Strait Islander	13
Fowler	Non-indigenous	162900
Fowler	Torres Strait Islander	74
Gilmore	Aboriginal	7238
Gilmore	Both Aboriginal & Torres Strait Islander	97
Gilmore	Non-indigenous	142945
Gilmore	Torres Strait Islander	156
Grayndler	Aboriginal	1589
Grayndler	Both Aboriginal & Torres Strait Islander	46
Grayndler	Non-indigenous	147821
Grayndler	Torres Strait Islander	57
Greenway	Aboriginal	2384
Greenway	Both Aboriginal & Torres Strait Islander	83
Greenway	Non-indigenous	167528
Greenway	Torres Strait Islander	72
Hughes	Aboriginal	1708
Hughes	Both Aboriginal & Torres Strait Islander	33
Hughes	Non-indigenous	142499
Hughes	Torres Strait Islander	49
Hume	Aboriginal	4531
Hume	Both Aboriginal & Torres Strait Islander	52
Hume	Non-indigenous	145968
Hume	Torres Strait Islander	92
Hunter	Aboriginal	8818
Hunter	Both Aboriginal & Torres Strait Islander	198
