SA2_MAINCODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
103011058,6752,17326,970,1683,282,506,1248,2185,534,837,11,10,0,7,0,0,550,860,0,0,0,0,0,0,17,40,20,39,112,136,8681,20546,1206,..,9889,20546
103011059,3368,9756,158,284,44,81,201,361,31,48,0,0,0,5,0,0,37,49,12,33,4,5,3,6,0,0,21,43,26,49,3652,10258,336,..,3985,10258
103011060,2233,5807,6,18,0,0,6,18,8,22,0,0,0,0,0,0,8,22,0,4,0,0,0,8,0,3,9,14,18,50,2272,5908,528,..,2805,5908
103011061,1548,3719,8,15,0,0,8,15,35,39,9,14,0,0,0,0,41,51,3,9,3,10,0,0,0,0,9,16,60,137,1671,3937,452,..,2130,3937
103021062,2196,5381,12,16,0,0,13,12,64,103,0,0,0,0,0,0,68,104,7,10,0,0,0,0,16,26,20,37,71,186,2369,5714,478,..,2845,5714
103021063,3173,7633,122,175,3,8,128,188,219,292,7,11,0,0,0,3,229,303,14,17,3,3,0,0,10,31,22,46,15,32,3571,8211,366,..,3936,8211
103021064,1953,4650,48,130,0,0,48,130,32,39,0,0,0,0,0,0,32,39,3,6,7,7,3,0,16,27,24,44,37,76,2100,4942,482,..,2585,4942
103021065,3396,8396,117,167,6,9,119,176,137,169,4,3,0,0,0,0,141,175,19,25,4,14,13,28,30,63,68,123,15,38,3737,8906,580,..,4316,8906
103021066,1360,3065,51,80,0,0,53,78,8,9,0,0,0,0,0,0,7,13,4,4,0,0,0,0,7,17,9,24,11,27,1449,3201,292,..,1741,3201
103021067,3491,8984,120,218,13,18,138,233,265,366,8,12,0,0,0,3,273,382,6,11,5,15,6,8,9,17,26,49,30,67,3958,9714,536,..,4499,9714
103021068,1182,2860,5,11,0,0,5,11,15,21,0,0,0,0,0,0,15,21,6,8,4,9,3,3,11,11,17,35,13,44,1237,2966,310,..,1546,2966
103021069,2056,4941,9,12,0,0,9,12,56,67,0,0,0,0,0,0,56,67,3,5,0,0,0,0,10,24,13,26,36,82,2175,5134,453,..,2626,5134
103031070,4300,10089,427,658,84,135,507,794,108,167,20,18,0,0,0,0,126,183,11,22,7,12,0,0,18,35,35,67,12,29,4985,11167,627,..,5615,11167
103031071,2463,6062,28,33,4,5,27,42,5,11,0,0,0,0,0,3,12,12,12,16,0,3,6,9,299,738,312,769,54,118,2871,7010,423,..,3296,7010
103031072,3683,9532,268,444,17,29,290,474,181,281,10,9,0,0,0,0,187,291,22,35,31,39,0,0,3,11,62,83,21,48,4244,10425,543,..,4788,10425
103031073,1326,2911,11,12,0,0,11,12,24,34,0,0,0,0,0,0,24,34,3,3,0,0,3,0,3,7,10,9,23,45,1393,3009,409,..,1798,3009
103031074,3474,8540,44,68,0,0,44,68,21,27,0,0,0,0,0,0,21,27,19,21,10,21,6,25,22,45,61,112,38,102,3628,8855,841,..,4476,8855
103031075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
103041076,2517,6388,30,52,4,13,34,56,52,62,0,0,0,0,0,0,58,68,0,0,3,3,4,20,16,42,27,68,29,36,2667,6615,351,..,3015,6615
103041077,5937,14480,845,1286,145,247,988,1529,315,445,15,20,0,0,3,4,336,470,6,12,3,0,0,0,8,16,20,30,107,160,7386,16670,1022,..,8411,16670
103041078,6139,17214,360,626,48,83,409,711,173,278,21,30,17,24,0,0,211,329,10,10,0,0,0,0,3,5,14,17,20,53,6792,18333,618,..,7409,18333
103041079,3794,10386,22,21,0,3,23,25,43,64,0,0,0,0,3,9,51,70,16,15,3,13,0,7,7,12,30,47,28,86,3916,10615,513,..,4423,10615
104011080,5848,14757,377,546,230,442,609,991,522,764,26,40,0,0,0,0,549,801,47,73,24,25,10,13,18,43,93,150,48,99,7143,16800,783,..,7927,16800
104011081,5293,13280,24,28,8,18,32,46,13,30,0,6,0,0,3,9,20,39,51,104,37,62,71,149,12,37,182,353,54,114,5577,13836,924,..,6502,13836
104011082,5522,12837,307,497,142,263,446,765,326,509,51,84,10,9,0,0,383,612,179,282,111,167,3,10,31,51,324,511,44,103,6727,14822,1319,..,8039,14822
104021083,2060,5178,43,66,7,27,53,95,22,35,0,0,0,0,0,0,22,35,3,3,5,3,0,0,0,4,6,15,15,47,2154,5367,234,..,2393,5367
104021084,4314,11599,613,1107,557,1124,1168,2229,682,1205,80,137,156,281,0,0,928,1619,69,84,96,157,0,0,5,6,166,243,109,210,6681,15909,673,..,7358,15909
104021085,2179,5670,291,537,306,600,599,1139,804,1464,141,259,105,148,0,3,1051,1873,0,0,9,6,0,0,8,21,11,28,51,110,3890,8815,424,..,4320,8815
104021086,1230,3386,4,9,0,0,4,9,13,32,0,0,0,0,0,0,8,37,3,3,4,17,0,0,3,5,10,23,9,30,1272,3484,100,..,1368,3484
104021087,1247,2775,5,19,0,0,5,19,13,17,0,0,0,0,0,0,13,17,6,5,0,0,4,0,0,0,6,11,18,38,1302,2860,252,..,1549,2860
104021088,2578,7159,124,261,185,432,307,693,58,113,0,0,38,63,0,0,99,177,16,26,34,55,0,0,6,14,52,96,21,54,3056,8181,369,..,3425,8181
104021089,5735,15384,728,1292,153,310,886,1605,485,807,69,130,0,0,7,18,561,952,58,92,66,96,8,7,15,23,149,228,43,104,7369,18271,713,..,8080,18271
104021090,1543,3598,132,256,39,81,166,337,89,121,11,14,0,0,0,0,101,136,49,80,27,36,0,0,3,4,78,121,13,31,1899,4220,260,..,2160,4220
104021091,3835,10262,201,375,151,314,350,682,55,85,29,91,0,0,0,0,86,180,62,103,138,221,36,67,6,16,241,399,36,72,4543,11591,626,..,5169,11591
105011092,1146,3056,16,22,5,4,17,30,42,71,24,37,0,0,0,0,67,105,12,23,4,8,3,10,15,28,32,66,21,36,1280,3293,311,..,1595,3293
105011093,1482,3747,22,40,0,0,22,40,103,135,0,0,0,0,0,0,105,135,9,19,5,11,4,10,14,34,33,81,0,7,1646,4006,505,..,2154,4006
105011094,1333,3267,14,20,0,0,14,20,53,69,0,0,0,0,0,0,58,75,8,10,0,0,0,0,3,6,15,23,16,25,1428,3408,372,..,1803,3408
105011095,1676,3988,35,58,4,11,42,69,67,99,0,0,0,0,0,0,67,99,14,19,0,4,0,0,8,13,22,34,19,46,1828,4230,367,..,2193,4230
105011096,1995,4764,4,3,0,0,5,8,101,144,0,0,11,18,3,8,116,169,31,44,0,4,152,277,6,14,190,339,91,197,2399,5477,821,..,3224,5477
105021097,6792,15192,152,239,16,30,164,268,182,232,0,0,0,0,0,3,184,233,8,21,3,8,3,5,3,5,18,44,23,52,7184,15783,1870,..,9056,15783
105021098,740,1960,19,34,0,0,19,34,16,28,0,0,0,0,0,0,16,28,3,11,0,0,8,9,3,9,20,25,17,29,806,2076,393,..,1196,2076
105031099,2824,6607,45,48,6,13,50,58,51,84,4,3,5,13,0,0,65,95,18,31,11,19,0,0,19,32,38,82,50,93,3031,6942,626,..,3661,6942
105031100,2939,8203,440,757,31,48,464,803,102,142,0,0,0,0,0,0,102,142,5,19,0,0,0,0,6,11,13,31,11,17,3527,9196,400,..,3931,9196
105031101,5048,13330,387,668,24,38,405,702,757,1169,17,20,0,0,0,0,774,1184,11,16,0,0,4,3,5,13,19,30,34,75,6283,15333,719,..,7007,15333
105031102,2608,7165,87,164,3,6,92,168,301,500,0,0,0,0,0,0,301,500,11,46,0,6,0,0,45,148,51,193,6,17,3063,8041,363,..,3430,8041
105031103,1802,4964,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,11,0,0,0,3,0,0,8,23,9,27,1824,5019,164,..,1988,5019
105031104,1566,3764,4,7,0,0,4,7,43,62,0,0,0,0,0,0,43,62,3,9,0,0,0,0,0,0,9,11,16,29,1633,3877,255,..,1885,3877
105031105,2185,5522,27,45,0,3,30,50,84,111,0,0,5,7,0,0,90,116,4,8,0,3,0,0,7,11,10,17,22,49,2346,5755,324,..,2673,5755
105031106,2573,6291,81,126,0,0,81,126,36,62,0,3,0,0,0,0,39,61,8,22,3,10,3,8,221,527,239,563,20,49,2954,7089,503,..,3454,7089
106011107,3255,9081,95,192,10,27,105,212,37,53,0,0,0,3,0,0,36,55,3,16,3,8,0,4,0,3,12,32,26,64,3437,9448,452,..,3890,9448
106011108,6643,17442,779,1365,102,164,887,1531,134,199,0,0,0,0,0,3,135,206,3,0,0,0,3,5,14,31,22,38,29,59,7717,19275,778,..,8493,19275
106011109,2498,6868,3,9,0,0,3,9,6,4,0,0,0,0,0,0,6,4,8,11,3,6,4,5,3,9,20,32,40,74,2562,6991,399,..,2961,6991
106011110,3133,7941,23,35,0,0,23,35,39,54,0,0,0,0,0,0,39,54,13,26,16,40,11,28,6,9,43,102,22,63,3257,8195,527,..,3783,8195
106011111,5685,15378,381,630,104,172,489,801,116,177,0,0,0,0,0,0,116,177,3,9,3,7,0,6,5,11,14,37,20,64,6329,16460,514,..,6837,16460
106011112,4691,12908,378,730,182,310,558,1038,262,416,0,3,0,0,0,0,262,421,40,52,3,10,10,15,3,3,57,86,32,61,5596,14514,603,..,6205,14514
106011113,1492,4157,0,6,0,0,0,6,0,0,0,0,3,3,0,0,4,6,8,12,0,3,0,0,6,4,8,20,17,43,1527,4235,272,..,1802,4235
106021114,1884,5208,116,232,54,85,171,321,36,64,0,0,32,51,0,0,70,117,24,50,0,0,5,10,24,52,57,107,147,216,2329,5964,191,..,2515,5964
106021115,8289,22651,979,1741,314,554,1292,2292,396,539,0,0,0,0,3,5,395,547,0,7,0,0,3,3,22,54,27,61,116,172,10125,25726,807,..,10932,25726
106021116,2414,6871,118,186,9,12,122,196,7,12,0,0,0,3,0,0,3,13,13,13,0,0,0,0,0,0,17,14,8,11,2560,7099,172,..,2732,7099
106021117,6997,19678,584,1045,127,191,713,1234,120,176,0,0,0,0,0,0,120,176,0,0,0,0,0,5,3,15,7,16,91,109,7926,21216,603,..,8532,21216
106021118,3189,9407,86,130,15,27,104,161,15,13,0,0,0,0,0,0,15,13,0,0,0,0,0,12,0,0,0,12,15,29,3321,9625,215,..,3534,9625
106031119,1652,4348,73,171,133,341,209,510,3,4,0,0,0,0,0,0,4,8,34,55,86,136,3,6,4,18,131,214,26,41,2020,5116,472,..,2491,5116
106031120,2377,5754,112,172,50,110,155,276,34,53,3,3,0,0,9,18,43,75,0,3,6,6,0,0,10,21,17,34,5,10,2596,6153,373,..,2977,6153
106031121,5068,12716,1090,1844,1207,2699,2292,4542,266,404,165,263,328,546,3,3,757,1217,14,22,39,75,0,3,7,15,65,117,58,107,8241,18707,3853,..,12097,18707
106031122,4013,10920,582,977,161,289,745,1262,55,68,0,0,0,0,3,7,54,72,75,108,140,191,3,7,11,25,232,336,23,44,5063,12636,387,..,5456,12636
106031123,1699,5102,3,3,0,0,0,7,0,0,0,3,0,0,4,9,5,15,0,5,0,0,0,7,0,0,4,13,3,6,1711,5144,105,..,1812,5144
106031124,1907,3986,89,165,57,116,144,281,70,110,36,55,0,0,0,0,101,165,5,7,3,6,3,3,11,32,23,48,11,7,2192,4490,1422,..,3612,4490
106031125,4222,11883,50,86,3,12,53,99,35,71,0,0,0,0,3,4,36,73,122,190,10,14,9,26,9,14,148,249,12,28,4468,12329,323,..,4785,12329
106041126,3811,10033,367,638,148,246,517,890,23,38,4,14,0,0,0,0,28,52,6,12,0,0,0,0,3,9,14,23,21,34,4395,11028,794,..,5189,11028
106041127,1244,3328,52,74,0,6,55,84,26,38,0,0,0,0,0,0,26,38,6,4,3,4,3,3,0,3,9,13,28,73,1368,3529,269,..,1635,3529
106041128,1925,4845,74,127,0,0,74,127,157,244,0,0,0,0,0,0,157,244,15,18,0,0,0,0,0,3,16,25,15,33,2189,5262,239,..,2426,5262
106041129,2774,6919,16,34,0,0,16,34,90,129,0,0,0,0,0,0,88,130,5,3,44,57,4,7,7,9,61,84,38,94,2977,7250,626,..,3595,7250
107011131,7375,20325,654,1109,204,380,854,1496,262,361,5,17,0,0,0,0,274,379,0,0,0,0,0,0,16,64,20,65,26,52,8554,22314,592,..,9150,22314
107011132,2592,8100,87,172,3,10,90,174,3,7,0,0,0,0,0,3,5,9,0,0,0,0,0,0,3,3,3,3,4,8,2685,8303,105,..,2794,8303
107011133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
107011134,4616,13345,246,403,122,268,369,669,153,230,6,21,0,3,0,0,166,249,0,3,0,0,0,3,20,62,28,61,11,39,5181,14363,265,..,5451,14363
107011545,4298,11935,63,100,104,265,166,362,328,556,29,74,0,0,21,53,388,684,0,0,0,0,0,0,6,16,6,16,21,42,4884,13043,422,..,5306,13043
107011546,2577,6928,120,205,241,651,362,853,424,758,226,351,37,50,3,3,695,1159,0,6,0,0,0,0,13,45,17,45,5,18,3660,9013,423,..,4080,9013
107011547,1360,3280,277,413,52,110,325,520,87,142,0,0,0,0,0,0,87,142,21,31,24,55,0,0,0,0,44,87,15,28,1820,4052,153,..,1976,4052
107021135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,8,0,..,5,8
107031136,4000,12367,349,672,180,418,528,1089,12,20,0,0,0,0,3,3,14,24,0,0,0,0,0,0,3,10,3,10,14,22,4562,13516,280,..,4839,13516
107031137,1911,5420,299,553,130,274,429,828,17,35,0,0,0,0,0,0,17,35,0,0,0,0,0,0,3,3,3,3,57,83,2424,6377,150,..,2579,6377
107031138,1855,4906,148,273,519,1039,663,1316,198,331,73,114,191,257,0,0,457,703,16,31,0,5,0,0,18,45,32,81,15,32,3027,7036,699,..,3723,7036
107031139,1843,5161,44,100,84,176,128,274,41,72,0,0,0,0,0,0,41,72,0,0,0,0,0,0,0,3,0,3,0,4,2018,5527,246,..,2265,5527
107031140,2333,6313,43,98,50,102,98,194,142,207,12,16,0,5,0,0,152,234,12,25,3,11,0,0,7,14,19,50,44,61,2639,6846,689,..,3333,6846
107031141,4260,13414,311,633,634,1455,943,2087,148,308,0,3,0,0,0,3,155,317,47,64,12,18,0,0,16,30,75,112,15,44,5450,15980,448,..,5891,15980
107031142,2817,7985,409,726,247,532,658,1264,59,95,0,0,0,3,0,0,64,102,0,0,0,0,0,0,9,20,9,20,8,26,3563,9394,214,..,3775,9394
107031143,5955,16130,290,481,453,829,737,1311,677,1130,4,4,0,0,0,0,680,1138,3,3,244,350,0,0,11,29,258,384,17,35,7649,19000,611,..,8256,19000
107041144,5359,14976,707,1336,914,1771,1621,3107,358,654,62,122,344,682,4,9,765,1468,0,4,0,6,0,7,49,113,57,127,18,42,7822,19718,621,..,8444,19718
107041145,3492,9583,768,1391,1048,2200,1814,3589,476,832,226,373,53,86,0,3,754,1288,18,36,0,0,0,0,27,61,45,103,13,35,6117,14600,500,..,6614,14600
107041146,5668,16482,320,692,383,912,697,1601,625,1107,50,118,0,3,3,0,673,1236,157,245,3,4,0,0,23,44,184,290,30,61,7255,19669,528,..,7785,19669
107041147,2364,7281,36,67,64,158,97,225,216,501,55,90,0,0,0,0,271,590,0,0,8,9,0,0,8,19,19,29,11,31,2756,8155,223,..,2984,8155
