SA2_MAINCODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
101021007,1067,21,5,12,19,1114,265,6,0,7,3,289,48,0,5,0,0,54,1381,26,8,22,24,1453
101021008,1926,388,45,4,4,2360,397,93,24,0,0,509,64,22,0,0,0,95,2383,501,64,4,6,2963
101021009,1555,792,1205,15,5,3576,365,217,316,3,0,896,65,38,41,6,0,147,1985,1049,1565,17,7,4621
101021010,693,456,498,0,5,1652,82,91,141,0,0,318,21,23,15,0,0,63,799,570,651,0,4,2030
101021011,4671,17,14,40,20,4760,354,4,0,15,6,380,100,0,0,0,3,108,5124,24,20,55,26,5243
101021012,3146,577,60,3,8,3795,220,68,7,0,0,297,38,10,3,0,0,49,3401,656,70,6,6,4145
101031013,613,3,9,8,8,639,269,5,6,3,0,292,17,0,0,0,0,23,907,11,13,9,8,949
101031014,1828,52,77,14,15,1986,454,50,75,11,9,587,84,6,7,3,22,132,2363,112,163,30,40,2707
101031015,910,3,3,21,22,958,220,4,3,13,3,237,24,0,0,0,0,24,1156,9,5,32,25,1218
101031016,1464,173,168,27,133,1959,214,35,28,13,15,309,42,10,36,5,20,111,1723,216,238,41,163,2380
101041017,1827,185,227,21,13,2263,404,99,155,23,4,682,59,13,19,7,0,100,2291,300,398,46,19,3055
101041018,2181,255,142,23,15,2612,419,95,66,23,3,597,76,11,10,6,3,105,2677,357,218,44,22,3314
101041019,2273,120,70,22,10,2505,468,100,34,7,5,616,87,20,13,0,0,119,2833,239,115,34,19,3239
