SA4_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
101,..,349,349,170,288,359,198,107,14,1833,..,326,738,703,1452,2585,2742,2292,1263,12099,313,488,345,173,311,496,402,180,77,2779,17508,10155,10265,11898,14642,14800,11520,5838,2182,98812,..,472,7607,13435,16421,17512,14757,6195,1140,77529,..,1910,4333,3298,3509,2606,1188,278,47,17161,..,360,1277,1997,2399,1147,586,477,347,8587,35720,..,..,..,..,..,..,..,..,35720,..,8082,..,..,..,..,..,..,..,8082,..,6214,2443,929,784,438,79,3,0,10890,..,734,350,181,340,473,534,330,230,3181,..,520,413,170,163,132,61,22,9,1495,..,811,900,396,615,750,446,221,33,4164,..,678,1806,2009,3503,5293,4923,3499,1735,23447,672,950,820,508,654,891,771,335,113,5719,36391,20733,19954,22929,28383,29232,23334,11362,3652,195973
102,..,592,602,288,582,665,475,204,60,3471,..,260,682,806,1667,3407,4711,4271,2529,18331,487,746,536,270,344,471,449,269,129,3710,28049,17707,17052,19230,21269,20725,17659,10624,4514,156826,..,656,12307,21230,23047,23114,20007,10238,2396,112998,..,2462,6882,5095,4482,2791,1335,381,85,23511,..,604,2244,4074,4673,2605,1153,864,637,16864,56903,..,..,..,..,..,..,..,..,56903,..,14593,..,..,..,..,..,..,..,14593,..,12042,5537,1803,1434,825,168,4,0,21811,..,1301,762,359,637,1084,1120,842,533,6637,..,1115,871,465,480,337,173,76,33,3549,..,1224,1511,813,1277,1413,980,415,128,7759,..,540,1797,2388,4002,6156,7512,6037,3528,31958,995,1432,1207,754,813,870,770,422,193,7456,57900,35977,33115,36973,40847,39191,33218,19284,7539,304043
103,..,589,417,144,238,278,193,66,16,1943,..,359,713,533,1192,2160,2580,2405,1235,11176,341,544,317,188,229,338,312,189,84,2559,18373,10266,10538,10988,12392,11946,9779,5689,2126,92100,..,554,8106,12378,14144,14656,11970,5498,1082,68389,..,2294,4439,2728,2541,1582,774,174,23,14561,..,554,1571,2159,2146,995,592,525,338,8884,37256,..,..,..,..,..,..,..,..,37256,..,7294,..,..,..,..,..,..,..,7294,..,5719,2121,932,812,448,66,3,0,10106,..,793,336,157,288,470,452,335,208,3036,..,559,326,167,181,124,58,17,12,1443,..,1282,979,386,517,576,421,155,30,4339,..,774,1808,1681,3001,4310,4640,3628,1677,21521,711,1075,815,543,566,619,534,307,122,5287,37966,20896,20501,21133,24187,23773,19507,10646,3495,182113
104,..,335,314,130,262,360,198,87,28,1712,..,121,282,321,886,1753,1963,1712,923,7963,218,347,188,141,207,311,242,127,42,1824,10968,6274,6022,7163,8876,9905,7918,4504,1683,63312,..,287,4077,6959,8846,10716,9640,4660,984,46176,..,1033,2424,2083,2067,1758,877,225,34,10497,..,283,1031,1734,1801,908,408,387,255,6804,22055,..,..,..,..,..,..,..,..,22055,..,4924,..,..,..,..,..,..,..,4924,..,3724,1590,713,566,393,67,6,0,7062,..,576,228,136,220,428,387,282,216,2472,..,506,335,179,204,166,67,27,8,1484,..,677,714,351,549,769,457,196,50,3754,..,270,702,941,1931,3467,3385,2523,1232,14456,466,645,465,346,450,580,450,212,69,3685,22517,12924,11568,13442,16632,19179,15742,8524,2845,123371
105,..,257,222,80,150,171,106,59,12,1064,..,226,487,364,711,1147,1321,1276,623,6156,257,309,236,89,186,222,188,127,57,1673,10198,5592,6387,5769,6670,6688,5044,3072,1080,50491,..,284,4226,5824,6862,7623,5926,2830,565,34136,..,1343,2598,1592,1528,988,398,106,14,8568,..,434,1160,1371,1271,714,349,333,160,5788,20308,..,..,..,..,..,..,..,..,20308,..,3307,..,..,..,..,..,..,..,3307,..,3128,1260,528,481,246,37,0,0,5688,..,724,300,147,264,391,333,174,90,2428,..,390,253,137,121,76,54,22,3,1055,..,505,504,202,328,356,232,114,27,2267,..,490,1199,955,1788,2564,2559,1945,888,12392,516,656,558,297,375,405,377,189,86,3454,20823,11248,12065,11052,13014,13367,10263,5718,1840,99385
106,..,429,367,174,357,368,256,77,17,2050,..,307,709,647,1246,2396,2787,2434,1254,11772,520,671,417,238,312,411,336,169,77,3143,24508,14361,14860,15289,16478,15522,12225,6290,2225,121755,..,687,11485,17326,18906,19364,15837,6655,1128,91384,..,2959,6387,4103,3430,2053,942,188,46,20102,..,713,2262,3121,3167,1437,721,586,346,12347,49389,..,..,..,..,..,..,..,..,49389,..,10625,..,..,..,..,..,..,..,10625,..,9075,3411,1377,980,489,84,0,0,15417,..,1135,479,242,468,691,688,460,273,4434,..,783,535,303,284,156,73,30,6,2177,..,948,970,518,782,767,552,187,28,4758,..,704,1992,2121,3196,4718,4765,3494,1708,22692,1005,1305,1049,653,703,732,605,282,98,6427,50390,28917,28559,29764,31917,30396,24272,11886,3646,239750
107,..,1723,868,229,316,362,254,105,37,3899,..,310,861,802,1407,2749,3035,3053,1783,13998,422,684,558,255,275,370,315,226,103,3218,25182,17775,16923,17857,18602,17442,13149,8302,3239,138470,..,690,12856,21490,22006,21157,16656,8526,1789,105184,..,2286,6053,3974,3264,2046,813,238,37,18727,..,448,1715,3226,3866,2021,904,851,551,13577,50774,..,..,..,..,..,..,..,..,50774,..,14407,..,..,..,..,..,..,..,14407,..,10474,5411,1863,1441,723,115,4,0,20030,..,1513,771,307,467,772,760,631,377,5595,..,1141,773,279,274,196,71,26,8,2769,..,3839,2553,598,710,765,521,212,58,9265,..,677,2163,2304,3497,5111,4949,4293,2393,25387,900,1356,1207,663,647,709,545,352,153,6536,51671,36838,33495,34713,36172,33510,25333,15133,5374,272256
108,..,432,326,151,395,562,366,163,46,2450,..,229,410,457,1282,2674,3494,3192,1867,13618,297,445,282,175,299,488,445,208,100,2740,16066,9109,8291,10099,13091,15651,14824,8413,3236,98773,..,376,5383,10037,13078,17146,18525,9084,1962,75590,..,1546,3189,2790,2973,2565,1442,406,54,14951,..,524,1618,2459,2648,1399,709,593,423,10378,32255,..,..,..,..,..,..,..,..,32255,..,7226,..,..,..,..,..,..,..,7226,..,5283,2265,1211,1046,564,111,4,0,10487,..,845,289,176,416,713,647,449,327,3867,..,591,419,236,254,218,112,38,9,1873,..,800,781,376,881,1108,782,351,91,5173,..,456,1042,1318,2931,5378,6097,4803,2541,24573,635,896,700,526,650,872,831,358,138,5611,32896,18538,15679,19130,24886,29968,29249,16094,5551,191985
109,..,525,250,71,149,160,101,56,16,1327,..,254,512,396,707,1340,1452,1468,748,6873,188,285,201,89,137,211,209,129,47,1496,9796,5755,5779,6087,6938,7284,5815,3446,1213,52114,..,259,4360,6910,7795,8921,7458,3436,698,39841,..,1236,2415,1487,1425,1073,476,122,16,8244,..,235,726,1168,1248,525,251,226,168,4552,19629,..,..,..,..,..,..,..,..,19629,..,4043,..,..,..,..,..,..,..,4043,..,3090,990,419,361,212,32,0,0,5099,..,424,160,78,121,220,208,147,89,1445,..,280,160,65,83,61,24,7,4,672,..,1012,657,205,279,324,245,106,29,2858,..,558,1219,1093,1785,2700,2645,2197,1062,13259,376,581,441,263,331,368,379,216,72,3030,20006,11716,11126,11694,13431,14392,11707,6453,2134,102674
110,..,646,377,166,236,291,187,69,15,1993,..,335,664,565,1061,1906,2298,2136,1111,10063,387,549,319,177,220,365,330,182,73,2598,16091,8990,9356,9543,10824,10968,8805,5123,1837,81555,..,457,6639,10296,12056,13017,10748,5084,866,59169,..,2166,3850,2400,2186,1471,624,148,25,12868,..,573,1592,1999,1905,984,515,446,269,8277,31949,..,..,..,..,..,..,..,..,31949,..,5696,..,..,..,..,..,..,..,5696,..,4797,1763,837,739,396,62,3,0,8592,..,855,360,190,344,539,415,318,184,3210,..,544,421,171,173,112,52,17,4,1499,..,1379,997,384,515,590,410,149,27,4454,..,737,1643,1534,2623,3909,4070,3142,1451,19097,781,1052,784,427,485,663,594,295,97,5172,32727,18252,18050,18232,21019,21673,17493,9608,2926,159987
