SA4_CODE_2016,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
101,468,400,867,5355,4900,10252,398,344,740,6218,5643,11866,490,461,948,6104,5677,11784,438,415,847,7028,6548,13579,484,476,956,5927,5547,11478,447,440,887,6856,6460,13314,438,365,805,5619,5365,10984,440,431,867,6492,6167,12659,292,291,579,4656,4362,9021,398,371,763,5345,5022,10364,256,226,480,4719,4788,9512,396,411,813,5376,5428,10802,219,233,453,5043,5226,10271,409,407,818,5668,5869,11539,204,199,403,5024,5380,10404,380,386,770,5606,5968,11572,214,244,457,6147,6270,12419,530,437,967,6891,6953,13841,212,224,440,6690,7171,13859,575,519,1097,7482,7911,15393,190,215,407,7209,7315,14528,611,564,1176,8014,8101,16114,162,197,357,7583,7654,15243,601,554,1151,8346,8405,16748,113,157,276,7201,7394,14592,587,532,1127,7907,8081,15991,220,235,454,19935,21077,41014,1748,1852,3598,21898,23165,45061,3962,3910,7875,97203,98143,195345,7955,7663,15619,109123,109716,218843
102,786,721,1504,8635,8148,16780,460,434,895,9887,9299,19181,722,721,1441,9608,8896,18505,483,490,971,10805,10113,20920,782,676,1461,9187,8743,17933,497,436,933,10474,9852,20329,733,683,1418,8867,8676,17543,518,445,968,10117,9808,19930,581,527,1102,8207,7869,16076,483,512,996,9267,8908,18174,423,429,856,7604,7834,15445,463,437,898,8491,8706,17195,316,381,696,7972,8513,16487,456,436,901,8750,9332,18078,305,320,630,8217,8757,16973,459,445,907,8982,9526,18506,278,339,621,9252,9956,19209,526,513,1044,10050,10812,20870,294,344,642,9545,10408,19956,573,562,1137,10419,11325,21739,284,358,635,9836,10347,20185,518,555,1071,10639,11255,21892,237,252,486,9616,10779,20392,581,581,1165,10436,11608,22039,158,190,356,8922,9966,18883,540,543,1085,9620,10701,20320,299,350,644,28521,34741,63259,2015,2640,4656,30834,37727,68563,6188,6300,12485,143996,153644,297634,8585,9037,17621,158768,168972,327736
103,897,757,1659,5436,5228,10657,494,478,973,6828,6466,13290,820,781,1598,5952,5679,11629,514,520,1030,7291,6974,14263,770,719,1492,5684,5177,10861,519,481,999,6977,6379,13355,697,710,1409,5441,5153,10597,551,539,1084,6692,6398,13093,628,545,1168,4823,4559,9388,524,478,1002,5972,5590,11564,476,465,945,4865,4811,9679,462,398,862,5807,5676,11480,335,363,699,5000,5068,10064,439,415,853,5776,5845,11619,311,345,657,4791,4923,9706,414,440,862,5515,5702,11222,336,372,710,5274,5501,10767,480,469,949,6092,6332,12426,361,357,711,5664,5837,11499,565,501,1065,6588,6688,13279,302,318,620,5891,6072,11962,574,572,1153,6772,6966,13738,242,266,503,6148,6171,12315,591,526,1117,6981,6963,13935,190,189,376,5771,5687,11457,502,495,1002,6460,6372,12833,354,389,742,16848,18767,35618,1742,1963,3707,18945,21115,40064,6732,6566,13292,87588,88618,176209,8382,8277,16659,102700,103464,206155
104,405,407,808,3045,2820,5867,213,237,452,3662,3466,7129,480,446,922,3567,3509,7078,282,245,528,4328,4198,8527,420,389,804,3562,3314,6879,257,263,518,4239,3960,8205,411,392,805,3462,3230,6694,276,241,523,4155,3863,8016,282,272,550,2649,2478,5128,243,207,452,3173,2963,6135,238,245,484,2603,2769,5366,235,215,444,3071,3223,6296,208,197,404,2721,2911,5627,214,202,420,3142,3311,6456,157,198,353,2774,3107,5879,212,220,430,3140,3518,6664,170,199,367,3417,3708,7125,258,268,528,3847,4175,8026,186,242,429,3500,4087,7584,261,317,581,3947,4645,8592,163,202,365,4102,4473,8582,312,315,628,4578,4991,9569,167,189,350,4489,5028,9515,432,376,808,5089,5586,10677,114,132,242,4826,4841,9671,375,317,693,5317,5290,10607,184,226,412,13634,15018,28646,1074,1253,2329,14885,16497,31387,3571,3732,7302,58359,61291,119649,4655,4680,9332,66583,69704,136288
105,1155,1061,2215,2394,2390,4786,322,316,632,3862,3765,7635,1133,1108,2242,2621,2457,5075,321,348,672,4073,3910,7987,998,957,1954,2345,2187,4536,262,261,526,3610,3405,7011,947,884,1827,2134,2059,4201,249,225,477,3333,3171,6502,826,801,1626,2162,2101,4269,278,281,560,3277,3184,6453,701,715,1416,2479,2641,5124,328,321,645,3507,3676,7184,536,546,1080,2481,2664,5145,301,297,591,3319,3503,6822,444,460,904,2251,2393,4639,266,255,525,2956,3109,6066,457,605,1062,2497,2440,4935,311,287,598,3261,3337,6595,480,613,1090,2707,2710,5418,312,326,643,3500,3648,7154,478,501,979,3026,3032,6057,368,355,722,3867,3889,7760,389,458,849,3277,3226,6509,419,357,780,4093,4047,8134,323,346,666,2968,2877,5848,337,320,652,3626,3539,7170,536,593,1125,8665,9513,18172,994,1020,2014,10186,11122,21316,9411,9637,19041,42007,42707,84708,5060,4965,10029,56474,57300,113779
106,957,896,1852,7377,7079,14457,487,474,956,8819,8448,17264,1024,899,1922,7997,7646,15637,607,531,1134,9619,9070,18697,926,872,1799,7494,7006,14503,501,509,1011,8924,8386,17309,759,757,1520,7187,6759,13946,466,480,944,8419,7993,16410,726,581,1308,6429,6449,12877,495,408,899,7650,7437,15088,545,511,1057,6624,6907,13534,518,490,1011,7689,7907,15600,428,432,861,6903,7223,14128,503,518,1017,7837,8175,16005,412,359,764,6906,6931,13836,468,412,884,7786,7700,15484,364,400,764,7462,7737,15199,529,509,1036,8349,8648,16992,371,430,803,7567,7896,15468,567,525,1094,8513,8848,17363,334,388,721,7682,7934,15615,556,524,1080,8568,8845,17417,301,338,640,7744,7948,15698,548,521,1071,8598,8812,17409,196,207,404,7223,7470,14690,544,525,1066,7956,8203,16161,309,355,662,19962,21970,41928,1637,1992,3633,21904,24310,46218,7655,7429,15084,114552,116953,231512,8423,8401,16826,130635,132782,263416
107,476,457,935,8083,7638,15719,432,389,822,8989,8486,17470,480,515,997,8657,8134,16791,380,331,714,9517,8983,18506,496,450,949,8198,7909,16106,394,346,739,9089,8704,17790,475,493,964,8849,8357,17211,391,414,808,9720,9264,18979,389,368,753,9920,9121,19045,556,500,1050,10863,9989,20855,305,308,614,8339,8221,16557,498,431,929,9136,8963,18102,253,237,485,8020,8393,16413,465,434,902,8733,9067,17796,188,212,407,8048,8322,16367,402,346,748,8642,8878,17522,218,222,440,8727,9245,17974,434,422,853,9375,9888,19271,187,233,418,8535,9047,17578,456,418,883,9179,9698,18880,170,238,409,9043,9255,18295,501,441,938,9716,9932,19648,146,198,342,8726,9188,17910,501,455,959,9371,9841,19216,121,121,240,7578,8334,15908,443,426,875,8143,8884,17020,185,229,410,22314,26228,48539,1512,1973,3489,24008,28431,52445,4085,4277,8364,133038,137394,270432,7363,7335,14699,144488,149005,293494
108,780,808,1585,4159,3873,8028,329,316,641,5266,4993,10261,864,815,1680,4992,4778,9776,358,379,744,6226,5978,12199,806,773,1580,5055,4869,9919,387,359,750,6242,5999,12246,703,652,1350,4893,4693,9585,395,364,758,5993,5706,11701,545,504,1049,3485,3401,6889,298,293,584,4327,4197,8522,423,428,851,3430,3704,7131,282,305,587,4135,4437,8570,322,354,679,3543,3916,7466,293,262,557,4160,4538,8700,277,290,569,3852,4240,8092,265,291,555,4396,4824,9218,331,365,699,4803,5292,10096,362,336,700,5493,6001,11492,289,389,677,5377,5844,11220,441,402,847,6106,6632,12739,304,359,661,6141,6715,12858,489,484,970,6933,7556,14490,277,334,611,6910,7773,14684,569,515,1082,7749,8617,16370,248,253,506,7406,7756,15157,551,532,1082,8199,8541,16744,401,445,851,25567,28016,53577,2098,2424,4518,28063,30883,58946,6563,6771,13340,89617,94862,184483,7111,7269,14380,103296,108901,212201
109,260,214,480,3081,2864,5946,246,233,481,3588,3316,6905,235,254,483,3233,3134,6361,269,233,504,3729,3617,7348,236,236,476,3123,3097,6216,252,243,499,3609,3582,7191,205,191,391,3074,2966,6045,235,229,469,3514,3393,6902,162,160,325,2745,2716,5458,281,249,529,3184,3128,6312,108,146,260,2595,2737,5334,259,235,494,2972,3115,6079,102,112,217,2749,2891,5633,234,245,481,3082,3249,6330,74,98,173,2636,2846,5483,198,217,413,2912,3156,6070,90,117,205,2938,3122,6066,263,243,502,3293,3481,6768,91,114,200,3175,3346,6523,286,260,544,3551,3717,7266,98,113,213,3339,3510,6845,279,243,526,3716,3865,7576,81,84,163,3674,3813,7488,338,344,685,4099,4243,8340,66,69,130,3584,3597,7189,339,325,667,3993,3998,7989,108,124,232,10648,11563,22210,1069,1206,2269,11829,12893,24718,1911,2035,3949,50594,52201,102798,4554,4505,9056,57060,58743,115803
110,1230,1125,2358,4192,4082,8276,455,463,924,5884,5670,11556,1153,1082,2242,4640,4492,9131,452,459,911,6249,6033,12281,1020,1009,2030,4514,4379,8891,443,441,880,5974,5825,11795,939,917,1856,4562,4245,8804,482,441,930,5990,5599,11589,698,783,1476,4103,4049,8157,437,438,875,5234,5270,10511,570,579,1148,3988,4254,8240,411,425,832,4968,5258,10224,493,513,1005,3964,4195,8160,420,403,826,4875,5111,9985,420,486,910,3792,4150,7942,398,361,764,4614,4998,9607,434,524,957,4326,4521,8849,432,413,848,5192,5459,10654,475,512,982,4639,4793,9432,440,468,912,5551,5774,11322,421,496,913,4971,5192,10165,496,502,1001,5893,6183,12081,407,425,833,5250,5590,10835,527,547,1072,6182,6557,12742,296,311,610,5145,4964,10107,533,449,980,5972,5725,11694,502,586,1088,14644,16475,31122,1532,1769,3298,16678,18833,35512,9063,9352,18415,72733,75369,148104,7463,7585,15040,89260,92299,181555
