SA4_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
101,3995,1210,5265,31778,12865,1327,45973,115831,18273,180076
102,7895,2288,10278,52139,22558,2534,77236,168866,21210,267307
103,4030,960,5075,31424,12875,1424,45727,100616,18910,165251
104,3106,915,4052,19149,8207,981,28333,72940,11147,112427
105,2201,505,2741,16062,6626,677,23368,56309,11475,91150
106,4216,953,5219,43646,18309,2002,63957,127192,19004,210150
107,5981,1251,7332,47226,21714,2205,71140,151898,16691,239730
108,6032,1656,7749,27228,12358,1184,40773,118787,17930,177488
109,2489,684,3208,16960,7124,727,24812,59441,10101,94353
110,3298,884,4248,26413,10417,1146,37980,91435,16515,145922
111,7390,2420,9928,57228,27269,2571,87072,188607,20016,295691
112,6177,1796,8042,34679,14447,1656,50781,126826,20918,198521
113,3072,824,3951,23558,9460,913,33931,77306,13607,124846
114,3533,1017,4588,20305,9588,978,30870,79637,12162,122671
115,3170,765,4003,42915,14583,1271,58769,113057,8952,180785
116,3075,454,3575,62526,17243,1843,81607,162470,18235,262316
117,2639,727,3426,31804,10283,947,43035,208060,34200,285297
118,5042,1157,6342,39636,12467,1121,53224,149206,23860,226282
119,11268,1924,13419,91486,26140,2005,119630,311628,33077,464334
120,5382,666,6153,46623,12702,1232,60555,168073,18440,247072
121,8532,1436,10139,74883,21562,1915,98369,212277,19735,330375
122,5521,1313,6945,47586,15220,1608,64413,125105,13502,203023
123,2317,807,3174,46823,16440,1657,64924,124789,14371,204085
124,3902,605,4571,52553,20341,2285,75182,152122,17491,244791
125,6437,1051,7583,75422,18467,1576,95470,235273,29178,359916
126,4293,566,4930,31326,9237,756,41322,102185,7711,151220
127,4850,603,5545,63369,18436,1459,83263,213408,23898,320571
128,5260,605,5949,38958,15817,1314,56090,111151,9093,176329
197,6,0,10,39,37,0,79,226,76,374
199,49,28,78,847,475,45,1373,6811,3361,11545
201,3012,671,3745,24238,10531,1158,35927,80931,11656,128519
202,3013,888,3961,23734,10292,1219,35238,77171,12366,124780
203,5954,1279,7326,45781,19081,1993,66855,141914,18355,227122
204,3539,980,4590,24937,10858,1100,36897,88930,13964,139788
205,5570,1566,7251,39105,17840,1942,58886,141230,23477,223600
206,7624,1567,9372,67840,24494,2255,94587,377769,51935,524285
207,9453,1473,11110,59135,20786,1732,81653,201660,17037,300350
208,10426,1927,12538,71263,22637,2426,96323,212393,21129,329844
209,7363,1540,9057,86990,27675,2738,117407,254511,27586,399503
210,5639,906,6650,61588,18212,1728,81533,185370,21701,288599
211,8830,1687,10639,86628,33042,3548,123213,261582,23262,408056
212,11160,1957,13311,131090,38604,3781,173478,390733,40902,605115
213,7047,1497,8698,133422,34463,3626,171508,355575,45402,572482
214,6245,1436,7772,47239,19956,2104,69300,148727,19247,237269
215,3795,964,4819,20909,8944,972,30821,78496,14037,123356
216,2782,743,3579,19109,7747,798,27653,66457,11395,105507
217,2752,719,3529,18178,7921,813,26914,63870,9888,100676
297,0,0,0,5,0,0,5,18,3,25
299,25,13,38,649,290,14,960,3900,1969,6825
301,3687,972,4703,39066,14807,1694,55568,113282,10873,179726
302,4084,1059,5195,35131,11630,1297,48056,110448,10961,169465
303,5449,782,6313,57613,17748,1867,77230,185021,17269,279522
304,2679,864,3605,31785,10649,1235,43666,93499,7870,145038
305,2541,703,3291,34073,10921,1208,46204,149682,19606,215485
306,2941,723,3722,36506,12415,1794,50719,119905,21914,192534
307,2129,527,2685,19380,6596,775,26752,62613,11037,100396
308,2435,697,3161,37779,12458,1745,51975,102753,18399,173127
309,8900,2868,11859,93772,30753,3569,128094,295435,43006,466532
310,3286,784,4113,55637,18676,2468,76779,148635,24878,250288
311,3144,503,3680,54650,19556,2364,76572,149745,19684,245998
312,1796,345,2162,28656,8772,1258,38693,79731,16079,134500
313,3645,1589,5282,36438,14916,1894,53244,119846,17415,190510
314,1679,470,2169,39108,12363,1805,53275,88561,8525,150360
315,520,132,663,12033,4394,719,17146,35382,8511,61037
316,7360,1645,9082,55674,19908,2315,77894,185142,21664,284697
317,2512,882,3431,23844,8885,1071,33805,75134,10294,119233
318,2805,552,3396,36392,13260,1622,51273,114227,17750,183253
319,5478,1420,6953,39106,14400,1711,55218,157343,24377,236940
397,0,3,4,13,17,0,28,90,21,144
399,30,11,44,760,474,19,1251,7804,2633,11693
401,7651,960,8740,45012,18822,1787,65619,162458,14921,243000
402,6697,1156,7927,69923,26740,2729,99385,218126,22812,340320
403,8573,1451,10136,57383,25861,2619,85862,189900,17868,293636
404,6140,1135,7369,33217,13521,1130,47867,132345,12599,192810
405,2624,540,3207,15634,7131,700,23467,60280,7579,91328
406,1293,323,1644,12523,5384,726,18635,40228,7876,66735
407,4329,1036,5433,26040,12179,1264,39482,99579,14103,153169
497,0,0,0,0,0,0,0,6,0,3
499,16,4,22,262,141,16,411,1621,609,2648
501,2619,667,3318,29495,10260,1376,41136,85921,13514,140569
502,1969,431,2416,14473,5950,674,21095,51215,6869,79180
503,3282,629,3961,24765,8552,930,34243,95647,13423,143313
504,2806,915,3769,42599,14008,1573,58184,126354,18018,202559
505,6999,1716,8828,94487,31718,3500,129697,270335,29517,429558
506,6286,1728,8082,81542,26946,2915,111405,252200,31795,395396
507,5828,1689,7599,70430,23779,2915,97124,199482,26927,323530
509,2219,585,2844,19696,7449,928,28074,69348,12692,110110
510,133,37,184,15981,4266,923,21173,39557,12747,73483
511,1091,297,1411,18479,6167,1022,25666,55942,12437,94047
597,3,0,3,54,4,0,61,297,72,434
599,13,3,23,376,169,14,558,3441,1554,5559
601,4462,750,5275,34527,14757,1737,51019,117668,13577,182260
602,2784,552,3369,20548,8163,857,29573,76167,10279,116022
603,466,119,600,5225,2085,211,7524,20396,2976,30898
604,2035,449,2522,15984,6586,724,23291,58767,7614,89678
697,0,0,0,4,0,0,9,53,9,73
699,3,0,3,89,38,5,128,530,180,835
701,510,103,626,22297,6088,801,29179,64988,15137,109301
702,231,61,310,13021,7908,2396,23322,33143,11241,67701
797,0,0,0,3,0,0,4,43,26,72
799,0,0,0,151,57,0,211,1317,747,2281
801,4771,1276,6155,67241,23272,2686,93202,207514,21695,322415
897,0,0,0,0,0,0,0,0,0,0
899,3,0,3,39,33,7,73,322,108,506
901,43,9,51,608,214,26,847,2129,738,3714
997,0,0,0,0,0,0,0,6,0,6
999,0,0,0,3,0,0,6,35,4,46
