SA4_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
101,26193,51665,376,2098,2308,10680,691,3147,12024,47205,15397,63131,980,3912,1779,5724,4265,13283,7024,22910,22418,86039,104,471,570,1997,313,1113,3538,9694,4518,13273,268,820,784,1673,3013,6308,4070,8799,8589,22073,667,1376,57863,161152
102,33499,66733,656,3639,3422,15903,1249,5724,18638,73365,23961,98629,2039,8482,2742,9242,7568,23892,12347,41619,36311,140248,227,1055,1141,4010,695,2482,6265,17179,8326,24728,703,2212,1460,3205,6370,13715,8538,19133,16863,43860,1195,2480,87869,253321
103,21493,42522,377,2101,2188,10141,667,3058,11704,47187,14940,62496,830,3385,1442,4569,3759,11661,6036,19612,20978,82107,119,561,659,2365,319,1166,3893,10898,4989,14988,243,762,741,1605,2909,6119,3897,8486,8879,23473,684,1421,52041,149524
104,16370,32482,226,1270,1332,6175,438,1989,6615,26301,8612,35732,502,2047,959,3068,2584,7902,4041,13013,12652,48744,79,393,513,1866,275,1016,2840,7783,3712,11057,237,743,572,1219,2286,4855,3093,6818,6800,17870,426,891,36253,99987
105,11538,22800,189,991,1028,4705,364,1640,5847,23396,7429,30730,396,1543,672,1988,1957,6081,3032,9612,10463,40342,85,402,396,1466,256,995,2733,7988,3462,10842,139,448,360,764,1818,3934,2322,5139,5786,15982,518,1085,28297,80209
106,27694,54898,538,2997,2950,13696,1040,4676,15696,62027,20225,83397,1429,5887,1998,6591,5825,18197,9243,30682,29469,114080,166,778,822,2985,512,1805,5471,15445,6972,21014,423,1311,920,1984,4037,8608,5378,11903,12349,32918,868,1803,70379,203694
107,28632,56885,602,3367,3199,14829,995,4506,17572,69102,22367,91806,2065,8639,2911,9956,7404,23613,12381,42206,34748,134013,174,806,940,3333,477,1745,4845,13066,6435,18946,590,1866,1351,3007,5203,11213,7145,16085,13577,35028,1136,2366,78091,228294
108,28224,55998,329,1822,1993,9299,631,2870,9181,36694,12136,50690,664,2682,1437,4588,3858,11798,5950,19070,18091,69758,130,612,766,2833,400,1493,4298,12094,5591,17031,298,917,877,1887,3605,7648,4782,10457,10374,27486,720,1510,57414,154748
109,13324,26240,209,1123,1177,5509,328,1490,6369,25442,8083,33565,512,2069,865,2714,1894,5801,3273,10590,11353,44156,54,250,343,1194,158,567,2003,5439,2555,7446,139,421,397,831,1462,3060,1999,4307,4548,11755,343,703,29569,82854
110,19583,38759,324,1782,1759,7955,587,2691,9695,38781,12368,51218,610,2403,1239,3843,3140,9621,4993,15864,17361,67080,114,537,573,2170,346,1321,3812,10865,4851,14895,203,625,608,1261,2614,5605,3426,7497,8280,22391,725,1523,45946,129758
