SA4_CODE_2016,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
101,1166,3015,5921,6596,5974,6091,4615,1685,471,35531,396,452,817,862,1120,969,575,252,74,5516,655,1126,2505,3052,5477,5426,3558,1491,309,23598,169,150,428,484,916,1241,1756,807,244,6198,40,38,158,237,416,913,1400,1027,391,4611,9,11,23,27,44,71,72,77,26,352,440,534,1174,1235,1538,1533,1527,1079,464,9523,2862,5328,11030,12491,15485,16242,13500,6417,1970,85326,1331,3355,7529,8339,7451,6391,3830,1425,496,40148,325,364,702,833,1192,1020,741,338,103,5617,414,723,1711,2295,5081,5678,4204,1806,601,22509,110,138,348,351,713,1228,1614,895,382,5774,29,28,86,137,279,713,1067,970,683,3982,0,5,16,16,25,46,60,78,29,283,426,409,899,938,1256,1405,1536,1293,998,9153,2631,5013,11286,12905,16005,16478,13045,6808,3288,87464,2497,6371,13448,14941,13425,12484,8441,3107,968,75680,723,818,1520,1690,2312,1987,1312,588,170,11130,1064,1844,4218,5344,10557,11099,7762,3298,913,46103,275,292,775,834,1630,2467,3370,1703,623,11972
102,2056,5593,9421,10083,7361,7178,5365,2503,894,50453,719,940,1502,1493,1276,1005,744,419,143,8244,1021,1812,4386,5153,9103,7623,5206,2661,710,37681,238,249,626,817,1347,1615,2671,1446,524,9528,50,79,197,271,476,995,1459,1072,625,5221,4,14,25,29,59,87,112,76,27,435,496,563,1069,1175,1428,1534,1685,1538,947,10432,4589,9252,17229,19030,21044,20045,17237,9707,3860,122003,2282,5998,11712,12590,9014,7120,4502,2200,801,56217,543,671,1277,1368,1367,990,811,490,160,7670,855,1444,3374,4443,9020,9263,7385,3712,1322,40817,165,196,538,649,1265,2230,3160,1986,1049,11236,39,37,135,160,447,1128,1395,1358,1135,5838,6,12,22,30,45,66,75,70,48,366,440,538,961,1083,1401,1507,1999,2154,1893,11979,4322,8887,18025,20322,22560,22306,19324,11970,6400,134122,4335,11588,21133,22676,16373,14303,9865,4701,1702,106672,1264,1611,2782,2860,2641,1999,1554,906,307,15917,1879,3259,7763,9602,18119,16884,12596,6370,2035,78496,402,445,1166,1464,2608,3839,5829,3431,1570,20765
103,1101,2867,5284,5067,3707,3798,2643,1043,323,25835,428,546,873,891,723,556,409,210,65,4697,823,1460,3254,3518,5838,5251,3324,1496,324,25274,186,187,479,556,1007,1226,1801,926,254,6620,40,64,157,214,511,1080,1509,1080,493,5144,0,5,21,27,34,61,89,46,17,308,574,834,1500,1338,1531,1465,1532,996,353,10127,3147,5967,11575,11607,13353,13436,11304,5809,1823,78011,1365,3479,7214,7084,5092,3986,2488,1095,425,32227,305,433,813,840,901,599,492,288,113,4773,492,927,2074,2486,5226,5383,4041,2041,708,23371,138,187,382,447,838,1218,1570,990,565,6332,28,43,101,127,276,797,1027,1002,786,4189,3,4,14,27,37,50,48,40,17,236,544,516,912,1024,1281,1294,1507,1243,632,8946,2863,5583,11510,12036,13649,13329,11161,6694,3247,80074,2460,6351,12498,12150,8798,7786,5129,2139,751,58058,731,975,1684,1730,1622,1154,898,495,175,9473,1306,2386,5331,6002,11061,10634,7358,3536,1027,48643,323,380,860,999,1844,2451,3369,1918,816,12953
104,615,1575,3023,3281,2591,3440,2508,1020,290,18339,292,307,495,548,563,607,413,197,55,3468,512,805,1630,1963,3595,3887,2638,1167,275,16482,162,109,273,345,661,845,1428,695,221,4743,28,43,149,184,317,588,866,716,332,3219,10,13,25,25,34,36,39,35,10,240,267,303,616,639,760,1003,902,727,350,5561,1892,3161,6210,6985,8521,10400,8795,4554,1528,52046,711,1800,4027,4449,3579,3457,2134,896,307,21357,207,278,476,558,678,605,450,231,74,3550,350,497,1174,1700,3769,4483,3333,1590,490,17389,93,98,232,267,587,949,1318,784,373,4695,25,31,100,132,222,457,627,687,594,2874,3,4,32,38,49,38,31,35,24,254,244,238,498,553,749,889,919,925,660,5673,1629,2944,6531,7694,9632,10882,8822,5138,2521,55793,1328,3375,7044,7731,6169,6897,4645,1919,600,39697,504,587,966,1105,1243,1210,865,424,121,7023,860,1309,2806,3658,7363,8372,5969,2755,761,33868,255,205,500,614,1252,1788,2749,1474,600,9438
105,495,1393,2992,2601,1757,1728,1117,463,129,12677,237,352,533,482,460,347,221,103,33,2766,471,827,1781,1780,3194,2971,1790,743,195,13746,144,156,333,347,645,851,995,509,157,4149,39,64,138,178,359,805,982,659,274,3494,3,0,8,16,30,51,58,41,8,221,295,473,1027,810,912,964,896,573,235,6189,1690,3271,6817,6213,7364,7712,6053,3097,1034,43243,558,1792,4164,3467,2541,1897,1010,502,187,16123,227,282,507,511,523,416,242,153,45,2901,294,607,1346,1341,2893,3000,2078,1056,353,12975,81,142,329,355,527,804,842,546,299,3919,17,30,88,109,214,552,705,596,353,2668,0,0,6,4,17,30,36,28,22,146,265,325,741,650,806,882,851,761,455,5734,1447,3176,7178,6439,7536,7579,5766,3643,1708,44473,1056,3191,7155,6072,4303,3628,2122,962,315,28800,461,634,1039,986,982,765,463,255,82,5671,764,1433,3130,3121,6093,5974,3859,1802,550,26725,227,296,663,703,1178,1657,1838,1058,458,8067
106,1496,3573,6753,6616,4105,4297,3226,1232,296,31598,694,935,1624,1522,1019,787,528,260,78,7441,997,2075,4725,5485,8497,6936,4343,1734,337,35133,284,275,639,713,1420,1902,2474,1066,291,9052,63,89,214,296,495,1094,1462,1032,424,5170,4,10,28,36,59,71,64,41,16,334,477,684,1532,1465,1490,1455,1513,1048,431,10095,4017,7642,15521,16128,17075,16546,13610,6410,1875,98820,1614,4290,9245,8669,5519,4392,2634,1019,319,37700,530,725,1362,1314,1081,718,570,235,79,6621,794,1616,3574,4412,7936,7247,5148,2184,662,33584,181,282,631,650,1482,2190,2522,1368,629,9932,42,59,140,179,403,1051,1170,1078,765,4888,3,3,17,30,26,45,46,47,23,246,460,441,1104,1072,1226,1372,1622,1325,862,9482,3634,7427,16073,16332,17681,17004,13703,7256,3337,102447,3114,7861,15996,15283,9620,8697,5861,2250,617,69297,1223,1663,2990,2836,2095,1506,1099,501,155,14061,1794,3695,8301,9900,16429,14185,9488,3916,1001,68718,466,553,1273,1369,2897,4085,4988,2431,919,18987
107,2453,7454,10711,10148,6934,6488,4077,1605,501,50370,616,795,1312,1321,1159,870,518,249,71,6911,980,1687,3973,4657,8059,6473,3843,1945,475,32093,205,219,529,624,1048,1397,2102,1072,350,7549,49,77,170,227,426,967,1567,1509,665,5657,10,17,55,58,68,103,156,163,97,720,388,582,1103,982,1183,1209,1293,1152,561,8469,4693,10829,17859,18017,18888,17504,13566,7699,2722,111771,2664,7517,12447,12059,7841,6069,3281,1405,458,53745,403,568,1052,1149,1188,789,493,295,95,6033,629,1148,2966,3867,7982,7315,5055,2620,871,32442,120,163,424,518,1031,1922,2271,1439,714,8612,35,48,129,203,412,1262,1686,1819,1234,6825,6,7,41,51,67,126,208,354,162,1030,419,512,948,910,1086,1214,1448,1415,1076,9032,4273,9965,18012,18759,19612,18703,14445,9346,4599,117714,5115,14972,23157,22210,14781,12557,7362,3015,956,104116,1020,1368,2365,2470,2351,1657,1009,544,160,12937,1608,2834,6936,8522,16039,13791,8900,4563,1344,64531,327,386,951,1147,2084,3324,4373,2508,1065,16159
108,897,2093,3671,4295,3414,4632,4174,1819,612,25595,395,534,744,850,854,804,730,372,107,5396,656,1044,2395,3059,5924,6312,4954,2395,500,27234,177,162,448,566,1094,1566,2865,1378,422,8678,41,61,159,203,461,1106,1713,1303,612,5658,9,0,6,25,38,33,66,57,20,254,392,432,858,892,1250,1492,1827,1387,748,9276,2564,4318,8286,9885,13035,15949,16321,8709,3017,82094,1020,2514,5043,5982,4725,4800,3459,1601,585,29722,326,370,770,824,1009,830,741,411,126,5402,493,801,1954,2609,6021,7439,6343,2889,887,29440,114,160,415,473,937,1788,2813,1631,730,9066,39,33,99,153,340,837,1300,1235,1016,5061,4,3,13,20,28,39,38,39,41,220,361,311,674,752,1121,1432,1914,1729,1335,9628,2357,4191,8965,10815,14178,17158,16606,9539,4719,88532,1916,4602,8713,10282,8135,9432,7631,3412,1192,55316,719,905,1522,1668,1862,1636,1465,787,227,10790,1144,1843,4350,5665,11945,13756,11300,5285,1386,56673,295,318,861,1039,2032,3351,5678,3011,1154,17739
109,577,1529,2961,2896,2015,2274,1505,649,184,14584,286,455,729,763,1060,949,615,229,48,5138,385,709,1401,1537,2598,2655,1865,788,187,12120,97,130,260,303,631,812,1129,568,171,4096,23,43,104,128,246,545,880,744,345,3062,8,9,23,31,42,44,53,38,17,255,247,306,568,541,672,813,860,628,315,4955,1612,3178,6050,6199,7263,8089,6909,3651,1264,44213,726,2058,4221,3989,2903,2400,1380,650,265,18595,194,268,509,688,1219,1179,717,312,87,5162,210,403,848,1072,2224,2689,2121,995,321,10886,54,76,176,214,425,743,992,574,257,3513,19,23,63,83,139,391,725,679,466,2583,3,3,18,37,37,19,45,33,23,214,221,283,519,551,634,816,832,879,521,5267,1424,3114,6357,6633,7576,8236,6812,4131,1941,46219,1296,3580,7182,6893,4922,4674,2887,1297,448,33174,480,719,1240,1453,2280,2127,1329,545,133,10306,595,1118,2253,2612,4821,5342,3987,1781,503,23008,147,210,439,516,1053,1551,2119,1140,422,7611
110,1122,2779,4824,4444,3235,3389,2350,930,229,23295,359,470,731,664,638,523,369,226,42,4020,707,1177,2567,2806,4834,4541,2811,1244,244,20925,207,194,458,549,969,1212,1572,785,209,6157,44,71,192,248,485,1036,1471,1089,406,5042,3,14,25,28,37,64,73,40,10,301,513,520,1040,1061,1245,1384,1328,923,324,8340,2957,5226,9839,9798,11440,12145,9979,5230,1470,68085,1278,3343,6376,6106,4498,3632,2285,1015,356,28873,280,365,752,739,766,551,462,257,82,4254,429,818,1839,2141,4464,4978,3514,1693,575,20461,118,166,371,394,749,1100,1434,941,407,5681,24,44,96,124,284,701,915,943,676,3811,0,6,22,15,34,42,59,43,17,235,469,514,908,924,1157,1280,1315,1157,672,8398,2609,5257,10357,10444,11950,12278,9986,6052,2777,71715,2398,6123,11198,10545,7728,7016,4630,1943,586,52170,640,833,1484,1401,1402,1076,835,480,122,8275,1141,1994,4407,4951,9298,9521,6330,2940,813,41388,332,364,820,944,1718,2319,3005,1725,615,11842
